,depth,x,y,z,behaviour,type,place
0,0.53,0.9159999999999999,0.076,0.5,0,0,1
1,0.53,0.884,0.06,0.48,0,0,1
2,0.53,0.856,0.036000000000000004,0.47600000000000003,0,0,1
3,0.53,0.8640000000000001,0.016,0.48,0,0,1
4,0.53,0.836,-0.008,0.49200000000000005,0,0,1
5,0.53,0.88,-0.004,0.5,0,0,1
6,0.53,0.948,-0.016,0.5,0,0,1
7,0.53,0.9079999999999999,0.016,0.512,0,0,1
8,0.53,0.856,0.016,0.512,0,0,1
9,0.53,0.816,-0.004,0.5,0,0,1
10,0.53,0.7959999999999999,-0.02,0.532,0,0,1
11,0.53,0.716,-0.02,0.568,0,0,1
12,0.53,0.7,-0.012,0.62,0,0,1
13,0.53,0.684,0.0,0.6759999999999999,0,0,1
14,0.53,0.72,0.012,0.664,0,0,1
15,0.53,0.708,-0.092,0.684,0,0,1
16,0.53,0.7240000000000001,-0.168,0.7,0,0,1
17,0.53,0.636,-0.188,0.716,0,0,1
18,0.53,0.604,-0.188,0.612,0,0,1
19,0.53,0.664,-0.36,0.58,0,0,1
20,0.53,0.752,-0.42,0.528,0,0,1
21,0.53,0.8759999999999999,-0.204,0.512,0,0,1
22,0.53,0.912,-0.02,0.528,0,0,1
23,0.53,0.872,0.048,0.536,0,0,1
24,0.53,0.8320000000000001,0.084,0.508,0,0,1
25,0.53,0.8440000000000001,0.10400000000000001,0.512,0,0,1
26,0.53,0.888,0.084,0.47200000000000003,0,0,1
27,0.53,0.8959999999999999,0.07200000000000001,0.516,0,0,1
28,0.53,0.888,0.04,0.528,0,0,1
29,0.53,0.88,0.004,0.5,0,0,1
30,0.53,0.8640000000000001,-0.016,0.524,0,0,1
31,0.53,0.848,-0.048,0.532,0,0,1
32,0.53,0.8759999999999999,-0.084,0.496,0,0,1
33,0.53,0.884,-0.096,0.5760000000000001,0,0,1
34,0.53,0.784,-0.14800000000000002,0.568,0,0,1
35,0.53,0.7,-0.168,0.588,0,0,1
36,0.53,0.604,-0.204,0.56,0,0,1
37,0.53,0.604,-0.252,0.58,0,0,1
38,0.53,0.68,-0.292,0.5479999999999999,0,0,1
39,0.53,0.748,-0.324,0.56,0,0,1
40,0.53,0.784,-0.38799999999999996,0.568,0,0,1
41,0.53,0.84,-0.32,0.588,0,0,1
42,0.53,0.932,-0.324,0.588,0,0,1
43,0.53,0.892,-0.16,0.52,0,0,1
44,0.53,0.848,-0.136,0.49200000000000005,0,0,1
45,0.53,0.924,0.055999999999999994,0.544,0,0,1
46,0.53,0.856,0.156,0.42,0,0,1
47,0.53,0.856,0.228,0.396,0,0,1
48,0.53,0.78,0.276,0.376,0,0,1
49,0.53,0.884,0.07200000000000001,0.512,0,0,1
50,0.53,0.892,-0.11599999999999999,0.612,0,0,1
51,0.53,0.764,-0.18,0.636,0,0,1
52,0.53,0.596,-0.272,0.612,0,0,1
53,0.53,0.44,-0.268,0.6,0,0,1
54,0.53,0.48,-0.332,0.56,0,0,1
55,0.53,0.556,-0.424,0.5760000000000001,0,0,1
56,0.53,0.64,-0.512,0.584,0,0,1
57,0.53,0.7040000000000001,-0.508,0.5920000000000001,0,0,1
58,0.53,0.732,-0.436,0.632,0,0,1
59,0.53,0.768,-0.32,0.6679999999999999,0,0,1
60,0.53,0.772,-0.248,0.596,0,0,1
61,0.53,0.8320000000000001,-0.11599999999999999,0.5479999999999999,0,0,1
62,0.53,0.84,0.0,0.56,0,0,1
63,0.53,0.888,0.128,0.532,0,0,1
64,0.53,0.9,0.264,0.48,0,0,1
65,0.53,0.888,0.248,0.43200000000000005,0,0,1
66,0.53,0.8759999999999999,0.192,0.5,0,0,1
67,0.53,0.9159999999999999,-0.027999999999999997,0.504,0,0,1
68,0.53,0.924,-0.04,0.5760000000000001,0,0,1
69,0.5,0.828,-0.124,0.532,0,0,1
70,0.53,0.812,-0.156,0.5479999999999999,0,0,1
71,0.53,0.772,-0.192,0.5760000000000001,0,0,1
72,0.53,0.7120000000000001,-0.184,0.58,0,0,1
73,0.53,0.7040000000000001,-0.2,0.58,0,0,1
74,0.53,0.7,-0.196,0.632,0,0,1
75,0.53,0.7040000000000001,-0.17600000000000002,0.632,0,0,1
76,0.53,0.68,-0.16,0.616,0,0,1
77,0.53,0.6920000000000001,-0.14800000000000002,0.604,0,0,1
78,0.53,0.716,-0.124,0.596,0,0,1
79,0.53,0.7440000000000001,-0.1,0.6,0,0,1
80,0.53,0.76,-0.08,0.5720000000000001,0,0,1
81,0.53,0.768,-0.068,0.564,0,0,1
82,0.53,0.7759999999999999,-0.092,0.58,0,0,1
83,0.53,0.812,-0.10400000000000001,0.652,0,0,1
84,0.53,0.856,-0.136,0.608,0,0,1
85,0.53,0.884,-0.12,0.632,0,0,1
86,0.53,0.816,-0.11599999999999999,0.652,0,0,1
87,0.53,0.784,-0.168,0.6559999999999999,0,0,1
88,0.53,0.728,-0.21600000000000003,0.632,0,0,1
89,0.53,0.924,-0.28800000000000003,0.612,0,0,1
90,0.53,0.82,-0.608,0.5479999999999999,0,0,1
91,0.53,0.9,-0.7,0.47600000000000003,0,0,1
92,0.53,0.564,-0.34,0.38799999999999996,0,0,1
93,0.5,-0.07200000000000001,0.424,0.32799999999999996,0,0,1
94,0.53,0.10800000000000001,0.8959999999999999,0.364,0,0,1
95,0.53,0.732,0.556,0.74,0,0,1
96,0.53,0.648,-0.064,0.764,0,0,1
97,0.53,0.564,-0.196,0.7040000000000001,0,0,1
98,0.53,0.628,-0.016,0.68,0,0,1
99,0.53,0.42,0.1,0.604,0,0,1
100,0.53,0.536,0.124,0.804,0,0,1
101,0.53,1.044,0.196,0.8079999999999999,0,0,1
102,0.53,0.94,0.016,0.66,0,0,1
103,0.53,0.7,-0.16399999999999998,0.64,0,0,1
104,0.53,0.568,-0.188,0.512,0,0,1
105,0.53,0.64,-0.14800000000000002,0.628,0,0,1
106,0.53,0.78,-0.076,0.644,0,0,1
107,0.53,0.868,-0.016,0.672,0,0,1
108,0.53,0.892,0.02,0.648,0,0,1
109,0.53,0.828,0.016,0.612,0,0,1
110,0.53,0.748,0.016,0.604,0,0,1
111,0.53,0.736,-0.008,0.54,0,0,1
