,depth,x,y,z,behaviour,type,place
0,2.37,0.904,-0.172,0.332,12,3,1
1,2.37,0.8959999999999999,-0.168,0.336,12,3,1
2,2.37,0.892,-0.172,0.336,12,3,1
3,2.37,0.892,-0.17600000000000002,0.32799999999999996,12,3,1
4,2.37,0.8959999999999999,-0.18,0.34,12,3,1
5,2.37,0.9,-0.188,0.344,12,3,1
6,2.37,0.9,-0.184,0.32799999999999996,12,3,1
7,2.37,0.904,-0.184,0.32799999999999996,12,3,1
8,2.37,0.9079999999999999,-0.192,0.32,12,3,1
9,2.34,0.9079999999999999,-0.196,0.32,12,3,1
10,2.37,0.9079999999999999,-0.196,0.32,12,3,1
11,2.37,0.9079999999999999,-0.192,0.332,12,3,1
12,2.37,0.912,-0.196,0.336,12,3,1
13,2.37,0.9079999999999999,-0.196,0.32799999999999996,12,3,1
14,2.34,0.9079999999999999,-0.18,0.332,12,3,1
15,2.34,0.9079999999999999,-0.18,0.332,12,3,1
16,2.37,0.9079999999999999,-0.188,0.332,12,3,1
17,2.34,0.904,-0.184,0.32799999999999996,12,3,1
18,2.34,0.9,-0.184,0.324,12,3,1
19,2.37,0.904,-0.184,0.32799999999999996,12,3,1
20,2.34,0.9079999999999999,-0.18,0.316,12,3,1
21,2.37,0.904,-0.172,0.332,12,3,1
22,2.37,0.904,-0.184,0.332,12,3,1
23,2.37,0.912,-0.188,0.32799999999999996,12,3,1
24,2.37,0.9079999999999999,-0.18,0.336,12,3,1
25,2.37,0.9,-0.192,0.316,12,3,1
26,2.37,0.9,-0.184,0.316,12,3,1
27,2.37,0.9,-0.196,0.316,12,3,1
28,2.34,0.904,-0.192,0.32,12,3,1
29,2.37,0.904,-0.196,0.32,12,3,1
30,2.37,0.912,-0.184,0.32,12,3,1
31,2.34,0.904,-0.188,0.324,12,3,1
32,2.37,0.9159999999999999,-0.2,0.32,12,3,1
33,2.34,0.9159999999999999,-0.2,0.336,12,3,1
34,2.34,0.9159999999999999,-0.204,0.324,12,3,1
35,2.34,0.904,-0.196,0.324,12,3,1
36,2.34,0.912,-0.196,0.324,12,3,1
