,depth,x,y,z,behaviour,type,place
0,0.87,0.792,-0.212,0.5760000000000001,12,3,1
1,0.87,0.836,-0.244,0.544,12,3,1
2,0.87,0.856,-0.292,0.5,12,3,1
3,0.87,0.848,-0.344,0.484,12,3,1
4,0.87,0.8320000000000001,-0.35600000000000004,0.484,12,3,1
5,0.87,0.8079999999999999,-0.34,0.47600000000000003,12,3,1
6,0.87,0.8,-0.34,0.46,12,3,1
7,0.87,0.804,-0.336,0.46,12,3,1
8,0.87,0.812,-0.34,0.46799999999999997,12,3,1
9,0.87,0.82,-0.336,0.46,12,3,1
10,0.87,0.816,-0.316,0.452,12,3,1
11,0.87,0.804,-0.316,0.44799999999999995,12,3,1
12,0.87,0.816,-0.32,0.452,12,3,1
13,0.87,0.82,-0.308,0.444,12,3,1
14,0.87,0.82,-0.28800000000000003,0.44799999999999995,12,3,1
15,0.87,0.812,-0.292,0.44799999999999995,12,3,1
16,0.87,0.804,-0.292,0.456,12,3,1
17,0.87,0.784,-0.284,0.46,12,3,1
18,0.87,0.784,-0.28800000000000003,0.47200000000000003,12,3,1
19,0.87,0.7759999999999999,-0.28800000000000003,0.49200000000000005,12,3,1
20,0.87,0.768,-0.276,0.5,12,3,1
21,0.87,0.772,-0.268,0.512,12,3,1
22,0.87,0.764,-0.252,0.516,12,3,1
23,0.87,0.764,-0.23199999999999998,0.528,12,3,1
24,0.87,0.764,-0.248,0.54,12,3,1
25,0.87,0.764,-0.256,0.528,12,3,1
26,0.87,0.7559999999999999,-0.26,0.544,12,3,1
27,0.87,0.76,-0.268,0.512,12,3,1
28,0.87,0.76,-0.26,0.47600000000000003,12,3,1
29,0.87,0.76,-0.268,0.49200000000000005,12,3,1
30,0.87,0.7879999999999999,-0.3,0.5,12,3,1
31,0.87,0.836,-0.32799999999999996,0.456,12,3,1
32,0.87,0.848,-0.316,0.41600000000000004,12,3,1
33,0.87,0.84,-0.32799999999999996,0.38799999999999996,12,3,1
34,0.87,0.8440000000000001,-0.36,0.368,12,3,1
35,0.87,0.8440000000000001,-0.376,0.37200000000000005,12,3,1
36,0.87,0.856,-0.376,0.408,12,3,1
37,0.87,0.84,-0.35200000000000004,0.42,12,3,1
38,0.87,0.836,-0.324,0.43200000000000005,12,3,1
39,0.87,0.84,-0.332,0.46,12,3,1
40,0.87,0.82,-0.38,0.46399999999999997,12,3,1
41,0.87,0.868,-0.38799999999999996,0.46,12,3,1
42,0.87,0.884,-0.43200000000000005,0.436,12,3,1
43,0.87,0.872,-0.384,0.508,12,3,1
44,0.87,0.7959999999999999,-0.316,0.684,12,3,1
45,0.87,0.9159999999999999,-0.35600000000000004,0.86,12,3,1
46,0.87,1.08,-0.268,0.716,1,1,1
47,0.87,0.8440000000000001,-0.41200000000000003,0.6759999999999999,1,1,1
48,0.87,0.496,-0.348,0.556,1,1,1
49,0.87,0.124,-0.16399999999999998,0.568,1,1,1
50,0.87,-0.132,0.324,1.004,1,1,1
51,0.87,0.02,0.184,0.872,1,1,1
52,0.87,0.1,0.516,0.976,1,1,1
53,0.87,0.0,0.7120000000000001,1.056,1,1,1
54,0.87,-0.012,0.732,0.6920000000000001,1,1,1
55,0.87,0.212,0.58,0.292,1,1,1
56,0.87,0.436,0.276,0.076,1,1,1
57,0.87,0.43200000000000005,0.188,0.384,1,1,1
58,0.87,0.20800000000000002,-0.284,0.628,1,1,1
59,0.87,0.512,-0.5479999999999999,0.524,1,1,1
60,0.87,0.5479999999999999,-0.9440000000000001,0.6559999999999999,1,1,1
61,0.87,1.024,-0.9,0.536,1,1,1
62,0.87,1.176,-0.696,0.5920000000000001,1,1,1
63,0.87,1.0,-0.696,0.72,1,1,1
