,depth,x,y,z,behaviour,type,place
0,0.9,0.716,-0.42,0.624,1,1,1
1,0.9,0.7440000000000001,-0.408,0.556,1,1,1
2,0.9,0.628,-0.392,0.316,1,1,1
3,0.9,0.616,-0.47600000000000003,0.424,1,1,1
4,0.9,0.612,-0.488,0.7,1,1,1
5,0.9,0.612,-0.764,0.792,1,1,1
6,0.9,0.408,0.612,0.344,1,1,1
7,0.9,0.652,0.88,0.23199999999999998,1,1,1
8,0.9,0.868,0.616,0.672,1,1,1
9,0.9,0.74,0.276,0.664,1,1,1
10,0.9,0.7559999999999999,0.32,0.72,1,1,1
11,0.9,0.66,0.32799999999999996,0.452,1,1,1
12,0.9,0.588,0.256,0.336,1,1,1
13,0.93,0.488,0.35600000000000004,0.516,1,1,1
14,0.9,0.38,0.7120000000000001,1.06,1,1,1
15,0.9,0.292,0.6,1.06,1,1,1
16,0.9,0.08,0.28800000000000003,1.128,1,1,1
17,0.9,-0.172,0.292,0.848,1,1,1
18,0.9,-0.272,0.096,1.0959999999999999,1,1,1
19,0.9,-0.192,-0.40399999999999997,1.3519999999999999,1,1,1
20,0.9,0.41200000000000003,-0.52,1.58,1,1,1
21,0.9,0.5920000000000001,-0.452,1.456,1,1,1
22,0.9,0.28,-0.6,1.168,1,1,1
23,0.9,0.14,-0.456,0.632,1,1,1
24,0.9,-0.168,-0.22399999999999998,-0.21600000000000003,1,1,1
25,0.9,0.12,0.36,-0.156,1,1,1
26,0.9,0.6679999999999999,0.528,0.7759999999999999,1,1,1
27,0.9,0.792,-0.78,-0.47600000000000003,1,1,1
28,0.9,1.084,0.536,-0.14400000000000002,1,1,1
29,0.9,0.94,0.532,-0.055999999999999994,1,1,1
30,0.9,1.056,0.256,0.38,1,1,1
31,0.9,0.688,0.184,0.43200000000000005,1,1,1
32,0.93,0.212,0.152,1.4040000000000001,1,1,1
33,0.9,-0.192,-0.848,0.456,1,1,1
34,0.9,-0.7240000000000001,-0.52,0.9,1,1,1
35,0.9,0.12,-0.048,1.52,1,1,1
36,0.9,0.46799999999999997,-0.624,1.348,1,1,1
37,0.9,0.868,-1.236,0.42,1,1,1
38,0.9,0.868,-0.708,0.336,1,1,1
39,0.9,0.8079999999999999,-0.064,0.62,1,1,1
40,0.9,0.428,-0.06,0.196,1,1,1
41,0.9,0.728,-0.384,0.268,1,1,1
42,0.9,0.736,-0.648,-0.62,1,1,1
43,0.9,1.1320000000000001,-0.10800000000000001,-0.74,1,1,1
44,0.9,1.072,-0.07200000000000001,-0.532,1,1,1
45,0.9,0.708,-0.3,-0.384,1,1,1
46,0.9,1.1440000000000001,0.14400000000000002,0.9279999999999999,1,1,1
47,0.9,0.7959999999999999,0.556,0.396,1,1,1
48,0.9,0.184,-0.396,1.4080000000000001,1,1,1
49,0.9,-0.26,-0.044000000000000004,1.6680000000000001,1,1,1
50,0.9,-0.284,0.152,2.16,1,1,1
51,0.9,-0.044000000000000004,-0.17600000000000002,2.316,1,1,1
52,0.9,0.49200000000000005,-0.36,0.904,1,1,1
53,0.9,0.88,0.82,0.18,1,1,1
54,0.93,0.992,0.24,0.512,1,1,1
55,0.9,0.78,-0.064,0.68,1,1,1
56,0.9,0.764,-0.032,0.132,1,1,1
57,0.9,0.82,0.06,0.23199999999999998,1,1,1
58,0.9,0.23199999999999998,-0.07200000000000001,-0.376,1,1,1
59,0.9,0.38799999999999996,-0.136,-0.28,1,1,1
60,0.93,0.684,-0.08,-0.312,1,1,1
61,0.9,0.764,-0.08800000000000001,-0.064,1,1,1
62,0.93,0.996,0.34,0.7120000000000001,1,1,1
63,0.9,1.4880000000000002,-0.9079999999999999,1.508,1,1,1
64,0.9,1.14,-0.152,0.8640000000000001,1,1,1
65,0.9,0.748,-0.024,0.8759999999999999,1,1,1
66,0.9,0.428,-0.016,0.932,1,1,1
67,0.9,0.29600000000000004,-0.012,0.856,1,1,1
68,0.93,0.34,0.008,0.8,1,1,1
69,0.93,0.35200000000000004,0.10800000000000001,0.836,1,1,1
70,0.9,0.43200000000000005,0.34,0.568,1,1,1
71,0.9,0.752,0.34,0.52,1,1,1
72,0.9,0.86,0.308,0.612,1,1,1
