,depth,x,y,z,behaviour,type,place
0,1.15,0.064,-0.452,0.932,8,1,0
1,1.18,0.076,-0.376,0.94,8,1,0
2,1.18,0.084,-0.336,0.9520000000000001,8,1,0
3,1.18,0.12,-0.29600000000000004,0.98,8,1,0
4,1.18,0.16399999999999998,-0.28,0.996,8,1,0
5,1.15,0.20800000000000002,-0.264,0.988,8,1,0
6,1.18,0.252,-0.23199999999999998,0.976,8,1,0
7,1.15,0.304,-0.21600000000000003,0.972,8,1,0
8,1.15,0.35600000000000004,-0.184,0.9640000000000001,8,1,0
9,1.15,0.4,-0.172,0.948,8,1,0
10,1.12,0.424,-0.156,0.932,8,1,0
11,1.12,0.456,-0.17600000000000002,0.9159999999999999,8,1,0
12,1.12,0.48,-0.17600000000000002,0.9,8,1,0
13,1.09,0.488,-0.18,0.9,8,1,0
14,1.09,0.5,-0.172,0.8959999999999999,8,1,0
15,1.06,0.52,-0.16,0.868,8,1,0
16,1.06,0.532,-0.156,0.848,8,1,0
17,0.87,0.564,-0.152,0.8320000000000001,8,1,0
18,0.84,0.564,-0.152,0.812,8,1,0
19,0.84,0.588,-0.168,0.7879999999999999,8,1,0
20,0.84,0.628,-0.14800000000000002,0.78,8,1,0
21,0.81,0.648,-0.14400000000000002,0.764,8,1,0
22,0.78,0.672,-0.14800000000000002,0.728,8,1,0
23,0.78,0.7,-0.14400000000000002,0.696,8,1,0
24,0.75,0.708,-0.14400000000000002,0.6920000000000001,8,1,0
25,0.71,0.7240000000000001,-0.128,0.688,8,1,0
26,0.71,0.74,-0.084,0.648,8,1,0
27,0.65,0.768,-0.055999999999999994,0.62,8,1,0
28,0.65,0.768,-0.08800000000000001,0.604,8,1,0
29,0.65,0.7879999999999999,-0.1,0.624,8,1,0
30,0.62,0.8079999999999999,-0.10800000000000001,0.652,8,1,0
31,0.62,0.816,-0.1,0.64,8,1,0
32,0.59,0.84,-0.092,0.608,8,1,0
33,0.59,0.8440000000000001,-0.092,0.584,8,1,0
34,0.56,0.8440000000000001,-0.064,0.564,8,1,0
35,0.53,0.8079999999999999,-0.036000000000000004,0.58,8,1,0
36,0.5,0.8,0.0,0.568,8,1,0
37,0.46,0.804,0.008,0.524,8,1,0
38,0.43,0.792,0.036000000000000004,0.528,8,1,0
39,0.4,0.8079999999999999,0.06,0.532,8,1,0
40,0.37,0.7959999999999999,0.06,0.56,8,1,0
41,0.37,0.7440000000000001,0.06,0.5479999999999999,8,1,0
42,0.34,0.7,0.08800000000000001,0.568,8,1,0
43,0.31,0.628,0.11599999999999999,0.612,8,1,0
44,0.31,0.5920000000000001,0.08,0.616,8,1,0
45,0.31,0.524,0.08,0.6559999999999999,8,1,0
46,0.34,0.46,0.08800000000000001,0.684,8,1,0
47,0.34,0.38,0.1,0.728,8,1,0
48,0.34,0.32,0.124,0.732,8,1,0
49,0.34,0.268,0.152,0.7559999999999999,8,1,0
50,0.34,0.22399999999999998,0.14,0.7959999999999999,8,1,0
51,0.34,0.18,0.14800000000000002,0.816,8,1,0
52,0.34,0.14800000000000002,0.16,0.86,8,1,0
53,0.34,0.128,0.168,0.884,8,1,0
54,0.34,0.10400000000000001,0.17600000000000002,0.892,8,1,0
55,0.34,0.084,0.18,0.888,8,1,0
56,0.31,0.08,0.188,0.904,8,1,0
57,0.31,0.07200000000000001,0.18,0.8959999999999999,8,1,0
58,0.31,0.055999999999999994,0.18,0.872,8,1,0
59,0.31,0.04,0.172,0.88,8,1,0
60,0.31,0.036000000000000004,0.14400000000000002,0.9,8,1,0
61,0.31,0.024,0.136,0.9079999999999999,8,1,0
62,0.31,0.008,0.124,0.9279999999999999,8,1,0
63,0.31,0.004,0.124,0.948,8,1,0
64,0.31,0.004,0.1,0.9440000000000001,8,1,0
65,0.34,0.02,0.084,0.932,8,1,0
66,0.31,0.016,0.08800000000000001,0.9520000000000001,10,3,0
67,0.34,0.016,0.07200000000000001,0.9640000000000001,10,3,0
68,0.34,0.024,0.068,0.98,10,3,0
69,0.34,0.04,0.08800000000000001,0.988,10,3,0
70,0.34,0.048,0.08,0.976,10,3,0
71,0.34,0.027999999999999997,0.07200000000000001,0.9440000000000001,10,3,0
72,0.34,0.064,0.048,0.96,10,3,0
73,0.34,0.14400000000000002,-0.004,0.96,10,3,0
74,0.4,0.28,-0.1,0.932,10,3,0
75,0.43,0.336,-0.04,0.904,10,3,0
76,0.37,0.392,0.06,0.8759999999999999,10,3,0
77,0.37,0.384,0.12,0.8759999999999999,10,3,0
78,0.37,0.35600000000000004,0.128,0.88,10,3,0
79,0.4,0.34,0.12,0.912,10,3,0
80,0.34,0.32799999999999996,0.092,0.9359999999999999,10,3,0
81,0.43,0.308,0.07200000000000001,0.924,10,3,0
82,0.34,0.312,0.044000000000000004,0.9,10,3,0
83,0.34,0.316,0.044000000000000004,0.88,10,3,0
84,0.37,0.336,0.04,0.868,10,3,0
85,0.34,0.35200000000000004,0.048,0.904,10,3,0
86,0.37,0.376,0.052000000000000005,0.92,10,3,0
87,0.34,0.376,0.044000000000000004,0.912,10,3,0
88,0.37,0.41600000000000004,0.02,0.888,10,3,0
89,0.37,0.43200000000000005,0.016,0.88,10,3,0
90,0.37,0.428,0.02,0.872,10,3,0
91,0.34,0.46,0.012,0.8640000000000001,10,3,0
92,0.37,0.46,0.004,0.88,10,3,0
93,0.34,0.46399999999999997,0.004,0.868,10,3,0
94,0.34,0.48,0.004,0.86,10,3,0
95,0.34,0.5,0.016,0.848,10,3,0
96,0.37,0.508,0.024,0.84,10,3,0
97,0.34,0.536,0.02,0.828,10,3,0
98,0.37,0.556,0.012,0.852,10,3,0
99,0.34,0.552,-0.004,0.856,10,3,0
100,0.37,0.524,0.0,0.836,10,3,0
101,0.37,0.512,0.032,0.772,10,3,0
102,0.34,0.528,0.084,0.72,10,3,0
103,0.37,0.556,0.136,0.6920000000000001,10,3,0
104,0.37,0.56,0.152,0.684,10,3,0
105,0.34,0.612,0.10400000000000001,0.6559999999999999,10,3,0
106,0.34,0.7,0.055999999999999994,0.636,10,3,0
107,0.37,0.7440000000000001,0.024,0.652,10,3,0
108,0.37,0.7559999999999999,-0.016,0.672,10,3,0
109,0.37,0.76,-0.032,0.648,10,3,0
110,0.34,0.768,-0.024,0.652,10,3,0
111,0.37,0.76,-0.02,0.628,10,3,0
112,0.34,0.752,-0.02,0.644,10,3,0
113,0.37,0.7440000000000001,-0.012,0.672,10,3,0
114,0.37,0.7120000000000001,-0.004,0.7120000000000001,10,3,0
115,0.34,0.684,0.0,0.732,10,3,0
116,0.34,0.6679999999999999,0.008,0.748,10,3,0
117,0.31,0.652,0.012,0.748,10,3,0
118,0.4,0.628,0.012,0.752,10,3,0
119,0.4,0.584,0.012,0.76,10,3,0
120,0.37,0.556,0.044000000000000004,0.812,10,3,0
121,0.37,0.552,0.036000000000000004,0.8320000000000001,10,3,0
122,0.37,0.512,0.027999999999999997,0.812,10,3,0
123,0.37,0.496,0.048,0.836,10,3,0
124,0.4,0.504,0.1,0.856,10,3,0
125,0.37,0.46399999999999997,0.14,0.84,10,3,0
126,0.4,0.428,0.156,0.84,10,3,0
127,0.37,0.41200000000000003,0.16399999999999998,0.856,10,3,0
128,0.4,0.392,0.156,0.86,10,3,0
129,0.4,0.38799999999999996,0.16,0.856,10,3,0
130,0.37,0.38,0.184,0.856,10,3,0
131,0.4,0.384,0.20800000000000002,0.8440000000000001,10,3,0
132,0.37,0.376,0.23600000000000002,0.856,10,3,0
133,0.4,0.37200000000000005,0.26,0.856,10,3,0
134,0.37,0.35200000000000004,0.29600000000000004,0.836,10,3,0
135,0.4,0.348,0.344,0.828,10,3,0
136,0.37,0.36,0.35600000000000004,0.804,10,3,0
137,0.37,0.376,0.368,0.8079999999999999,10,3,0
138,0.37,0.32799999999999996,0.4,0.8079999999999999,10,3,0
139,0.37,0.292,0.436,0.804,10,3,0
140,0.37,0.312,0.46,0.828,10,3,0
141,0.37,0.348,0.44799999999999995,0.8320000000000001,10,3,0
142,0.37,0.368,0.43200000000000005,0.828,10,3,0
143,0.34,0.364,0.436,0.84,10,3,0
144,0.34,0.304,0.46399999999999997,0.828,10,3,0
145,0.34,0.26,0.488,0.836,10,3,0
146,0.34,0.23600000000000002,0.488,0.84,10,3,0
147,0.34,0.18,0.5,0.82,10,3,0
148,0.34,0.136,0.52,0.82,10,3,0
149,0.34,0.11199999999999999,0.528,0.804,10,3,0
150,0.34,0.10400000000000001,0.56,0.78,10,3,0
151,0.34,0.11199999999999999,0.584,0.76,10,3,0
152,0.34,0.1,0.6,0.748,10,3,0
153,0.34,0.076,0.6,0.76,10,3,0
154,0.34,0.055999999999999994,0.588,0.752,10,3,0
155,0.34,0.044000000000000004,0.588,0.772,10,3,0
156,0.34,0.044000000000000004,0.588,0.768,10,3,0
157,0.34,0.036000000000000004,0.588,0.772,10,3,0
158,0.34,0.04,0.584,0.768,10,3,0
159,0.37,0.048,0.58,0.76,10,3,0
160,0.34,0.048,0.5920000000000001,0.7440000000000001,10,3,0
161,0.37,0.044000000000000004,0.616,0.732,10,3,0
162,0.37,0.076,0.62,0.732,10,3,0
163,0.37,0.076,0.608,0.732,10,3,0
164,0.34,0.11199999999999999,0.604,0.7559999999999999,10,3,0
165,0.37,0.156,0.5760000000000001,0.768,10,3,0
166,0.37,0.184,0.544,0.7759999999999999,10,3,0
167,0.34,0.192,0.52,0.7879999999999999,10,3,0
168,0.34,0.192,0.488,0.8,10,3,0
169,0.34,0.184,0.46,0.812,10,3,0
170,0.34,0.192,0.47200000000000003,0.816,10,3,0
171,0.34,0.21600000000000003,0.47600000000000003,0.816,10,3,0
172,0.37,0.22,0.47200000000000003,0.82,10,3,0
173,0.34,0.20800000000000002,0.496,0.8320000000000001,10,3,0
174,0.34,0.23199999999999998,0.52,0.8320000000000001,10,3,0
175,0.37,0.21600000000000003,0.532,0.828,10,3,0
176,0.37,0.22,0.52,0.8320000000000001,10,3,0
177,0.37,0.23199999999999998,0.49200000000000005,0.828,10,3,0
178,0.37,0.23600000000000002,0.47200000000000003,0.8640000000000001,10,3,0
179,0.37,0.268,0.44,0.884,10,3,0
180,0.37,0.284,0.408,0.868,10,3,0
181,0.37,0.29600000000000004,0.392,0.856,10,3,0
182,0.37,0.312,0.364,0.8440000000000001,10,3,0
183,0.37,0.3,0.344,0.8440000000000001,10,3,0
184,0.37,0.312,0.316,0.8440000000000001,10,3,0
185,0.37,0.332,0.29600000000000004,0.868,10,3,0
186,0.37,0.332,0.284,0.872,10,3,0
187,0.37,0.364,0.264,0.872,10,3,0
188,0.37,0.376,0.264,0.852,10,3,0
189,0.37,0.36,0.26,0.84,10,3,0
190,0.37,0.368,0.284,0.8240000000000001,10,3,0
191,0.4,0.40399999999999997,0.29600000000000004,0.812,10,3,0
192,0.37,0.436,0.276,0.8240000000000001,10,3,0
193,0.37,0.44,0.256,0.8240000000000001,10,3,0
194,0.37,0.44799999999999995,0.23199999999999998,0.8240000000000001,10,3,0
195,0.4,0.46,0.22,0.8320000000000001,10,3,0
196,0.37,0.48,0.23600000000000002,0.8320000000000001,10,3,0
197,0.37,0.49200000000000005,0.24,0.8079999999999999,10,3,0
198,0.37,0.47200000000000003,0.244,0.8079999999999999,10,3,0
