,depth,x,y,z,behaviour,type,place
0,0.87,0.748,0.584,0.424,1,1,1
1,0.87,0.9079999999999999,0.488,0.35600000000000004,1,1,1
2,0.87,1.124,0.256,0.488,1,1,1
3,0.87,1.016,0.136,0.43200000000000005,1,1,1
4,0.87,0.872,0.016,0.424,1,1,1
5,0.87,0.8079999999999999,-0.188,0.444,1,1,1
6,0.87,0.7040000000000001,-0.196,0.496,1,1,1
7,0.87,0.92,-0.34,0.644,1,1,1
8,0.87,0.9440000000000001,-0.18,0.8440000000000001,1,1,1
9,0.87,0.376,0.2,0.912,1,1,1
10,0.87,0.28,0.408,1.168,1,1,1
11,0.87,0.38799999999999996,0.46,1.236,1,1,1
12,0.87,0.40399999999999997,0.636,1.068,1,1,1
13,0.87,0.316,0.672,0.7120000000000001,1,1,1
14,0.87,0.204,0.696,0.42,1,1,1
15,0.87,0.76,0.628,0.14400000000000002,1,1,1
16,0.87,0.9840000000000001,0.42,0.1,1,1,1
17,0.87,1.06,-0.22399999999999998,0.56,1,1,1
18,0.87,0.7759999999999999,-0.608,0.716,1,1,1
19,0.87,0.604,-0.708,0.52,1,1,1
20,0.87,0.672,-0.44799999999999995,0.7759999999999999,1,1,1
21,0.87,0.74,0.252,0.848,1,1,1
22,0.87,0.49200000000000005,0.204,0.988,1,1,1
23,0.87,0.324,0.436,0.96,1,1,1
24,0.87,0.32,0.632,1.08,1,1,1
25,0.87,0.2,0.684,1.068,1,1,1
26,0.84,0.16,0.688,0.836,1,1,1
27,0.87,0.42,0.6920000000000001,0.856,1,1,1
28,0.87,0.584,0.35200000000000004,0.616,1,1,1
29,0.87,0.616,-0.136,0.604,1,1,1
30,0.87,0.568,-0.32799999999999996,0.636,1,1,1
31,0.87,0.66,-0.436,0.608,1,1,1
32,0.87,0.652,-0.22399999999999998,0.688,1,1,1
33,0.87,0.636,0.024,0.7759999999999999,1,1,1
34,0.87,0.604,0.11599999999999999,0.932,1,1,1
35,0.87,0.5920000000000001,0.332,0.9840000000000001,1,1,1
36,0.87,0.488,0.35600000000000004,0.904,1,1,1
37,0.87,0.408,0.084,0.956,1,1,1
38,0.87,0.38799999999999996,-0.16399999999999998,0.9159999999999999,1,1,1
39,0.87,0.252,-0.256,1.036,1,1,1
40,0.87,0.276,-0.124,0.812,1,1,1
41,0.87,0.196,0.048,0.9159999999999999,1,1,1
42,0.87,0.12,0.11199999999999999,0.872,1,1,1
43,0.87,0.004,0.212,0.8,1,1,1
44,0.87,0.1,0.376,0.816,1,1,1
45,0.87,0.4,0.52,0.804,1,1,1
46,0.87,0.54,0.512,0.764,1,1,1
47,0.87,0.616,0.524,0.632,1,1,1
48,0.87,0.38,0.052000000000000005,0.888,1,1,1
49,0.87,-0.012,-0.172,0.9520000000000001,1,1,1
50,0.87,0.268,-0.36,0.856,1,1,1
51,0.87,0.528,-0.43200000000000005,0.828,1,1,1
52,0.87,0.608,-0.376,0.8079999999999999,1,1,1
53,0.87,0.496,-0.272,0.7759999999999999,1,1,1
54,0.87,0.452,-0.244,0.768,1,1,1
55,0.87,0.46799999999999997,-0.22,0.8,1,1,1
56,0.87,0.496,-0.14800000000000002,0.884,1,1,1
57,0.87,0.46799999999999997,0.024,1.2919999999999998,1,1,1
58,0.87,0.24,0.20800000000000002,1.1440000000000001,1,1,1
59,0.87,0.244,0.18,1.104,1,1,1
60,0.87,0.40399999999999997,0.44,0.948,1,1,1
61,0.87,0.264,0.3,0.868,1,1,1
62,0.87,0.128,0.41600000000000004,0.848,1,1,1
63,0.87,0.14400000000000002,0.47200000000000003,0.7879999999999999,1,1,1
64,0.87,0.22399999999999998,0.6,0.732,1,1,1
65,0.87,0.456,0.456,0.596,1,1,1
66,0.87,0.72,0.624,0.748,1,1,1
67,0.84,0.304,-0.004,0.86,1,1,1
68,0.87,-0.052000000000000005,-0.38799999999999996,0.932,1,1,1
69,0.84,0.14400000000000002,-0.504,0.9520000000000001,1,1,1
70,0.84,0.256,-0.38799999999999996,0.872,1,1,1
71,0.87,0.204,-0.28800000000000003,0.884,1,1,1
72,0.84,0.28800000000000003,-0.272,0.8320000000000001,1,1,1
73,0.87,0.42,-0.228,0.9520000000000001,1,1,1
74,0.87,0.532,-0.24,0.856,1,1,1
75,0.87,0.332,0.10400000000000001,0.78,1,1,1
76,0.87,0.204,0.396,0.892,1,1,1
77,0.87,0.276,0.588,0.82,1,1,1
78,0.84,0.348,0.56,0.948,1,1,1
79,0.87,0.26,0.5,0.94,1,1,1
80,0.84,0.18,0.452,0.856,1,1,1
81,0.84,0.22,0.44799999999999995,0.956,1,1,1
82,0.87,0.38799999999999996,0.35200000000000004,0.912,1,1,1
83,0.84,0.376,0.35200000000000004,0.904,1,1,1
84,0.87,0.252,0.16399999999999998,0.736,1,1,1
85,0.84,0.16399999999999998,-0.156,0.784,1,1,1
86,0.84,0.22399999999999998,-0.34,0.888,1,1,1
87,0.87,0.32,-0.35200000000000004,0.7879999999999999,1,1,1
88,0.84,0.34,-0.35200000000000004,0.792,1,1,1
89,0.87,0.42,-0.272,0.8240000000000001,1,1,1
90,0.84,0.408,-0.136,0.9520000000000001,1,1,1
91,0.84,0.23600000000000002,0.188,1.1440000000000001,1,1,1
92,0.87,0.304,0.124,1.228,1,1,1
93,0.87,0.23600000000000002,-0.08,1.072,1,1,1
94,0.87,0.168,-0.064,1.004,1,1,1
95,0.84,0.188,0.10400000000000001,0.904,1,1,1
96,0.87,0.24,0.35600000000000004,0.948,1,1,1
97,0.84,0.192,0.304,0.932,1,1,1
98,0.84,0.14400000000000002,0.284,0.792,1,1,1
99,0.84,0.252,0.14800000000000002,0.8959999999999999,1,1,1
100,0.84,0.336,0.11599999999999999,0.88,1,1,1
101,0.84,0.34,0.252,0.9159999999999999,1,1,1
102,0.87,0.376,0.22399999999999998,0.86,1,1,1
103,0.84,0.3,0.368,0.672,1,1,1
104,0.84,0.1,-0.07200000000000001,0.292,1,1,1
105,0.84,0.332,-0.88,0.2,1,1,1
106,0.84,0.732,-1.64,0.196,1,1,1
107,0.84,0.9,-1.3519999999999999,0.324,1,1,1
108,0.84,0.752,-0.664,0.424,1,1,1
109,0.84,0.132,-0.06,0.396,1,1,1
110,0.84,-0.47200000000000003,0.636,0.748,1,1,1
111,0.84,-0.6679999999999999,0.7879999999999999,0.98,1,1,1
112,0.84,-0.552,0.556,1.016,1,1,1
113,0.84,-0.29600000000000004,0.396,1.08,1,1,1
114,0.84,-0.172,0.068,0.9640000000000001,1,1,1
115,0.84,0.012,-0.14400000000000002,0.812,1,1,1
116,0.84,0.24,-0.268,0.624,1,1,1
117,0.84,0.3,-0.22399999999999998,0.6759999999999999,1,1,1
118,0.84,0.48,-0.48,0.564,1,1,1
119,0.84,0.52,-0.22,0.764,1,1,1
120,0.84,0.41200000000000003,-0.22,0.532,1,1,1
121,0.84,0.444,-0.07200000000000001,0.28800000000000003,1,1,1
122,0.87,0.264,0.58,0.856,1,1,1
123,0.87,0.7040000000000001,1.3359999999999999,1.18,1,1,1
124,0.87,0.23600000000000002,1.004,0.956,1,1,1
125,0.84,-0.032,0.46399999999999997,1.0,1,1,1
126,0.84,-0.332,0.38,0.88,1,1,1
127,0.84,-0.312,0.43200000000000005,0.86,1,1,1
128,0.84,-0.17600000000000002,0.49200000000000005,0.868,1,1,1
129,0.87,-0.036000000000000004,0.47600000000000003,1.296,1,1,1
130,0.84,-0.324,0.076,0.9,1,1,1
131,0.84,-0.2,0.024,1.064,1,1,1
132,0.84,0.132,-0.244,1.032,1,1,1
133,0.84,0.252,-0.2,0.9840000000000001,1,1,1
134,0.84,0.22,-0.332,0.748,1,1,1
135,0.84,0.228,-0.41200000000000003,0.6559999999999999,1,1,1
136,0.84,0.228,-0.34,0.74,1,1,1
137,0.84,0.312,-0.212,0.608,1,1,1
138,0.84,0.276,0.092,0.552,1,1,1
139,0.87,-0.12,0.8759999999999999,1.048,1,1,1
140,0.84,0.35600000000000004,1.328,0.8440000000000001,1,1,1
141,0.84,0.036000000000000004,1.244,0.56,1,1,1
142,0.84,-0.16,0.64,0.804,1,1,1
143,0.84,-0.228,0.40399999999999997,0.8759999999999999,1,1,1
144,0.84,-0.036000000000000004,0.34,1.524,1,1,1
145,0.81,-0.37200000000000005,0.20800000000000002,1.3,1,1,1
146,0.84,-0.068,-0.16,1.168,1,1,1
147,0.84,0.35200000000000004,-0.532,0.84,1,1,1
148,0.84,0.408,-0.47200000000000003,0.736,1,1,1
149,0.84,0.252,-0.348,0.648,1,1,1
150,0.84,0.10400000000000001,-0.28,0.5920000000000001,1,1,1
151,0.84,0.272,-0.04,0.496,1,1,1
152,0.84,-0.064,0.5720000000000001,0.94,1,1,1
153,0.84,-0.136,1.1440000000000001,1.516,1,1,1
154,0.84,-0.324,1.216,1.244,1,1,1
155,0.84,-0.23600000000000002,0.78,1.1159999999999999,1,1,1
156,0.84,-0.41200000000000003,0.636,1.024,1,1,1
157,0.84,-0.324,0.552,0.684,1,1,1
158,0.84,0.11199999999999999,0.688,1.172,1,1,1
159,0.84,0.04,0.35600000000000004,1.176,1,1,1
160,0.84,0.264,-0.584,0.66,1,1,1
161,0.84,0.54,-1.032,0.58,1,1,1
162,0.84,0.52,-0.568,0.49200000000000005,1,1,1
163,0.84,0.08800000000000001,-0.14400000000000002,0.552,1,1,1
164,0.84,0.212,-0.032,0.56,1,1,1
165,0.87,0.076,0.484,0.904,1,1,1
166,0.84,-0.252,0.956,1.456,1,1,1
167,0.84,-0.284,1.12,1.172,1,1,1
168,0.84,-0.172,0.696,1.176,1,1,1
169,0.84,-0.38799999999999996,0.552,1.088,1,1,1
170,0.84,-0.308,0.672,0.8320000000000001,1,1,1
171,0.84,-0.004,0.588,0.552,1,1,1
172,0.84,0.052000000000000005,0.4,1.16,1,1,1
173,0.84,0.048,-0.28800000000000003,0.564,1,1,1
174,0.84,0.40399999999999997,-1.1520000000000001,0.376,1,1,1
175,0.84,0.552,-0.74,0.396,1,1,1
176,0.84,0.29600000000000004,-0.3,0.47200000000000003,1,1,1
177,0.84,0.268,-0.08800000000000001,0.528,1,1,1
178,0.84,-0.244,0.3,0.976,1,1,1
179,0.84,-0.392,0.92,1.4240000000000002,1,1,1
180,0.84,-0.392,1.048,1.28,1,1,1
181,0.84,-0.284,0.856,1.1520000000000001,1,1,1
182,0.84,-0.408,0.584,1.168,1,1,1
183,0.84,-0.376,0.688,0.932,1,1,1
184,0.84,-0.11199999999999999,0.552,0.6559999999999999,1,1,1
185,0.84,0.196,0.168,0.804,1,1,1
186,0.84,0.21600000000000003,-0.528,0.46,1,1,1
187,0.84,0.392,-1.044,0.184,1,1,1
188,0.84,0.672,-0.772,0.21600000000000003,1,1,1
189,0.84,0.43200000000000005,-0.29600000000000004,0.344,1,1,1
190,0.84,0.384,0.0,0.44799999999999995,1,1,1
191,0.84,0.36,0.536,0.6,1,1,1
192,0.84,-0.204,0.968,1.3719999999999999,1,1,1
193,0.84,-0.436,1.204,1.276,1,1,1
194,0.84,-0.23199999999999998,0.728,1.036,1,1,1
195,0.84,-0.256,-0.23199999999999998,1.12,1,1,1
196,0.84,-0.344,-0.332,1.172,1,1,1
197,0.84,-0.196,0.08800000000000001,1.368,1,1,1
198,0.84,-0.048,0.272,1.228,1,1,1
199,0.84,0.10800000000000001,0.664,0.768,1,1,1
200,0.84,0.28,0.9,0.308,1,1,1
201,0.84,0.5479999999999999,0.35200000000000004,0.172,1,1,1
202,0.84,0.37200000000000005,0.124,-0.016,1,1,1
203,0.84,0.188,0.07200000000000001,0.016,1,1,1
204,0.84,0.368,0.124,0.008,1,1,1
205,0.84,0.708,-0.312,1.868,1,1,1
206,0.84,0.37200000000000005,-1.4,1.176,1,1,1
207,0.84,-0.248,-0.40399999999999997,1.272,1,1,1
208,0.84,-1.392,0.552,1.6440000000000001,1,1,1
209,0.84,-1.0,0.41600000000000004,1.972,1,1,1
210,0.84,-0.708,-0.168,1.7280000000000002,1,1,1
211,0.84,-0.316,-0.044000000000000004,1.1,1,1,1
212,0.84,-0.14800000000000002,0.252,0.7559999999999999,1,1,1
213,0.84,0.092,0.228,0.324,1,1,1
214,0.84,0.22,0.584,0.42,1,1,1
215,0.84,0.26,-0.024,0.364,1,1,1
216,0.84,0.716,-0.284,0.652,1,1,1
217,0.84,1.216,0.068,0.652,1,1,1
218,0.84,1.58,0.384,1.04,1,1,1
219,0.84,1.1079999999999999,0.7559999999999999,0.932,1,1,1
220,0.84,0.152,0.8440000000000001,0.816,1,1,1
221,0.84,-0.184,0.82,0.752,1,1,1
222,0.84,-0.16,0.504,0.852,1,1,1
223,0.84,-0.11599999999999999,0.136,0.904,1,1,1
224,0.84,-0.052000000000000005,-0.2,0.7559999999999999,1,1,1
225,0.84,-0.004,-0.392,0.688,1,1,1
226,0.84,0.16399999999999998,-0.616,0.516,1,1,1
227,0.84,0.47600000000000003,-0.632,0.41200000000000003,1,1,1
228,0.84,0.608,-0.46399999999999997,0.35200000000000004,1,1,1
229,0.84,0.44,0.58,1.224,1,1,1
230,0.84,0.027999999999999997,1.9280000000000002,1.472,1,1,1
231,0.84,0.08,2.044,1.068,1,1,1
232,0.84,-0.016,0.976,0.868,1,1,1
233,0.84,-0.292,0.436,1.088,1,1,1
234,0.84,-0.38,0.564,0.816,1,1,1
235,0.84,-0.168,0.768,0.584,1,1,1
236,0.84,0.10400000000000001,0.6559999999999999,1.444,1,1,1
237,0.81,-0.004,-0.184,0.9079999999999999,1,1,1
238,0.84,-0.032,-0.8959999999999999,0.384,1,1,1
239,0.81,0.332,-1.14,0.35600000000000004,1,1,1
240,0.84,0.44799999999999995,-0.624,0.3,1,1,1
241,0.84,0.14800000000000002,0.168,0.644,1,1,1
242,0.84,-0.456,1.0959999999999999,1.9240000000000002,1,1,1
243,0.84,-0.35600000000000004,1.5719999999999998,1.524,1,1,1
244,0.84,-0.248,0.7120000000000001,1.34,1,1,1
245,0.84,-0.496,0.46799999999999997,1.376,1,1,1
246,0.84,-0.26,0.46399999999999997,0.996,1,1,1
247,0.84,0.036000000000000004,0.516,0.6759999999999999,1,1,1
248,0.84,0.024,0.376,1.06,1,1,1
249,0.84,0.168,-0.424,0.536,1,1,1
250,0.84,0.428,-0.564,0.436,1,1,1
251,0.84,0.58,-0.204,0.7040000000000001,1,1,1
252,0.84,0.452,-0.204,0.636,1,1,1
253,0.84,0.084,-0.244,0.624,1,1,1
254,0.84,-0.344,-0.228,1.044,1,1,1
255,0.84,-0.38799999999999996,0.036000000000000004,1.416,1,1,1
256,0.84,-0.292,-0.012,1.5,1,1,1
257,0.84,-0.18,-0.044000000000000004,1.368,1,1,1
258,0.84,-0.424,0.092,1.328,1,1,1
259,0.84,-0.368,0.9,1.028,1,1,1
260,0.84,0.0,0.9520000000000001,0.8320000000000001,1,1,1
261,0.84,0.212,0.532,0.14,1,1,1
262,0.84,0.384,0.244,-0.10800000000000001,1,1,1
263,0.84,0.368,-0.027999999999999997,0.308,1,1,1
