,depth,x,y,z,behaviour,type,place
0,0.78,-0.168,0.708,0.856,10,3,0
1,0.81,-0.156,0.7240000000000001,0.804,10,3,0
2,0.78,-0.044000000000000004,0.632,0.78,10,3,0
3,0.81,0.016,0.6559999999999999,0.7959999999999999,10,3,0
4,0.78,0.128,0.764,0.7959999999999999,10,3,0
5,0.81,0.128,0.78,0.792,10,3,0
6,0.78,0.008,0.672,0.664,10,3,0
7,0.78,0.244,0.68,0.5479999999999999,10,3,0
8,0.78,0.368,0.644,0.46,10,3,0
9,0.78,0.508,0.66,0.42,10,3,0
10,0.78,0.484,0.66,0.40399999999999997,10,3,0
11,0.78,0.436,0.648,0.332,10,3,0
12,0.78,0.512,0.72,0.35200000000000004,10,3,0
13,0.81,0.532,0.856,0.46399999999999997,10,3,0
14,0.84,0.648,0.7759999999999999,0.46799999999999997,10,3,0
15,0.84,0.688,0.62,0.41600000000000004,10,3,0
16,0.84,0.772,0.6759999999999999,0.42,10,3,0
17,0.84,0.816,0.628,0.46799999999999997,10,3,0
18,0.84,0.8240000000000001,0.544,0.49200000000000005,10,3,0
19,0.84,0.792,0.484,0.504,10,3,0
20,0.84,0.8,0.424,0.488,10,3,0
21,0.87,0.768,0.40399999999999997,0.512,10,3,0
22,0.84,0.732,0.38799999999999996,0.544,10,3,0
23,0.84,0.74,0.36,0.5479999999999999,10,3,0
24,0.84,0.728,0.3,0.516,10,3,0
25,0.84,0.7440000000000001,0.23600000000000002,0.524,10,3,0
26,0.84,0.78,0.196,0.524,10,3,0
27,0.87,0.804,0.14,0.5479999999999999,10,3,0
28,0.84,0.8079999999999999,0.128,0.564,10,3,0
29,0.84,0.784,0.096,0.532,10,3,0
30,0.84,0.78,0.055999999999999994,0.524,10,3,0
31,0.84,0.78,0.027999999999999997,0.568,10,3,0
32,0.84,0.76,-0.004,0.568,10,3,0
33,0.87,0.72,-0.04,0.6,10,3,0
34,0.87,0.752,-0.076,0.632,10,3,0
35,0.87,0.7559999999999999,-0.092,0.652,10,3,0
36,0.87,0.7440000000000001,-0.12,0.64,10,3,0
37,0.87,0.728,-0.12,0.636,10,3,0
38,0.87,0.7120000000000001,-0.136,0.644,10,3,0
39,0.87,0.7040000000000001,-0.17600000000000002,0.664,10,3,0
40,0.87,0.696,-0.23600000000000002,0.672,10,3,0
41,0.87,0.7120000000000001,-0.268,0.66,10,3,0
42,0.87,0.7040000000000001,-0.292,0.652,10,3,0
43,0.87,0.664,-0.32799999999999996,0.652,10,3,0
44,0.87,0.68,-0.308,0.644,10,3,0
45,0.87,0.6920000000000001,-0.28800000000000003,0.64,10,3,0
46,0.87,0.7120000000000001,-0.284,0.68,10,3,0
47,0.87,0.684,-0.28800000000000003,0.7,10,3,0
48,0.87,0.684,-0.268,0.7040000000000001,10,3,0
49,0.87,0.672,-0.252,0.708,10,3,0
50,0.87,0.672,-0.264,0.688,10,3,0
51,0.87,0.644,-0.26,0.6679999999999999,10,3,0
52,0.87,0.6679999999999999,-0.26,0.6559999999999999,10,3,0
53,0.87,0.672,-0.28800000000000003,0.66,10,3,0
54,0.87,0.672,-0.308,0.664,10,3,0
55,0.87,0.672,-0.3,0.66,10,3,0
56,0.87,0.6679999999999999,-0.29600000000000004,0.6559999999999999,10,3,0
57,0.87,0.66,-0.28,0.66,10,3,0
58,0.87,0.6559999999999999,-0.284,0.652,10,3,0
59,0.87,0.652,-0.28800000000000003,0.632,10,3,0
60,0.87,0.664,-0.268,0.624,10,3,0
61,0.87,0.664,-0.28,0.64,10,3,0
62,0.87,0.6679999999999999,-0.3,0.636,10,3,0
63,0.87,0.6759999999999999,-0.29600000000000004,0.648,10,3,0
64,0.87,0.672,-0.324,0.632,10,3,0
65,0.87,0.672,-0.36,0.596,10,3,0
66,0.87,0.684,-0.332,0.568,10,3,0
67,0.87,0.7120000000000001,-0.32799999999999996,0.568,10,3,0
68,0.87,0.752,-0.28,0.5479999999999999,10,3,0
69,0.87,0.768,-0.22399999999999998,0.5720000000000001,10,3,0
70,0.87,0.736,-0.188,0.5760000000000001,10,3,0
71,0.87,0.732,-0.192,0.5760000000000001,10,3,0
72,0.87,0.736,-0.196,0.604,10,3,0
73,0.87,0.7440000000000001,-0.2,0.608,10,3,0
74,0.87,0.736,-0.184,0.5920000000000001,10,3,0
75,0.87,0.732,-0.192,0.608,10,3,0
76,0.87,0.7240000000000001,-0.204,0.612,10,3,0
77,0.9,0.764,-0.22,0.632,10,3,0
78,0.9,0.772,-0.276,0.6759999999999999,10,3,0
79,0.9,0.76,-0.292,0.672,10,3,0
80,0.87,0.78,-0.316,0.652,10,3,0
81,0.87,0.82,-0.332,0.648,10,3,0
82,0.9,0.804,-0.332,0.636,10,3,0
83,0.87,0.732,-0.35600000000000004,0.596,10,3,0
84,0.87,0.6759999999999999,-0.4,0.612,10,3,0
85,0.87,0.636,-0.42,0.624,10,3,0
86,0.87,0.588,-0.46,0.68,10,3,0
87,0.87,0.528,-0.488,0.664,10,3,0
88,0.87,0.512,-0.49200000000000005,0.7440000000000001,10,3,0
89,0.87,0.49200000000000005,-0.508,0.688,10,3,0
90,0.87,0.44799999999999995,-0.49200000000000005,0.632,10,3,0
91,0.84,0.456,-0.46,0.6559999999999999,10,3,0
92,0.84,0.40399999999999997,-0.456,0.6679999999999999,10,3,0
93,0.84,0.384,-0.444,0.7120000000000001,10,3,0
94,0.84,0.308,-0.424,0.7040000000000001,10,3,0
95,0.84,0.272,-0.456,0.716,10,3,0
96,0.81,0.264,-0.532,0.6920000000000001,10,3,0
97,0.81,0.20800000000000002,-0.568,0.684,10,3,0
98,0.81,0.188,-0.512,0.696,10,3,0
99,0.81,0.21600000000000003,-0.488,0.7240000000000001,10,3,0
100,0.81,0.212,-0.484,0.708,10,3,0
101,0.81,0.22,-0.544,0.7,10,3,0
102,0.81,0.21600000000000003,-0.616,0.688,10,3,0
103,0.81,0.204,-0.664,0.648,10,3,0
104,0.81,0.22,-0.708,0.632,10,3,0
105,0.81,0.2,-0.7120000000000001,0.616,10,3,0
106,0.81,0.21600000000000003,-0.7040000000000001,0.6,10,3,0
107,0.81,0.26,-0.72,0.6,10,3,0
108,0.81,0.256,-0.696,0.608,10,3,0
109,0.81,0.28800000000000003,-0.6759999999999999,0.588,10,3,0
110,0.81,0.284,-0.708,0.584,10,3,0
111,0.81,0.276,-0.7559999999999999,0.58,10,3,0
112,0.81,0.248,-0.7879999999999999,0.5479999999999999,10,3,0
113,0.81,0.248,-0.804,0.556,10,3,0
114,0.81,0.264,-0.764,0.5720000000000001,10,3,0
115,0.81,0.256,-0.7120000000000001,0.604,10,3,0
116,0.81,0.252,-0.7,0.628,10,3,0
117,0.81,0.264,-0.66,0.66,10,3,0
118,0.81,0.28,-0.62,0.684,10,3,0
119,0.81,0.268,-0.588,0.708,10,3,0
120,0.81,0.268,-0.5720000000000001,0.7240000000000001,10,3,0
121,0.81,0.276,-0.56,0.732,10,3,0
122,0.81,0.28800000000000003,-0.54,0.7440000000000001,10,3,0
123,0.81,0.26,-0.536,0.752,10,3,0
124,0.81,0.252,-0.532,0.7759999999999999,10,3,0
125,0.81,0.248,-0.524,0.768,10,3,0
126,0.81,0.244,-0.48,0.784,10,3,0
127,0.81,0.23600000000000002,-0.516,0.7879999999999999,10,3,0
128,0.81,0.2,-0.552,0.804,10,3,0
129,0.81,0.23600000000000002,-0.5720000000000001,0.8079999999999999,10,3,0
130,0.81,0.28800000000000003,-0.5479999999999999,0.8079999999999999,10,3,0
131,0.78,0.248,-0.596,0.8320000000000001,10,3,0
132,0.81,0.28800000000000003,-0.6,0.7440000000000001,10,3,0
133,0.81,0.264,-0.52,0.736,10,3,0
134,0.81,0.23199999999999998,-0.488,0.76,10,3,0
135,0.78,0.244,-0.496,0.78,10,3,0
136,0.78,0.268,-0.46399999999999997,0.728,10,3,0
137,0.78,0.23199999999999998,-0.456,0.7040000000000001,10,3,0
138,0.78,0.18,-0.47600000000000003,0.696,10,3,0
139,0.78,0.14,-0.508,0.696,10,3,0
140,0.78,0.128,-0.5920000000000001,0.768,10,3,0
141,0.78,0.132,-0.636,0.78,10,3,0
142,0.78,0.11199999999999999,-0.632,0.804,10,3,0
143,0.78,0.16399999999999998,-0.66,0.792,10,3,0
144,0.78,0.18,-0.588,0.7440000000000001,10,3,0
145,0.78,0.16399999999999998,-0.49200000000000005,0.78,10,3,0
146,0.78,0.128,-0.42,0.8240000000000001,10,3,0
147,0.78,0.128,-0.34,0.8759999999999999,10,3,0
148,0.78,0.11199999999999999,-0.28,0.892,10,3,0
149,0.78,0.084,-0.22,0.9079999999999999,10,3,0
150,0.78,0.084,-0.2,0.9440000000000001,10,3,0
151,0.78,0.064,-0.172,1.008,10,3,0
152,0.78,0.02,-0.152,0.9840000000000001,10,3,0
153,0.78,0.048,-0.156,0.98,10,3,0
154,0.78,0.04,-0.156,0.956,10,3,0
155,0.78,-0.027999999999999997,-0.152,0.972,10,3,0
156,0.78,-0.008,-0.188,0.9840000000000001,10,3,0
157,0.78,0.004,-0.2,0.98,10,3,0
158,0.78,-0.008,-0.192,0.992,10,3,0
159,0.78,-0.052000000000000005,-0.23199999999999998,0.9840000000000001,10,3,0
160,0.81,0.02,-0.26,0.988,10,3,0
161,0.78,-0.004,-0.32,0.9159999999999999,10,3,0
162,0.78,-0.02,-0.3,0.868,10,3,0
163,0.78,0.0,-0.28800000000000003,0.912,10,3,0
164,0.78,0.04,-0.292,0.892,10,3,0
165,0.78,0.032,-0.192,0.9440000000000001,10,3,0
166,0.78,0.027999999999999997,-0.204,1.02,10,3,0
167,0.78,0.036000000000000004,-0.22,1.02,10,3,0
168,0.78,0.044000000000000004,-0.21600000000000003,0.9359999999999999,10,3,0
169,0.78,-0.02,-0.256,0.924,10,3,0
170,0.78,0.07200000000000001,-0.28,0.9640000000000001,10,3,0
171,0.78,0.14400000000000002,-0.292,0.968,10,3,0
172,0.78,0.21600000000000003,-0.172,0.972,10,3,0
173,0.78,0.244,-0.092,0.98,10,3,0
174,0.78,0.256,-0.02,1.024,10,3,0
175,0.78,0.24,0.052000000000000005,1.02,10,3,0
176,0.78,0.23600000000000002,0.14400000000000002,0.992,10,3,0
177,0.78,0.228,0.128,0.976,10,3,0
178,0.78,0.28,0.136,0.956,10,3,0
179,0.75,0.228,0.136,0.8640000000000001,10,3,0
180,0.78,0.22,0.068,0.8440000000000001,10,3,0
181,0.78,0.168,0.027999999999999997,0.8759999999999999,10,3,0
182,0.75,0.1,-0.008,0.872,10,3,0
183,0.78,0.172,-0.004,0.904,10,3,0
184,0.75,0.16399999999999998,0.036000000000000004,0.9,10,3,0
185,0.75,0.2,0.124,0.9,10,3,0
186,0.75,0.18,0.192,0.96,10,3,0
187,0.75,0.184,0.21600000000000003,0.9840000000000001,10,3,0
188,0.75,0.21600000000000003,0.20800000000000002,1.004,10,3,0
189,0.75,0.172,0.22,1.012,10,3,0
190,0.75,0.22,0.196,1.016,10,3,0
191,0.75,0.26,0.14400000000000002,0.9,10,3,0
192,0.78,0.26,0.07200000000000001,0.904,10,3,0
193,0.78,0.368,0.008,0.8640000000000001,10,3,0
194,0.78,0.41600000000000004,0.012,0.9159999999999999,10,3,0
195,0.78,0.49200000000000005,-0.012,0.856,10,3,0
196,0.78,0.496,-0.048,0.856,10,3,0
197,0.81,0.524,-0.11199999999999999,0.924,10,3,0
198,0.81,0.49200000000000005,-0.16399999999999998,0.8759999999999999,10,3,0
199,0.81,0.552,-0.22,0.8320000000000001,10,3,0
200,0.81,0.62,-0.196,0.852,10,3,0
201,0.81,0.612,-0.22399999999999998,0.752,10,3,0
202,0.78,0.612,-0.23600000000000002,0.7440000000000001,10,3,0
203,0.81,0.64,-0.292,0.74,10,3,0
204,0.81,0.648,-0.284,0.764,10,3,0
205,0.81,0.616,-0.264,0.76,10,3,0
206,0.81,0.612,-0.248,0.76,10,3,0
207,0.81,0.612,-0.252,0.736,10,3,0
208,0.81,0.616,-0.24,0.74,10,3,0
209,0.81,0.608,-0.244,0.748,10,3,0
210,0.81,0.608,-0.23199999999999998,0.736,10,3,0
211,0.81,0.616,-0.212,0.7440000000000001,10,3,0
212,0.81,0.596,-0.22399999999999998,0.7440000000000001,10,3,0
213,0.81,0.588,-0.23600000000000002,0.7440000000000001,10,3,0
214,0.81,0.5720000000000001,-0.22399999999999998,0.736,10,3,0
215,0.81,0.544,-0.22399999999999998,0.752,10,3,0
216,0.81,0.5479999999999999,-0.188,0.7759999999999999,10,3,0
217,0.81,0.54,-0.188,0.764,10,3,0
218,0.81,0.544,-0.172,0.792,10,3,0
219,0.81,0.532,-0.136,0.764,10,3,0
220,0.81,0.504,-0.10800000000000001,0.82,10,3,0
221,0.81,0.488,-0.10400000000000001,0.852,10,3,0
222,0.81,0.48,-0.096,0.8440000000000001,10,3,0
223,0.84,0.48,-0.08,0.84,10,3,0
224,0.84,0.44799999999999995,-0.084,0.836,10,3,0
225,0.84,0.46799999999999997,-0.08800000000000001,0.828,10,3,0
226,0.84,0.49200000000000005,-0.08800000000000001,0.836,10,3,0
227,0.84,0.48,-0.068,0.8320000000000001,10,3,0
228,0.84,0.508,-0.048,0.84,10,3,0
229,0.84,0.484,-0.064,0.86,10,3,0
230,0.84,0.5,-0.076,0.7879999999999999,10,3,0
231,0.84,0.5479999999999999,-0.06,0.828,10,3,0
232,0.84,0.544,-0.064,0.86,10,3,0
233,0.84,0.552,-0.06,0.852,10,3,0
234,0.84,0.54,-0.064,0.84,10,3,0
235,0.87,0.508,-0.08800000000000001,0.836,10,3,0
236,0.84,0.552,-0.096,0.8,10,3,0
237,0.87,0.568,-0.11599999999999999,0.7759999999999999,10,3,0
238,0.87,0.6,-0.084,0.792,10,3,0
239,0.87,0.64,-0.04,0.804,10,3,0
240,0.87,0.584,-0.024,0.828,10,3,0
241,0.87,0.556,-0.032,0.8320000000000001,10,3,0
242,0.87,0.6,-0.055999999999999994,0.784,10,3,0
243,0.87,0.6,-0.08,0.732,10,3,0
244,0.87,0.596,-0.076,0.7120000000000001,10,3,0
245,0.87,0.556,-0.136,0.732,10,3,0
246,0.87,0.56,-0.14800000000000002,0.7240000000000001,10,3,0
247,0.87,0.6559999999999999,-0.132,0.684,10,3,0
248,0.87,0.684,-0.07200000000000001,0.72,10,3,0
249,0.87,0.748,0.0,0.716,10,3,0
250,0.87,0.7559999999999999,0.055999999999999994,0.7120000000000001,10,3,0
251,0.87,0.74,0.092,0.7,10,3,0
252,0.87,0.6920000000000001,0.11199999999999999,0.7120000000000001,10,3,0
253,0.87,0.672,0.128,0.728,10,3,0
254,0.87,0.7,0.128,0.6920000000000001,10,3,0
255,0.87,0.728,0.132,0.7,10,3,0
256,0.9,0.7040000000000001,0.124,0.7040000000000001,10,3,0
257,0.87,0.728,0.156,0.688,10,3,0
258,0.9,0.752,0.16399999999999998,0.6679999999999999,10,3,0
259,0.9,0.748,0.152,0.636,10,3,0
260,0.9,0.76,0.14,0.62,10,3,0
261,0.9,0.7559999999999999,0.132,0.612,10,3,0
262,0.9,0.764,0.14800000000000002,0.604,10,3,0
263,0.9,0.78,0.14800000000000002,0.596,10,3,0
264,0.9,0.8,0.152,0.5920000000000001,10,3,0
265,0.9,0.784,0.14,0.5760000000000001,10,3,0
266,0.9,0.784,0.152,0.5720000000000001,10,3,0
267,0.9,0.7959999999999999,0.136,0.556,10,3,0
268,0.9,0.8,0.14400000000000002,0.552,10,3,0
269,0.9,0.816,0.14800000000000002,0.552,10,3,0
270,0.9,0.812,0.136,0.544,10,3,0
271,0.9,0.84,0.10400000000000001,0.496,10,3,0
272,0.9,0.8640000000000001,0.196,0.532,10,3,0
273,0.93,0.82,0.168,0.5479999999999999,10,3,0
274,0.93,0.8440000000000001,0.132,0.568,10,3,0
275,0.9,0.904,0.06,0.528,10,3,0
276,0.9,0.8640000000000001,0.036000000000000004,0.44,10,3,0
277,0.9,0.88,0.14400000000000002,0.424,10,3,0
278,0.9,0.88,0.184,0.444,10,3,0
279,0.9,0.892,0.18,0.456,10,3,0
280,0.93,0.9079999999999999,0.16399999999999998,0.52,10,3,0
281,0.93,0.868,0.128,0.5,10,3,0
282,0.9,0.82,0.1,0.424,10,3,0
283,0.93,0.828,0.16,0.38799999999999996,10,3,0
284,0.9,0.852,0.14800000000000002,0.424,10,3,0
285,0.93,0.856,0.12,0.428,10,3,0
286,0.93,0.884,0.132,0.424,10,3,0
287,0.93,0.9079999999999999,0.152,0.44,10,3,0
288,0.93,0.892,0.17600000000000002,0.428,10,3,0
289,0.93,0.872,0.192,0.43200000000000005,10,3,0
290,0.9,0.872,0.188,0.44799999999999995,10,3,0
291,0.93,0.8640000000000001,0.17600000000000002,0.444,10,3,0
292,0.93,0.8440000000000001,0.17600000000000002,0.44,10,3,0
293,0.93,0.856,0.17600000000000002,0.452,10,3,0
294,0.93,0.848,0.16399999999999998,0.44799999999999995,10,3,0
295,0.93,0.84,0.16399999999999998,0.452,10,3,0
296,0.93,0.84,0.18,0.452,10,3,0
297,0.93,0.848,0.188,0.456,10,3,0
298,0.93,0.86,0.192,0.44799999999999995,10,3,0
299,0.96,0.868,0.188,0.44,10,3,0
300,0.93,0.872,0.18,0.44799999999999995,10,3,0
