,depth,x,y,z,behaviour,type,place
0,0.75,0.752,0.10800000000000001,0.584,12,3,1
1,0.75,0.76,0.11599999999999999,0.604,12,3,1
2,0.75,0.764,0.092,0.608,12,3,1
3,0.71,0.752,0.10400000000000001,0.596,12,3,1
4,0.75,0.74,0.096,0.596,12,3,1
5,0.75,0.74,0.092,0.608,12,3,1
6,0.75,0.74,0.08800000000000001,0.62,12,3,1
7,0.75,0.752,0.084,0.62,12,3,1
8,0.75,0.76,0.08,0.608,12,3,1
9,0.75,0.76,0.076,0.608,12,3,1
10,0.75,0.76,0.076,0.624,12,3,1
11,0.75,0.772,0.07200000000000001,0.624,12,3,1
12,0.75,0.7879999999999999,0.07200000000000001,0.612,12,3,1
13,0.75,0.784,0.07200000000000001,0.608,12,3,1
14,0.75,0.784,0.076,0.584,12,3,1
15,0.75,0.7959999999999999,0.084,0.584,12,3,1
16,0.75,0.7959999999999999,0.10800000000000001,0.584,12,3,1
17,0.75,0.792,0.11599999999999999,0.5760000000000001,12,3,1
18,0.75,0.78,0.14400000000000002,0.564,12,3,1
19,0.75,0.784,0.14400000000000002,0.5760000000000001,12,3,1
20,0.75,0.7879999999999999,0.128,0.604,12,3,1
21,0.75,0.7879999999999999,0.128,0.596,12,3,1
22,0.75,0.784,0.14400000000000002,0.588,12,3,1
23,0.75,0.772,0.156,0.5760000000000001,12,3,1
24,0.75,0.768,0.17600000000000002,0.5720000000000001,12,3,1
25,0.75,0.764,0.18,0.584,12,3,1
26,0.75,0.76,0.172,0.5920000000000001,12,3,1
27,0.75,0.7559999999999999,0.168,0.588,12,3,1
28,0.75,0.76,0.152,0.584,12,3,1
29,0.75,0.764,0.14,0.596,12,3,1
30,0.75,0.764,0.128,0.588,12,3,1
31,0.75,0.7559999999999999,0.124,0.58,12,3,1
32,0.75,0.764,0.124,0.552,12,3,1
33,0.75,0.8,0.12,0.56,12,3,1
34,0.75,0.8240000000000001,0.128,0.56,12,3,1
35,0.75,0.836,0.11199999999999999,0.54,12,3,1
36,0.75,0.8320000000000001,0.096,0.52,12,3,1
37,0.75,0.8320000000000001,0.07200000000000001,0.512,12,3,1
38,0.75,0.836,0.06,0.504,12,3,1
39,0.75,0.836,0.064,0.504,12,3,1
40,0.75,0.8440000000000001,0.055999999999999994,0.524,12,3,1
41,0.75,0.86,0.08,0.504,12,3,1
42,0.75,0.86,0.076,0.512,12,3,1
43,0.75,0.86,0.076,0.512,12,3,1
44,0.75,0.86,0.064,0.504,12,3,1
45,0.75,0.8640000000000001,0.068,0.5,12,3,1
46,0.75,0.868,0.052000000000000005,0.504,12,3,1
47,0.75,0.872,0.052000000000000005,0.488,12,3,1
48,0.75,0.872,0.044000000000000004,0.48,12,3,1
49,0.75,0.8759999999999999,0.055999999999999994,0.484,12,3,1
50,0.75,0.8759999999999999,0.055999999999999994,0.47200000000000003,12,3,1
51,0.75,0.8759999999999999,0.055999999999999994,0.46799999999999997,12,3,1
52,0.75,0.884,0.06,0.47600000000000003,12,3,1
53,0.75,0.88,0.06,0.484,12,3,1
54,0.75,0.88,0.055999999999999994,0.484,12,3,1
55,0.75,0.884,0.06,0.47200000000000003,12,3,1
56,0.75,0.872,0.06,0.48,12,3,1
57,0.75,0.872,0.06,0.48,12,3,1
58,0.75,0.86,0.06,0.49200000000000005,12,3,1
59,0.75,0.8640000000000001,0.068,0.49200000000000005,12,3,1
60,0.75,0.8640000000000001,0.064,0.488,12,3,1
61,0.75,0.856,0.044000000000000004,0.484,12,3,1
62,0.75,0.856,0.044000000000000004,0.49200000000000005,12,3,1
63,0.75,0.856,0.052000000000000005,0.504,12,3,1
64,0.75,0.848,0.064,0.512,12,3,1
65,0.75,0.848,0.055999999999999994,0.5,12,3,1
66,0.75,0.856,0.06,0.508,12,3,1
67,0.75,0.8440000000000001,0.048,0.524,12,3,1
68,0.75,0.8440000000000001,0.036000000000000004,0.524,12,3,1
69,0.71,0.86,0.04,0.512,0,0,1
70,0.75,0.8440000000000001,0.044000000000000004,0.49200000000000005,0,0,1
71,0.75,0.8440000000000001,0.055999999999999994,0.508,0,0,1
72,0.71,0.8759999999999999,0.048,0.47200000000000003,0,0,1
73,0.71,0.8320000000000001,0.156,0.628,0,0,1
74,0.71,0.6920000000000001,0.396,0.516,0,0,1
75,0.71,1.092,0.52,0.152,0,0,1
76,0.75,1.032,-0.28,0.38,0,0,1
77,0.75,0.48,-0.284,0.43200000000000005,0,0,1
78,0.75,0.248,-0.084,0.5720000000000001,0,0,1
79,0.71,0.07200000000000001,0.152,0.7440000000000001,0,0,1
80,0.71,0.14400000000000002,0.08,0.784,0,0,1
81,0.75,0.344,0.055999999999999994,0.768,0,0,1
82,0.75,0.52,0.036000000000000004,0.8079999999999999,0,0,1
83,0.75,0.428,0.14,0.92,0,0,1
84,0.75,0.032,0.1,1.0,0,0,1
85,0.71,0.43200000000000005,0.064,0.98,0,0,1
86,0.71,0.736,0.064,0.6920000000000001,0,0,1
87,0.71,0.9640000000000001,0.048,0.5479999999999999,0,0,1
88,0.71,0.94,-0.152,0.708,0,0,1
89,0.75,0.78,-0.10800000000000001,0.696,0,0,1
