,depth,x,y,z,behaviour,type,place
0,0.62,0.9,0.14400000000000002,0.368,12,3,1
1,0.62,0.9,0.136,0.36,12,3,1
2,0.62,0.904,0.14,0.364,12,3,1
3,0.62,0.8959999999999999,0.14800000000000002,0.364,12,3,1
4,0.62,0.884,0.14400000000000002,0.364,12,3,1
5,0.62,0.884,0.14800000000000002,0.37200000000000005,12,3,1
6,0.62,0.892,0.156,0.376,12,3,1
7,0.65,0.888,0.152,0.35600000000000004,12,3,1
8,0.62,0.904,0.152,0.35600000000000004,12,3,1
9,0.65,0.9159999999999999,0.14,0.368,12,3,1
10,0.65,0.9079999999999999,0.14400000000000002,0.368,12,3,1
11,0.62,0.9,0.14800000000000002,0.368,12,3,1
12,0.62,0.912,0.156,0.376,12,3,1
13,0.62,0.9159999999999999,0.14400000000000002,0.38,12,3,1
14,0.62,0.9159999999999999,0.14800000000000002,0.368,12,3,1
15,0.62,0.9159999999999999,0.16,0.37200000000000005,12,3,1
16,0.62,0.932,0.168,0.42,12,3,1
17,0.65,0.9279999999999999,0.204,0.348,12,3,1
18,0.65,0.9359999999999999,0.23600000000000002,0.344,12,3,1
19,0.62,0.852,0.16399999999999998,0.35600000000000004,12,3,1
20,0.62,0.792,0.128,0.376,12,3,1
21,0.62,0.8079999999999999,0.11199999999999999,0.376,12,3,1
22,0.62,0.892,0.124,0.384,12,3,1
23,0.62,0.96,0.124,0.396,12,3,1
24,0.62,0.96,0.128,0.396,12,3,1
25,0.62,0.9279999999999999,0.132,0.36,12,3,1
26,0.62,0.9279999999999999,0.152,0.35600000000000004,12,3,1
27,0.62,0.9159999999999999,0.152,0.324,12,3,1
28,0.62,0.888,0.12,0.3,12,3,1
29,0.62,0.9079999999999999,0.172,0.292,12,3,1
30,0.62,0.9359999999999999,0.21600000000000003,0.3,12,3,1
31,0.62,0.9159999999999999,0.23199999999999998,0.332,12,3,1
32,0.65,0.9159999999999999,0.23600000000000002,0.364,12,3,1
33,0.62,0.9159999999999999,0.23600000000000002,0.37200000000000005,12,3,1
34,0.62,0.912,0.228,0.376,12,3,1
35,0.65,0.9079999999999999,0.23199999999999998,0.36,12,3,1
36,0.62,0.9079999999999999,0.228,0.332,12,3,1
37,0.65,0.912,0.22,0.34,12,3,1
38,0.62,0.904,0.20800000000000002,0.332,12,3,1
39,0.62,0.9,0.2,0.35200000000000004,12,3,1
40,0.62,0.904,0.2,0.348,12,3,1
41,0.62,0.9079999999999999,0.204,0.34,12,3,1
42,0.65,0.9159999999999999,0.192,0.348,12,3,1
43,0.65,0.9159999999999999,0.184,0.336,12,3,1
44,0.65,0.912,0.196,0.336,12,3,1
45,0.62,0.912,0.188,0.336,12,3,1
46,0.62,0.924,0.184,0.332,12,3,1
47,0.62,0.924,0.16399999999999998,0.34,12,3,1
48,0.62,0.924,0.168,0.344,12,3,1
49,0.62,0.9079999999999999,0.172,0.34,12,3,1
50,0.65,0.8959999999999999,0.18,0.336,12,3,1
51,0.65,0.9,0.196,0.34,12,3,1
52,0.62,0.9279999999999999,0.192,0.332,12,3,1
53,0.62,0.912,0.184,0.34,12,3,1
54,0.62,0.9079999999999999,0.20800000000000002,0.35200000000000004,12,3,1
55,0.62,0.912,0.21600000000000003,0.344,12,3,1
56,0.65,0.9,0.22399999999999998,0.348,12,3,1
57,0.62,0.892,0.22,0.35200000000000004,12,3,1
58,0.62,0.884,0.22,0.35600000000000004,12,3,1
59,0.62,0.888,0.20800000000000002,0.364,12,3,1
60,0.62,0.88,0.2,0.368,12,3,1
61,0.65,0.884,0.204,0.376,12,3,1
62,0.62,0.8959999999999999,0.204,0.37200000000000005,12,3,1
63,0.62,0.892,0.212,0.376,12,3,1
64,0.62,0.8959999999999999,0.21600000000000003,0.376,12,3,1
65,0.65,0.892,0.20800000000000002,0.37200000000000005,12,3,1
66,0.62,0.888,0.212,0.384,12,3,1
67,0.62,0.888,0.212,0.37200000000000005,12,3,1
68,0.65,0.9,0.21600000000000003,0.376,12,3,1
69,0.62,0.8959999999999999,0.204,0.364,12,3,1
70,0.62,0.884,0.21600000000000003,0.368,12,3,1
71,0.62,0.9,0.20800000000000002,0.368,12,3,1
72,0.62,0.884,0.204,0.364,12,3,1
73,0.62,0.8759999999999999,0.22,0.37200000000000005,12,3,1
74,0.62,0.888,0.22399999999999998,0.368,12,3,1
75,0.62,0.8959999999999999,0.212,0.364,12,3,1
76,0.62,0.888,0.22,0.38,12,3,1
77,0.65,0.888,0.22,0.38,12,3,1
78,0.65,0.88,0.23600000000000002,0.37200000000000005,12,3,1
79,0.62,0.884,0.21600000000000003,0.376,12,3,1
80,0.62,0.8759999999999999,0.204,0.376,12,3,1
81,0.62,0.88,0.212,0.36,12,3,1
82,0.65,0.8759999999999999,0.21600000000000003,0.368,12,3,1
83,0.62,0.8759999999999999,0.204,0.38,12,3,1
84,0.62,0.884,0.21600000000000003,0.38,12,3,1
85,0.62,0.892,0.22,0.38,12,3,1
86,0.65,0.884,0.23199999999999998,0.38,12,3,1
87,0.62,0.88,0.228,0.384,12,3,1
