,depth,x,y,z,behaviour,type,place
0,2.37,0.132,-0.204,0.9520000000000001,1,1,1
1,2.37,0.156,0.08,0.888,1,1,1
2,2.37,0.42,0.196,0.848,1,1,1
3,2.37,0.408,0.26,0.836,1,1,1
4,2.37,0.312,0.41200000000000003,0.8079999999999999,1,1,1
5,2.37,0.38799999999999996,0.52,0.852,1,1,1
6,2.37,0.52,0.488,0.728,1,1,1
7,2.37,0.736,0.38,0.6,1,1,1
8,2.37,0.5920000000000001,0.40399999999999997,0.96,1,1,1
9,2.37,0.524,-0.08,0.648,1,1,1
10,2.34,0.512,-0.2,0.856,1,1,1
11,2.37,0.524,-0.52,0.64,1,1,1
12,2.37,0.612,-0.532,0.6559999999999999,1,1,1
13,2.37,0.632,-0.46799999999999997,0.8440000000000001,1,1,1
14,2.37,0.49200000000000005,-0.34,0.92,1,1,1
15,2.37,0.47200000000000003,-0.24,0.736,1,1,1
16,2.37,0.508,-0.316,0.6679999999999999,1,1,1
17,2.37,0.5720000000000001,-0.348,0.648,1,1,1
18,2.37,0.5920000000000001,-0.34,0.5920000000000001,1,1,1
19,2.37,0.7040000000000001,-0.32799999999999996,0.772,1,1,1
20,2.37,0.748,-0.24,1.044,1,1,1
21,2.37,0.736,-0.16,0.9079999999999999,1,1,1
22,2.34,0.56,-0.07200000000000001,0.804,1,1,1
23,2.37,0.36,-0.256,0.852,1,1,1
24,2.34,0.256,-0.608,0.7559999999999999,1,1,1
25,2.34,0.192,-0.5,0.968,1,1,1
26,2.37,0.032,-0.22399999999999998,1.028,1,1,1
27,2.37,0.348,0.084,0.82,1,1,1
28,2.37,0.512,0.348,0.78,1,1,1
29,2.37,0.54,0.684,0.76,1,1,1
30,2.34,0.488,0.652,0.58,1,1,1
31,2.34,0.41600000000000004,0.35200000000000004,0.272,1,1,1
32,2.37,0.456,-0.036000000000000004,0.276,1,1,1
33,2.37,0.46799999999999997,-0.06,1.696,1,1,1
34,2.34,0.736,-1.3519999999999999,0.21600000000000003,1,1,1
35,2.37,1.204,-0.9840000000000001,1.1440000000000001,1,1,1
36,2.37,0.772,-0.5760000000000001,0.58,1,1,1
37,2.37,0.496,-0.292,0.628,1,1,1
38,2.34,0.384,-0.048,1.304,1,1,1
39,2.37,0.22,0.212,1.584,1,1,1
40,2.34,-0.14800000000000002,-0.068,0.816,1,1,1
41,2.34,0.42,-0.552,1.46,1,1,1
42,2.34,0.284,-0.5720000000000001,2.46,1,1,1
43,2.34,-0.1,-0.32799999999999996,0.9520000000000001,1,1,1
44,2.37,0.192,0.78,0.128,1,1,1
45,2.34,0.616,0.5720000000000001,0.544,1,1,1
46,2.37,0.828,0.524,0.992,1,1,1
47,2.34,0.304,0.34,0.004,1,1,1
48,2.34,0.47600000000000003,0.496,-0.4,1,1,1
49,2.34,2.46,-0.35200000000000004,0.228,1,1,1
50,2.34,1.8880000000000001,0.764,-0.6920000000000001,1,1,1
51,2.34,0.496,-0.648,-0.384,1,1,1
52,2.34,-0.5920000000000001,-0.084,-0.192,1,1,1
