,depth,x,y,z,behaviour,type,place
0,0.62,0.84,0.6759999999999999,0.528,10,3,0
1,0.62,0.35200000000000004,0.58,0.344,10,3,0
2,0.62,0.312,-0.027999999999999997,0.32,10,3,0
3,0.62,0.368,0.11199999999999999,0.58,10,3,0
4,0.62,0.5479999999999999,-0.47600000000000003,0.828,10,3,0
5,0.62,0.35200000000000004,-0.792,0.29600000000000004,10,3,0
6,0.62,0.66,-0.764,0.37200000000000005,10,3,0
7,0.62,0.8079999999999999,-0.608,0.324,10,3,0
8,0.62,0.7240000000000001,-0.32799999999999996,0.436,10,3,0
9,0.62,0.768,0.06,0.436,10,3,0
10,0.62,0.72,0.1,0.564,10,3,0
11,0.62,0.68,0.204,0.41600000000000004,10,3,0
12,0.62,0.72,0.16,0.344,10,3,0
13,0.62,0.6759999999999999,0.08,0.29600000000000004,10,3,0
14,0.62,0.7240000000000001,-0.048,0.28800000000000003,10,3,0
15,0.62,0.868,-0.092,0.32799999999999996,10,3,0
16,0.62,0.988,-0.12,0.392,10,3,0
17,0.62,1.004,-0.096,0.364,10,3,0
18,0.62,0.988,-0.07200000000000001,0.348,10,3,0
19,0.62,1.028,-0.07200000000000001,0.348,10,3,0
20,0.62,1.032,-0.068,0.344,10,3,0
21,0.62,1.028,-0.04,0.364,10,3,0
22,0.62,1.02,-0.07200000000000001,0.316,10,3,0
23,0.62,1.056,-0.084,0.32,10,3,0
24,0.62,1.04,-0.084,0.324,10,3,0
25,0.62,1.016,-0.1,0.3,10,3,0
26,0.62,1.008,-0.08800000000000001,0.292,10,3,0
27,0.62,1.056,-0.10400000000000001,0.272,10,3,0
28,0.62,1.064,-0.128,0.272,10,3,0
29,0.65,1.036,-0.156,0.268,10,3,0
30,0.68,1.016,-0.136,0.29600000000000004,10,3,0
31,0.68,1.004,-0.152,0.248,10,3,0
32,0.71,1.012,-0.11599999999999999,0.284,10,3,0
33,0.71,1.016,-0.1,0.312,10,3,0
34,0.75,1.02,-0.1,0.344,10,3,0
35,0.75,1.028,-0.11599999999999999,0.368,10,3,0
36,0.78,1.02,-0.14800000000000002,0.38,10,3,0
37,0.78,1.0,-0.16399999999999998,0.4,10,3,0
38,0.78,0.972,-0.184,0.408,10,3,0
39,0.81,0.9520000000000001,-0.192,0.396,10,3,0
40,0.81,0.9279999999999999,-0.192,0.424,10,3,0
41,0.81,0.9159999999999999,-0.20800000000000002,0.436,10,3,0
42,0.81,0.9159999999999999,-0.20800000000000002,0.456,10,3,0
43,0.81,0.892,-0.212,0.456,10,3,0
44,0.81,0.888,-0.18,0.456,10,3,0
45,0.81,0.888,-0.16399999999999998,0.47200000000000003,10,3,0
46,0.84,0.8759999999999999,-0.14800000000000002,0.46,10,3,0
47,0.81,0.88,-0.14400000000000002,0.46399999999999997,10,3,0
48,0.84,0.852,-0.14800000000000002,0.508,10,3,0
49,0.84,0.8640000000000001,-0.18,0.504,10,3,0
50,0.84,0.8240000000000001,-0.2,0.532,10,3,0
51,0.84,0.828,-0.20800000000000002,0.536,10,3,0
52,0.84,0.8240000000000001,-0.204,0.536,10,3,0
53,0.84,0.8079999999999999,-0.212,0.508,10,3,0
54,0.84,0.8,-0.21600000000000003,0.5,10,3,0
55,0.84,0.804,-0.212,0.508,10,3,0
56,0.84,0.8079999999999999,-0.196,0.516,10,3,0
57,0.84,0.8,-0.204,0.508,10,3,0
58,0.84,0.7759999999999999,-0.22,0.528,10,3,0
59,0.84,0.7559999999999999,-0.252,0.528,10,3,0
60,0.84,0.748,-0.308,0.524,10,3,0
61,0.84,0.736,-0.376,0.512,10,3,0
62,0.81,0.728,-0.428,0.544,10,3,0
63,0.81,0.688,-0.24,0.512,10,3,0
64,0.81,0.7240000000000001,-0.192,0.516,10,3,0
65,0.81,0.72,-0.424,0.504,10,3,0
66,0.81,0.648,-0.564,0.508,10,3,0
67,0.81,0.6920000000000001,-0.48,0.456,10,3,0
68,0.81,0.752,-0.46,0.4,10,3,0
69,0.81,0.76,-0.5,0.38,10,3,0
70,0.81,0.6920000000000001,-0.62,0.35600000000000004,10,3,0
71,0.81,0.644,-0.58,0.35600000000000004,10,3,0
72,0.81,0.636,-0.568,0.37200000000000005,10,3,0
73,0.81,0.66,-0.56,0.40399999999999997,10,3,0
74,0.81,0.6559999999999999,-0.588,0.424,10,3,0
75,0.81,0.684,-0.516,0.428,10,3,0
76,0.81,0.6920000000000001,-0.528,0.41200000000000003,10,3,0
77,0.81,0.68,-0.584,0.35200000000000004,10,3,0
78,0.81,0.6759999999999999,-0.5720000000000001,0.38799999999999996,10,3,0
79,0.84,0.648,-0.7040000000000001,0.44799999999999995,10,3,0
80,0.84,0.736,-0.8,0.536,10,3,0
81,0.81,0.78,-0.904,0.488,10,3,0
82,0.81,0.72,-0.872,0.436,10,3,0
83,0.78,0.536,-0.7559999999999999,0.40399999999999997,10,3,0
84,0.78,0.516,-0.7240000000000001,0.36,10,3,0
85,0.75,0.508,-0.68,0.316,10,3,0
86,0.75,0.44,-0.732,0.2,10,3,0
87,0.75,0.456,-0.72,0.34,10,3,0
88,0.75,0.528,-0.5720000000000001,0.588,10,3,0
89,0.71,0.484,-0.504,0.54,10,3,0
90,0.75,0.47200000000000003,-0.46,0.5920000000000001,10,3,0
91,0.71,0.516,-0.532,0.636,10,3,0
92,0.71,0.532,-0.528,0.596,10,3,0
93,0.68,0.49200000000000005,-0.524,0.552,10,3,0
94,0.68,0.47200000000000003,-0.44,0.5479999999999999,10,3,0
95,0.68,0.46399999999999997,-0.396,0.596,10,3,0
96,0.71,0.47600000000000003,-0.396,0.6759999999999999,10,3,0
97,0.68,0.47600000000000003,-0.37200000000000005,0.672,10,3,0
98,0.68,0.428,-0.368,0.6759999999999999,10,3,0
99,0.68,0.424,-0.35600000000000004,0.7,10,3,0
100,0.68,0.424,-0.38799999999999996,0.784,10,3,0
101,0.68,0.46799999999999997,-0.36,0.78,10,3,0
102,0.68,0.48,-0.35200000000000004,0.792,10,3,0
103,0.71,0.444,-0.32,0.784,10,3,0
104,0.71,0.436,-0.304,0.7559999999999999,10,3,0
105,0.71,0.44,-0.28800000000000003,0.752,10,3,0
106,0.75,0.47200000000000003,-0.256,0.7879999999999999,10,3,0
107,0.75,0.43200000000000005,-0.16399999999999998,0.816,10,3,0
108,0.71,0.364,-0.14800000000000002,0.7959999999999999,10,3,0
109,0.75,0.312,-0.22399999999999998,0.816,10,3,0
110,0.75,0.35200000000000004,-0.168,0.868,10,3,0
111,0.75,0.496,-0.16399999999999998,0.736,10,3,0
112,0.75,0.804,0.10800000000000001,0.644,10,3,0
113,0.78,1.156,-0.036000000000000004,1.02,10,3,0
114,0.78,1.268,0.008,1.188,10,3,0
115,0.71,1.18,-0.17600000000000002,1.1440000000000001,11,0,1
116,0.65,1.08,-0.055999999999999994,0.856,11,0,1
117,0.62,0.912,-0.11199999999999999,0.6,11,0,1
118,0.65,1.1320000000000001,-0.08,0.29600000000000004,11,0,1
119,0.65,1.124,-0.192,0.12,11,0,1
120,0.65,1.212,-0.312,0.276,11,0,1
121,0.65,1.256,-0.396,0.284,11,0,1
122,0.65,0.992,-0.23600000000000002,0.612,11,0,1
123,0.65,1.288,0.488,-0.41200000000000003,1,1,1
124,0.68,1.6480000000000001,0.204,0.10800000000000001,1,1,1
125,0.65,1.216,-0.064,-0.228,1,1,1
126,0.65,0.7879999999999999,-0.248,-0.828,1,1,1
127,0.65,0.284,-0.35200000000000004,-0.36,1,1,1
128,0.68,0.6759999999999999,0.444,0.82,1,1,1
129,0.65,0.752,0.21600000000000003,0.652,1,1,1
130,0.65,0.41600000000000004,0.256,0.556,1,1,1
131,0.65,0.2,0.312,0.5920000000000001,1,1,1
132,0.65,0.16399999999999998,0.32,0.624,1,1,1
133,0.65,0.16,0.37200000000000005,0.644,1,1,1
134,0.65,0.212,0.484,0.7440000000000001,1,1,1
135,0.65,0.32799999999999996,0.484,0.748,1,1,1
136,0.65,0.408,0.612,0.588,1,1,1
137,0.65,0.544,0.752,0.66,1,1,1
