,depth,x,y,z,behaviour,type,place
0,0.46,0.78,0.484,0.436,12,3,1
1,0.5,0.764,0.496,0.44,12,3,1
2,0.46,0.7559999999999999,0.5,0.43200000000000005,12,3,1
3,0.46,0.736,0.496,0.424,12,3,1
4,0.46,0.748,0.48,0.44,12,3,1
5,0.46,0.76,0.48,0.444,12,3,1
6,0.5,0.7559999999999999,0.456,0.44799999999999995,12,3,1
7,0.46,0.7559999999999999,0.436,0.44,12,3,1
8,0.46,0.7559999999999999,0.444,0.46799999999999997,12,3,1
9,0.46,0.764,0.452,0.47600000000000003,12,3,1
10,0.46,0.768,0.428,0.452,12,3,1
11,0.5,0.7759999999999999,0.41200000000000003,0.44,12,3,1
12,0.46,0.8,0.4,0.47200000000000003,12,3,1
13,0.46,0.7959999999999999,0.38799999999999996,0.456,12,3,1
14,0.46,0.784,0.40399999999999997,0.46,12,3,1
15,0.5,0.7759999999999999,0.38799999999999996,0.456,12,3,1
16,0.46,0.784,0.37200000000000005,0.444,12,3,1
17,0.46,0.7879999999999999,0.368,0.44799999999999995,12,3,1
18,0.5,0.8240000000000001,0.35600000000000004,0.456,1,1,1
19,0.5,0.836,0.34,0.456,1,1,1
20,0.46,0.8440000000000001,0.344,0.46,1,1,1
21,0.46,0.8440000000000001,0.332,0.46799999999999997,1,1,1
22,0.5,0.856,0.32,0.46,1,1,1
23,0.46,0.816,0.252,0.452,1,1,1
24,0.46,0.9159999999999999,0.35200000000000004,0.512,1,1,1
25,0.5,0.9,0.252,0.428,1,1,1
26,0.46,0.868,0.368,0.49200000000000005,1,1,1
27,0.46,1.052,0.172,0.452,1,1,1
28,0.46,0.912,0.008,0.52,1,1,1
29,0.46,1.0,0.02,0.396,1,1,1
30,0.46,1.072,-0.22,0.196,1,1,1
31,0.46,1.368,-0.14,0.20800000000000002,1,1,1
32,0.46,1.16,-0.264,0.408,1,1,1
33,0.46,1.0959999999999999,-0.284,0.276,1,1,1
34,0.46,1.16,0.35600000000000004,0.836,1,1,1
35,0.46,0.588,0.124,0.82,1,1,1
36,0.46,0.28,0.42,0.84,1,1,1
37,0.46,0.184,0.64,0.524,1,1,1
38,0.5,0.008,0.32799999999999996,0.9159999999999999,1,1,1
39,0.46,-0.256,0.5920000000000001,0.848,1,1,1
40,0.46,0.124,0.568,0.29600000000000004,1,1,1
41,0.46,0.124,0.532,0.56,1,1,1
42,0.46,-0.20800000000000002,0.648,0.16,1,1,1
43,0.46,0.132,0.38799999999999996,0.556,1,1,1
44,0.46,0.556,-0.32799999999999996,0.41600000000000004,1,1,1
45,0.46,0.988,-0.488,1.32,1,1,1
46,0.5,0.768,0.17600000000000002,1.252,1,1,1
47,0.5,0.28800000000000003,0.012,0.64,1,1,1
48,0.46,-0.048,0.172,0.968,1,1,1
49,0.46,-0.284,0.284,0.496,1,1,1
50,0.46,-0.128,0.14400000000000002,0.9159999999999999,1,1,1
51,0.46,-0.256,0.324,0.772,1,1,1
52,0.46,-0.256,0.35200000000000004,1.068,1,1,1
53,0.5,-0.628,0.424,0.74,1,1,1
