,depth,x,y,z,behaviour,type,place
0,0.5,0.32799999999999996,-0.256,0.9279999999999999,17,3,1
1,0.46,0.2,-0.14,0.9640000000000001,17,3,1
2,0.46,0.1,-0.08800000000000001,0.9640000000000001,17,3,1
3,0.46,0.048,-0.068,0.96,17,3,1
4,0.46,0.024,-0.068,0.96,17,3,1
5,0.46,0.012,-0.055999999999999994,0.96,17,3,1
6,0.46,0.008,-0.04,0.9640000000000001,17,3,1
7,0.46,0.0,-0.052000000000000005,0.956,17,3,1
8,0.46,-0.004,-0.055999999999999994,0.9640000000000001,17,3,1
9,0.46,-0.008,-0.048,0.96,17,3,1
10,0.46,-0.024,-0.048,0.956,17,3,1
11,0.46,-0.044000000000000004,-0.044000000000000004,0.96,17,3,1
12,0.46,-0.048,-0.044000000000000004,0.972,17,3,1
13,0.46,-0.055999999999999994,-0.04,0.956,17,3,1
14,0.46,-0.064,-0.036000000000000004,0.9640000000000001,17,3,1
15,0.46,-0.07200000000000001,-0.036000000000000004,0.968,17,3,1
16,0.5,-0.07200000000000001,-0.027999999999999997,0.956,17,3,1
17,0.46,-0.068,-0.027999999999999997,0.9359999999999999,17,3,1
18,0.46,-0.08,-0.036000000000000004,0.948,17,3,1
19,0.46,-0.092,-0.032,0.948,17,3,1
20,0.5,-0.11199999999999999,-0.032,0.9359999999999999,17,3,1
21,0.46,-0.12,-0.036000000000000004,0.956,17,3,1
22,0.46,-0.12,-0.055999999999999994,0.9640000000000001,17,3,1
23,0.46,-0.10400000000000001,-0.07200000000000001,0.956,17,3,1
24,0.46,-0.10400000000000001,-0.055999999999999994,0.956,17,3,1
25,0.46,-0.124,-0.08800000000000001,0.9520000000000001,17,3,1
26,0.46,-0.11599999999999999,0.02,0.976,17,3,1
27,0.46,-0.14,-0.055999999999999994,1.06,17,3,1
28,0.46,-0.212,-0.132,0.9640000000000001,17,3,1
29,0.46,-0.276,-0.044000000000000004,0.98,17,3,1
30,0.46,-0.172,0.012,0.956,17,3,1
31,0.46,-0.10400000000000001,0.096,0.924,17,3,1
32,0.46,-0.064,0.168,0.94,17,3,1
33,0.46,-0.016,0.18,0.9520000000000001,17,3,1
34,0.46,0.036000000000000004,0.252,0.96,12,3,1
35,0.46,0.008,0.28800000000000003,1.0,12,3,1
36,0.5,0.004,0.23600000000000002,1.012,12,3,1
37,0.46,0.092,0.228,1.056,12,3,1
38,0.46,0.21600000000000003,0.11199999999999999,0.996,12,3,1
39,0.46,0.34,0.036000000000000004,0.924,12,3,1
40,0.46,0.5,0.044000000000000004,0.4,12,3,1
41,0.46,0.948,0.34,0.608,12,3,1
42,0.46,0.816,0.42,0.42,12,3,1
43,0.46,0.8,0.408,0.452,12,3,1
44,0.46,0.804,0.272,0.536,12,3,1
