,depth,x,y,z,behaviour,type,place
0,0.84,0.9520000000000001,0.132,0.348,12,3,1
1,0.84,0.94,0.14,0.37200000000000005,12,3,1
2,0.84,0.9440000000000001,0.14800000000000002,0.376,12,3,1
3,0.87,0.9159999999999999,0.16,0.38799999999999996,12,3,1
4,0.9,0.9,0.136,0.4,12,3,1
5,0.9,0.888,0.128,0.41200000000000003,12,3,1
6,0.9,0.884,0.14,0.41600000000000004,12,3,1
7,0.9,0.9159999999999999,0.156,0.41200000000000003,12,3,1
8,0.93,0.9359999999999999,0.16,0.408,12,3,1
9,0.93,0.948,0.14800000000000002,0.4,12,3,1
10,0.93,0.94,0.14800000000000002,0.384,12,3,1
11,0.96,0.948,0.14800000000000002,0.36,12,3,1
12,0.96,0.96,0.16399999999999998,0.332,12,3,1
13,0.96,0.9520000000000001,0.168,0.304,12,3,1
14,0.96,0.9520000000000001,0.18,0.29600000000000004,12,3,1
15,1.0,0.9840000000000001,0.2,0.292,12,3,1
16,1.0,0.9840000000000001,0.22399999999999998,0.264,12,3,1
17,1.0,0.988,0.228,0.228,12,3,1
18,1.0,1.0,0.23199999999999998,0.196,12,3,1
19,1.0,1.016,0.23600000000000002,0.192,12,3,1
20,1.0,1.012,0.212,0.2,12,3,1
21,1.03,1.02,0.188,0.204,12,3,1
22,1.03,0.996,0.21600000000000003,0.188,12,3,1
23,1.03,0.992,0.204,0.192,12,3,1
24,1.0,0.9840000000000001,0.17600000000000002,0.172,12,3,1
25,1.03,0.976,0.17600000000000002,0.17600000000000002,12,3,1
26,1.03,0.972,0.168,0.188,12,3,1
27,1.03,0.992,0.136,0.204,12,3,1
28,1.03,0.98,0.124,0.22,12,3,1
29,1.03,0.9840000000000001,0.076,0.228,12,3,1
30,1.03,0.972,0.024,0.28,12,3,1
31,1.03,0.94,-0.027999999999999997,0.28800000000000003,12,3,1
32,1.03,0.9640000000000001,0.004,0.28,12,3,1
33,1.03,1.004,-0.008,0.26,12,3,1
34,1.03,1.004,-0.052000000000000005,0.292,12,3,1
35,1.03,0.968,-0.064,0.312,12,3,1
36,1.0,0.9520000000000001,-0.096,0.308,12,3,1
37,1.0,0.948,-0.11599999999999999,0.3,12,3,1
38,0.96,0.9359999999999999,-0.128,0.28800000000000003,12,3,1
39,0.96,0.9279999999999999,-0.11599999999999999,0.252,12,3,1
40,0.96,0.9159999999999999,-0.156,0.264,12,3,1
41,0.96,0.892,-0.136,0.3,12,3,1
42,0.96,0.9,-0.16,0.336,12,3,1
43,0.96,0.904,-0.14400000000000002,0.368,12,3,1
44,0.96,0.912,-0.14,0.408,12,3,1
45,0.96,0.9,-0.136,0.488,12,3,1
46,0.96,0.884,-0.12,0.516,12,3,1
47,0.96,0.9,-0.14800000000000002,0.52,12,3,1
48,0.96,0.872,-0.084,0.508,12,3,1
49,0.93,0.848,-0.1,0.536,12,3,1
50,0.93,0.804,-0.08,0.56,12,3,1
51,0.93,0.7959999999999999,-0.052000000000000005,0.528,12,3,1
52,0.93,0.768,-0.08,0.552,12,3,1
53,0.93,0.736,-0.11599999999999999,0.596,12,3,1
54,0.9,0.7040000000000001,-0.076,0.616,12,3,1
55,0.93,0.708,-0.14,0.648,12,3,1
56,0.9,0.7,-0.192,0.62,12,3,1
57,0.9,0.72,-0.21600000000000003,0.616,12,3,1
58,0.9,0.696,-0.24,0.644,12,3,1
59,0.9,0.6920000000000001,-0.196,0.68,12,3,1
60,0.9,0.636,-0.14,0.6920000000000001,12,3,1
61,0.9,0.58,-0.16399999999999998,0.68,12,3,1
62,0.87,0.54,-0.124,0.716,12,3,1
63,0.9,0.58,-0.10800000000000001,0.7120000000000001,12,3,1
64,0.87,0.612,-0.07200000000000001,0.72,12,3,1
65,0.87,0.596,-0.048,0.7240000000000001,12,3,1
66,0.87,0.564,-0.024,0.772,12,3,1
67,0.87,0.512,-0.07200000000000001,0.768,12,3,1
68,0.87,0.552,-0.032,0.748,12,3,1
69,0.87,0.564,-0.004,0.736,12,3,1
70,0.84,0.5720000000000001,0.092,0.716,12,3,1
71,0.84,0.784,0.204,0.524,12,3,1
72,0.87,1.252,0.248,0.612,12,3,1
73,0.87,1.484,0.316,0.7959999999999999,12,3,1
74,0.84,1.3559999999999999,0.24,0.772,12,3,1
75,0.78,1.248,0.128,0.736,11,0,1
76,0.78,1.3359999999999999,0.048,0.68,11,0,1
77,0.78,1.208,-0.052000000000000005,0.304,11,0,1
78,0.75,1.236,0.068,0.08,11,0,1
79,0.75,1.236,0.027999999999999997,0.256,11,0,1
80,0.75,1.084,-0.128,0.316,11,0,1
81,0.75,0.76,0.252,0.532,11,0,1
82,0.75,0.992,0.528,-0.124,11,0,1
83,0.75,1.8319999999999999,0.36,0.16,11,0,1
84,0.75,1.22,0.256,-0.40399999999999997,11,0,1
85,0.75,0.988,0.08,-0.5920000000000001,11,0,1
86,0.75,0.46399999999999997,0.2,-0.58,11,0,1
87,0.75,0.32799999999999996,0.14400000000000002,0.41200000000000003,11,0,1
88,0.75,0.584,0.568,0.7,11,0,1
89,0.75,0.612,-0.048,0.772,11,0,1
90,0.75,0.292,-0.204,0.624,11,0,1
91,0.75,0.156,-0.024,0.66,1,1,1
92,0.75,0.076,0.284,0.72,1,1,1
93,0.75,0.096,0.456,0.7759999999999999,1,1,1
94,0.75,0.10800000000000001,0.62,0.7440000000000001,1,1,1
95,0.75,0.192,0.792,0.62,1,1,1
96,0.75,0.40399999999999997,0.92,0.616,1,1,1
97,0.75,0.616,0.992,0.516,1,1,1
98,0.75,0.44,0.872,0.5760000000000001,1,1,1
99,0.75,0.28800000000000003,-0.008,0.624,1,1,1
100,0.75,0.66,-0.5720000000000001,0.688,1,1,1
101,0.75,0.868,-0.324,0.612,1,1,1
102,0.75,0.816,-0.168,0.624,1,1,1
103,0.75,0.66,-0.29600000000000004,0.196,1,1,1
104,0.75,0.6,-0.35600000000000004,0.23199999999999998,1,1,1
105,0.75,0.62,-0.08,0.336,1,1,1
106,0.75,0.988,0.7240000000000001,0.3,1,1,1
107,0.71,0.644,1.524,-0.008,1,1,1
108,0.75,0.8440000000000001,1.14,0.348,1,1,1
109,0.75,0.648,1.1079999999999999,0.32,1,1,1
110,0.75,0.552,0.932,0.396,1,1,1
111,0.75,0.37200000000000005,0.8640000000000001,0.38799999999999996,1,1,1
112,0.71,0.196,0.716,0.41200000000000003,1,1,1
113,0.75,0.32799999999999996,0.62,0.532,1,1,1
114,0.75,0.49200000000000005,0.46,0.88,1,1,1
115,0.75,0.36,0.14,0.888,1,1,1
116,0.75,0.292,0.024,0.812,1,1,1
117,0.71,0.204,0.044000000000000004,0.8320000000000001,1,1,1
118,0.75,0.096,0.256,1.064,1,1,1
119,0.75,-0.052000000000000005,0.552,1.0959999999999999,1,1,1
120,0.71,-0.11599999999999999,0.868,1.024,1,1,1
121,0.75,-0.12,0.972,0.8640000000000001,1,1,1
122,0.71,0.027999999999999997,0.852,0.812,1,1,1
123,0.75,0.5479999999999999,0.652,1.268,1,1,1
124,0.75,0.348,0.168,1.1159999999999999,1,1,1
125,0.75,0.41600000000000004,-0.904,0.7240000000000001,1,1,1
126,0.71,0.456,-0.68,0.324,1,1,1
127,0.71,0.44799999999999995,-0.588,0.35600000000000004,1,1,1
128,0.71,0.188,-0.336,0.14800000000000002,1,1,1
129,0.71,0.124,-0.256,-0.02,1,1,1
130,0.71,0.20800000000000002,0.12,0.048,1,1,1
131,0.71,0.62,0.26,0.484,1,1,1
132,0.71,0.652,0.504,-0.188,1,1,1
133,0.71,0.82,2.116,-0.064,1,1,1
134,0.71,1.6,1.3119999999999998,-0.06,1,1,1
135,0.71,1.4080000000000001,1.0959999999999999,0.24,1,1,1
136,0.71,0.8759999999999999,0.636,0.128,1,1,1
137,0.75,0.612,0.48,0.43200000000000005,1,1,1
138,0.75,0.484,0.536,0.72,1,1,1
139,0.75,0.348,0.06,0.848,1,1,1
140,0.75,-0.064,0.1,0.884,1,1,1
141,0.71,-0.076,0.256,0.888,1,1,1
142,0.71,0.14,0.10800000000000001,1.1320000000000001,1,1,1
143,0.75,0.004,0.22399999999999998,1.42,1,1,1
144,0.75,-0.11199999999999999,-0.24,1.276,1,1,1
145,0.75,0.052000000000000005,-0.46399999999999997,1.028,1,1,1
146,0.71,0.21600000000000003,-0.792,1.22,1,1,1
147,0.71,0.188,-0.8079999999999999,0.96,1,1,1
148,0.71,0.23199999999999998,-0.816,0.456,1,1,1
