,depth,x,y,z,behaviour,type,place
0,0.62,0.748,0.74,0.46,12,3,1
1,0.65,0.568,0.452,0.596,12,3,1
2,0.62,0.5479999999999999,0.06,0.6920000000000001,12,3,1
3,0.65,0.376,-0.924,0.836,12,3,1
4,0.62,0.5720000000000001,-0.94,0.672,12,3,1
5,0.65,0.7879999999999999,-0.7559999999999999,0.672,12,3,1
6,0.62,0.644,0.04,0.424,12,3,1
7,0.62,0.748,0.564,0.5920000000000001,12,3,1
8,0.62,0.716,0.8440000000000001,0.47200000000000003,12,3,1
9,0.62,0.82,0.552,0.47600000000000003,12,3,1
10,0.62,0.9,0.46399999999999997,0.36,12,3,1
11,0.62,0.836,0.5720000000000001,0.32,12,3,1
12,0.65,0.7240000000000001,0.54,0.29600000000000004,12,3,1
13,0.65,0.8240000000000001,0.376,0.5720000000000001,12,3,1
14,0.62,0.8320000000000001,0.052000000000000005,0.5760000000000001,12,3,1
15,0.65,0.812,-0.35200000000000004,0.62,12,3,1
16,0.62,0.7879999999999999,-0.48,0.68,12,3,1
17,0.62,0.664,-0.41600000000000004,0.632,12,3,1
18,0.62,0.632,-0.264,0.644,12,3,1
19,0.62,0.68,-0.04,0.58,12,3,1
20,0.62,0.7040000000000001,0.22399999999999998,0.47200000000000003,12,3,1
21,0.62,0.784,0.556,0.528,12,3,1
22,0.62,0.76,0.684,0.312,12,3,1
23,0.62,0.948,0.696,0.316,12,3,1
24,0.62,0.992,0.54,0.36,12,3,1
25,0.62,0.96,0.524,0.336,12,3,1
26,0.62,0.9079999999999999,0.552,0.34,12,3,1
27,0.62,0.7879999999999999,0.52,0.332,12,3,1
28,0.62,0.732,0.48,0.44799999999999995,12,3,1
29,0.62,0.784,0.38799999999999996,0.56,12,3,1
30,0.62,0.652,0.055999999999999994,0.5720000000000001,12,3,1
31,0.62,0.664,-0.156,0.624,12,3,1
32,0.62,0.5920000000000001,-0.256,0.652,12,3,1
33,0.62,0.5760000000000001,-0.20800000000000002,0.688,12,3,1
34,0.62,0.6,-0.092,0.632,12,3,1
35,0.62,0.672,0.22,0.504,12,3,1
36,0.62,0.716,0.62,0.384,12,3,1
37,0.62,0.728,0.672,0.376,12,3,1
38,0.62,0.98,0.6559999999999999,0.312,12,3,1
39,0.62,0.956,0.568,0.35600000000000004,12,3,1
40,0.62,0.892,0.504,0.276,12,3,1
41,0.62,0.852,0.5479999999999999,0.32799999999999996,12,3,1
42,0.62,0.764,0.596,0.368,12,3,1
43,0.62,0.76,0.612,0.4,12,3,1
44,0.62,0.728,0.56,0.4,12,3,1
45,0.62,0.7879999999999999,0.46399999999999997,0.444,12,3,1
46,0.62,0.948,0.23199999999999998,0.504,12,3,1
47,0.62,1.036,0.12,0.584,12,3,1
48,0.62,0.968,0.132,0.5760000000000001,12,3,1
49,0.62,0.7959999999999999,0.2,0.58,12,3,1
50,0.62,0.688,0.28,0.664,0,0,1
51,0.62,0.5,0.28800000000000003,0.764,0,0,1
52,0.62,0.38,0.244,0.6679999999999999,0,0,1
53,0.62,0.4,0.212,0.992,0,0,1
54,0.62,0.244,0.18,0.96,0,0,1
55,0.62,0.292,0.28800000000000003,1.044,0,0,1
56,0.62,0.32799999999999996,0.428,1.072,0,0,1
57,0.62,0.168,0.396,1.244,0,0,1
58,0.62,0.172,0.11199999999999999,0.7559999999999999,0,0,1
59,0.62,0.304,-0.47200000000000003,0.636,0,0,1
60,0.62,0.772,-0.408,0.58,0,0,1
61,0.62,0.82,-0.196,0.35600000000000004,0,0,1
62,0.62,0.7759999999999999,-0.156,0.912,0,0,1
63,0.62,0.5720000000000001,0.188,0.46,0,0,1
64,0.62,0.544,0.46,0.396,0,0,1
65,0.62,0.496,0.68,0.7040000000000001,0,0,1
66,0.62,0.32799999999999996,0.532,0.6679999999999999,0,0,1
67,0.62,0.252,0.156,0.828,0,0,1
68,0.62,0.48,0.212,0.78,0,0,1
69,0.62,0.44,-0.032,0.812,0,0,1
70,0.62,0.344,-0.23600000000000002,0.868,0,0,1
71,0.62,0.56,-0.048,0.6,0,0,1
72,0.62,0.708,0.22,0.768,0,0,1
73,0.62,0.452,0.35200000000000004,0.7959999999999999,0,0,1
74,0.62,0.72,0.47600000000000003,0.9,0,0,1
75,0.62,0.636,0.49200000000000005,0.7879999999999999,0,0,1
76,0.62,0.324,0.2,0.8240000000000001,0,0,1
77,0.62,0.156,0.044000000000000004,0.7,0,0,1
78,0.62,0.192,-0.024,0.78,0,0,1
79,0.62,0.408,-0.008,0.8640000000000001,0,0,1
80,0.62,0.5720000000000001,0.14,0.8320000000000001,0,0,1
81,0.62,0.652,0.196,1.048,0,0,1
82,0.62,0.684,0.008,0.7559999999999999,0,0,1
83,0.62,0.66,0.136,0.768,0,0,1
84,0.62,0.428,0.264,0.752,0,0,1
85,0.62,0.544,0.168,0.736,0,0,1
86,0.62,0.7440000000000001,0.244,0.636,0,0,1
87,0.62,0.588,0.38,0.616,0,0,1
88,0.62,0.628,0.46,0.664,0,0,1
89,0.62,0.612,0.452,0.64,0,0,1
90,0.62,0.6759999999999999,0.316,0.728,0,0,1
91,0.62,0.852,0.316,0.696,0,0,1
92,0.62,0.82,0.312,0.636,0,0,1
93,0.62,0.728,0.308,0.552,0,0,1
94,0.62,0.7440000000000001,0.21600000000000003,0.62,0,0,1
95,0.62,0.7120000000000001,0.18,0.596,0,0,1
96,0.62,0.688,0.068,0.6559999999999999,0,0,1
97,0.62,0.764,0.036000000000000004,0.784,0,0,1
98,0.62,0.624,0.292,0.47600000000000003,0,0,1
99,0.62,0.688,0.556,0.48,0,0,1
100,0.62,0.7959999999999999,0.628,0.544,0,0,1
101,0.62,0.7040000000000001,0.528,0.528,0,0,1
102,0.62,0.6559999999999999,0.44799999999999995,0.632,0,0,1
103,0.62,0.728,0.04,0.88,0,0,1
104,0.62,0.628,0.016,0.648,0,0,1
105,0.62,0.664,0.027999999999999997,0.772,0,0,1
106,0.62,0.54,-0.08800000000000001,0.728,0,0,1
107,0.62,0.324,0.048,0.784,0,0,1
108,0.62,0.41600000000000004,-0.1,0.8320000000000001,0,0,1
109,0.62,0.332,0.04,0.7,0,0,1
110,0.62,0.304,0.21600000000000003,0.872,0,0,1
111,0.62,0.38799999999999996,0.336,0.636,0,0,1
112,0.62,0.508,0.23199999999999998,0.772,0,0,1
113,0.62,0.608,0.044000000000000004,0.8759999999999999,0,0,1
114,0.62,0.6679999999999999,-0.084,0.652,0,0,1
115,0.62,0.596,-0.016,0.732,0,0,1
116,0.62,0.5920000000000001,0.07200000000000001,0.648,0,0,1
117,0.62,0.644,0.124,0.74,0,0,1
118,0.62,0.784,0.32,0.604,0,0,1
119,0.62,0.888,0.32,0.604,0,0,1
120,0.62,0.828,0.38799999999999996,0.6759999999999999,0,0,1
121,0.62,0.804,0.41200000000000003,0.596,0,0,1
122,0.62,0.9079999999999999,0.36,0.624,0,0,1
123,0.62,0.8440000000000001,0.28,0.6559999999999999,0,0,1
124,0.62,0.84,0.268,0.608,0,0,1
125,0.62,0.8079999999999999,0.20800000000000002,0.72,0,0,1
126,0.62,0.772,0.22,0.652,0,0,1
127,0.62,0.72,0.21600000000000003,0.6759999999999999,0,0,1
128,0.62,0.564,0.048,0.636,0,0,1
129,0.62,0.43200000000000005,-0.027999999999999997,0.748,0,0,1
130,0.62,1.216,-0.428,1.1640000000000001,0,0,1
131,0.62,0.536,-0.276,1.02,0,0,1
132,0.62,0.644,-0.204,0.62,0,0,1
133,0.62,0.41200000000000003,0.336,0.9520000000000001,0,0,1
134,0.62,0.376,0.252,0.728,0,0,1
135,0.62,0.456,0.14400000000000002,0.988,0,0,1
136,0.62,0.35200000000000004,0.092,0.7959999999999999,0,0,1
137,0.62,0.44799999999999995,0.07200000000000001,0.84,0,0,1
138,0.62,0.41600000000000004,0.048,0.6920000000000001,0,0,1
139,0.62,0.708,0.10400000000000001,0.768,0,0,1
140,0.62,0.856,0.264,0.8640000000000001,0,0,1
141,0.62,0.748,0.204,0.7879999999999999,0,0,1
142,0.62,0.812,0.23199999999999998,0.7,0,0,1
143,0.62,0.812,0.228,0.76,0,0,1
144,0.62,0.812,0.228,0.76,0,0,1
145,0.62,0.54,0.34,0.6,0,0,1
146,0.62,0.332,0.1,0.784,0,0,1
147,0.62,0.28,0.11599999999999999,0.66,0,0,1
148,0.62,0.368,0.14800000000000002,0.8,0,0,1
149,0.62,0.21600000000000003,0.184,0.8079999999999999,0,0,1
150,0.62,0.272,0.22,0.84,0,0,1
