,depth,x,y,z,behaviour,type,place
0,1.31,0.436,-0.036000000000000004,0.84,12,3,1
1,1.31,0.428,-0.06,0.836,12,3,1
2,1.31,0.43200000000000005,-0.076,0.852,12,3,1
3,1.31,0.41600000000000004,-0.06,0.84,12,3,1
4,1.31,0.41200000000000003,-0.076,0.852,12,3,1
5,1.31,0.41600000000000004,-0.068,0.868,12,3,1
6,1.31,0.41600000000000004,-0.052000000000000005,0.856,12,3,1
7,1.31,0.41600000000000004,-0.044000000000000004,0.848,12,3,1
8,1.31,0.428,-0.06,0.84,12,3,1
9,1.31,0.44,-0.036000000000000004,0.884,12,3,1
10,1.31,0.41200000000000003,-0.016,0.8320000000000001,12,3,1
11,1.31,0.46399999999999997,-0.052000000000000005,0.852,12,3,1
12,1.31,0.44799999999999995,-0.032,0.852,12,3,1
13,1.31,0.48,-0.016,0.8440000000000001,12,3,1
14,1.31,0.456,-0.008,0.816,12,3,1
15,1.31,0.49200000000000005,-0.016,0.836,12,3,1
16,1.31,0.5,0.004,0.848,12,3,1
17,1.31,0.5,0.012,0.84,12,3,1
18,1.31,0.504,0.016,0.8320000000000001,12,3,1
19,1.31,0.496,0.012,0.84,12,3,1
20,1.31,0.488,0.024,0.848,12,3,1
21,1.31,0.484,0.016,0.8640000000000001,12,3,1
22,1.31,0.47200000000000003,0.008,0.84,12,3,1
23,1.31,0.46399999999999997,0.016,0.84,12,3,1
24,1.31,0.46399999999999997,0.008,0.848,12,3,1
25,1.31,0.456,-0.004,0.856,12,3,1
26,1.31,0.47200000000000003,0.012,0.848,12,3,1
27,1.31,0.47600000000000003,0.008,0.8440000000000001,12,3,1
28,1.31,0.46399999999999997,0.0,0.836,12,3,1
29,1.31,0.47200000000000003,0.004,0.848,12,3,1
30,1.31,0.452,0.012,0.8440000000000001,12,3,1
31,1.31,0.44799999999999995,0.02,0.856,12,3,1
32,1.34,0.444,0.02,0.852,12,3,1
33,1.31,0.44,0.024,0.868,12,3,1
34,1.31,0.43200000000000005,0.016,0.856,12,3,1
35,1.34,0.428,0.036000000000000004,0.86,12,3,1
36,1.31,0.428,0.044000000000000004,0.868,12,3,1
37,1.31,0.44,0.044000000000000004,0.86,12,3,1
38,1.31,0.46399999999999997,0.052000000000000005,0.868,12,3,1
39,1.31,0.47600000000000003,0.06,0.86,12,3,1
40,1.31,0.516,0.076,0.86,12,3,1
41,1.31,0.5,0.1,0.84,12,3,1
42,1.31,0.528,0.18,0.904,12,3,1
43,1.31,0.384,0.11599999999999999,0.804,12,3,1
44,1.31,0.56,-0.044000000000000004,0.62,1,1,1
45,1.31,0.8320000000000001,-0.08,0.652,1,1,1
46,1.31,0.752,-0.07200000000000001,0.636,1,1,1
47,1.31,0.764,-0.332,0.616,1,1,1
48,1.31,0.7120000000000001,-0.36,0.62,1,1,1
49,1.31,0.5,-0.384,0.8640000000000001,1,1,1
50,1.31,0.16399999999999998,-0.6,1.032,1,1,1
51,1.31,0.172,-0.8640000000000001,1.288,1,1,1
52,1.31,-0.268,-0.44799999999999995,0.9079999999999999,1,1,1
53,1.31,-0.044000000000000004,0.436,0.56,1,1,1
54,1.31,0.11199999999999999,0.436,0.312,1,1,1
55,1.31,0.5720000000000001,0.3,0.152,1,1,1
56,1.31,0.696,0.32799999999999996,0.428,1,1,1
57,1.31,0.34,-0.008,0.32799999999999996,1,1,1
58,1.31,0.7,-0.48,0.21600000000000003,1,1,1
59,1.31,0.47600000000000003,-0.5760000000000001,0.47200000000000003,1,1,1
60,1.31,0.58,-0.804,0.536,1,1,1
61,1.31,0.384,-0.396,0.948,1,1,1
62,1.31,0.488,-0.436,1.068,1,1,1
63,1.31,0.5479999999999999,-0.424,0.96,1,1,1
64,1.31,0.696,-0.46,0.6559999999999999,1,1,1
65,1.31,0.556,-0.38,0.56,1,1,1
66,1.31,0.644,-0.46,0.46799999999999997,1,1,1
67,1.31,0.7559999999999999,-0.532,0.332,1,1,1
68,1.31,0.74,-0.596,0.348,1,1,1
69,1.34,0.732,-0.568,0.428,1,1,1
70,1.31,0.696,-0.544,0.46,1,1,1
71,1.31,0.696,-0.54,0.46799999999999997,12,3,1
72,1.31,0.68,-0.536,0.508,12,3,1
73,1.31,0.6759999999999999,-0.52,0.532,12,3,1
74,1.31,0.7040000000000001,-0.536,0.528,12,3,1
75,1.31,0.664,-0.516,0.5720000000000001,12,3,1
76,1.31,0.6759999999999999,-0.484,0.536,12,3,1
77,1.31,0.648,-0.47200000000000003,0.52,12,3,1
78,1.31,0.648,-0.48,0.516,12,3,1
79,1.31,0.68,-0.532,0.532,12,3,1
80,1.31,0.652,-0.46799999999999997,0.504,12,3,1
81,1.31,0.804,-0.6,0.332,12,3,1
82,1.31,0.912,-0.508,0.42,1,1,1
83,1.31,0.86,-0.408,0.41200000000000003,1,1,1
84,1.31,0.772,-0.82,-0.096,1,1,1
85,1.31,0.684,-1.2919999999999998,-0.06,1,1,1
86,1.31,0.86,-1.104,0.8640000000000001,1,1,1
87,1.31,0.82,-0.568,0.904,1,1,1
88,1.31,1.064,-0.2,0.02,1,1,1
89,1.31,0.8959999999999999,-0.11599999999999999,-0.512,1,1,1
90,1.31,0.512,-0.156,0.9840000000000001,1,1,1
91,1.31,0.612,0.016,0.2,1,1,1
92,1.31,0.496,1.18,0.872,1,1,1
93,1.31,-0.048,-0.016,0.8640000000000001,1,1,1
94,1.31,0.08,-0.924,1.508,1,1,1
95,1.31,0.888,-0.932,1.264,1,1,1
96,1.31,0.9440000000000001,-0.26,1.004,1,1,1
97,1.31,0.7759999999999999,0.032,0.636,1,1,1
98,1.31,0.7040000000000001,-0.848,0.748,1,1,1
99,1.31,0.748,-0.344,0.012,1,1,1
100,1.31,1.492,0.35200000000000004,0.32,1,1,1
101,1.31,1.64,-0.048,0.5760000000000001,1,1,1
102,1.31,0.836,-0.332,-0.055999999999999994,1,1,1
103,1.31,0.636,0.128,0.364,1,1,1
104,1.31,0.452,0.496,0.956,1,1,1
105,1.31,0.35600000000000004,0.852,0.828,1,1,1
106,1.31,0.08,0.23600000000000002,1.04,1,1,1
107,1.31,0.168,-0.716,0.86,1,1,1
108,1.31,0.804,-1.092,0.172,1,1,1
109,1.31,0.768,-0.636,-0.284,1,1,1
110,1.31,0.96,0.1,0.008,1,1,1
111,1.34,0.66,-0.748,0.016,1,1,1
112,1.31,0.708,0.036000000000000004,0.504,1,1,1
113,1.31,0.58,-0.5479999999999999,0.44,1,1,1
114,1.31,0.396,-0.52,0.5,1,1,1
115,1.31,0.47600000000000003,-0.648,0.62,1,1,1
116,1.31,0.46,-0.872,0.584,1,1,1
117,1.31,0.436,-0.948,0.46,1,1,1
118,1.31,0.632,-0.732,0.48,1,1,1
119,1.31,0.648,-0.604,0.504,1,1,1
120,1.31,0.48,-0.7040000000000001,0.244,1,1,1
121,1.31,0.812,-0.35200000000000004,0.272,1,1,1
122,1.31,0.992,-0.428,0.26,1,1,1
123,1.31,0.8240000000000001,-0.152,0.452,1,1,1
124,1.31,0.672,-0.02,0.42,1,1,1
125,1.31,0.484,-0.11199999999999999,0.496,1,1,1
126,1.31,0.444,0.284,0.64,1,1,1
127,1.31,0.628,0.66,0.48,1,1,1
128,1.31,1.236,0.024,1.04,1,1,1
129,1.31,0.872,-0.44,0.9,1,1,1
130,1.31,0.556,-0.8079999999999999,0.504,1,1,1
131,1.31,0.7,-0.58,0.524,1,1,1
132,1.31,0.608,-0.7959999999999999,0.47200000000000003,1,1,1
133,1.31,0.44799999999999995,-0.11599999999999999,0.76,1,1,1
134,1.31,0.496,0.136,1.02,1,1,1
135,1.31,0.40399999999999997,0.14,1.0,1,1,1
136,1.31,0.42,0.14400000000000002,0.856,1,1,1
137,1.31,0.5,0.22399999999999998,0.8079999999999999,1,1,1
138,1.31,0.564,0.252,0.78,1,1,1
139,1.31,0.608,0.204,0.74,1,1,1
140,1.31,0.72,-0.048,0.672,1,1,1
141,1.31,0.68,-0.18,0.672,1,1,1
142,1.31,0.7040000000000001,-0.096,0.6920000000000001,1,1,1
143,1.31,0.728,-0.10800000000000001,0.68,1,1,1
144,1.31,0.684,-0.1,0.684,1,1,1
145,1.31,0.664,-0.068,0.716,1,1,1
146,1.31,0.628,0.156,0.6920000000000001,1,1,1
147,1.31,0.56,0.196,0.6920000000000001,1,1,1
148,1.31,0.5920000000000001,0.128,0.748,1,1,1
149,1.31,0.7559999999999999,-0.14,0.816,1,1,1
150,1.31,0.6920000000000001,-0.22,0.6920000000000001,0,0,1
151,1.31,0.6679999999999999,-0.23199999999999998,0.7040000000000001,0,0,1
152,1.31,0.62,-0.156,0.56,0,0,1
153,1.31,0.64,-0.20800000000000002,0.46799999999999997,0,0,1
154,1.31,0.652,-0.40399999999999997,0.316,0,0,1
155,1.31,0.72,-0.596,0.272,0,0,1
156,1.31,0.732,-0.58,0.364,0,0,1
157,1.31,0.816,-0.684,0.4,0,0,1
158,1.31,0.752,-0.52,0.452,0,0,1
159,1.31,0.872,-0.332,0.424,0,0,1
160,1.31,0.62,-0.196,0.736,0,0,1
161,1.31,0.556,-0.08800000000000001,0.608,0,0,1
162,1.31,0.64,0.036000000000000004,0.748,0,0,1
163,1.31,0.68,0.07200000000000001,0.8759999999999999,0,0,1
164,1.34,0.8,-0.027999999999999997,0.752,0,0,1
165,1.31,0.836,-0.156,0.76,0,0,1
166,1.31,0.7240000000000001,-0.26,0.512,0,0,1
167,1.31,0.992,-0.44799999999999995,0.584,0,0,1
168,1.31,0.932,-0.43200000000000005,0.47600000000000003,0,0,1
169,1.31,0.7559999999999999,-0.684,0.312,0,0,1
170,1.28,0.516,-0.86,0.28,0,0,1
171,1.31,0.624,-0.32,0.47600000000000003,0,0,1
172,1.31,0.62,-0.076,0.6679999999999999,0,0,1
173,1.31,0.49200000000000005,0.256,0.8079999999999999,0,0,1
174,1.31,0.516,0.08800000000000001,0.804,0,0,1
175,1.31,0.596,0.048,0.764,0,0,1
176,1.31,0.604,0.016,0.7879999999999999,0,0,1
177,1.31,0.644,-0.124,0.7040000000000001,0,0,1
178,1.31,0.728,-0.11599999999999999,0.688,0,0,1
179,1.31,0.728,-0.152,0.588,0,0,1
180,1.31,0.672,-0.196,0.5760000000000001,0,0,1
181,1.31,0.684,-0.06,0.608,0,0,1
182,1.31,0.66,0.012,0.612,0,0,1
183,1.31,0.688,-0.04,0.7240000000000001,0,0,1
184,1.31,0.628,-0.076,0.736,0,0,1
185,1.31,0.624,0.055999999999999994,0.616,0,0,1
186,1.31,0.752,-0.048,0.7240000000000001,0,0,1
187,1.31,0.752,-0.18,0.612,0,0,1
188,1.31,0.8,-0.35200000000000004,0.5760000000000001,0,0,1
189,1.31,0.74,-0.456,0.54,0,0,1
190,1.31,0.684,-0.47200000000000003,0.504,0,0,1
191,1.31,0.74,-0.5,0.452,0,0,1
192,1.31,0.792,-0.536,0.47200000000000003,0,0,1
193,1.31,0.76,-0.5479999999999999,0.46,0,0,1
194,1.31,0.78,-0.49200000000000005,0.44799999999999995,0,0,1
195,1.31,0.7759999999999999,-0.424,0.43200000000000005,0,0,1
196,1.31,0.768,-0.384,0.46,0,0,1
197,1.31,0.752,-0.384,0.47200000000000003,0,0,1
198,1.31,0.772,-0.37200000000000005,0.488,0,0,1
199,1.31,0.7559999999999999,-0.396,0.484,0,0,1
200,1.31,0.752,-0.376,0.508,0,0,1
201,1.31,0.736,-0.344,0.52,0,0,1
202,1.31,0.732,-0.35200000000000004,0.512,0,0,1
203,1.31,0.74,-0.364,0.532,0,0,1
204,1.31,0.72,-0.35600000000000004,0.52,0,0,1
205,1.31,0.7040000000000001,-0.36,0.532,0,0,1
206,1.31,0.7,-0.37200000000000005,0.544,0,0,1
207,1.31,0.708,-0.368,0.54,0,0,1
208,1.31,0.716,-0.392,0.5479999999999999,0,0,1
209,1.31,0.716,-0.41200000000000003,0.544,0,0,1
210,1.31,0.7040000000000001,-0.408,0.56,0,0,1
211,1.31,0.74,-0.38,0.536,0,0,1
212,1.31,0.88,-0.392,0.456,0,0,1
213,1.31,0.6920000000000001,-0.5479999999999999,0.48,0,0,1
214,1.31,0.324,-0.38,0.316,0,0,1
215,1.31,0.42,-0.41600000000000004,0.44,0,0,1
216,1.31,0.184,-0.316,0.524,0,0,1
217,1.31,0.41200000000000003,-0.496,0.568,0,0,1
218,1.31,0.536,-0.40399999999999997,0.5479999999999999,0,0,1
219,1.31,0.7240000000000001,-0.304,0.5479999999999999,0,0,1
220,1.31,0.8240000000000001,-0.484,0.568,0,0,1
221,1.31,0.768,-0.43200000000000005,0.508,0,0,1
222,1.31,0.684,-0.524,0.5720000000000001,0,0,1
223,1.31,0.664,-0.552,0.516,0,0,1
224,1.31,0.6679999999999999,-0.5479999999999999,0.508,0,0,1
225,1.31,0.68,-0.456,0.524,0,0,1
226,1.31,0.688,-0.48,0.556,0,0,1
227,1.31,0.6559999999999999,-0.504,0.556,0,0,1
228,1.31,0.62,-0.552,0.552,0,0,1
229,1.31,0.588,-0.532,0.556,0,0,1
230,1.31,0.604,-0.504,0.5720000000000001,0,0,1
231,1.31,0.612,-0.48,0.56,0,0,1
232,1.31,0.608,-0.48,0.5760000000000001,0,0,1
233,1.31,0.604,-0.48,0.568,0,0,1
234,1.31,0.624,-0.47600000000000003,0.56,0,0,1
235,1.31,0.62,-0.488,0.5720000000000001,0,0,1
236,1.31,0.604,-0.504,0.584,0,0,1
237,1.31,0.496,-0.5,0.496,0,0,1
238,1.31,0.452,-0.532,0.604,0,0,1
239,1.31,0.58,-0.43200000000000005,0.684,0,0,1
240,1.31,0.628,-0.324,0.628,0,0,1
241,1.31,0.688,-0.312,0.664,0,0,1
242,1.31,0.688,-0.316,0.6920000000000001,0,0,1
243,1.31,0.664,-0.308,0.7120000000000001,0,0,1
244,1.31,0.6759999999999999,-0.308,0.648,0,0,1
245,1.31,0.6759999999999999,-0.316,0.612,0,0,1
246,1.31,0.68,-0.29600000000000004,0.608,0,0,1
247,1.31,0.688,-0.316,0.632,0,0,1
248,1.31,0.672,-0.324,0.628,0,0,1
249,1.31,0.684,-0.336,0.612,0,0,1
250,1.31,0.6920000000000001,-0.35600000000000004,0.58,0,0,1
251,1.31,0.6920000000000001,-0.332,0.5760000000000001,0,0,1
252,1.31,0.708,-0.34,0.568,0,0,1
253,1.31,0.7040000000000001,-0.336,0.564,0,0,1
254,1.31,0.7240000000000001,-0.364,0.564,0,0,1
255,1.31,0.716,-0.36,0.52,0,0,1
256,1.31,0.748,-0.36,0.544,0,0,1
257,1.31,0.768,-0.392,0.544,0,0,1
258,1.31,0.752,-0.452,0.516,0,0,1
259,1.31,0.748,-0.5,0.508,0,0,1
260,1.31,0.7759999999999999,-0.48,0.47200000000000003,0,0,1
261,1.31,0.6920000000000001,-0.41600000000000004,0.444,0,0,1
262,1.31,0.684,-0.46799999999999997,0.428,0,0,1
263,1.31,0.6920000000000001,-0.5479999999999999,0.424,0,0,1
264,1.31,0.6759999999999999,-0.524,0.43200000000000005,0,0,1
265,1.31,0.6920000000000001,-0.496,0.44799999999999995,0,0,1
266,1.31,0.708,-0.46399999999999997,0.456,0,0,1
267,1.31,0.688,-0.452,0.46799999999999997,0,0,1
268,1.31,0.6920000000000001,-0.428,0.496,0,0,1
269,1.31,0.696,-0.41600000000000004,0.536,0,0,1
270,1.31,0.7040000000000001,-0.4,0.508,0,0,1
271,1.31,0.716,-0.408,0.512,0,0,1
272,1.31,0.7040000000000001,-0.43200000000000005,0.524,0,0,1
273,1.31,0.708,-0.444,0.508,0,0,1
274,1.31,0.7040000000000001,-0.444,0.496,0,0,1
275,1.31,0.6920000000000001,-0.47600000000000003,0.48,0,0,1
276,1.31,0.684,-0.516,0.48,0,0,1
277,1.31,0.648,-0.5720000000000001,0.452,0,0,1
278,1.31,0.608,-0.624,0.44,0,0,1
279,1.31,0.608,-0.652,0.424,0,0,1
280,1.31,0.62,-0.648,0.41600000000000004,0,0,1
281,1.31,0.628,-0.6559999999999999,0.41200000000000003,0,0,1
282,1.31,0.628,-0.688,0.408,0,0,1
283,1.31,0.616,-0.684,0.408,0,0,1
284,1.31,0.612,-0.708,0.4,0,0,1
285,1.31,0.644,-0.708,0.408,0,0,1
286,1.31,0.68,-0.6559999999999999,0.47600000000000003,0,0,1
287,1.31,0.68,-0.648,0.452,0,0,1
288,1.31,0.696,-0.684,0.484,0,0,1
289,1.34,0.696,-0.616,0.47600000000000003,0,0,1
290,1.31,0.7,-0.512,0.48,0,0,1
291,1.34,0.74,-0.512,0.47600000000000003,0,0,1
292,1.34,0.74,-0.456,0.484,0,0,1
293,1.37,0.8440000000000001,-0.9359999999999999,0.488,0,0,1
294,1.34,0.868,-0.7040000000000001,0.428,0,0,1
295,1.31,0.836,-1.0,0.292,0,0,1
296,1.28,0.872,-0.64,0.256,0,0,1
297,1.28,0.9,-0.47600000000000003,0.332,0,0,1
298,1.31,0.9159999999999999,-0.368,0.308,0,0,1
299,1.31,1.056,-0.22399999999999998,0.28,0,0,1
300,1.28,0.8440000000000001,-0.14,0.23199999999999998,0,0,1
301,1.31,0.8440000000000001,-0.07200000000000001,0.292,0,0,1
302,1.31,0.7759999999999999,-0.064,0.308,0,0,1
303,1.31,0.816,0.004,0.35200000000000004,0,0,1
304,1.31,0.9359999999999999,0.08800000000000001,0.268,0,0,1
305,1.34,1.176,0.152,0.348,0,0,1
306,1.4,1.06,0.23600000000000002,0.344,0,0,1
307,1.68,0.924,0.228,0.384,0,0,1
308,1.96,0.8759999999999999,0.452,0.968,0,0,1
309,1.31,0.584,0.512,0.74,0,0,1
310,1.31,0.736,0.648,0.608,0,0,1
311,1.31,0.7559999999999999,0.8440000000000001,0.636,0,0,1
312,1.28,0.716,0.52,0.5760000000000001,0,0,1
313,1.31,0.736,0.444,0.552,0,0,1
314,1.31,0.78,0.41600000000000004,0.568,0,0,1
315,1.31,0.784,0.384,0.56,0,0,1
316,1.31,0.784,0.276,0.556,0,0,1
317,1.31,0.784,0.132,0.536,0,0,1
318,1.31,0.828,0.124,0.54,0,0,1
319,1.31,0.8440000000000001,0.184,0.536,0,0,1
320,1.31,0.7759999999999999,0.18,0.508,0,0,1
321,1.31,0.856,0.20800000000000002,0.496,0,0,1
322,1.31,0.82,0.168,0.46399999999999997,0,0,1
323,1.31,0.708,0.152,0.512,0,0,1
324,1.31,0.6559999999999999,0.14400000000000002,0.47200000000000003,0,0,1
325,1.31,0.5920000000000001,0.196,0.48,0,0,1
326,1.31,0.66,0.42,0.596,0,0,1
327,1.34,0.6679999999999999,0.44,0.56,0,0,1
328,1.31,0.596,0.5479999999999999,0.54,0,0,1
329,1.31,0.708,0.496,0.49200000000000005,0,0,1
330,1.31,0.868,0.47200000000000003,0.624,0,0,1
331,1.31,0.74,0.24,0.496,0,0,1
332,1.31,0.76,0.196,0.52,12,3,1
333,1.31,0.78,0.192,0.536,12,3,1
334,1.31,0.7879999999999999,0.18,0.516,12,3,1
335,1.31,0.7959999999999999,0.2,0.58,12,3,1
336,1.31,0.7959999999999999,0.192,0.556,12,3,1
337,1.31,0.792,0.096,0.52,12,3,1
338,1.31,0.8,0.068,0.5,12,3,1
339,1.31,0.828,0.084,0.532,12,3,1
340,1.31,0.82,0.096,0.532,12,3,1
341,1.31,0.8320000000000001,0.1,0.512,12,3,1
342,1.31,0.8440000000000001,0.07200000000000001,0.524,12,3,1
343,1.31,0.84,0.064,0.52,12,3,1
344,1.31,0.848,0.052000000000000005,0.524,12,3,1
345,1.31,0.84,0.068,0.536,12,3,1
346,1.31,0.852,0.055999999999999994,0.536,12,3,1
347,1.31,0.848,0.068,0.54,12,3,1
348,1.31,0.848,0.07200000000000001,0.532,12,3,1
349,1.31,0.836,0.068,0.52,12,3,1
350,1.31,0.84,0.08800000000000001,0.528,12,3,1
351,1.31,0.8320000000000001,0.1,0.5,12,3,1
352,1.31,0.848,0.10400000000000001,0.52,12,3,1
353,1.31,0.848,0.076,0.496,12,3,1
354,1.31,0.848,0.084,0.512,12,3,1
355,1.31,0.856,0.08800000000000001,0.508,12,3,1
356,1.31,0.8640000000000001,0.06,0.5,12,3,1
357,1.31,0.868,0.08,0.5,12,3,1
358,1.31,0.86,0.076,0.484,12,3,1
359,1.31,0.86,0.084,0.496,12,3,1
360,1.31,0.8640000000000001,0.076,0.484,12,3,1
361,1.31,0.884,0.096,0.528,12,3,1
362,1.31,0.872,0.055999999999999994,0.54,12,3,1
363,1.31,0.84,0.024,0.524,12,3,1
364,1.31,0.8240000000000001,0.016,0.524,12,3,1
365,1.31,0.8240000000000001,0.036000000000000004,0.54,12,3,1
366,1.31,0.812,0.055999999999999994,0.5720000000000001,12,3,1
367,1.31,0.8079999999999999,0.055999999999999994,0.5760000000000001,12,3,1
368,1.31,0.7959999999999999,0.044000000000000004,0.564,12,3,1
369,1.31,0.7959999999999999,0.036000000000000004,0.584,12,3,1
370,1.18,0.784,0.027999999999999997,0.584,12,3,1
371,1.18,0.78,0.027999999999999997,0.596,12,3,1
372,1.18,0.78,0.024,0.5920000000000001,12,3,1
373,1.31,0.7759999999999999,0.027999999999999997,0.604,12,3,1
374,1.18,0.768,0.032,0.612,12,3,1
375,1.18,0.76,0.02,0.608,12,3,1
376,1.18,0.772,0.02,0.62,12,3,1
377,1.18,0.764,0.012,0.624,12,3,1
378,1.18,0.748,0.004,0.608,12,3,1
379,1.18,0.74,-0.016,0.616,12,3,1
380,1.18,0.74,-0.008,0.62,12,3,1
381,1.18,0.752,-0.004,0.632,12,3,1
382,1.18,0.76,0.0,0.632,12,3,1
383,1.18,0.7440000000000001,0.0,0.624,12,3,1
384,1.18,0.748,0.008,0.624,12,3,1
385,1.18,0.76,0.004,0.62,12,3,1
386,1.18,0.768,0.004,0.628,12,3,1
387,1.18,0.764,0.004,0.632,12,3,1
388,1.18,0.76,0.012,0.628,12,3,1
389,1.18,0.7559999999999999,0.016,0.628,12,3,1
390,1.18,0.76,0.012,0.632,12,3,1
391,1.18,0.768,0.02,0.632,12,3,1
392,1.18,0.76,0.012,0.628,12,3,1
393,1.18,0.76,0.012,0.62,12,3,1
394,1.18,0.752,0.004,0.624,12,3,1
395,1.18,0.748,0.016,0.62,12,3,1
396,1.18,0.764,0.008,0.628,12,3,1
397,1.18,0.752,0.008,0.628,12,3,1
398,1.18,0.7559999999999999,0.016,0.616,12,3,1
399,1.18,0.764,0.012,0.616,12,3,1
400,1.18,0.76,0.016,0.604,12,3,1
401,1.18,0.764,0.016,0.612,12,3,1
402,1.18,0.76,0.012,0.62,12,3,1
403,1.18,0.752,0.016,0.62,12,3,1
404,1.18,0.7559999999999999,0.016,0.624,12,3,1
405,1.18,0.7559999999999999,0.016,0.612,12,3,1
406,1.18,0.7559999999999999,0.02,0.624,12,3,1
407,1.18,0.764,0.024,0.62,12,3,1
408,1.18,0.768,0.036000000000000004,0.62,12,3,1
409,1.18,0.76,0.027999999999999997,0.636,12,3,1
410,1.18,0.772,-0.012,0.5479999999999999,12,3,1
411,1.18,0.828,-0.004,0.652,12,3,1
412,1.18,0.8759999999999999,-0.008,0.628,12,3,1
413,1.18,0.836,-0.032,0.552,0,0,1
414,1.18,0.8759999999999999,-0.124,0.49200000000000005,0,0,1
415,1.18,0.9279999999999999,-0.136,0.596,0,0,1
416,1.18,0.836,0.156,0.72,0,0,1
417,1.18,0.816,0.128,0.836,0,0,1
418,1.18,0.684,0.28800000000000003,0.7040000000000001,0,0,1
419,1.18,0.6,0.384,0.68,0,0,1
420,1.18,0.46799999999999997,0.44799999999999995,0.7120000000000001,0,0,1
421,1.18,0.46399999999999997,0.42,0.7,0,0,1
422,1.18,0.512,0.392,0.728,0,0,1
423,1.18,0.47200000000000003,0.384,0.6679999999999999,0,0,1
424,1.18,0.524,0.312,0.68,0,0,1
425,1.18,0.588,0.184,0.768,0,0,1
426,1.18,0.56,0.124,0.76,0,0,1
427,1.18,0.564,0.084,0.7440000000000001,0,0,1
428,1.18,0.624,0.052000000000000005,0.736,0,0,1
429,1.18,0.644,0.032,0.76,0,0,1
430,1.18,0.664,0.024,0.7759999999999999,0,0,1
431,1.18,0.684,0.036000000000000004,0.736,0,0,1
432,1.18,0.684,0.032,0.72,0,0,1
433,1.18,0.6920000000000001,0.06,0.7,0,0,1
434,1.18,0.7040000000000001,0.084,0.6920000000000001,0,0,1
435,1.18,0.7240000000000001,0.096,0.696,0,0,1
436,1.18,0.7120000000000001,0.08800000000000001,0.684,12,3,1
437,1.18,0.7,0.076,0.66,12,3,1
438,1.18,0.7,0.084,0.664,12,3,1
439,1.18,0.7240000000000001,0.11599999999999999,0.688,12,3,1
440,1.18,0.728,0.11199999999999999,0.6759999999999999,12,3,1
441,1.18,0.716,0.092,0.648,12,3,1
442,1.18,0.716,0.092,0.6559999999999999,12,3,1
443,1.18,0.732,0.08800000000000001,0.648,12,3,1
444,1.18,0.752,0.096,0.644,12,3,1
445,1.18,0.736,0.092,0.648,12,3,1
446,1.18,0.732,0.11199999999999999,0.632,12,3,1
447,1.18,0.74,0.11599999999999999,0.636,12,3,1
448,1.18,0.748,0.128,0.652,12,3,1
449,1.18,0.7440000000000001,0.132,0.64,12,3,1
450,1.18,0.76,0.132,0.64,12,3,1
451,1.18,0.7559999999999999,0.124,0.648,12,3,1
452,1.18,0.748,0.12,0.636,12,3,1
453,1.18,0.748,0.124,0.644,12,3,1
454,1.18,0.7559999999999999,0.128,0.64,12,3,1
455,1.18,0.752,0.136,0.632,12,3,1
456,1.18,0.752,0.132,0.644,12,3,1
457,1.18,0.74,0.124,0.64,12,3,1
458,1.18,0.752,0.128,0.636,12,3,1
459,1.18,0.748,0.12,0.632,12,3,1
460,1.18,0.748,0.12,0.62,12,3,1
461,1.18,0.7440000000000001,0.11599999999999999,0.632,12,3,1
462,1.18,0.74,0.11599999999999999,0.624,12,3,1
463,1.18,0.748,0.11199999999999999,0.62,12,3,1
464,1.18,0.76,0.11599999999999999,0.628,12,3,1
465,1.18,0.748,0.12,0.628,12,3,1
466,1.18,0.74,0.124,0.644,12,3,1
467,1.18,0.736,0.132,0.636,12,3,1
468,1.18,0.7440000000000001,0.136,0.652,12,3,1
469,1.18,0.748,0.12,0.648,12,3,1
470,1.18,0.736,0.10400000000000001,0.644,12,3,1
471,1.18,0.732,0.10400000000000001,0.64,12,3,1
472,1.18,0.736,0.10400000000000001,0.644,12,3,1
473,1.18,0.7120000000000001,0.11199999999999999,0.628,12,3,1
