,number,value,depth,x,y,z,behaviour,type,place
0,1,1,0.87,0.792,-0.212,0.5760000000000001,12,3,1
1,1,1,0.87,0.836,-0.244,0.544,12,3,1
2,1,1,0.87,0.856,-0.292,0.5,12,3,1
3,1,1,0.87,0.848,-0.344,0.484,12,3,1
4,1,1,0.87,0.8320000000000001,-0.35600000000000004,0.484,12,3,1
5,1,1,0.87,0.8079999999999999,-0.34,0.47600000000000003,12,3,1
6,1,1,0.87,0.8,-0.34,0.46,12,3,1
7,1,1,0.87,0.804,-0.336,0.46,12,3,1
8,1,1,0.87,0.812,-0.34,0.46799999999999997,12,3,1
9,1,1,0.87,0.82,-0.336,0.46,12,3,1
10,1,1,0.87,0.816,-0.316,0.452,12,3,1
11,1,1,0.87,0.804,-0.316,0.44799999999999995,12,3,1
12,1,1,0.87,0.816,-0.32,0.452,12,3,1
13,1,1,0.87,0.82,-0.308,0.444,12,3,1
14,1,1,0.87,0.82,-0.28800000000000003,0.44799999999999995,12,3,1
15,1,1,0.87,0.812,-0.292,0.44799999999999995,12,3,1
16,1,1,0.87,0.804,-0.292,0.456,12,3,1
17,1,1,0.87,0.784,-0.284,0.46,12,3,1
18,1,1,0.87,0.784,-0.28800000000000003,0.47200000000000003,12,3,1
19,1,1,0.87,0.7759999999999999,-0.28800000000000003,0.49200000000000005,12,3,1
20,1,1,0.87,0.768,-0.276,0.5,12,3,1
21,1,1,0.87,0.772,-0.268,0.512,12,3,1
22,1,1,0.87,0.764,-0.252,0.516,12,3,1
23,1,1,0.87,0.764,-0.23199999999999998,0.528,12,3,1
24,1,1,0.87,0.764,-0.248,0.54,12,3,1
25,1,1,0.87,0.764,-0.256,0.528,12,3,1
26,1,1,0.87,0.7559999999999999,-0.26,0.544,12,3,1
27,1,1,0.87,0.76,-0.268,0.512,12,3,1
28,1,1,0.87,0.76,-0.26,0.47600000000000003,12,3,1
29,1,1,0.87,0.76,-0.268,0.49200000000000005,12,3,1
30,1,1,0.87,0.7879999999999999,-0.3,0.5,12,3,1
31,1,1,0.87,0.836,-0.32799999999999996,0.456,12,3,1
32,1,1,0.87,0.848,-0.316,0.41600000000000004,12,3,1
33,1,1,0.87,0.84,-0.32799999999999996,0.38799999999999996,12,3,1
34,1,1,0.87,0.8440000000000001,-0.36,0.368,12,3,1
35,1,1,0.87,0.8440000000000001,-0.376,0.37200000000000005,12,3,1
36,1,1,0.87,0.856,-0.376,0.408,12,3,1
37,1,1,0.87,0.84,-0.35200000000000004,0.42,12,3,1
38,1,1,0.87,0.836,-0.324,0.43200000000000005,12,3,1
39,1,1,0.87,0.84,-0.332,0.46,12,3,1
40,1,1,0.87,0.82,-0.38,0.46399999999999997,12,3,1
41,1,1,0.87,0.868,-0.38799999999999996,0.46,12,3,1
42,1,1,0.87,0.884,-0.43200000000000005,0.436,12,3,1
43,1,1,0.87,0.872,-0.384,0.508,12,3,1
44,1,1,0.87,0.7959999999999999,-0.316,0.684,12,3,1
45,1,1,0.87,0.9159999999999999,-0.35600000000000004,0.86,12,3,1
46,1,2,0.87,1.08,-0.268,0.716,1,1,1
47,1,2,0.87,0.8440000000000001,-0.41200000000000003,0.6759999999999999,1,1,1
48,1,2,0.87,0.496,-0.348,0.556,1,1,1
49,1,2,0.87,0.124,-0.16399999999999998,0.568,1,1,1
50,1,2,0.87,-0.132,0.324,1.004,1,1,1
51,1,2,0.87,0.02,0.184,0.872,1,1,1
52,1,2,0.87,0.1,0.516,0.976,1,1,1
53,1,2,0.87,0.0,0.7120000000000001,1.056,1,1,1
54,1,2,0.87,-0.012,0.732,0.6920000000000001,1,1,1
55,1,2,0.87,0.212,0.58,0.292,1,1,1
56,1,2,0.87,0.436,0.276,0.076,1,1,1
57,1,2,0.87,0.43200000000000005,0.188,0.384,1,1,1
58,1,2,0.87,0.20800000000000002,-0.284,0.628,1,1,1
59,1,2,0.87,0.512,-0.5479999999999999,0.524,1,1,1
60,1,2,0.87,0.5479999999999999,-0.9440000000000001,0.6559999999999999,1,1,1
61,1,2,0.87,1.024,-0.9,0.536,1,1,1
62,1,2,0.87,1.176,-0.696,0.5920000000000001,1,1,1
63,1,2,0.87,1.0,-0.696,0.72,1,1,1
64,1,2,0.87,0.892,-0.7040000000000001,0.996,1,1,1
65,1,2,0.87,0.716,-0.376,0.904,1,1,1
66,1,2,0.87,0.3,-0.336,1.084,1,1,1
67,1,2,0.87,0.212,-0.488,1.2919999999999998,1,1,1
68,1,2,0.87,0.34,-0.6679999999999999,1.064,1,1,1
69,1,2,0.87,0.212,-0.552,0.816,1,1,1
70,1,2,0.87,-0.23199999999999998,-0.5760000000000001,0.78,1,1,1
71,1,2,0.87,-0.764,-0.256,0.9440000000000001,1,1,1
72,1,2,0.87,-0.536,0.136,0.6,1,1,1
73,1,2,0.87,-0.384,0.98,0.2,1,1,1
74,1,2,0.87,-0.08,1.28,0.348,1,1,1
75,1,2,0.87,0.368,0.8759999999999999,0.248,1,1,1
76,1,2,0.87,0.52,1.004,0.38,1,1,1
77,1,2,0.87,0.616,0.9159999999999999,0.268,1,1,1
78,1,2,0.87,0.728,0.41200000000000003,-0.024,1,1,1
79,1,2,0.87,0.848,0.37200000000000005,0.06,1,1,1
80,1,2,0.87,1.148,0.28800000000000003,-0.11199999999999999,1,1,1
81,1,2,0.87,1.6880000000000002,-1.124,-0.556,1,1,1
82,1,2,0.87,1.252,-1.62,-0.41200000000000003,1,1,1
83,1,2,0.87,1.284,-0.84,0.24,1,1,1
84,1,2,0.87,1.128,-0.64,0.14400000000000002,1,1,1
85,1,2,0.87,0.9440000000000001,-0.32799999999999996,0.196,1,1,1
86,1,2,0.87,0.904,-0.264,0.256,1,1,1
87,1,2,0.87,0.784,-0.40399999999999997,0.212,1,1,1
88,1,2,0.87,0.632,-0.424,0.28800000000000003,1,1,1
89,1,2,0.87,0.6559999999999999,-0.35600000000000004,0.6759999999999999,1,1,1
90,1,2,0.87,0.54,0.052000000000000005,0.856,1,1,1
91,1,2,0.87,0.35200000000000004,0.17600000000000002,0.632,1,1,1
92,1,2,0.87,0.22399999999999998,0.34,0.828,1,1,1
93,1,2,0.87,0.192,0.436,0.7959999999999999,1,1,1
94,1,2,0.87,0.16399999999999998,0.396,0.816,1,1,1
95,1,2,0.87,0.132,0.332,0.9279999999999999,1,1,1
96,1,2,0.87,0.20800000000000002,0.12,1.1,1,1,1
97,1,2,0.87,0.348,-0.12,1.452,1,1,1
98,1,2,0.87,0.32,-0.43200000000000005,1.464,1,1,1
99,1,2,0.87,0.484,-0.488,1.168,1,1,1
100,1,2,0.87,0.42,-0.344,0.44,1,1,1
101,1,2,0.87,0.172,0.10400000000000001,0.16,1,1,1
102,1,2,0.87,0.188,0.036000000000000004,0.22399999999999998,1,1,1
103,1,2,0.87,-0.055999999999999994,-0.027999999999999997,0.20800000000000002,1,1,1
104,1,2,0.87,-0.22399999999999998,0.124,0.192,1,1,1
105,1,2,0.87,-0.052000000000000005,0.064,0.076,1,1,1
106,1,2,0.87,0.22399999999999998,-0.488,0.424,1,1,1
107,1,2,0.87,0.74,-1.3,0.29600000000000004,1,1,1
108,1,2,0.87,1.136,-1.536,-0.036000000000000004,1,1,1
109,1,2,0.87,1.444,-1.4040000000000001,-0.004,1,1,1
110,1,2,0.87,1.296,-0.804,0.17600000000000002,1,1,1
111,1,2,0.87,1.032,-0.256,0.47200000000000003,1,1,1
112,1,2,0.87,0.8240000000000001,-0.092,0.512,1,1,1
113,1,2,0.87,0.6559999999999999,-0.156,0.644,1,1,1
114,1,2,0.87,0.28800000000000003,-0.252,0.992,1,1,1
115,1,2,0.87,-0.23199999999999998,-0.128,0.9079999999999999,1,1,1
116,1,2,0.87,-0.26,-0.172,1.1440000000000001,1,1,1
117,1,2,0.87,-0.2,-0.376,1.12,1,1,1
118,1,2,0.87,-0.084,-0.588,1.032,1,1,1
119,1,2,0.87,-0.172,-0.78,0.932,1,1,1
120,1,2,0.87,0.11599999999999999,-1.04,0.8240000000000001,1,1,1
121,1,2,0.87,-0.02,-0.988,0.5479999999999999,1,1,1
122,1,2,0.87,-0.42,-0.37200000000000005,0.436,1,1,1
123,1,2,0.87,-0.17600000000000002,-0.008,0.37200000000000005,1,1,1
124,1,2,0.87,0.036000000000000004,0.696,0.132,1,1,1
125,1,2,0.87,-0.064,0.96,0.032,1,1,1
126,1,2,0.87,0.12,0.44799999999999995,0.14800000000000002,1,1,1
127,1,2,0.87,0.47200000000000003,0.08800000000000001,0.428,1,1,1
128,1,2,0.87,0.068,-0.7559999999999999,0.9440000000000001,1,1,1
129,1,2,0.87,0.6920000000000001,-1.472,0.308,1,1,1
130,1,2,0.87,1.676,-1.656,-0.10800000000000001,1,1,1
131,1,2,0.87,2.44,-0.84,-0.16399999999999998,1,1,1
132,1,2,0.87,1.992,-0.196,0.6920000000000001,1,1,1
133,1,2,0.87,1.232,0.152,0.244,1,1,1
134,1,2,0.87,0.264,0.008,0.204,1,1,1
135,1,2,0.87,-0.29600000000000004,-0.47200000000000003,1.12,1,1,1
136,1,2,0.87,-0.6679999999999999,-0.23600000000000002,1.296,1,1,1
137,1,2,0.87,-0.344,-0.16399999999999998,1.0,1,1,1
138,1,2,0.87,-0.152,0.044000000000000004,0.688,1,1,1
139,1,2,0.87,-0.368,0.68,0.852,1,1,1
140,1,2,0.87,-0.456,0.58,1.044,1,1,1
141,1,2,0.87,-0.152,0.7759999999999999,0.768,1,1,1
142,1,2,0.87,-0.40399999999999997,0.856,0.6559999999999999,1,1,1
143,1,2,0.87,-0.22399999999999998,0.884,0.28,1,1,1
144,1,2,0.87,0.324,-0.28,-0.36,1,1,1
145,1,2,0.87,0.544,-0.124,0.752,1,1,1
146,1,2,0.87,0.032,0.272,1.12,1,1,1
147,1,2,0.87,0.904,-0.128,0.716,1,1,1
148,1,2,0.87,1.3319999999999999,-0.992,0.36,1,1,1
149,1,2,0.87,1.692,-0.6759999999999999,0.32799999999999996,1,1,1
150,1,2,0.87,1.368,-0.14400000000000002,0.46,1,1,1
151,1,2,0.87,1.12,0.21600000000000003,0.556,1,1,1
152,1,2,0.87,0.9079999999999999,0.596,0.46799999999999997,1,1,1
153,1,2,0.87,0.524,0.7759999999999999,1.068,1,1,1
154,1,2,0.87,0.29600000000000004,0.696,0.8759999999999999,1,1,1
155,1,2,0.87,0.2,0.5720000000000001,0.84,1,1,1
156,1,2,0.87,0.096,0.292,0.8640000000000001,1,1,1
157,1,2,0.87,0.012,-0.008,0.9359999999999999,1,1,1
158,1,2,0.87,0.036000000000000004,-0.272,0.8959999999999999,1,1,1
159,1,2,0.87,-0.004,-0.40399999999999997,0.9279999999999999,1,1,1
160,1,2,0.87,0.008,-0.644,0.972,1,1,1
161,1,2,0.87,0.11599999999999999,-0.764,0.96,1,1,1
162,1,2,0.87,0.08800000000000001,-0.708,0.72,1,1,1
163,1,2,0.87,-0.156,-0.41200000000000003,0.20800000000000002,1,1,1
164,1,2,0.87,0.24,0.672,0.5,1,1,1
165,1,2,0.87,0.488,0.7440000000000001,0.484,1,1,1
166,1,2,0.87,0.68,0.516,0.212,1,1,1
167,1,2,0.87,0.364,0.6759999999999999,0.42,1,1,1
168,1,2,0.87,0.544,0.336,0.47600000000000003,1,1,1
169,1,2,0.87,0.7040000000000001,0.068,0.172,1,1,1
170,1,2,0.87,0.728,-0.74,0.644,1,1,1
171,1,2,0.87,1.18,-1.196,0.364,1,1,1
172,1,2,0.87,1.244,-0.732,0.408,1,1,1
173,1,2,0.87,1.128,-0.604,0.364,1,1,1
174,1,2,0.87,0.7120000000000001,-0.28,0.40399999999999997,1,1,1
175,1,2,0.87,0.608,0.044000000000000004,0.688,1,1,1
176,1,2,0.87,0.28800000000000003,0.46399999999999997,1.036,1,1,1
177,1,2,0.87,0.172,0.752,1.124,1,1,1
178,1,2,0.87,0.12,0.5760000000000001,1.18,1,1,1
179,1,2,0.87,0.248,0.284,1.192,1,1,1
180,1,2,0.87,0.24,0.32,1.068,1,1,1
181,1,2,0.87,0.336,0.192,0.996,1,1,1
182,1,2,0.87,0.34,0.036000000000000004,0.8079999999999999,1,1,1
183,1,2,0.87,0.41600000000000004,-0.188,0.7559999999999999,1,1,1
184,1,2,0.87,0.528,-0.292,0.648,1,1,1
185,1,2,0.87,0.484,-0.34,0.528,1,1,1
186,1,2,0.87,0.28,-0.312,0.532,1,1,1
187,1,2,0.87,0.34,0.22399999999999998,0.428,1,1,1
188,1,2,0.87,0.488,0.284,0.37200000000000005,1,1,1
189,1,2,0.87,0.528,0.41600000000000004,0.428,1,1,1
190,1,2,0.87,0.68,0.408,0.7120000000000001,1,1,1
191,1,2,0.87,0.8079999999999999,0.47600000000000003,0.816,1,1,1
192,1,2,0.87,0.976,0.632,0.664,1,1,1
193,1,2,0.87,1.008,0.292,0.66,1,1,1
194,1,2,0.87,0.948,0.10800000000000001,0.5760000000000001,1,1,1
195,1,2,0.87,0.88,0.096,0.508,1,1,1
196,1,2,0.87,0.7040000000000001,-0.064,0.496,1,1,1
197,1,2,0.87,0.752,-0.14400000000000002,0.56,1,1,1
198,1,2,0.87,0.912,-0.248,0.436,1,1,1
199,1,2,0.87,1.08,-0.192,0.35200000000000004,1,1,1
200,1,2,0.87,1.056,-0.16399999999999998,0.396,1,1,1
201,1,2,0.87,0.86,-0.16399999999999998,0.452,1,1,1
202,1,2,0.87,0.792,-0.092,0.46,1,1,1
203,1,2,0.87,0.78,-0.16,0.4,1,1,1
204,1,2,0.87,0.772,-0.07200000000000001,0.424,1,1,1
205,2,3,0.87,0.888,0.11199999999999999,0.524,12,3,1
206,2,3,0.87,0.8759999999999999,0.228,0.584,12,3,1
207,2,3,0.87,0.852,0.18,0.544,12,3,1
208,2,3,0.87,0.84,0.2,0.588,12,3,1
209,2,3,0.87,0.804,0.18,0.628,12,3,1
210,2,3,0.87,0.772,0.172,0.604,12,3,1
211,2,3,0.87,0.748,0.168,0.588,12,3,1
212,2,3,0.87,0.74,0.152,0.584,12,3,1
213,2,3,0.87,0.748,0.152,0.588,12,3,1
214,2,3,0.87,0.7559999999999999,0.16,0.596,12,3,1
215,2,3,0.87,0.76,0.192,0.612,12,3,1
216,2,3,0.87,0.7559999999999999,0.20800000000000002,0.632,12,3,1
217,2,3,0.87,0.76,0.22399999999999998,0.62,12,3,1
218,2,3,0.87,0.772,0.228,0.628,12,3,1
219,2,3,0.87,0.784,0.23199999999999998,0.628,12,3,1
220,2,3,0.87,0.772,0.2,0.628,12,3,1
221,2,3,0.87,0.7759999999999999,0.18,0.628,12,3,1
222,2,3,0.87,0.76,0.16,0.612,12,3,1
223,2,3,0.87,0.748,0.14400000000000002,0.604,12,3,1
224,2,3,0.87,0.7440000000000001,0.11599999999999999,0.604,12,3,1
225,2,3,0.87,0.752,0.12,0.612,12,3,1
226,2,3,0.87,0.7440000000000001,0.11599999999999999,0.604,12,3,1
227,2,3,0.87,0.7440000000000001,0.11199999999999999,0.596,12,3,1
228,2,3,0.87,0.7440000000000001,0.10400000000000001,0.6,12,3,1
229,2,3,0.87,0.7440000000000001,0.10800000000000001,0.608,12,3,1
230,2,3,0.87,0.7559999999999999,0.1,0.612,12,3,1
231,2,3,0.87,0.7559999999999999,0.1,0.624,12,3,1
232,2,3,0.87,0.752,0.092,0.624,12,3,1
233,2,3,0.87,0.7440000000000001,0.068,0.608,12,3,1
234,2,3,0.87,0.7240000000000001,0.076,0.608,12,3,1
235,2,3,0.87,0.7240000000000001,0.07200000000000001,0.604,12,3,1
236,2,3,0.87,0.728,0.08,0.604,12,3,1
237,2,3,0.87,0.7440000000000001,0.092,0.62,12,3,1
238,2,3,0.87,0.7559999999999999,0.096,0.628,12,3,1
239,2,3,0.87,0.7559999999999999,0.092,0.624,12,3,1
240,2,3,0.87,0.748,0.08800000000000001,0.616,12,3,1
241,2,3,0.87,0.76,0.068,0.628,12,3,1
242,2,3,0.87,0.76,0.064,0.624,12,3,1
243,2,3,0.87,0.76,0.06,0.632,12,3,1
244,2,3,0.87,0.7440000000000001,0.055999999999999994,0.624,12,3,1
245,2,3,0.87,0.7240000000000001,0.044000000000000004,0.624,12,3,1
246,2,3,0.87,0.728,0.032,0.64,12,3,1
247,2,3,0.87,0.748,0.036000000000000004,0.652,12,3,1
248,1,4,0.87,0.7440000000000001,0.04,0.632,0,0,1
249,1,4,0.87,0.716,0.012,0.564,0,0,1
250,1,4,0.87,0.6920000000000001,0.008,0.58,0,0,1
251,1,4,0.87,0.672,0.10400000000000001,0.664,0,0,1
252,1,4,0.87,0.7,0.228,0.76,0,0,1
253,1,4,0.87,0.792,0.332,0.72,0,0,1
