,number,value,depth,x,y,z,behaviour,type,place
0,1.0,1.0,0.43,0.8440000000000001,-0.14,0.484,12,3,1
1,1.0,1.0,0.43,0.848,-0.124,0.484,12,3,1
2,1.0,1.0,0.43,0.852,-0.14,0.48,12,3,1
3,1.0,1.0,0.43,0.848,-0.16399999999999998,0.46799999999999997,12,3,1
4,1.0,1.0,0.43,0.86,-0.18,0.46799999999999997,12,3,1
5,1.0,1.0,0.43,0.852,-0.196,0.46799999999999997,12,3,1
6,1.0,1.0,0.43,0.852,-0.204,0.46,12,3,1
7,1.0,1.0,0.43,0.856,-0.212,0.44799999999999995,12,3,1
8,1.0,1.0,0.43,0.856,-0.22399999999999998,0.444,12,3,1
9,1.0,1.0,0.43,0.852,-0.228,0.44799999999999995,12,3,1
10,1.0,1.0,0.43,0.8440000000000001,-0.23600000000000002,0.444,12,3,1
11,1.0,1.0,0.43,0.828,-0.23600000000000002,0.44,12,3,1
12,1.0,1.0,0.43,0.8240000000000001,-0.23600000000000002,0.44799999999999995,12,3,1
13,1.0,1.0,0.43,0.84,-0.23199999999999998,0.424,12,3,1
14,1.0,1.0,0.43,0.84,-0.268,0.42,12,3,1
15,1.0,1.0,0.43,0.836,-0.284,0.424,12,3,1
16,1.0,1.0,0.43,0.84,-0.308,0.392,12,3,1
17,1.0,1.0,0.43,0.88,-0.332,0.37200000000000005,12,3,1
18,1.0,1.0,0.43,0.888,-0.332,0.348,12,3,1
19,1.0,1.0,0.43,0.912,-0.348,0.42,12,3,1
20,1.0,1.0,0.43,0.9079999999999999,-0.38799999999999996,0.368,12,3,1
21,1.0,1.0,0.43,0.9359999999999999,-0.41600000000000004,0.308,12,3,1
22,1.0,1.0,0.43,1.004,-0.35600000000000004,0.35200000000000004,12,3,1
23,1.0,1.0,0.43,1.0759999999999998,-0.212,0.37200000000000005,12,3,1
24,1.0,1.0,0.43,1.0759999999999998,-0.08,0.46399999999999997,12,3,1
25,1.0,1.0,0.43,0.976,-0.016,0.452,12,3,1
26,1.0,1.0,0.43,0.86,-0.004,0.512,12,3,1
27,1.0,1.0,0.43,0.924,0.0,0.54,12,3,1
28,1.0,1.0,0.43,0.98,-0.036000000000000004,0.528,12,3,1
29,1.0,1.0,0.43,0.988,0.0,0.568,12,3,1
30,1.0,1.0,0.43,0.8240000000000001,-0.016,0.516,12,3,1
31,1.0,1.0,0.43,0.7040000000000001,-0.012,0.58,12,3,1
32,1.0,1.0,0.43,0.544,0.092,0.624,12,3,1
33,1.0,1.0,0.43,0.46,0.14800000000000002,0.812,12,3,1
34,1.0,1.0,0.43,0.42,-0.10800000000000001,0.8440000000000001,12,3,1
35,1.0,1.0,0.43,0.376,-0.292,0.6559999999999999,12,3,1
36,1.0,1.0,0.43,0.46799999999999997,-0.38799999999999996,0.624,12,3,1
37,1.0,1.0,0.43,0.54,-0.35200000000000004,0.7,12,3,1
38,1.0,1.0,0.43,0.608,-0.36,0.7440000000000001,12,3,1
39,1.0,1.0,0.43,0.68,-0.428,0.644,12,3,1
40,1.0,1.0,0.43,0.6759999999999999,-0.396,0.62,12,3,1
41,1.0,1.0,0.43,0.616,-0.268,0.32799999999999996,12,3,1
42,1.0,1.0,0.43,0.764,-0.24,0.436,12,3,1
43,1.0,1.0,0.43,0.588,-0.564,0.92,12,3,1
44,1.0,1.0,0.43,0.308,0.068,0.988,12,3,1
45,1.0,1.0,0.43,0.11199999999999999,-0.128,0.92,12,3,1
46,1.0,1.0,0.43,-0.20800000000000002,-0.036000000000000004,0.9520000000000001,12,3,1
47,1.0,1.0,0.43,-0.248,0.12,0.728,12,3,1
48,1.0,1.0,0.43,-0.096,0.264,1.04,12,3,1
49,1.0,1.0,0.43,-0.02,0.46,1.1520000000000001,12,3,1
50,1.0,2.0,0.43,0.08,0.54,1.176,1,1,1
51,1.0,2.0,0.43,0.168,0.612,0.82,1,1,1
52,1.0,2.0,0.43,0.12,0.29600000000000004,0.032,1,1,1
53,1.0,2.0,0.43,0.528,0.012,-0.055999999999999994,1,1,1
54,1.0,2.0,0.43,0.7559999999999999,0.14800000000000002,0.044000000000000004,1,1,1
55,1.0,2.0,0.43,0.9279999999999999,-0.14400000000000002,1.54,1,1,1
56,1.0,2.0,0.43,0.688,-1.736,-0.58,1,1,1
57,1.0,2.0,0.43,0.8440000000000001,-1.056,-0.348,1,1,1
58,1.0,2.0,0.43,0.5720000000000001,-0.7,-0.396,1,1,1
59,1.0,2.0,0.43,0.14400000000000002,-0.56,-0.284,1,1,1
60,1.0,2.0,0.43,-0.392,-0.052000000000000005,0.132,1,1,1
61,1.0,2.0,0.43,-0.5479999999999999,-0.055999999999999994,0.38799999999999996,1,1,1
62,1.0,2.0,0.43,-0.452,-0.376,0.52,1,1,1
63,1.0,2.0,0.43,-0.38,-0.248,0.584,1,1,1
64,1.0,2.0,0.43,-0.29600000000000004,-0.188,0.7,1,1,1
65,1.0,2.0,0.4,-0.324,-0.24,0.616,1,1,1
66,1.0,2.0,0.43,-0.168,0.004,-0.12,1,1,1
67,1.0,2.0,0.43,0.064,-0.16399999999999998,0.34,1,1,1
68,1.0,2.0,0.4,-0.22399999999999998,-0.28800000000000003,0.348,1,1,1
69,1.0,2.0,0.4,-0.47600000000000003,-0.17600000000000002,0.272,1,1,1
70,1.0,2.0,0.43,-0.532,-0.1,0.544,1,1,1
71,1.0,2.0,0.4,-0.732,-0.07200000000000001,0.584,1,1,1
72,1.0,2.0,0.43,-0.784,-0.156,0.40399999999999997,1,1,1
73,1.0,2.0,0.43,-0.84,-0.28,0.37200000000000005,1,1,1
74,1.0,2.0,0.59,-1.48,-0.256,1.072,1,1,1
75,1.0,2.0,0.62,-1.22,-0.212,0.848,1,1,1
76,1.0,3.0,0.68,-1.072,-0.16399999999999998,0.94,2,0,0
77,1.0,3.0,0.81,-0.9,-0.22399999999999998,1.08,2,0,0
78,1.0,3.0,0.87,-0.7440000000000001,-0.244,1.048,2,0,0
79,1.0,3.0,0.93,-0.9,-0.22399999999999998,0.96,2,0,0
80,1.0,3.0,1.03,-0.9279999999999999,-0.168,1.036,2,0,0
81,1.0,3.0,1.09,-0.8079999999999999,-0.172,1.128,2,0,0
82,1.0,3.0,1.12,-0.752,-0.152,0.7879999999999999,2,0,0
83,1.0,3.0,1.18,-0.536,-0.21600000000000003,0.88,2,0,0
84,1.0,3.0,1.18,-0.524,-0.14400000000000002,0.996,2,0,0
85,1.0,3.0,1.25,-0.456,-0.076,1.016,2,0,0
86,1.0,3.0,1.28,-0.32799999999999996,-0.156,1.024,2,0,0
87,1.0,3.0,1.31,-0.268,-0.26,1.044,2,0,0
88,1.0,3.0,1.34,-0.256,-0.35600000000000004,0.976,2,0,0
89,1.0,4.0,1.43,-0.26,-0.41200000000000003,0.888,7,1,0
90,1.0,4.0,1.5,-0.348,-0.488,0.7240000000000001,7,1,0
91,1.0,4.0,1.53,-0.23600000000000002,-0.672,0.7759999999999999,7,1,0
92,1.0,4.0,1.65,-0.184,-0.828,0.7959999999999999,7,1,0
93,1.0,4.0,1.62,-0.20800000000000002,-0.736,0.768,7,1,0
94,1.0,4.0,1.68,-0.384,-0.652,0.7440000000000001,7,1,0
95,1.0,4.0,1.65,-0.40399999999999997,-0.636,0.7240000000000001,7,1,0
96,1.0,4.0,1.75,-0.32,-0.6559999999999999,0.7440000000000001,7,1,-1
97,1.0,4.0,1.78,-0.248,-0.6920000000000001,0.74,7,1,-1
98,1.0,4.0,1.81,-0.268,-0.7,0.684,7,1,-1
99,1.0,4.0,1.78,-0.188,-0.86,0.772,7,1,-1
100,1.0,4.0,1.78,-0.23199999999999998,-0.976,0.772,7,1,-1
101,1.0,4.0,1.81,-0.21600000000000003,-0.804,0.732,7,1,-1
102,1.0,4.0,1.81,-0.1,-0.764,0.58,7,1,-1
103,1.0,4.0,1.87,-0.076,-0.884,0.5760000000000001,7,1,-1
104,1.0,4.0,1.9,-0.22,-1.6880000000000002,0.52,7,1,-1
105,1.0,4.0,1.87,-0.136,-1.568,0.616,7,1,-1
106,1.0,4.0,1.81,-0.055999999999999994,-0.932,0.428,7,1,-1
107,1.0,4.0,1.87,0.22,-0.82,0.6759999999999999,7,1,-1
108,1.0,4.0,1.87,0.564,-0.72,0.7240000000000001,7,1,-1
109,1.0,4.0,1.84,0.6679999999999999,-0.792,0.7959999999999999,7,1,-1
110,1.0,4.0,1.78,0.7240000000000001,-0.752,0.672,7,1,-1
111,1.0,4.0,1.78,0.86,-0.5720000000000001,0.684,7,1,-1
112,1.0,4.0,1.78,0.8959999999999999,-0.38799999999999996,0.7040000000000001,7,1,-1
113,1.0,4.0,1.78,0.924,-0.24,0.672,7,1,-1
114,1.0,4.0,1.75,0.996,-0.156,0.664,7,1,-1
115,1.0,4.0,1.75,1.1,-0.24,0.648,7,1,-1
116,1.0,4.0,1.71,1.176,-0.128,0.684,7,1,-1
117,1.0,4.0,1.68,1.08,-0.08,0.66,7,1,0
118,1.0,4.0,1.62,1.036,-0.12,0.628,7,1,0
119,1.0,4.0,1.56,1.012,-0.11599999999999999,0.56,7,1,0
120,1.0,4.0,1.56,1.032,-0.048,0.508,7,1,0
121,1.0,4.0,1.53,1.0,-0.084,0.484,7,1,0
122,1.0,4.0,1.5,1.008,-0.172,0.444,7,1,0
123,1.0,4.0,1.43,0.932,-0.252,0.38799999999999996,7,1,0
124,1.0,4.0,1.37,0.9440000000000001,-0.32799999999999996,0.3,7,1,0
125,1.0,4.0,1.34,0.92,-0.4,0.252,7,1,0
126,1.0,4.0,1.28,0.884,-0.44,0.152,7,1,0
127,1.0,4.0,1.25,0.856,-0.568,0.156,7,1,0
128,1.0,4.0,1.21,0.84,-0.62,0.08,7,1,0
129,1.0,4.0,1.18,0.76,-0.6920000000000001,0.12,7,1,0
130,1.0,4.0,1.12,0.7440000000000001,-0.716,0.06,7,1,0
131,1.0,4.0,1.06,0.6759999999999999,-0.728,-0.004,7,1,0
132,1.0,4.0,1.06,0.6920000000000001,-0.66,0.008,7,1,0
133,1.0,4.0,1.03,0.644,-0.6,0.016,7,1,0
134,1.0,4.0,0.96,0.552,-0.552,0.092,7,1,0
135,1.0,4.0,0.93,0.46799999999999997,-0.5920000000000001,0.196,7,1,0
136,1.0,4.0,0.9,0.35600000000000004,-0.62,0.21600000000000003,7,1,0
137,1.0,4.0,0.87,0.49200000000000005,-0.68,0.34,7,1,0
138,1.0,4.0,0.87,0.5479999999999999,-0.7,0.24,7,1,0
139,1.0,4.0,0.84,0.37200000000000005,-0.6,0.604,7,1,0
140,1.0,4.0,0.84,0.56,-0.36,0.516,7,1,0
141,1.0,4.0,0.81,0.292,-0.156,0.584,7,1,0
142,1.0,4.0,0.81,0.324,0.044000000000000004,0.72,7,1,0
143,1.0,4.0,0.78,0.528,0.152,0.7,7,1,0
144,1.0,4.0,0.75,0.728,0.184,0.636,7,1,0
145,1.0,4.0,0.71,0.784,0.188,0.616,7,1,0
146,1.0,4.0,0.71,0.812,0.1,0.68,7,1,0
147,1.0,4.0,0.68,0.7559999999999999,0.044000000000000004,0.708,7,1,0
148,1.0,4.0,0.68,0.736,-0.064,0.82,7,1,0
149,1.0,4.0,0.71,0.7040000000000001,-0.20800000000000002,0.9159999999999999,7,1,0
150,1.0,4.0,0.65,0.512,-0.344,0.888,7,1,0
151,1.0,4.0,0.62,0.436,-0.40399999999999997,0.7120000000000001,7,1,0
152,1.0,4.0,0.59,0.40399999999999997,-0.38799999999999996,0.604,7,1,0
153,1.0,4.0,0.56,0.42,-0.32799999999999996,0.78,7,1,0
154,1.0,4.0,0.56,0.44799999999999995,-0.196,0.616,7,1,0
155,1.0,4.0,0.56,0.62,-0.076,0.7240000000000001,7,1,0
156,1.0,4.0,0.53,0.784,-0.024,0.7879999999999999,7,1,0
157,1.0,4.0,0.53,0.6679999999999999,-0.008,0.7,7,1,0
158,1.0,4.0,0.53,0.684,-0.1,0.6679999999999999,7,1,0
159,1.0,4.0,0.5,0.5920000000000001,-0.23199999999999998,0.5920000000000001,7,1,0
160,1.0,4.0,0.5,0.508,-0.184,0.5479999999999999,7,1,0
161,1.0,4.0,0.5,0.396,-0.055999999999999994,0.612,7,1,0
162,1.0,4.0,0.5,0.32,0.0,0.7120000000000001,7,1,0
163,1.0,4.0,0.5,0.44799999999999995,0.048,0.732,7,1,0
164,1.0,4.0,0.5,0.496,0.10800000000000001,0.7240000000000001,7,1,0
165,1.0,4.0,0.5,0.44799999999999995,0.228,0.7879999999999999,7,1,0
166,1.0,4.0,0.5,0.41600000000000004,0.264,0.816,7,1,0
167,1.0,4.0,0.46,0.396,0.32,0.804,7,1,0
168,1.0,4.0,0.5,0.44799999999999995,0.34,0.84,7,1,0
169,1.0,4.0,0.5,0.48,0.3,0.816,7,1,0
170,1.0,4.0,0.46,0.488,0.324,0.8320000000000001,7,1,0
171,1.0,4.0,0.5,0.504,0.32,0.888,7,1,0
172,1.0,4.0,0.5,0.392,0.268,0.804,7,1,0
173,1.0,4.0,0.5,0.336,0.168,0.7879999999999999,7,1,0
174,1.0,4.0,0.5,0.37200000000000005,0.14,0.856,7,1,0
175,1.0,4.0,0.46,0.392,0.32,0.852,7,1,0
176,1.0,4.0,0.5,0.364,0.3,0.8640000000000001,7,1,0
177,1.0,4.0,0.5,0.364,0.34,0.8759999999999999,7,1,0
178,1.0,4.0,0.5,0.312,0.29600000000000004,0.836,7,1,0
179,1.0,4.0,0.5,0.228,0.292,0.78,7,1,0
180,1.0,4.0,0.46,0.14400000000000002,0.248,0.836,7,1,0
181,1.0,4.0,0.5,0.084,0.192,0.836,7,1,0
182,1.0,4.0,0.46,0.048,0.14800000000000002,0.856,7,1,0
183,1.0,4.0,0.46,0.11199999999999999,0.136,0.9,7,1,0
184,1.0,4.0,0.46,0.07200000000000001,0.128,0.9159999999999999,7,1,0
185,1.0,4.0,0.5,0.032,0.12,0.924,7,1,0
186,1.0,4.0,0.5,0.064,0.092,0.912,7,1,0
187,1.0,4.0,0.5,0.06,0.11599999999999999,0.9279999999999999,7,1,0
188,1.0,4.0,0.5,0.07200000000000001,0.152,0.924,7,1,0
189,1.0,4.0,0.5,0.06,0.17600000000000002,0.94,7,1,0
190,1.0,4.0,0.5,0.055999999999999994,0.188,0.948,7,1,0
191,1.0,4.0,0.5,0.027999999999999997,0.192,0.968,7,1,0
192,1.0,4.0,0.5,0.036000000000000004,0.188,0.948,7,1,0
193,1.0,4.0,0.5,0.055999999999999994,0.172,0.988,7,1,0
194,1.0,4.0,0.5,0.07200000000000001,0.17600000000000002,0.976,7,1,0
195,1.0,4.0,0.46,0.096,0.2,0.98,7,1,0
196,1.0,4.0,0.5,0.11599999999999999,0.2,0.9520000000000001,7,1,0
197,1.0,4.0,0.5,0.11199999999999999,0.212,0.9840000000000001,7,1,0
198,1.0,4.0,0.5,0.10800000000000001,0.18,0.976,7,1,0
199,1.0,4.0,0.5,0.10800000000000001,0.172,0.988,7,1,0
200,1.0,4.0,0.46,0.10400000000000001,0.17600000000000002,0.9520000000000001,7,1,0
201,1.0,4.0,0.5,0.092,0.212,0.968,7,1,0
202,1.0,4.0,0.5,0.124,0.228,0.9520000000000001,7,1,0
203,1.0,4.0,0.5,0.124,0.212,0.9440000000000001,7,1,0
204,1.0,4.0,0.5,0.12,0.17600000000000002,0.9520000000000001,7,1,0
205,1.0,4.0,0.5,0.064,0.152,0.94,7,1,0
206,1.0,4.0,0.5,0.068,0.10800000000000001,0.9520000000000001,7,1,0
207,1.0,4.0,0.5,0.055999999999999994,0.1,0.948,7,1,0
208,1.0,4.0,0.46,0.08,0.076,0.932,7,1,0
209,1.0,4.0,0.5,0.068,0.08,0.9520000000000001,7,1,0
210,1.0,4.0,0.46,0.10400000000000001,0.08,0.9840000000000001,7,1,0
211,1.0,4.0,0.5,0.064,0.08,0.956,7,1,0
212,1.0,4.0,0.5,0.076,0.07200000000000001,0.9520000000000001,7,1,0
213,1.0,4.0,0.5,0.055999999999999994,0.092,0.956,7,1,0
214,1.0,4.0,0.5,0.08800000000000001,0.068,0.924,7,1,0
215,1.0,4.0,0.5,0.07200000000000001,0.07200000000000001,0.9279999999999999,7,1,0
216,1.0,4.0,0.5,0.07200000000000001,0.08800000000000001,0.932,7,1,0
217,1.0,4.0,0.46,0.08,0.092,0.9279999999999999,7,1,0
218,1.0,4.0,0.5,0.076,0.092,0.9440000000000001,7,1,0
219,1.0,4.0,0.5,0.08,0.096,0.9279999999999999,7,1,0
220,1.0,4.0,0.5,0.084,0.084,0.96,7,1,0
221,1.0,4.0,0.46,0.08800000000000001,0.076,0.912,7,1,0
222,1.0,4.0,0.5,0.068,0.096,0.9,7,1,0
223,1.0,4.0,0.46,0.068,0.1,0.92,7,1,0
224,1.0,4.0,0.5,0.068,0.096,0.948,7,1,0
225,1.0,4.0,0.5,0.076,0.092,0.932,7,1,0
226,1.0,4.0,0.5,0.064,0.084,0.94,7,1,0
227,1.0,4.0,0.5,0.064,0.076,0.956,7,1,0
228,1.0,4.0,0.46,0.064,0.07200000000000001,0.9359999999999999,7,1,0
229,1.0,4.0,0.5,0.052000000000000005,0.06,0.9279999999999999,7,1,0
230,1.0,4.0,0.46,0.052000000000000005,0.036000000000000004,0.9359999999999999,7,1,0
231,1.0,4.0,0.46,0.04,0.052000000000000005,0.94,7,1,0
232,1.0,4.0,0.5,0.032,0.036000000000000004,0.94,7,1,0
233,1.0,4.0,0.46,0.04,0.04,0.932,7,1,0
234,1.0,4.0,0.5,0.044000000000000004,0.027999999999999997,0.9440000000000001,7,1,0
235,1.0,4.0,0.46,0.048,0.024,0.94,7,1,0
236,1.0,4.0,0.5,0.032,0.02,0.9359999999999999,7,1,0
237,1.0,4.0,0.5,0.012,0.008,0.932,7,1,0
238,1.0,4.0,0.46,0.008,0.016,0.9440000000000001,7,1,0
239,1.0,4.0,0.46,0.012,0.012,0.972,7,1,0
240,1.0,4.0,0.46,0.004,-0.008,0.9440000000000001,7,1,0
241,1.0,4.0,0.46,0.052000000000000005,-0.036000000000000004,0.94,7,1,0
242,1.0,4.0,0.5,0.048,0.0,0.948,7,1,0
243,1.0,4.0,0.46,0.027999999999999997,0.016,0.94,7,1,0
244,1.0,4.0,0.46,0.032,0.02,0.9640000000000001,7,1,0
245,1.0,4.0,0.46,0.02,0.016,0.96,7,1,0
246,1.0,4.0,0.46,0.027999999999999997,0.048,0.956,7,1,0
247,1.0,4.0,0.46,0.012,0.08,0.992,7,1,0
248,1.0,4.0,0.5,0.016,0.068,0.996,7,1,0
249,1.0,4.0,0.46,0.06,0.04,0.956,7,1,0
250,1.0,4.0,0.5,0.048,0.1,0.9520000000000001,7,1,0
251,1.0,4.0,0.46,0.052000000000000005,0.11199999999999999,0.948,7,1,0
252,1.0,4.0,0.46,0.044000000000000004,0.096,0.9440000000000001,7,1,0
253,1.0,4.0,0.5,0.04,0.024,0.9359999999999999,7,1,0
254,1.0,4.0,0.5,0.027999999999999997,-0.024,0.94,7,1,0
255,1.0,4.0,0.46,0.016,-0.032,0.96,7,1,0
256,1.0,4.0,0.46,0.02,-0.055999999999999994,0.9359999999999999,7,1,0
257,1.0,4.0,0.46,0.024,-0.052000000000000005,0.956,7,1,0
258,1.0,4.0,0.5,0.064,-0.06,0.9520000000000001,7,1,0
