,depth,x,y,z,behaviour,type,place
0,0.62,0.652,-0.41600000000000004,0.892,1,1,1
1,0.62,0.688,-0.46799999999999997,1.0,1,1,1
2,0.62,0.5920000000000001,-0.496,0.852,1,1,1
3,0.59,0.612,-0.42,0.42,1,1,1
4,0.59,0.7240000000000001,-0.18,0.268,1,1,1
5,0.62,0.8240000000000001,-0.24,0.152,1,1,1
6,0.59,0.7120000000000001,-0.38799999999999996,0.128,1,1,1
7,0.62,0.904,0.7120000000000001,1.004,1,1,1
8,0.62,0.812,1.268,1.052,1,1,1
9,0.62,1.008,1.072,0.94,1,1,1
10,0.62,0.94,0.792,0.88,1,1,1
11,0.62,0.852,0.52,0.612,1,1,1
12,0.62,0.82,0.4,0.544,1,1,1
13,0.62,0.74,0.40399999999999997,0.54,1,1,1
14,0.62,0.7040000000000001,0.408,0.532,1,1,1
15,0.62,0.7240000000000001,0.292,0.444,1,1,1
16,0.62,0.7759999999999999,0.252,0.408,1,1,1
17,0.59,0.7559999999999999,0.22399999999999998,0.35600000000000004,1,1,1
18,0.59,0.6559999999999999,0.23600000000000002,0.424,1,1,1
19,0.59,0.5760000000000001,0.38,0.56,1,1,1
20,0.59,0.5760000000000001,0.396,0.764,1,1,1
21,0.59,0.18,0.344,0.7,1,1,1
22,0.59,-0.348,0.644,0.872,1,1,1
23,0.62,-0.64,0.24,0.872,1,1,1
24,0.62,-0.452,-0.396,0.9440000000000001,1,1,1
25,0.62,0.21600000000000003,-0.316,1.28,1,1,1
26,0.62,0.608,-0.10800000000000001,1.588,1,1,1
27,0.59,0.528,-0.044000000000000004,1.244,1,1,1
28,0.59,0.48,-0.252,0.72,1,1,1
29,0.59,0.3,-0.156,0.1,1,1,1
30,0.62,0.376,0.21600000000000003,-0.024,1,1,1
31,0.62,0.616,0.084,0.14,1,1,1
32,0.62,1.008,-0.44,0.06,1,1,1
33,0.62,1.556,0.488,0.812,1,1,1
34,0.62,1.3319999999999999,1.248,0.816,1,1,1
35,0.59,1.072,0.948,0.644,1,1,1
36,0.59,0.604,0.8640000000000001,0.716,1,1,1
37,0.59,0.444,0.792,0.608,1,1,1
38,0.59,0.488,0.66,1.256,1,1,1
39,0.59,0.524,-0.172,0.5,1,1,1
40,0.62,0.032,-0.98,0.384,1,1,1
41,0.62,0.308,-0.6,0.688,1,1,1
42,0.62,0.49200000000000005,-0.036000000000000004,1.264,1,1,1
43,0.62,0.484,-0.10800000000000001,1.192,1,1,1
44,0.59,0.488,-0.16399999999999998,0.872,1,1,1
45,0.59,0.42,-0.22399999999999998,0.47600000000000003,1,1,1
46,0.59,0.41200000000000003,-0.252,0.172,1,1,1
47,0.62,0.324,-0.06,0.008,1,1,1
48,0.62,0.532,-0.22,0.392,1,1,1
49,0.62,1.6119999999999999,0.664,1.3880000000000001,1,1,1
50,0.62,0.988,1.556,0.816,1,1,1
51,0.62,1.3840000000000001,1.248,0.7959999999999999,1,1,1
52,0.62,1.252,1.016,0.736,1,1,1
53,0.62,0.88,0.6759999999999999,0.336,1,1,1
54,0.62,0.86,0.508,0.46399999999999997,1,1,1
55,0.62,0.8440000000000001,0.544,0.47200000000000003,1,1,1
56,0.59,1.056,0.44,0.46,1,1,1
57,0.59,0.784,0.076,0.6,1,1,1
58,0.62,0.708,-0.212,0.46799999999999997,1,1,1
59,0.62,0.452,-0.512,0.32799999999999996,1,1,1
60,0.62,0.5760000000000001,-0.248,0.7120000000000001,1,1,1
61,0.62,0.632,-0.064,0.872,1,1,1
62,0.62,0.528,-0.092,0.932,1,1,1
63,0.62,0.46799999999999997,-0.1,0.7559999999999999,1,1,1
64,0.62,0.5720000000000001,-0.096,0.604,1,1,1
65,0.62,0.6920000000000001,-0.2,0.488,1,1,1
66,0.62,0.84,-0.32799999999999996,0.384,1,1,1
67,0.62,1.016,-0.536,0.244,1,1,1
68,0.62,1.216,-0.488,0.068,1,1,1
69,0.62,0.784,0.26,0.07200000000000001,1,1,1
70,0.62,0.6679999999999999,0.7,0.41600000000000004,1,1,1
71,0.62,0.66,0.992,0.604,1,1,1
72,0.62,0.8959999999999999,0.9079999999999999,0.728,1,1,1
73,0.62,0.884,0.748,0.408,1,1,1
74,0.62,0.9359999999999999,0.672,0.344,1,1,1
75,0.62,0.8759999999999999,0.596,0.312,1,1,1
76,0.62,0.84,0.47200000000000003,0.28800000000000003,1,1,1
77,0.62,0.8440000000000001,0.4,0.292,1,1,1
78,0.62,0.868,0.34,0.28,1,1,1
79,0.62,0.9440000000000001,0.34,0.256,1,1,1
80,0.62,0.968,0.332,0.2,1,1,1
81,0.62,0.924,0.38,0.172,1,1,1
82,0.62,0.792,0.436,0.196,1,1,1
83,0.62,0.732,0.596,0.41200000000000003,1,1,1
84,0.62,0.532,0.616,0.7440000000000001,1,1,1
85,0.62,0.47600000000000003,0.324,0.7559999999999999,1,1,1
86,0.62,0.272,0.16,0.912,1,1,1
87,0.62,0.076,-0.504,1.204,1,1,1
88,0.62,0.408,-0.64,1.0759999999999998,1,1,1
89,0.62,0.696,-0.34,1.3719999999999999,1,1,1
90,0.62,0.38799999999999996,-0.35600000000000004,1.156,1,1,1
91,0.62,0.424,-0.408,0.8959999999999999,1,1,1
92,0.62,0.49200000000000005,-0.44,0.648,1,1,1
93,0.62,0.544,-0.46,0.4,1,1,1
94,0.62,0.6759999999999999,-0.452,0.268,1,1,1
95,0.62,0.564,-0.524,0.184,1,1,1
96,0.62,0.644,-0.004,0.26,1,1,1
97,0.62,0.628,1.1079999999999999,0.968,1,1,1
98,0.62,0.6920000000000001,1.224,0.948,1,1,1
99,0.62,0.7559999999999999,0.72,1.02,1,1,1
100,0.62,0.536,0.528,0.92,1,1,1
101,0.62,0.40399999999999997,0.34,0.812,1,1,1
102,0.62,0.376,0.256,0.72,1,1,1
103,0.62,0.376,0.168,0.612,1,1,1
104,0.62,0.316,0.055999999999999994,0.86,1,1,1
105,0.62,0.44799999999999995,0.10400000000000001,1.14,1,1,1
106,0.62,0.35600000000000004,-0.055999999999999994,0.856,1,1,1
107,0.62,0.284,-0.124,0.92,1,1,1
108,0.62,0.124,-0.12,0.956,1,1,1
