,number,value,depth,x,y,z,behaviour,type,place
0,1.0,1.0,0.5,0.7040000000000001,0.196,0.6759999999999999,7,1,0
1,1.0,1.0,0.5,0.6679999999999999,0.20800000000000002,0.696,7,1,0
2,1.0,1.0,0.5,0.5920000000000001,0.16,0.7120000000000001,7,1,0
3,1.0,1.0,0.5,0.556,0.124,0.732,7,1,0
4,1.0,1.0,0.5,0.508,0.07200000000000001,0.736,7,1,0
5,1.0,1.0,0.5,0.5,0.052000000000000005,0.76,7,1,0
6,1.0,1.0,0.5,0.46,0.024,0.772,7,1,0
7,1.0,1.0,0.5,0.44799999999999995,-0.016,0.768,7,1,0
8,1.0,1.0,0.5,0.452,0.004,0.8,7,1,0
9,1.0,1.0,0.5,0.44,0.016,0.8079999999999999,7,1,0
10,1.0,1.0,0.5,0.396,0.027999999999999997,0.8,7,1,0
11,1.0,1.0,0.5,0.364,0.044000000000000004,0.8079999999999999,7,1,0
12,1.0,1.0,0.5,0.332,0.068,0.8240000000000001,7,1,0
13,1.0,1.0,0.5,0.32,0.08800000000000001,0.836,7,1,0
14,1.0,1.0,0.5,0.29600000000000004,0.10800000000000001,0.82,7,1,0
15,1.0,1.0,0.5,0.3,0.124,0.852,7,1,0
16,1.0,1.0,0.5,0.29600000000000004,0.11599999999999999,0.872,7,1,0
17,1.0,1.0,0.5,0.304,0.10400000000000001,0.888,7,1,0
18,1.0,1.0,0.5,0.336,0.11599999999999999,0.88,7,1,0
19,1.0,1.0,0.53,0.36,0.136,0.888,7,1,0
20,1.0,1.0,0.5,0.368,0.16,0.86,7,1,0
21,1.0,1.0,0.5,0.38,0.192,0.872,7,1,0
22,1.0,1.0,0.5,0.41600000000000004,0.196,0.884,7,1,0
23,1.0,1.0,0.5,0.44,0.212,0.8640000000000001,7,1,0
24,1.0,1.0,0.5,0.452,0.23600000000000002,0.84,7,1,0
25,1.0,1.0,0.53,0.48,0.24,0.82,7,1,0
26,1.0,1.0,0.5,0.512,0.28,0.804,7,1,0
27,1.0,1.0,0.5,0.532,0.316,0.7759999999999999,7,1,0
28,1.0,1.0,0.5,0.5479999999999999,0.35200000000000004,0.7559999999999999,7,1,0
29,1.0,1.0,0.5,0.544,0.37200000000000005,0.76,7,1,0
30,1.0,1.0,0.53,0.5479999999999999,0.38,0.736,7,1,0
31,1.0,1.0,0.53,0.58,0.392,0.728,7,1,0
32,1.0,1.0,0.53,0.632,0.42,0.736,7,1,0
33,1.0,1.0,0.53,0.608,0.436,0.748,7,1,0
34,1.0,1.0,0.56,0.58,0.46,0.72,7,1,0
35,1.0,1.0,0.56,0.596,0.46799999999999997,0.612,7,1,0
36,1.0,1.0,0.56,0.66,0.552,0.44,7,1,0
37,1.0,1.0,0.56,0.732,0.528,0.26,7,1,0
38,1.0,1.0,0.56,0.852,0.568,0.124,7,1,0
39,1.0,1.0,0.56,0.972,0.64,0.055999999999999994,7,1,0
