,depth,x,y,z,behaviour,type,place
0,0.59,0.644,-0.256,0.488,12,3,1
1,0.59,0.456,-0.188,0.568,12,3,1
2,0.59,0.612,0.0,0.544,12,3,1
3,0.59,0.74,0.152,0.408,12,3,1
4,0.59,0.96,0.07200000000000001,0.36,12,3,1
5,0.59,1.208,0.016,0.46399999999999997,12,3,1
6,0.59,0.888,0.004,0.504,12,3,1
7,0.59,0.8079999999999999,0.02,0.47600000000000003,12,3,1
8,0.62,0.848,0.048,0.48,12,3,1
9,0.59,0.8079999999999999,0.032,0.536,12,3,1
10,0.59,0.812,0.052000000000000005,0.544,12,3,1
11,0.59,0.8240000000000001,0.10400000000000001,0.52,12,3,1
12,0.59,0.82,0.11599999999999999,0.528,12,3,1
13,0.59,0.812,0.08,0.552,12,3,1
14,0.59,0.804,0.08,0.5479999999999999,12,3,1
15,0.59,0.828,0.076,0.54,12,3,1
16,0.59,0.852,0.064,0.544,12,3,1
17,0.59,0.86,0.064,0.516,12,3,1
18,0.59,0.852,0.068,0.52,12,3,1
19,0.59,0.868,0.052000000000000005,0.532,12,3,1
20,0.59,0.884,0.07200000000000001,0.508,12,3,1
21,0.59,0.904,0.048,0.46799999999999997,12,3,1
22,0.59,0.912,0.027999999999999997,0.47600000000000003,12,3,1
23,0.59,0.892,0.048,0.44799999999999995,12,3,1
24,0.59,0.888,0.027999999999999997,0.44799999999999995,12,3,1
25,0.59,0.8959999999999999,0.027999999999999997,0.436,12,3,1
26,0.59,0.872,0.016,0.41600000000000004,12,3,1
27,0.59,0.8640000000000001,-0.008,0.46399999999999997,12,3,1
28,0.59,0.8320000000000001,-0.10400000000000001,0.52,12,3,1
29,0.59,0.828,-0.21600000000000003,0.488,12,3,1
30,0.59,0.804,-0.28,0.444,12,3,1
31,0.59,0.812,-0.304,0.444,12,3,1
32,0.59,0.828,-0.264,0.47200000000000003,12,3,1
33,0.59,0.82,-0.272,0.496,12,3,1
34,0.62,0.7959999999999999,-0.26,0.504,12,3,1
35,0.59,0.784,-0.24,0.456,12,3,1
36,0.59,0.7759999999999999,-0.22,0.41200000000000003,12,3,1
37,0.59,0.8079999999999999,-0.184,0.424,12,3,1
38,0.59,0.872,-0.18,0.41600000000000004,12,3,1
39,0.59,0.9159999999999999,-0.11599999999999999,0.436,12,3,1
