,number,value,depth,x,y,z,behaviour,type,place
0,1.0,1.0,0.71,-0.052000000000000005,0.452,0.986,12,3,1
1,1.0,1.0,0.71,-0.075,0.46399999999999997,0.9520000000000001,12,3,1
2,1.0,1.0,0.71,-0.024,0.45899999999999996,0.915,12,3,1
3,1.0,1.0,0.71,0.008,0.452,0.885,12,3,1
4,1.0,1.0,0.71,0.013999999999999999,0.449,0.868,12,3,1
5,1.0,1.0,0.71,-0.016,0.39299999999999996,0.802,12,3,1
6,1.0,1.0,0.71,-0.026000000000000002,0.428,0.8809999999999999,12,3,1
7,1.0,1.0,0.71,-0.019,0.408,0.925,12,3,1
8,1.0,1.0,0.71,-0.013000000000000001,0.40700000000000003,0.961,12,3,1
9,1.0,1.0,0.71,-0.015,0.363,0.846,12,3,1
10,1.0,1.0,0.71,0.016,0.38799999999999996,0.841,12,3,1
11,1.0,1.0,0.71,0.048,0.42200000000000004,0.8740000000000001,12,3,1
12,1.0,1.0,0.71,0.034,0.424,0.904,12,3,1
13,1.0,1.0,0.71,-0.003,0.377,0.91,12,3,1
14,1.0,1.0,0.71,0.004,0.379,0.845,12,3,1
15,1.0,1.0,0.71,-0.006999999999999999,0.39799999999999996,0.879,12,3,1
16,1.0,1.0,0.71,0.011000000000000001,0.39399999999999996,0.898,12,3,1
17,1.0,1.0,0.71,0.012,0.354,0.907,12,3,1
18,1.0,1.0,0.71,0.098,0.381,0.8959999999999999,12,3,1
19,1.0,1.0,0.71,0.131,0.391,0.8809999999999999,12,3,1
20,1.0,1.0,0.71,0.067,0.42700000000000005,0.941,12,3,1
21,1.0,1.0,0.71,0.096,0.495,1.0390000000000001,12,3,1
22,1.0,1.0,0.71,0.024,0.402,0.9520000000000001,12,3,1
23,1.0,1.0,0.71,0.036000000000000004,0.397,0.898,12,3,1
24,1.0,1.0,0.71,0.038,0.335,0.865,12,3,1
25,1.0,1.0,0.71,0.068,0.369,0.9179999999999999,12,3,1
26,1.0,1.0,0.71,0.05,0.433,1.0170000000000001,12,3,1
27,1.0,1.0,0.71,0.021,0.42200000000000004,0.981,12,3,1
28,1.0,1.0,0.75,0.025,0.413,0.9359999999999999,12,3,1
29,1.0,1.0,0.71,0.08199999999999999,0.434,1.005,12,3,1
30,1.0,1.0,0.71,0.09,0.38299999999999995,0.919,12,3,1
31,1.0,1.0,0.71,0.10400000000000001,0.331,0.8590000000000001,12,3,1
32,1.0,1.0,0.71,0.08800000000000001,0.392,0.953,12,3,1
33,1.0,1.0,0.71,0.07,0.349,0.875,12,3,1
34,1.0,1.0,0.71,0.043,0.379,0.912,12,3,1
35,1.0,1.0,0.71,-0.01,0.386,0.9520000000000001,12,3,1
36,1.0,1.0,0.71,0.004,0.33399999999999996,0.905,12,3,1
37,1.0,1.0,0.71,0.07200000000000001,0.38799999999999996,0.9640000000000001,12,3,1
38,1.0,1.0,0.71,0.109,0.41200000000000003,0.976,12,3,1
39,1.0,1.0,0.71,0.106,0.38799999999999996,0.948,12,3,1
40,1.0,1.0,0.71,0.124,0.355,0.8759999999999999,12,3,1
41,1.0,1.0,0.71,0.13,0.42200000000000004,1.004,12,3,1
42,1.0,1.0,0.71,0.098,0.359,0.914,12,3,1
43,1.0,1.0,0.71,0.107,0.39799999999999996,0.9390000000000001,12,3,1
44,1.0,1.0,0.71,0.12,0.4,0.948,12,3,1
45,1.0,1.0,0.71,0.158,0.361,0.894,12,3,1
46,1.0,1.0,0.71,0.17800000000000002,0.36700000000000005,0.909,12,3,1
47,1.0,1.0,0.71,0.195,0.38299999999999995,0.91,12,3,1
48,1.0,1.0,0.71,0.168,0.35100000000000003,0.875,12,3,1
49,1.0,1.0,0.75,0.13699999999999998,0.307,0.812,12,3,1
50,1.0,1.0,0.71,0.102,0.365,0.925,12,3,1
51,1.0,1.0,0.71,0.10800000000000001,0.397,1.022,12,3,1
52,1.0,1.0,0.71,0.042,0.36200000000000004,1.004,12,3,1
53,1.0,1.0,0.71,0.102,0.38799999999999996,0.888,12,3,1
54,1.0,1.0,0.71,0.139,0.36,0.94,12,3,1
55,1.0,1.0,0.71,0.092,0.419,1.09,12,3,1
56,1.0,1.0,0.71,0.053,0.44299999999999995,0.965,12,3,1
57,1.0,1.0,0.71,0.099,0.43799999999999994,0.912,12,3,1
58,1.0,1.0,0.71,0.131,0.409,0.937,12,3,1
59,1.0,1.0,0.71,0.102,0.396,0.9129999999999999,12,3,1
60,1.0,1.0,0.71,0.13699999999999998,0.423,0.9279999999999999,12,3,1
61,1.0,1.0,0.75,0.11800000000000001,0.385,0.8640000000000001,12,3,1
62,1.0,1.0,0.71,0.071,0.33899999999999997,0.8859999999999999,12,3,1
63,1.0,1.0,0.71,0.087,0.387,0.9520000000000001,12,3,1
64,1.0,1.0,0.71,0.083,0.462,1.112,12,3,1
65,1.0,1.0,0.71,0.037000000000000005,0.414,1.048,12,3,1
66,1.0,1.0,0.71,0.039,0.34299999999999997,0.9590000000000001,12,3,1
67,1.0,1.0,0.75,0.068,0.294,0.9129999999999999,12,3,1
68,1.0,1.0,0.71,0.10300000000000001,0.308,1.034,12,3,1
69,1.0,1.0,0.71,0.083,0.28600000000000003,0.94,12,3,1
70,1.0,1.0,0.75,0.131,0.32,0.9670000000000001,12,3,1
71,1.0,1.0,0.71,0.084,0.344,1.091,12,3,1
72,1.0,1.0,0.71,0.034,0.32299999999999995,1.063,12,3,1
73,1.0,1.0,0.71,0.055,0.336,0.98,12,3,1
74,1.0,1.0,0.71,0.105,0.344,0.9640000000000001,12,3,1
75,1.0,1.0,0.75,0.11900000000000001,0.34700000000000003,1.0070000000000001,12,3,1
76,1.0,1.0,0.71,0.099,0.361,1.112,12,3,1
77,1.0,1.0,0.71,0.10300000000000001,0.331,0.987,12,3,1
78,1.0,1.0,0.71,0.121,0.336,0.961,12,3,1
79,1.0,1.0,0.71,0.1,0.265,0.982,12,3,1
80,1.0,1.0,0.75,0.142,0.249,0.9329999999999999,12,3,1
81,1.0,1.0,0.75,0.157,0.251,0.87,12,3,1
82,1.0,1.0,0.71,0.13699999999999998,0.257,0.884,12,3,1
83,1.0,1.0,0.71,0.07200000000000001,0.278,1.032,12,3,1
84,1.0,1.0,0.71,0.08199999999999999,0.278,1.0090000000000001,12,3,1
85,1.0,1.0,0.71,0.11699999999999999,0.254,0.9259999999999999,12,3,1
86,1.0,1.0,0.75,0.095,0.307,0.922,12,3,1
87,1.0,1.0,0.71,0.099,0.354,1.018,12,3,1
88,1.0,1.0,0.71,0.098,0.315,0.9740000000000001,12,3,1
89,1.0,1.0,0.75,0.159,0.28300000000000003,0.9179999999999999,12,3,1
90,1.0,1.0,0.75,0.146,0.23600000000000002,0.9670000000000001,12,3,1
91,1.0,1.0,0.71,0.133,0.268,1.034,12,3,1
92,1.0,1.0,0.75,0.095,0.281,1.038,12,3,1
93,1.0,1.0,0.75,0.083,0.37,1.014,12,3,1
94,1.0,1.0,0.75,0.115,0.409,1.042,12,3,1
95,1.0,1.0,0.71,0.106,0.377,1.064,12,3,1
96,1.0,1.0,0.71,0.113,0.336,0.978,12,3,1
97,1.0,1.0,0.75,0.14400000000000002,0.298,0.993,12,3,1
98,1.0,1.0,0.71,0.12,0.278,0.995,12,3,1
99,1.0,1.0,0.75,0.13699999999999998,0.27,0.96,12,3,1
100,1.0,1.0,0.75,0.182,0.23199999999999998,0.8690000000000001,12,3,1
101,1.0,1.0,0.75,0.155,0.253,0.9520000000000001,12,3,1
102,1.0,1.0,0.75,0.12,0.248,0.894,12,3,1
103,1.0,1.0,0.75,0.11800000000000001,0.287,0.946,12,3,1
104,1.0,1.0,0.71,0.134,0.3,0.966,12,3,1
105,1.0,1.0,0.71,0.14400000000000002,0.287,0.978,12,3,1
106,1.0,1.0,0.75,0.14800000000000002,0.294,0.9670000000000001,12,3,1
107,1.0,1.0,0.71,0.12300000000000001,0.316,0.9670000000000001,12,3,1
108,1.0,1.0,0.75,0.113,0.348,1.013,12,3,1
109,1.0,1.0,0.75,0.084,0.345,0.937,12,3,1
110,1.0,1.0,0.75,0.10099999999999999,0.324,0.99,12,3,1
111,1.0,1.0,0.75,0.109,0.298,1.001,12,3,1
112,1.0,1.0,0.75,0.129,0.263,0.9279999999999999,12,3,1
113,1.0,1.0,0.75,0.152,0.27899999999999997,0.9329999999999999,12,3,1
114,1.0,1.0,0.75,0.121,0.27899999999999997,0.937,12,3,1
115,1.0,1.0,0.75,0.096,0.289,0.972,12,3,1
116,1.0,1.0,0.75,0.099,0.312,1.0090000000000001,12,3,1
117,1.0,1.0,0.75,0.12,0.33,0.9590000000000001,12,3,1
118,1.0,1.0,0.75,0.133,0.295,0.968,12,3,1
119,1.0,1.0,0.75,0.126,0.263,0.977,12,3,1
120,1.0,1.0,0.75,0.133,0.27,0.948,12,3,1
121,1.0,1.0,0.75,0.165,0.28600000000000003,0.904,12,3,1
122,1.0,1.0,0.75,0.14,0.294,0.94,12,3,1
123,1.0,1.0,0.75,0.10300000000000001,0.315,0.977,12,3,1
124,1.0,1.0,0.75,0.081,0.293,0.956,12,3,1
125,1.0,1.0,0.75,0.071,0.28300000000000003,0.983,12,3,1
126,1.0,1.0,0.75,0.066,0.289,1.028,12,3,1
127,1.0,1.0,0.75,0.061,0.309,1.001,12,3,1
128,1.0,1.0,0.75,0.1,0.335,0.9470000000000001,12,3,1
129,1.0,1.0,0.75,0.126,0.344,0.9420000000000001,12,3,1
130,1.0,1.0,0.75,0.106,0.33399999999999996,1.0070000000000001,12,3,1
131,1.0,1.0,0.75,0.09,0.303,1.008,12,3,1
132,1.0,1.0,0.75,0.099,0.287,0.971,12,3,1
133,1.0,1.0,0.75,0.083,0.28300000000000003,0.9620000000000001,12,3,1
134,1.0,1.0,0.75,0.079,0.27399999999999997,0.968,12,3,1
135,1.0,1.0,0.75,0.079,0.263,0.919,12,3,1
136,1.0,1.0,0.75,0.11199999999999999,0.267,0.885,12,3,1
137,1.0,1.0,0.75,0.11800000000000001,0.294,0.904,12,3,1
138,1.0,1.0,0.75,0.11599999999999999,0.316,0.903,12,3,1
139,1.0,1.0,0.75,0.109,0.306,0.899,12,3,1
140,1.0,1.0,0.75,0.092,0.297,0.912,12,3,1
141,1.0,1.0,0.75,0.10300000000000001,0.295,0.9229999999999999,12,3,1
142,1.0,1.0,0.75,0.111,0.299,0.935,12,3,1
143,1.0,1.0,0.75,0.10300000000000001,0.292,0.9420000000000001,12,3,1
144,1.0,1.0,0.75,0.10099999999999999,0.285,0.937,12,3,1
145,1.0,1.0,0.75,0.107,0.29600000000000004,0.925,12,3,1
146,1.0,1.0,0.75,0.12300000000000001,0.32299999999999995,0.9129999999999999,12,3,1
147,1.0,1.0,0.75,0.13,0.335,0.894,12,3,1
148,1.0,1.0,0.75,0.127,0.32899999999999996,0.9079999999999999,12,3,1
149,1.0,1.0,0.75,0.11599999999999999,0.327,0.929,12,3,1
150,1.0,1.0,0.75,0.121,0.319,0.902,12,3,1
151,1.0,1.0,0.75,0.121,0.317,0.8759999999999999,12,3,1
152,1.0,1.0,0.75,0.11800000000000001,0.313,0.8690000000000001,12,3,1
153,1.0,1.0,0.75,0.10400000000000001,0.318,0.861,12,3,1
154,1.0,1.0,0.75,0.08800000000000001,0.327,0.857,12,3,1
155,1.0,1.0,0.75,0.086,0.317,0.8540000000000001,12,3,1
156,1.0,1.0,0.75,0.081,0.309,0.868,12,3,1
157,1.0,1.0,0.75,0.064,0.316,0.887,12,3,1
158,1.0,1.0,0.75,0.046,0.32899999999999996,0.895,12,3,1
159,1.0,1.0,0.75,0.035,0.336,0.905,12,3,1
160,1.0,1.0,0.75,0.021,0.336,0.91,12,3,1
161,1.0,1.0,0.75,0.021,0.345,0.927,12,3,1
162,1.0,1.0,0.75,0.018000000000000002,0.35,0.95,12,3,1
163,1.0,1.0,0.75,0.013999999999999999,0.342,0.96,12,3,1
164,1.0,1.0,0.75,0.006999999999999999,0.341,0.9570000000000001,12,3,1
165,1.0,1.0,0.75,0.006999999999999999,0.341,0.965,12,3,1
166,1.0,1.0,0.75,0.005,0.34600000000000003,0.9690000000000001,12,3,1
167,1.0,1.0,0.75,0.003,0.34700000000000003,0.966,12,3,1
168,1.0,1.0,0.75,0.001,0.34600000000000003,0.9620000000000001,12,3,1
169,1.0,1.0,0.75,-0.01,0.35,0.971,12,3,1
170,1.0,1.0,0.75,-0.027000000000000003,0.36,0.986,12,3,1
171,1.0,1.0,0.75,-0.044000000000000004,0.37,0.9940000000000001,12,3,1
172,1.0,1.0,0.75,-0.053,0.39,0.9990000000000001,12,3,1
173,1.0,1.0,0.75,-0.048,0.402,0.998,12,3,1
