,depth,x,y,z,behaviour,type,place
0,1.68,-0.004,0.5,1.2,2,0,0
1,1.68,-0.38,0.664,0.732,2,0,0
2,1.68,-0.064,-0.652,-0.02,2,0,0
3,1.68,0.552,-0.408,-0.064,2,0,0
4,1.68,0.16399999999999998,-0.41200000000000003,-0.28800000000000003,2,0,0
5,1.68,0.424,-0.312,-0.41200000000000003,2,0,0
6,1.68,0.348,-0.46399999999999997,-0.552,2,0,0
7,1.68,-0.272,-0.556,-0.86,2,0,0
8,1.68,-0.41200000000000003,-0.47600000000000003,-0.948,2,0,0
9,1.71,-0.512,-0.228,-0.58,2,0,-1
10,1.71,-1.08,0.44,1.712,2,0,-1
11,1.68,-0.536,0.06,-0.44799999999999995,2,0,0
12,1.68,0.048,-0.168,-0.34,2,0,0
13,1.71,-0.904,0.888,-0.568,2,0,-1
14,1.46,-0.7,0.38,0.556,2,0,0
15,1.96,-0.856,0.732,0.612,2,0,-1
16,2.06,-1.412,-0.156,0.72,2,0,-1
17,2.18,-1.524,0.168,0.528,2,0,-1
18,2.18,-1.608,0.688,1.016,2,0,-1
19,2.31,-1.328,0.828,1.34,2,0,-1
20,2.34,-1.0959999999999999,0.7959999999999999,1.364,8,1,-1
21,2.4,-0.9159999999999999,0.7240000000000001,1.412,8,1,-1
22,2.5,-0.708,0.884,1.556,8,1,-1
23,2.46,-0.488,0.9359999999999999,1.5719999999999998,8,1,-1
24,2.37,-0.44,0.972,1.68,8,1,-1
25,2.34,-0.316,0.86,1.504,8,1,-1
26,2.25,-0.168,0.78,1.396,8,1,-1
27,2.25,-0.08800000000000001,0.8079999999999999,1.26,8,1,-1
28,2.21,0.008,0.752,1.092,8,1,-1
29,2.18,-0.024,0.604,0.912,8,1,-1
30,2.15,-0.068,0.29600000000000004,0.9279999999999999,8,1,-1
31,2.21,0.032,0.37200000000000005,1.0,8,1,-1
32,2.25,-0.004,0.4,1.02,8,1,-1
33,2.31,0.0,0.256,1.052,8,1,-1
34,2.34,-0.02,0.29600000000000004,0.9840000000000001,8,1,-1
35,2.34,-0.008,0.312,1.012,8,1,-1
36,2.34,-0.004,0.316,0.8959999999999999,8,1,-1
37,2.31,-0.044000000000000004,0.336,0.88,8,1,-1
38,2.28,-0.016,0.35200000000000004,0.948,8,1,-1
39,2.25,-0.008,0.376,0.9520000000000001,8,1,-1
40,2.21,0.04,0.384,0.88,8,1,-1
41,2.21,0.055999999999999994,0.444,0.8759999999999999,8,1,-1
42,2.18,0.08800000000000001,0.44799999999999995,0.9640000000000001,8,1,-1
43,2.15,0.14800000000000002,0.504,0.932,8,1,-1
44,2.15,0.10400000000000001,0.43200000000000005,0.924,8,1,-1
45,2.09,0.11199999999999999,0.46,0.904,8,1,-1
46,2.06,0.152,0.384,0.872,8,1,-1
47,2.03,0.076,0.312,0.884,8,1,-1
48,2.03,0.068,0.304,0.828,8,1,-1
49,2.0,0.10400000000000001,0.332,0.84,8,1,-1
50,1.96,0.092,0.316,0.88,8,1,-1
51,1.9,0.096,0.38799999999999996,0.9640000000000001,8,1,-1
52,1.9,0.132,0.384,0.9,8,1,-1
