,depth,x,y,z,behaviour,type,place
0,0.5,0.924,-0.424,0.14,12,3,1
1,0.46,0.9079999999999999,-0.436,0.14800000000000002,12,3,1
2,0.5,0.9159999999999999,-0.43200000000000005,0.14400000000000002,12,3,1
3,0.46,0.9159999999999999,-0.43200000000000005,0.14400000000000002,12,3,1
4,0.46,0.9079999999999999,-0.428,0.136,12,3,1
5,0.46,0.9079999999999999,-0.424,0.156,12,3,1
6,0.46,0.888,-0.41600000000000004,0.18,12,3,1
7,0.46,0.868,-0.428,0.17600000000000002,12,3,1
8,0.46,0.9440000000000001,-0.4,0.168,12,3,1
9,0.46,1.052,-0.5720000000000001,0.304,12,3,1
10,0.46,1.088,-0.524,0.336,12,3,1
11,0.46,1.032,-0.35600000000000004,0.132,12,3,1
12,0.46,1.0759999999999998,-0.552,0.28,12,3,1
13,0.46,0.792,-0.2,0.7240000000000001,12,3,1
14,0.46,0.6559999999999999,-0.1,-0.248,12,3,1
15,0.46,0.804,0.14,-0.6759999999999999,12,3,1
16,0.46,0.016,-0.708,-0.5720000000000001,12,3,1
17,0.46,1.036,0.36,1.3719999999999999,12,3,1
18,0.46,1.328,0.38,0.728,12,3,1
19,0.46,0.8959999999999999,-0.204,0.524,12,3,1
20,0.46,0.804,-0.10800000000000001,0.616,12,3,1
21,0.46,0.584,-0.36,0.584,12,3,1
22,0.46,0.6679999999999999,-0.308,0.556,12,3,1
23,0.46,0.7120000000000001,-0.2,0.536,12,3,1
24,0.46,0.78,-0.12,0.496,12,3,1
25,0.46,0.86,-0.10800000000000001,0.488,0,0,1
26,0.46,0.9,-0.136,0.512,0,0,1
27,0.46,0.8,-0.084,0.536,0,0,1
28,0.46,0.804,-0.12,0.484,0,0,1
29,0.46,0.816,-0.07200000000000001,0.46799999999999997,0,0,1
30,0.46,0.9079999999999999,0.044000000000000004,0.444,0,0,1
31,0.46,0.904,0.048,0.444,0,0,1
32,0.46,0.888,0.024,0.43200000000000005,0,0,1
33,0.46,0.912,0.004,0.392,0,0,1
34,0.46,0.96,0.008,0.348,0,0,1
35,0.46,0.956,0.024,0.35200000000000004,0,0,1
36,0.46,0.9640000000000001,0.036000000000000004,0.32799999999999996,0,0,1
37,0.46,0.96,0.06,0.284,0,0,1
38,0.46,0.94,0.036000000000000004,0.264,0,0,1
39,0.46,0.94,0.06,0.24,0,0,1
40,0.46,0.956,0.044000000000000004,0.21600000000000003,0,0,1
41,0.46,0.988,0.024,0.192,0,0,1
42,0.46,1.0,0.0,0.16,12,3,1
43,0.46,0.98,0.0,0.124,12,3,1
44,0.46,1.0,-0.024,0.096,12,3,1
45,0.46,0.992,-0.027999999999999997,0.068,12,3,1
46,0.46,1.004,-0.044000000000000004,0.032,12,3,1
47,0.46,1.044,-0.052000000000000005,0.008,12,3,1
48,0.43,1.0759999999999998,-0.068,-0.027999999999999997,12,3,1
49,0.46,1.064,-0.06,-0.08,12,3,1
50,0.46,1.04,-0.064,-0.07200000000000001,12,3,1
51,0.46,1.028,-0.084,-0.076,12,3,1
52,0.46,1.008,-0.068,-0.084,12,3,1
53,0.46,1.008,-0.068,-0.08,12,3,1
54,0.46,1.02,-0.07200000000000001,-0.08800000000000001,12,3,1
55,0.43,1.02,-0.08800000000000001,-0.092,12,3,1
56,0.46,1.016,-0.092,-0.076,12,3,1
57,0.46,1.012,-0.11599999999999999,-0.084,12,3,1
58,0.46,1.004,-0.092,-0.10800000000000001,12,3,1
59,0.46,1.016,-0.092,-0.08800000000000001,12,3,1
60,0.46,1.0,-0.10400000000000001,-0.092,12,3,1
61,0.46,0.996,-0.1,-0.07200000000000001,12,3,1
62,0.46,0.992,-0.08,-0.08800000000000001,12,3,1
63,0.46,1.012,-0.11599999999999999,-0.084,12,3,1
64,0.46,1.02,-0.10400000000000001,-0.076,12,3,1
65,0.46,0.976,0.027999999999999997,-0.08,12,3,1
66,0.46,1.004,0.06,-0.096,1,1,1
67,0.46,1.06,0.076,-0.004,1,1,1
68,0.43,1.112,0.212,-0.128,1,1,1
69,0.46,1.272,0.312,-0.032,1,1,1
70,0.43,1.76,0.1,-0.12,1,1,1
