"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.in",1,"1.Other","00:00:00.04","2014-12-15 15:03:38.90",0.81,0.564,0.176,-0.404,"in","Other","water","surface","in",2014-12-15 15:03:38.90,"15-12-14"
1,"1.in",1,"1.Other","00:00:00.00","2014-12-15 15:03:38.94",0.81,-1.216,-0.588,-0.028,"in","Other","water","surface","",2014-12-15 15:03:38.94,"15-12-14"
1,"1.in",1,"1.Other","62005","2014-12-15 15:03:38.98",0.78,-0.868,-0.492,-0.18,"in","Other","water","surface","",2014-12-15 15:03:38.98,"15-12-14"
1,"1.in",1,"1.Other","62006","2014-12-15 15:03:39.00",0.78,-1.328,-0.668,-0.34,"in","Other","water","surface","",2014-12-15 15:03:39.00,"15-12-14"
1,"1.in",1,"1.Other","62007","2014-12-15 15:03:39.00",0.81,-1.204,0.044,0.148,"in","Other","water","surface","",2014-12-15 15:03:39.00,"15-12-14"
1,"1.in",1,"1.Other","62008","2014-12-15 15:03:39.02",0.84,-1.452,0.468,0.78,"in","Other","water","surface","",2014-12-15 15:03:39.02,"15-12-14"
1,"1.in",1,"1.Other","62009","2014-12-15 15:03:39.14",0.84,-0.964,-0.048,1.028,"in","Other","water","surface","",2014-12-15 15:03:39.14,"15-12-14"
1,"1.in",1,"1.Other","62010","2014-12-15 15:03:39.18",0.96,-1.464,0.436,0.948,"in","Other","water","surface","",2014-12-15 15:03:39.18,"15-12-14"
1,"1.in",1,"1.Other","62011","2014-12-15 15:03:39.22",1.06,-0.864,0.356,1.312,"in","Other","water","surface","",2014-12-15 15:03:39.22,"15-12-14"
1,"1.in",1,"1.Other","62012","2014-12-15 15:03:39.25",1.15,-0.576,0.424,1.56,"in","Other","water","surface","",2014-12-15 15:03:39.25,"15-12-14"
1,"1.in",1,"1.Other","62013","2014-12-15 15:03:39.25",1.25,-0.58,0.244,1.616,"in","Other","water","surface","",2014-12-15 15:03:39.25,"15-12-14"
1,"1.in",1,"1.Other","62014","2014-12-15 15:03:39.26",1.37,-0.016,-0.144,1.932,"in","Other","water","surface","",2014-12-15 15:03:39.26,"15-12-14"
1,"1.in",1,"1.Other","62015","2014-12-15 15:03:39.38",1.34,0.288,-0.028,1.964,"in","Other","water","surface","",2014-12-15 15:03:39.38,"15-12-14"
1,"1.in",1,"1.Other","62016","2014-12-15 15:03:39.42",1.25,-0.132,0.26,1.584,"in","Other","water","surface","",2014-12-15 15:03:39.42,"15-12-14"
1,"1.in",1,"1.Other","62017","2014-12-15 15:03:39.46",1.18,-0.116,0.088,1.328,"in","Other","water","surface","",2014-12-15 15:03:39.46,"15-12-14"
1,"1.in",1,"1.Other","62018","2014-12-15 15:03:39.50",1.18,-0.076,-0.252,1.012,"in","Other","water","surface","",2014-12-15 15:03:39.50,"15-12-14"
1,"1.in",1,"1.Other","62019","2014-12-15 15:03:39.50",1.21,-0.128,-0.06,1.06,"in","Other","water","surface","",2014-12-15 15:03:39.50,"15-12-14"
1,"1.in",1,"1.Other","62020","2014-12-15 15:03:39.50",1.18,-0.088,-0.012,1.024,"in","Other","water","surface","",2014-12-15 15:03:39.50,"15-12-14"
1,"1.slow",2,"2.Travelling","62021","2014-12-15 15:03:39.54",1.18,-0.236,-0.08,1,"slow","Travelling","water","surface","slow",2014-12-15 15:03:39.54,"15-12-14"
1,"1.slow",2,"2.Travelling","62022","2014-12-15 15:03:39.66",1.15,-0.184,-0.204,1.044,"slow","Travelling","water","surface","",2014-12-15 15:03:39.66,"15-12-14"
1,"1.slow",2,"2.Travelling","62023","2014-12-15 15:03:39.70",1.18,-0.144,-0.184,0.916,"slow","Travelling","water","surface","",2014-12-15 15:03:39.70,"15-12-14"
1,"1.slow",2,"2.Travelling","62024","2014-12-15 15:03:39.74",1.18,-0.056,-0.06,1.152,"slow","Travelling","water","surface","",2014-12-15 15:03:39.74,"15-12-14"
1,"1.slow",2,"2.Travelling","62025","2014-12-15 15:03:39.75",1.15,-0.044,0.12,1.068,"slow","Travelling","water","surface","",2014-12-15 15:03:39.75,"15-12-14"
1,"1.slow",2,"2.Travelling","62026","2014-12-15 15:03:39.75",1.12,0.088,0.128,1.012,"slow","Travelling","water","surface","",2014-12-15 15:03:39.75,"15-12-14"
1,"1.slow",2,"2.Travelling","62027","2014-12-15 15:03:39.78",1.12,0.04,-0.092,0.9,"slow","Travelling","water","surface","",2014-12-15 15:03:39.78,"15-12-14"
1,"1.slow",2,"2.Travelling","62028","2014-12-15 15:03:39.90",1.12,0.012,-0.02,0.94,"slow","Travelling","water","surface","",2014-12-15 15:03:39.90,"15-12-14"
1,"1.slow",2,"2.Travelling","62029","2014-12-15 15:03:39.94",1.06,0,0.028,0.892,"slow","Travelling","water","surface","",2014-12-15 15:03:39.94,"15-12-14"
1,"1.slow",2,"2.Travelling","62030","2014-12-15 15:03:39.98",1.09,0.008,-0.028,0.916,"slow","Travelling","water","surface","",2014-12-15 15:03:39.98,"15-12-14"
1,"1.slow",2,"2.Travelling","62031","2014-12-15 15:03:40.00",1.06,0.032,-0.012,0.864,"slow","Travelling","water","surface","",2014-12-15 15:03:40.00,"15-12-14"
1,"1.slow",2,"2.Travelling","62032","2014-12-15 15:03:40.00",1.06,0.02,-0.024,0.892,"slow","Travelling","water","surface","",2014-12-15 15:03:40.00,"15-12-14"
1,"1.slow",2,"2.Travelling","62033","2014-12-15 15:03:40.02",1.03,0.02,-0.072,0.872,"slow","Travelling","water","surface","",2014-12-15 15:03:40.02,"15-12-14"
1,"1.slow",2,"2.Travelling","62034","2014-12-15 15:03:40.14",1.03,0.004,0.008,0.964,"slow","Travelling","water","surface","",2014-12-15 15:03:40.14,"15-12-14"
1,"1.slow",2,"2.Travelling","62035","2014-12-15 15:03:40.18",1,-0.004,0.032,0.996,"slow","Travelling","water","surface","",2014-12-15 15:03:40.18,"15-12-14"
1,"1.slow",2,"2.Travelling","62036","2014-12-15 15:03:40.22",1,-0.004,-0.032,0.96,"slow","Travelling","water","surface","",2014-12-15 15:03:40.22,"15-12-14"
1,"1.slow",2,"2.Travelling","62037","2014-12-15 15:03:40.25",1,-0.144,-0.016,0.864,"slow","Travelling","water","surface","",2014-12-15 15:03:40.25,"15-12-14"
1,"1.slow",2,"2.Travelling","62038","2014-12-15 15:03:40.25",1,-0.148,0.04,0.836,"slow","Travelling","water","surface","",2014-12-15 15:03:40.25,"15-12-14"
1,"1.slow",2,"2.Travelling","62039","2014-12-15 15:03:40.26",1,-0.2,0.064,0.8,"slow","Travelling","water","surface","",2014-12-15 15:03:40.26,"15-12-14"
1,"1.slow",2,"2.Travelling","62040","2014-12-15 15:03:40.38",1,-0.14,0.064,0.808,"slow","Travelling","water","surface","",2014-12-15 15:03:40.38,"15-12-14"
1,"1.slow",2,"2.Travelling","62041","2014-12-15 15:03:40.42",1,-0.172,0.008,0.796,"slow","Travelling","water","surface","",2014-12-15 15:03:40.42,"15-12-14"
1,"1.slow",2,"2.Travelling","62042","2014-12-15 15:03:40.46",1,-0.116,0.008,0.884,"slow","Travelling","water","surface","",2014-12-15 15:03:40.46,"15-12-14"
1,"1.slow",2,"2.Travelling","62043","2014-12-15 15:03:40.50",1,-0.104,0.072,0.98,"slow","Travelling","water","surface","",2014-12-15 15:03:40.50,"15-12-14"
1,"1.slow",2,"2.Travelling","62044","2014-12-15 15:03:40.50",1,-0.172,0.032,0.944,"slow","Travelling","water","surface","",2014-12-15 15:03:40.50,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62045","2014-12-15 15:03:40.50",1,-0.18,0.244,1.052,"manipulation","Foraging","water","surface","manipulation",2014-12-15 15:03:40.50,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62046","2014-12-15 15:03:40.54",0.96,-0.152,0.44,0.98,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.54,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62047","2014-12-15 15:03:40.66",1,-0.12,0.364,0.984,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.66,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62048","2014-12-15 15:03:40.70",0.93,-0.068,0.44,0.888,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.70,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62049","2014-12-15 15:03:40.74",0.96,-0.156,0.412,0.88,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.74,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62050","2014-12-15 15:03:40.75",0.93,-0.172,0.372,0.848,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.75,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62051","2014-12-15 15:03:40.75",0.93,-0.032,0.324,0.784,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.75,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62052","2014-12-15 15:03:40.78",0.9,-0.148,0.408,0.784,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.78,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62053","2014-12-15 15:03:40.90",0.93,-0.176,0.524,0.764,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.90,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62054","2014-12-15 15:03:40.94",0.9,-0.208,0.496,0.78,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.94,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62055","2014-12-15 15:03:40.98",0.9,-0.184,0.492,0.776,"manipulation","Foraging","water","surface","",2014-12-15 15:03:40.98,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62056","2014-12-15 15:03:41.00",0.9,-0.144,0.568,0.812,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.00,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62057","2014-12-15 15:03:41.00",0.9,-0.192,0.612,0.764,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.00,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62058","2014-12-15 15:03:41.02",0.87,-0.224,0.712,0.744,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.02,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62059","2014-12-15 15:03:41.14",0.9,-0.204,0.736,0.68,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.14,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62060","2014-12-15 15:03:41.18",0.9,-0.152,0.692,0.724,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.18,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62061","2014-12-15 15:03:41.22",0.87,-0.076,0.732,0.692,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.22,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62062","2014-12-15 15:03:41.25",0.87,-0.052,0.788,0.748,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.25,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62063","2014-12-15 15:03:41.25",0.87,-0.06,0.72,0.756,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.25,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62064","2014-12-15 15:03:41.26",0.87,0.008,0.636,0.784,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.26,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62065","2014-12-15 15:03:41.38",0.87,0.004,0.532,0.852,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.38,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62066","2014-12-15 15:03:41.42",0.87,0.032,0.488,0.9,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.42,"15-12-14"
1,"1.manipulation",3,"3.Foraging","62067","2014-12-15 15:03:41.46",0.84,0.016,0.436,0.876,"manipulation","Foraging","water","surface","",2014-12-15 15:03:41.46,"15-12-14"
