number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date,doe
1,1.slow,1,1.Travelling,00:00.0,10:11:42.00,3.06,-0.544,-0.492,0.492,slow,Travelling,water,underwater,slow,10:11:42.00,3/09/2015
1,1.slow,1,1.Travelling,00:00.0,10:11:42.04,3.03,-0.584,-0.488,0.556,slow,Travelling,water,underwater,,10:11:42.04,3/09/2015
1,1.slow,1,1.Travelling,10262,10:11:42.08,3,-0.556,-0.484,0.628,slow,Travelling,water,underwater,,10:11:42.08,3/09/2015
1,1.slow,1,1.Travelling,10263,10:11:42.12,3,-0.512,-0.488,0.672,slow,Travelling,water,underwater,,10:11:42.12,3/09/2015
1,1.slow,1,1.Travelling,10264,10:11:42.16,2.96,-0.432,-0.472,0.676,slow,Travelling,water,underwater,,10:11:42.16,3/09/2015
1,1.slow,1,1.Travelling,10265,10:11:42.20,3,-0.392,-0.48,0.728,slow,Travelling,water,underwater,,10:11:42.20,3/09/2015
1,1.slow,1,1.Travelling,10266,10:11:42.24,2.96,-0.376,-0.5,0.728,slow,Travelling,water,underwater,,10:11:42.24,3/09/2015
1,1.slow,1,1.Travelling,10267,10:11:42.28,2.93,-0.332,-0.528,0.712,slow,Travelling,water,underwater,,10:11:42.28,3/09/2015
1,1.slow,1,1.Travelling,10268,10:11:42.32,2.93,-0.24,-0.552,0.664,slow,Travelling,water,underwater,,10:11:42.32,3/09/2015
1,1.slow,1,1.Travelling,10269,10:11:42.36,2.93,-0.212,-0.58,0.656,slow,Travelling,water,underwater,,10:11:42.36,3/09/2015
1,1.slow,1,1.Travelling,10270,10:11:42.40,2.9,-0.2,-0.604,0.664,slow,Travelling,water,underwater,,10:11:42.40,3/09/2015
1,1.slow,1,1.Travelling,10271,10:11:42.44,2.9,-0.132,-0.632,0.652,slow,Travelling,water,underwater,,10:11:42.44,3/09/2015
1,1.slow,1,1.Travelling,10272,10:11:42.48,2.87,-0.056,-0.652,0.664,slow,Travelling,water,underwater,,10:11:42.48,3/09/2015
1,1.slow,1,1.Travelling,10273,10:11:42.52,2.9,0.124,-0.628,0.592,slow,Travelling,water,underwater,,10:11:42.52,3/09/2015
1,1.slow,1,1.Travelling,10274,10:11:42.56,2.84,-0.016,-0.632,0.684,slow,Travelling,water,underwater,,10:11:42.56,3/09/2015
1,1.slow,1,1.Travelling,10275,10:11:42.60,2.87,0.12,-0.732,0.612,slow,Travelling,water,underwater,,10:11:42.60,3/09/2015
1,1.slow,1,1.Travelling,10276,10:11:42.64,2.84,0.204,-0.676,0.612,slow,Travelling,water,underwater,,10:11:42.64,3/09/2015
1,1.slow,1,1.Travelling,10277,10:11:42.68,2.84,0.232,-0.604,0.668,slow,Travelling,water,underwater,,10:11:42.68,3/09/2015
1,1.slow,1,1.Travelling,10278,10:11:42.72,2.9,0.272,-0.684,0.62,slow,Travelling,water,underwater,,10:11:42.72,3/09/2015
1,1.slow,1,1.Travelling,10279,10:11:42.76,2.81,0.184,-0.66,0.652,slow,Travelling,water,underwater,,10:11:42.76,3/09/2015
1,1.slow,1,1.Travelling,10280,10:11:42.80,2.87,0.308,-0.612,0.64,slow,Travelling,water,underwater,,10:11:42.80,3/09/2015
1,1.slow,1,1.Travelling,10281,10:11:42.84,2.84,0.284,-0.604,0.612,slow,Travelling,water,underwater,,10:11:42.84,3/09/2015
1,1.slow,1,1.Travelling,10282,10:11:42.88,2.87,0.26,-0.616,0.648,slow,Travelling,water,underwater,,10:11:42.88,3/09/2015
1,1.slow,1,1.Travelling,10283,10:11:42.92,2.87,0.276,-0.596,0.7,slow,Travelling,water,underwater,,10:11:42.92,3/09/2015
1,1.slow,1,1.Travelling,10284,10:11:42.96,2.87,0.328,-0.604,0.684,slow,Travelling,water,underwater,,10:11:42.96,3/09/2015
1,1.slow,1,1.Travelling,10285,10:11:43.00,2.87,0.308,-0.664,0.62,slow,Travelling,water,underwater,,10:11:43.00,3/09/2015
1,1.slow,1,1.Travelling,10286,10:11:43.04,2.81,0.32,-0.648,0.632,slow,Travelling,water,underwater,,10:11:43.04,3/09/2015
1,1.slow,1,1.Travelling,10287,10:11:43.08,2.84,0.268,-0.636,0.644,slow,Travelling,water,underwater,,10:11:43.08,3/09/2015
1,1.slow,1,1.Travelling,10288,10:11:43.12,2.81,0.272,-0.604,0.7,slow,Travelling,water,underwater,,10:11:43.12,3/09/2015
1,1.slow,1,1.Travelling,10289,10:11:43.16,2.81,0.248,-0.628,0.696,slow,Travelling,water,underwater,,10:11:43.16,3/09/2015
1,1.slow,1,1.Travelling,10290,10:11:43.20,2.84,0.204,-0.628,0.716,slow,Travelling,water,underwater,,10:11:43.20,3/09/2015
1,1.slow,1,1.Travelling,10291,10:11:43.24,2.81,0.224,-0.604,0.712,slow,Travelling,water,underwater,,10:11:43.24,3/09/2015
1,1.slow,1,1.Travelling,10292,10:11:43.28,2.84,0.22,-0.644,0.708,slow,Travelling,water,underwater,,10:11:43.28,3/09/2015
1,1.slow,1,1.Travelling,10293,10:11:43.32,2.84,0.228,-0.608,0.704,slow,Travelling,water,underwater,,10:11:43.32,3/09/2015
1,1.slow,1,1.Travelling,10294,10:11:43.36,2.84,0.248,-0.612,0.708,slow,Travelling,water,underwater,,10:11:43.36,3/09/2015
1,1.slow,1,1.Travelling,10295,10:11:43.40,2.81,0.224,-0.62,0.72,slow,Travelling,water,underwater,,10:11:43.40,3/09/2015
1,1.slow,1,1.Travelling,10296,10:11:43.44,2.84,0.204,-0.616,0.716,slow,Travelling,water,underwater,,10:11:43.44,3/09/2015
1,1.slow,1,1.Travelling,10297,10:11:43.48,2.81,0.2,-0.632,0.704,slow,Travelling,water,underwater,,10:11:43.48,3/09/2015
1,1.slow,1,1.Travelling,10298,10:11:43.52,2.84,0.204,-0.62,0.696,slow,Travelling,water,underwater,,10:11:43.52,3/09/2015
1,1.slow,1,1.Travelling,10299,10:11:43.56,2.84,0.204,-0.616,0.684,slow,Travelling,water,underwater,,10:11:43.56,3/09/2015
1,1.slow,1,1.Travelling,10300,10:11:43.60,2.84,0.212,-0.648,0.704,slow,Travelling,water,underwater,,10:11:43.60,3/09/2015
1,1.slow,1,1.Travelling,10301,10:11:43.64,2.84,0.18,-0.668,0.7,slow,Travelling,water,underwater,,10:11:43.64,3/09/2015
1,1.slow,1,1.Travelling,10302,10:11:43.68,2.84,0.176,-0.732,0.564,slow,Travelling,water,underwater,,10:11:43.68,3/09/2015
1,1.slow,1,1.Travelling,10303,10:11:43.72,2.81,0.26,-0.704,0.676,slow,Travelling,water,underwater,,10:11:43.72,3/09/2015
1,1.slow,1,1.Travelling,10304,10:11:43.76,2.84,0.228,-0.644,0.684,slow,Travelling,water,underwater,,10:11:43.76,3/09/2015
1,1.slow,1,1.Travelling,10305,10:11:43.80,2.81,0.22,-0.732,0.544,slow,Travelling,water,underwater,,10:11:43.80,3/09/2015
1,1.slow,1,1.Travelling,10306,10:11:43.84,2.81,0.156,-0.792,0.528,slow,Travelling,water,underwater,,10:11:43.84,3/09/2015
1,1.slow,1,1.Travelling,10307,10:11:43.88,2.78,0.192,-0.764,0.548,slow,Travelling,water,underwater,,10:11:43.88,3/09/2015
1,1.slow,1,1.Travelling,10308,10:11:43.92,2.78,0.2,-0.78,0.548,slow,Travelling,water,underwater,,10:11:43.92,3/09/2015
