"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.sitting",1,"1.Resting","00:00:00.04","2014-09-03 09:19:18.00",0.53,0.716,0.168,0.636,"sitting","Resting","land","land","sitting",2014-09-03 09:19:18.00,"05-09-14"
1,"1.sitting",1,"1.Resting","00:00.0","2014-09-03 09:19:18.00",0.53,0.728,0.164,0.652,"sitting","Resting","land","land","",2014-09-03 09:19:18.00,"05-09-14"
1,"1.sitting",1,"1.Resting","11483","2014-09-03 09:19:18.01",0.53,0.72,0.156,0.644,"sitting","Resting","land","land","",2014-09-03 09:19:18.01,"05-09-14"
1,"1.sitting",1,"1.Resting","11484","2014-09-03 09:19:18.13",0.53,0.72,0.148,0.636,"sitting","Resting","land","land","",2014-09-03 09:19:18.13,"05-09-14"
1,"1.sitting",1,"1.Resting","11485","2014-09-03 09:19:18.17",0.53,0.712,0.152,0.628,"sitting","Resting","land","land","",2014-09-03 09:19:18.17,"05-09-14"
1,"1.sitting",1,"1.Resting","11486","2014-09-03 09:19:18.21",0.53,0.712,0.144,0.636,"sitting","Resting","land","land","",2014-09-03 09:19:18.21,"05-09-14"
1,"1.sitting",1,"1.Resting","11487","2014-09-03 09:19:18.25",0.53,0.716,0.144,0.648,"sitting","Resting","land","land","",2014-09-03 09:19:18.25,"05-09-14"
1,"1.sitting",1,"1.Resting","11488","2014-09-03 09:19:18.25",0.53,0.72,0.156,0.64,"sitting","Resting","land","land","",2014-09-03 09:19:18.25,"05-09-14"
1,"1.sitting",1,"1.Resting","11489","2014-09-03 09:19:18.27",0.53,0.724,0.172,0.632,"sitting","Resting","land","land","",2014-09-03 09:19:18.27,"05-09-14"
1,"1.sitting",1,"1.Resting","11490","2014-09-03 09:19:18.38",0.53,0.744,0.188,0.616,"sitting","Resting","land","land","",2014-09-03 09:19:18.38,"05-09-14"
1,"1.sitting",1,"1.Resting","11491","2014-09-03 09:19:18.42",0.53,0.74,0.216,0.612,"sitting","Resting","land","land","",2014-09-03 09:19:18.42,"05-09-14"
1,"1.sitting",1,"1.Resting","11492","2014-09-03 09:19:18.46",0.53,0.736,0.2,0.612,"sitting","Resting","land","land","",2014-09-03 09:19:18.46,"05-09-14"
1,"1.sitting",1,"1.Resting","11493","2014-09-03 09:19:18.50",0.53,0.728,0.184,0.624,"sitting","Resting","land","land","",2014-09-03 09:19:18.50,"05-09-14"
1,"1.sitting",1,"1.Resting","11494","2014-09-03 09:19:18.50",0.53,0.72,0.172,0.62,"sitting","Resting","land","land","",2014-09-03 09:19:18.50,"05-09-14"
1,"1.sitting",1,"1.Resting","11495","2014-09-03 09:19:18.52",0.53,0.728,0.172,0.644,"sitting","Resting","land","land","",2014-09-03 09:19:18.52,"05-09-14"
1,"1.sitting",1,"1.Resting","11496","2014-09-03 09:19:18.63",0.53,0.736,0.16,0.64,"sitting","Resting","land","land","",2014-09-03 09:19:18.63,"05-09-14"
1,"1.sitting",1,"1.Resting","11497","2014-09-03 09:19:18.67",0.53,0.728,0.156,0.636,"sitting","Resting","land","land","",2014-09-03 09:19:18.67,"05-09-14"
1,"1.sitting",1,"1.Resting","11498","2014-09-03 09:19:18.71",0.53,0.74,0.16,0.636,"sitting","Resting","land","land","",2014-09-03 09:19:18.71,"05-09-14"
1,"1.sitting",1,"1.Resting","11499","2014-09-03 09:19:18.75",0.53,0.736,0.148,0.64,"sitting","Resting","land","land","",2014-09-03 09:19:18.75,"05-09-14"
1,"1.sitting",1,"1.Resting","11500","2014-09-03 09:19:18.75",0.53,0.744,0.164,0.636,"sitting","Resting","land","land","",2014-09-03 09:19:18.75,"05-09-14"
1,"1.sitting",1,"1.Resting","11501","2014-09-03 09:19:18.77",0.53,0.74,0.16,0.628,"sitting","Resting","land","land","",2014-09-03 09:19:18.77,"05-09-14"
1,"1.sitting",1,"1.Resting","11502","2014-09-03 09:19:18.88",0.53,0.74,0.152,0.628,"sitting","Resting","land","land","",2014-09-03 09:19:18.88,"05-09-14"
1,"1.sitting",1,"1.Resting","11503","2014-09-03 09:19:18.92",0.53,0.736,0.144,0.624,"sitting","Resting","land","land","",2014-09-03 09:19:18.92,"05-09-14"
1,"1.sitting",1,"1.Resting","11504","2014-09-03 09:19:18.97",0.53,0.736,0.144,0.632,"sitting","Resting","land","land","",2014-09-03 09:19:18.97,"05-09-14"
