"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.sitting",1,"1.Resting","00:00:00.04","2014-12-15 15:04:45.00",0.68,0.827,-0.169,0.551,"sitting","Resting","land","land","sitting",2014-12-15 15:04:45.00,"23-08-14"
1,"1.sitting",1,"1.Resting","7578","2014-12-15 15:04:45.00",0.68,0.826,-0.19,0.542,"sitting","Resting","land","land","",2014-12-15 15:04:45.00,"23-08-14"
1,"1.sitting",1,"1.Resting","7579","2014-12-15 15:04:45.02",0.68,0.828,-0.201,0.542,"sitting","Resting","land","land","",2014-12-15 15:04:45.02,"23-08-14"
1,"1.sitting",1,"1.Resting","7580","2014-12-15 15:04:45.13",0.68,0.829,-0.212,0.54,"sitting","Resting","land","land","",2014-12-15 15:04:45.13,"23-08-14"
1,"1.sitting",1,"1.Resting","7581","2014-12-15 15:04:45.17",0.68,0.822,-0.215,0.537,"sitting","Resting","land","land","",2014-12-15 15:04:45.17,"23-08-14"
1,"1.sitting",1,"1.Resting","7582","2014-12-15 15:04:45.21",0.68,0.821,-0.212,0.538,"sitting","Resting","land","land","",2014-12-15 15:04:45.21,"23-08-14"
1,"1.sitting",1,"1.Resting","7583","2014-12-15 15:04:45.25",0.68,0.817,-0.212,0.542,"sitting","Resting","land","land","",2014-12-15 15:04:45.25,"23-08-14"
1,"1.sitting",1,"1.Resting","7584","2014-12-15 15:04:45.25",0.65,0.82,-0.222,0.535,"sitting","Resting","land","land","",2014-12-15 15:04:45.25,"23-08-14"
1,"1.sitting",1,"1.Resting","7585","2014-12-15 15:04:45.28",0.68,0.826,-0.222,0.554,"sitting","Resting","land","land","",2014-12-15 15:04:45.28,"23-08-14"
1,"1.sitting",1,"1.Resting","7586","2014-12-15 15:04:45.38",0.68,0.81,-0.228,0.537,"sitting","Resting","land","land","",2014-12-15 15:04:45.38,"23-08-14"
1,"1.sitting",1,"1.Resting","7587","2014-12-15 15:04:45.42",0.68,0.809,-0.227,0.553,"sitting","Resting","land","land","",2014-12-15 15:04:45.42,"23-08-14"
1,"1.sitting",1,"1.Resting","7588","2014-12-15 15:04:45.46",0.68,0.809,-0.234,0.539,"sitting","Resting","land","land","",2014-12-15 15:04:45.46,"23-08-14"
1,"1.sitting",1,"1.Resting","7589","2014-12-15 15:04:45.50",0.68,0.804,-0.229,0.545,"sitting","Resting","land","land","",2014-12-15 15:04:45.50,"23-08-14"
1,"1.sitting",1,"1.Resting","7590","2014-12-15 15:04:45.50",0.68,0.809,-0.233,0.566,"sitting","Resting","land","land","",2014-12-15 15:04:45.50,"23-08-14"
1,"1.sitting",1,"1.Resting","7591","2014-12-15 15:04:45.53",0.68,0.809,-0.245,0.551,"sitting","Resting","land","land","",2014-12-15 15:04:45.53,"23-08-14"
1,"1.sitting",1,"1.Resting","7592","2014-12-15 15:04:45.63",0.68,0.814,-0.239,0.55,"sitting","Resting","land","land","",2014-12-15 15:04:45.63,"23-08-14"
1,"1.sitting",1,"1.Resting","7593","2014-12-15 15:04:45.67",0.68,0.804,-0.232,0.542,"sitting","Resting","land","land","",2014-12-15 15:04:45.67,"23-08-14"
1,"1.sitting",1,"1.Resting","7594","2014-12-15 15:04:45.71",0.68,0.809,-0.235,0.552,"sitting","Resting","land","land","",2014-12-15 15:04:45.71,"23-08-14"
1,"1.sitting",1,"1.Resting","7595","2014-12-15 15:04:45.75",0.68,0.812,-0.241,0.541,"sitting","Resting","land","land","",2014-12-15 15:04:45.75,"23-08-14"
1,"1.sitting",1,"1.Resting","7596","2014-12-15 15:04:45.75",0.68,0.811,-0.243,0.537,"sitting","Resting","land","land","",2014-12-15 15:04:45.75,"23-08-14"
1,"1.sitting",1,"1.Resting","7597","2014-12-15 15:04:45.78",0.68,0.815,-0.244,0.536,"sitting","Resting","land","land","",2014-12-15 15:04:45.78,"23-08-14"
