"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.in",1,"1.Other","00:00:00.04","2014-11-01 13:44:16.00",1.68,-0.004,0.5,1.2,"in","Other","water","surface","in",2014-11-01 13:44:16.00,"24-10-14"
1,"1.in",1,"1.Other","00:00.0","2014-11-01 13:44:16.00",1.68,-0.38,0.664,0.732,"in","Other","water","surface","",2014-11-01 13:44:16.00,"24-10-14"
1,"1.in",1,"1.Other","5758","2014-11-01 13:44:16.02",1.68,-0.064,-0.652,-0.02,"in","Other","water","surface","",2014-11-01 13:44:16.02,"24-10-14"
1,"1.in",1,"1.Other","5759","2014-11-01 13:44:16.13",1.68,0.552,-0.408,-0.064,"in","Other","water","surface","",2014-11-01 13:44:16.13,"24-10-14"
1,"1.in",1,"1.Other","5760","2014-11-01 13:44:16.17",1.68,0.164,-0.412,-0.288,"in","Other","water","surface","",2014-11-01 13:44:16.17,"24-10-14"
1,"1.in",1,"1.Other","5761","2014-11-01 13:44:16.21",1.68,0.424,-0.312,-0.412,"in","Other","water","surface","",2014-11-01 13:44:16.21,"24-10-14"
1,"1.in",1,"1.Other","5762","2014-11-01 13:44:16.25",1.68,0.348,-0.464,-0.552,"in","Other","water","surface","",2014-11-01 13:44:16.25,"24-10-14"
1,"1.in",1,"1.Other","5763","2014-11-01 13:44:16.25",1.68,-0.272,-0.556,-0.86,"in","Other","water","surface","",2014-11-01 13:44:16.25,"24-10-14"
1,"1.in",1,"1.Other","5764","2014-11-01 13:44:16.28",1.68,-0.412,-0.476,-0.948,"in","Other","water","surface","",2014-11-01 13:44:16.28,"24-10-14"
1,"1.in",1,"1.Other","5765","2014-11-01 13:44:16.38",1.71,-0.512,-0.228,-0.58,"in","Other","water","underwater","",2014-11-01 13:44:16.38,"24-10-14"
1,"1.in",1,"1.Other","5766","2014-11-01 13:44:16.42",1.71,-1.08,0.44,1.712,"in","Other","water","underwater","",2014-11-01 13:44:16.42,"24-10-14"
1,"1.in",1,"1.Other","5767","2014-11-01 13:44:16.46",1.68,-0.536,0.06,-0.448,"in","Other","water","surface","",2014-11-01 13:44:16.46,"24-10-14"
1,"1.in",1,"1.Other","5768","2014-11-01 13:44:16.50",1.68,0.048,-0.168,-0.34,"in","Other","water","surface","",2014-11-01 13:44:16.50,"24-10-14"
1,"1.in",1,"1.Other","5769","2014-11-01 13:44:16.50",1.71,-0.904,0.888,-0.568,"in","Other","water","underwater","",2014-11-01 13:44:16.50,"24-10-14"
1,"1.in",1,"1.Other","5770","2014-11-01 13:44:16.53",1.46,-0.7,0.38,0.556,"in","Other","water","surface","",2014-11-01 13:44:16.53,"24-10-14"
1,"1.in",1,"1.Other","5771","2014-11-01 13:44:16.63",1.96,-0.856,0.732,0.612,"in","Other","water","underwater","",2014-11-01 13:44:16.63,"24-10-14"
1,"1.in",1,"1.Other","5772","2014-11-01 13:44:16.67",2.06,-1.412,-0.156,0.72,"in","Other","water","underwater","",2014-11-01 13:44:16.67,"24-10-14"
1,"1.in",1,"1.Other","5773","2014-11-01 13:44:16.71",2.18,-1.524,0.168,0.528,"in","Other","water","underwater","",2014-11-01 13:44:16.71,"24-10-14"
1,"1.in",1,"1.Other","5774","2014-11-01 13:44:16.75",2.18,-1.608,0.688,1.016,"in","Other","water","underwater","",2014-11-01 13:44:16.75,"24-10-14"
1,"1.in",1,"1.Other","5775","2014-11-01 13:44:16.75",2.31,-1.328,0.828,1.34,"in","Other","water","underwater","",2014-11-01 13:44:16.75,"24-10-14"
1,"1.swimming",2,"2.Travelling","5776","2014-11-01 13:44:16.78",2.34,-1.096,0.796,1.364,"swimming","Travelling","water","underwater","swimming",2014-11-01 13:44:16.78,"24-10-14"
1,"1.swimming",2,"2.Travelling","5777","2014-11-01 13:44:16.88",2.4,-0.916,0.724,1.412,"swimming","Travelling","water","underwater","",2014-11-01 13:44:16.88,"24-10-14"
1,"1.swimming",2,"2.Travelling","5778","2014-11-01 13:44:16.92",2.5,-0.708,0.884,1.556,"swimming","Travelling","water","underwater","",2014-11-01 13:44:16.92,"24-10-14"
1,"1.swimming",2,"2.Travelling","5779","2014-11-01 13:44:16.97",2.46,-0.488,0.936,1.572,"swimming","Travelling","water","underwater","",2014-11-01 13:44:16.97,"24-10-14"
1,"1.swimming",2,"2.Travelling","5780","2014-11-01 13:44:17.00",2.37,-0.44,0.972,1.68,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.00,"24-10-14"
1,"1.swimming",2,"2.Travelling","5781","2014-11-01 13:44:17.00",2.34,-0.316,0.86,1.504,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.00,"24-10-14"
1,"1.swimming",2,"2.Travelling","5782","2014-11-01 13:44:17.03",2.25,-0.168,0.78,1.396,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.03,"24-10-14"
1,"1.swimming",2,"2.Travelling","5783","2014-11-01 13:44:17.13",2.25,-0.088,0.808,1.26,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.13,"24-10-14"
1,"1.swimming",2,"2.Travelling","5784","2014-11-01 13:44:17.18",2.21,0.008,0.752,1.092,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.18,"24-10-14"
1,"1.swimming",2,"2.Travelling","5785","2014-11-01 13:44:17.22",2.18,-0.024,0.604,0.912,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.22,"24-10-14"
1,"1.swimming",2,"2.Travelling","5786","2014-11-01 13:44:17.25",2.15,-0.068,0.296,0.928,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.25,"24-10-14"
1,"1.swimming",2,"2.Travelling","5787","2014-11-01 13:44:17.25",2.21,0.032,0.372,1,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.25,"24-10-14"
1,"1.swimming",2,"2.Travelling","5788","2014-11-01 13:44:17.28",2.25,-0.004,0.4,1.02,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.28,"24-10-14"
1,"1.swimming",2,"2.Travelling","5789","2014-11-01 13:44:17.39",2.31,0,0.256,1.052,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.39,"24-10-14"
1,"1.swimming",2,"2.Travelling","5790","2014-11-01 13:44:17.43",2.34,-0.02,0.296,0.984,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.43,"24-10-14"
1,"1.swimming",2,"2.Travelling","5791","2014-11-01 13:44:17.47",2.34,-0.008,0.312,1.012,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.47,"24-10-14"
1,"1.swimming",2,"2.Travelling","5792","2014-11-01 13:44:17.50",2.34,-0.004,0.316,0.896,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.50,"24-10-14"
1,"1.swimming",2,"2.Travelling","5793","2014-11-01 13:44:17.50",2.31,-0.044,0.336,0.88,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.50,"24-10-14"
1,"1.swimming",2,"2.Travelling","5794","2014-11-01 13:44:17.54",2.28,-0.016,0.352,0.948,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.54,"24-10-14"
1,"1.swimming",2,"2.Travelling","5795","2014-11-01 13:44:17.64",2.25,-0.008,0.376,0.952,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.64,"24-10-14"
1,"1.swimming",2,"2.Travelling","5796","2014-11-01 13:44:17.68",2.21,0.04,0.384,0.88,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.68,"24-10-14"
1,"1.swimming",2,"2.Travelling","5797","2014-11-01 13:44:17.72",2.21,0.056,0.444,0.876,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.72,"24-10-14"
1,"1.swimming",2,"2.Travelling","5798","2014-11-01 13:44:17.75",2.18,0.088,0.448,0.964,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.75,"24-10-14"
1,"1.swimming",2,"2.Travelling","5799","2014-11-01 13:44:17.75",2.15,0.148,0.504,0.932,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.75,"24-10-14"
1,"1.swimming",2,"2.Travelling","5800","2014-11-01 13:44:17.79",2.15,0.104,0.432,0.924,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.79,"24-10-14"
1,"1.swimming",2,"2.Travelling","5801","2014-11-01 13:44:17.89",2.09,0.112,0.46,0.904,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.89,"24-10-14"
1,"1.swimming",2,"2.Travelling","5802","2014-11-01 13:44:17.93",2.06,0.152,0.384,0.872,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.93,"24-10-14"
1,"1.swimming",2,"2.Travelling","5803","2014-11-01 13:44:17.97",2.03,0.076,0.312,0.884,"swimming","Travelling","water","underwater","",2014-11-01 13:44:17.97,"24-10-14"
