"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","doe","date"
1,"1.still",1,"1.Resting","00:00:00.04","2014-10-20 07:11:50.44",2.18,0.648,-0.004,0.696,"still","Resting","water","underwater","still","20-10-14",2014-10-20 07:11:50.44
1,"1.still",1,"1.Resting","00:00:00.00","2014-10-20 07:11:50.48",2.21,0.768,-0.004,0.748,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.48
1,"1.still",1,"1.Resting","8003","2014-10-20 07:11:50.50",2.21,0.752,0.032,0.724,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.50
1,"1.still",1,"1.Resting","8004","2014-10-20 07:11:50.50",2.21,0.796,0.048,0.688,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.50
1,"1.still",1,"1.Resting","8005","2014-10-20 07:11:50.54",2.21,0.848,0.02,0.68,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.54
1,"1.still",1,"1.Resting","8006","2014-10-20 07:11:50.64",2.18,0.756,-0.02,0.664,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.64
1,"1.still",1,"1.Resting","8007","2014-10-20 07:11:50.68",2.21,0.648,-0.06,0.664,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.68
1,"1.still",1,"1.Resting","8008","2014-10-20 07:11:50.72",2.21,0.648,-0.072,0.64,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.72
1,"1.still",1,"1.Resting","8009","2014-10-20 07:11:50.75",2.21,0.676,-0.076,0.628,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.75
1,"1.still",1,"1.Resting","8010","2014-10-20 07:11:50.75",2.21,0.7,-0.108,0.616,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.75
1,"1.still",1,"1.Resting","8011","2014-10-20 07:11:50.78",2.21,0.736,-0.148,0.62,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.78
1,"1.still",1,"1.Resting","8012","2014-10-20 07:11:50.88",2.21,0.728,-0.14,0.6,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.88
1,"1.still",1,"1.Resting","8013","2014-10-20 07:11:50.92",2.21,0.724,-0.12,0.616,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.92
1,"1.still",1,"1.Resting","8014","2014-10-20 07:11:50.96",2.21,0.7,-0.164,0.64,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:50.96
1,"1.still",1,"1.Resting","8015","2014-10-20 07:11:51.00",2.21,0.68,-0.228,0.632,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.00
1,"1.still",1,"1.Resting","8016","2014-10-20 07:11:51.00",2.25,0.66,-0.276,0.632,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.00
1,"1.still",1,"1.Resting","8017","2014-10-20 07:11:51.02",2.25,0.692,-0.284,0.672,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.02
1,"1.still",1,"1.Resting","8018","2014-10-20 07:11:51.06",2.25,0.672,-0.268,0.676,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.06
1,"1.still",1,"1.Resting","8019","2014-10-20 07:11:51.16",2.25,0.644,-0.268,0.712,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.16
1,"1.still",1,"1.Resting","8020","2014-10-20 07:11:51.20",2.25,0.656,-0.32,0.72,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.20
1,"1.still",1,"1.Resting","8021","2014-10-20 07:11:51.24",2.25,0.66,-0.344,0.732,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.24
1,"1.still",1,"1.Resting","8022","2014-10-20 07:11:51.25",2.25,0.652,-0.364,0.712,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.25
1,"1.still",1,"1.Resting","8023","2014-10-20 07:11:51.26",2.28,0.656,-0.36,0.728,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.26
1,"1.still",1,"1.Resting","8024","2014-10-20 07:11:51.30",2.28,0.644,-0.368,0.74,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.30
1,"1.still",1,"1.Resting","8025","2014-10-20 07:11:51.40",2.25,0.652,-0.34,0.792,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.40
1,"1.still",1,"1.Resting","8026","2014-10-20 07:11:51.44",2.25,0.668,-0.272,0.78,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.44
1,"1.still",1,"1.Resting","8027","2014-10-20 07:11:51.48",2.25,0.676,-0.16,0.752,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.48
1,"1.still",1,"1.Resting","8028","2014-10-20 07:11:51.50",2.25,0.696,-0.1,0.724,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.50
1,"1.still",1,"1.Resting","8029","2014-10-20 07:11:51.50",2.25,0.68,-0.096,0.68,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.50
1,"1.still",1,"1.Resting","8030","2014-10-20 07:11:51.54",2.25,0.652,-0.06,0.712,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.54
1,"1.still",1,"1.Resting","8031","2014-10-20 07:11:51.64",2.21,0.644,-0.04,0.704,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.64
1,"1.still",1,"1.Resting","8032","2014-10-20 07:11:51.68",2.25,0.688,-0.056,0.744,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.68
1,"1.still",1,"1.Resting","8033","2014-10-20 07:11:51.72",2.21,0.748,-0.028,0.74,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.72
1,"1.still",1,"1.Resting","8034","2014-10-20 07:11:51.75",2.21,0.74,-0.04,0.672,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.75
1,"1.still",1,"1.Resting","8035","2014-10-20 07:11:51.75",2.21,0.68,-0.052,0.632,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.75
1,"1.still",1,"1.Resting","8036","2014-10-20 07:11:51.78",2.18,0.628,-0.032,0.696,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.78
1,"1.still",1,"1.Resting","8037","2014-10-20 07:11:51.88",2.18,0.588,-0.028,0.712,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.88
1,"1.still",1,"1.Resting","8038","2014-10-20 07:11:51.92",2.18,0.588,-0.036,0.656,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.92
1,"1.still",1,"1.Resting","8039","2014-10-20 07:11:51.96",2.18,0.568,-0.024,0.632,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:51.96
1,"1.still",1,"1.Resting","8040","2014-10-20 07:11:52.00",2.18,0.548,-0.064,0.66,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:52.00
1,"1.still",1,"1.Resting","8041","2014-10-20 07:11:52.00",2.21,0.54,-0.128,0.68,"still","Resting","water","underwater","","20-10-14",2014-10-20 07:11:52.00
