"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.moving",1,"1.Travelling","00:00:00.04","2014-10-20 07:34:19.00",0.84,0.404,-0.372,0.912,"moving","Travelling","land","land","moving",2014-10-20 07:34:19.00,"24-10-14"
1,"1.moving",1,"1.Travelling","00:00.0","2014-10-20 07:34:19.00",0.84,0.388,-0.22,0.832,"moving","Travelling","land","land","",2014-10-20 07:34:19.00,"24-10-14"
1,"1.moving",1,"1.Travelling","18003","2014-10-20 07:34:19.02",0.84,0.296,-0.288,0.712,"moving","Travelling","land","land","",2014-10-20 07:34:19.02,"24-10-14"
1,"1.moving",1,"1.Travelling","18004","2014-10-20 07:34:19.13",0.87,0.228,-0.476,0.756,"moving","Travelling","land","land","",2014-10-20 07:34:19.13,"24-10-14"
1,"1.moving",1,"1.Travelling","18005","2014-10-20 07:34:19.17",0.87,0.252,-0.576,0.7,"moving","Travelling","land","land","",2014-10-20 07:34:19.17,"24-10-14"
1,"1.moving",1,"1.Travelling","18006","2014-10-20 07:34:19.21",0.84,0.448,-0.536,0.784,"moving","Travelling","land","land","",2014-10-20 07:34:19.21,"24-10-14"
1,"1.moving",1,"1.Travelling","18007","2014-10-20 07:34:19.25",0.84,0.68,-0.324,0.676,"moving","Travelling","land","land","",2014-10-20 07:34:19.25,"24-10-14"
1,"1.moving",1,"1.Travelling","18008","2014-10-20 07:34:19.25",0.84,0.848,0.016,0.852,"moving","Travelling","land","land","",2014-10-20 07:34:19.25,"24-10-14"
1,"1.moving",1,"1.Travelling","18009","2014-10-20 07:34:19.28",0.84,0.852,0.244,0.816,"moving","Travelling","land","land","",2014-10-20 07:34:19.28,"24-10-14"
1,"1.moving",1,"1.Travelling","18010","2014-10-20 07:34:19.38",0.87,0.708,0.284,0.812,"moving","Travelling","land","land","",2014-10-20 07:34:19.38,"24-10-14"
1,"1.moving",1,"1.Travelling","18011","2014-10-20 07:34:19.42",0.87,0.7,0.32,0.708,"moving","Travelling","land","land","",2014-10-20 07:34:19.42,"24-10-14"
1,"1.moving",1,"1.Travelling","18012","2014-10-20 07:34:19.46",0.87,0.688,0.308,0.656,"moving","Travelling","land","land","",2014-10-20 07:34:19.46,"24-10-14"
1,"1.moving",1,"1.Travelling","18013","2014-10-20 07:34:19.50",0.84,0.692,0.284,0.616,"moving","Travelling","land","land","",2014-10-20 07:34:19.50,"24-10-14"
1,"1.moving",1,"1.Travelling","18014","2014-10-20 07:34:19.50",0.87,0.724,0.24,0.6,"moving","Travelling","land","land","",2014-10-20 07:34:19.50,"24-10-14"
1,"1.moving",1,"1.Travelling","18015","2014-10-20 07:34:19.53",0.84,0.768,0.188,0.576,"moving","Travelling","land","land","",2014-10-20 07:34:19.53,"24-10-14"
1,"1.moving",1,"1.Travelling","18016","2014-10-20 07:34:19.63",0.84,0.804,0.156,0.572,"moving","Travelling","land","land","",2014-10-20 07:34:19.63,"24-10-14"
