"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.lying",1,"1.Resting","00:00.0","2014-09-03 09:00:01.00",0.4,0.084,-0.008,0.94,"lying","Resting","land","land","lying",2014-09-03 09:00:01.00,"03-09-14"
1,"1.lying",1,"1.Resting","00:00.0","2014-09-03 09:00:01.00",0.4,-0.52,0.172,1.488,"lying","Resting","land","land","",2014-09-03 09:00:01.00,"03-09-14"
1,"1.lying",1,"1.Resting","65085","2014-09-03 09:00:01.04",0.4,-1.016,-0.048,1.324,"lying","Resting","land","land","",2014-09-03 09:00:01.04,"03-09-14"
1,"1.lying",1,"1.Resting","65086","2014-09-03 09:00:01.08",0.37,-0.308,-0.268,1.024,"lying","Resting","land","land","",2014-09-03 09:00:01.08,"03-09-14"
1,"1.lying",1,"1.Resting","65087","2014-09-03 09:00:01.16",0.4,-0.132,-0.096,0.884,"lying","Resting","land","land","",2014-09-03 09:00:01.16,"03-09-14"
1,"1.lying",1,"1.Resting","65088","2014-09-03 09:00:01.20",0.4,0,-0.1,0.88,"lying","Resting","land","land","",2014-09-03 09:00:01.20,"03-09-14"
1,"1.lying",1,"1.Resting","65089","2014-09-03 09:00:01.24",0.4,-0.04,-0.128,0.968,"lying","Resting","land","land","",2014-09-03 09:00:01.24,"03-09-14"
1,"1.lying",1,"1.Resting","65090","2014-09-03 09:00:01.25",0.4,-0.152,-0.112,0.98,"lying","Resting","land","land","",2014-09-03 09:00:01.25,"03-09-14"
1,"1.lying",1,"1.Resting","65091","2014-09-03 09:00:01.28",0.4,-0.2,-0.08,0.96,"lying","Resting","land","land","",2014-09-03 09:00:01.28,"03-09-14"
1,"1.lying",1,"1.Resting","65092","2014-09-03 09:00:01.32",0.37,-0.172,-0.036,0.944,"lying","Resting","land","land","",2014-09-03 09:00:01.32,"03-09-14"
1,"1.lying",1,"1.Resting","65093","2014-09-03 09:00:01.40",0.4,-0.144,-0.02,0.948,"lying","Resting","land","land","",2014-09-03 09:00:01.40,"03-09-14"
1,"1.lying",1,"1.Resting","65094","2014-09-03 09:00:01.44",0.4,-0.14,0.004,0.96,"lying","Resting","land","land","",2014-09-03 09:00:01.44,"03-09-14"
1,"1.lying",1,"1.Resting","65095","2014-09-03 09:00:01.48",0.4,-0.156,0.008,0.952,"lying","Resting","land","land","",2014-09-03 09:00:01.48,"03-09-14"
1,"1.lying",1,"1.Resting","65096","2014-09-03 09:00:01.50",0.4,-0.176,-0.012,0.96,"lying","Resting","land","land","",2014-09-03 09:00:01.50,"03-09-14"
