"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","doe","date"
1,"1.playing",1,"1.Other","00:00:00.04","2015-09-01 16:25:00.00",4.62,0.2,1.34,0.356,"playing","Other","water","underwater","playing","02-09-15",2015-09-01 16:25:00.00
1,"1.playing",1,"1.Other","00:00.0","2015-09-01 16:25:00.01",4.62,0.372,1.48,0.532,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.01
1,"1.playing",1,"1.Other","24920","2015-09-01 16:25:00.05",4.65,0.876,1.244,0.92,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.05
1,"1.playing",1,"1.Other","24921","2015-09-01 16:25:00.13",4.62,1.016,0.728,0.748,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.13
1,"1.playing",1,"1.Other","24922","2015-09-01 16:25:00.17",4.68,1.168,0.952,1.208,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.17
1,"1.playing",1,"1.Other","24923","2015-09-01 16:25:00.21",4.59,0.836,0.632,1.228,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.21
1,"1.playing",1,"1.Other","24924","2015-09-01 16:25:00.25",4.53,0.632,0.084,0.924,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.25
1,"1.playing",1,"1.Other","24925","2015-09-01 16:25:00.26",4.43,0.312,0.18,0.92,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.26
1,"1.playing",1,"1.Other","24926","2015-09-01 16:25:00.31",4.37,-0.136,0.224,0.468,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.31
1,"1.playing",1,"1.Other","24927","2015-09-01 16:25:00.38",4.34,-0.064,0.644,-0.14,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.38
1,"1.playing",1,"1.Other","24928","2015-09-01 16:25:00.42",4.34,0.14,1.104,-0.16,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.42
1,"1.playing",1,"1.Other","24929","2015-09-01 16:25:00.46",4.31,-0.02,1.232,-0.28,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.46
1,"1.playing",1,"1.Other","24930","2015-09-01 16:25:00.50",4.28,-0.084,1.276,-0.38,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.50
1,"1.playing",1,"1.Other","24931","2015-09-01 16:25:00.52",4.28,0.096,0.88,-0.228,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.52
1,"1.playing",1,"1.Other","24932","2015-09-01 16:25:00.56",4.37,0.144,1.012,-0.068,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.56
1,"1.playing",1,"1.Other","24933","2015-09-01 16:25:00.63",4.34,0.344,1.112,0.024,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.63
1,"1.playing",1,"1.Other","24934","2015-09-01 16:25:00.67",4.4,0.38,1.284,0.428,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.67
1,"1.playing",1,"1.Other","24935","2015-09-01 16:25:00.71",4.34,0.596,1.452,0.58,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.71
1,"1.playing",1,"1.Other","24936","2015-09-01 16:25:00.75",4.25,0.612,1.28,0.612,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.75
1,"1.playing",1,"1.Other","24937","2015-09-01 16:25:00.77",4.06,0.452,1.512,0.488,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.77
1,"1.playing",1,"1.Other","24938","2015-09-01 16:25:00.81",4.09,0.28,0.964,0.068,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.81
1,"1.playing",1,"1.Other","24939","2015-09-01 16:25:00.88",4.25,0.152,0.692,0.484,"playing","Other","water","underwater","","02-09-15",2015-09-01 16:25:00.88
