"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.moving",1,"1.Travelling","00:00:00.04","2015-09-01 07:45:19.00",0.53,1.532,0.9,0.516,"moving","Travelling","land","land","moving",2015-09-01 07:45:19.00,"03-09-15"
1,"1.moving",1,"1.Travelling","00:00.0","2015-09-01 07:45:19.01",0.53,0.948,0.892,0.516,"moving","Travelling","land","land","",2015-09-01 07:45:19.01,"03-09-15"
1,"1.moving",1,"1.Travelling","33178","2015-09-01 07:45:19.05",0.5,0.124,1.1,0.416,"moving","Travelling","land","land","",2015-09-01 07:45:19.05,"03-09-15"
1,"1.moving",1,"1.Travelling","33179","2015-09-01 07:45:19.13",0.53,-0.204,0.412,0.74,"moving","Travelling","land","land","",2015-09-01 07:45:19.13,"03-09-15"
1,"1.moving",1,"1.Travelling","33180","2015-09-01 07:45:19.17",0.53,-0.12,0.9,1.14,"moving","Travelling","land","land","",2015-09-01 07:45:19.17,"03-09-15"
1,"1.moving",1,"1.Travelling","33181","2015-09-01 07:45:19.21",0.53,0.26,0.744,1.1,"moving","Travelling","land","land","",2015-09-01 07:45:19.21,"03-09-15"
1,"1.moving",1,"1.Travelling","33182","2015-09-01 07:45:19.25",0.53,0.12,0.128,0.74,"moving","Travelling","land","land","",2015-09-01 07:45:19.25,"03-09-15"
1,"1.moving",1,"1.Travelling","33183","2015-09-01 07:45:19.26",0.53,-0.08,-0.924,0.376,"moving","Travelling","land","land","",2015-09-01 07:45:19.26,"03-09-15"
1,"1.moving",1,"1.Travelling","33184","2015-09-01 07:45:19.31",0.53,0.052,-1.096,0.064,"moving","Travelling","land","land","",2015-09-01 07:45:19.31,"03-09-15"
1,"1.moving",1,"1.Travelling","33185","2015-09-01 07:45:19.38",0.53,0.46,-0.616,-0.308,"moving","Travelling","land","land","",2015-09-01 07:45:19.38,"03-09-15"
1,"1.moving",1,"1.Travelling","33186","2015-09-01 07:45:19.42",0.53,0.788,-0.308,-0.164,"moving","Travelling","land","land","",2015-09-01 07:45:19.42,"03-09-15"
