"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.moving",1,"1.Travelling","00:00:00.04","2014-09-03 09:27:09.00",1.43,0.408,-0.284,-0.104,"moving","Travelling","land","land","moving",2014-09-03 09:27:09.00,"06-09-14"
1,"1.moving",1,"1.Travelling","00:00.0","2014-09-03 09:27:09.00",1.43,0.52,0.26,0.288,"moving","Travelling","land","land","",2014-09-03 09:27:09.00,"06-09-14"
1,"1.moving",1,"1.Travelling","52223","2014-09-03 09:27:09.01",1.43,0.788,0.628,0.288,"moving","Travelling","land","land","",2014-09-03 09:27:09.01,"06-09-14"
1,"1.moving",1,"1.Travelling","52224","2014-09-03 09:27:09.13",1.43,1.224,0.76,0.476,"moving","Travelling","land","land","",2014-09-03 09:27:09.13,"06-09-14"
1,"1.moving",1,"1.Travelling","52225","2014-09-03 09:27:09.17",1.43,1.164,0.68,0.572,"moving","Travelling","land","land","",2014-09-03 09:27:09.17,"06-09-14"
1,"1.moving",1,"1.Travelling","52226","2014-09-03 09:27:09.21",1.43,0.972,0.664,0.44,"moving","Travelling","land","land","",2014-09-03 09:27:09.21,"06-09-14"
1,"1.moving",1,"1.Travelling","52227","2014-09-03 09:27:09.25",1.43,0.84,0.4,0.332,"moving","Travelling","land","land","",2014-09-03 09:27:09.25,"06-09-14"
1,"1.moving",1,"1.Travelling","52228","2014-09-03 09:27:09.25",1.43,0.632,0.212,0.26,"moving","Travelling","land","land","",2014-09-03 09:27:09.25,"06-09-14"
1,"1.moving",1,"1.Travelling","52229","2014-09-03 09:27:09.27",1.43,0.4,0.296,0.912,"moving","Travelling","land","land","",2014-09-03 09:27:09.27,"06-09-14"
1,"1.moving",1,"1.Travelling","52230","2014-09-03 09:27:09.38",1.43,0.492,0.384,0.996,"moving","Travelling","land","land","",2014-09-03 09:27:09.38,"06-09-14"
1,"1.moving",1,"1.Travelling","52231","2014-09-03 09:27:09.42",1.43,0.248,-0.344,0.776,"moving","Travelling","land","land","",2014-09-03 09:27:09.42,"06-09-14"
1,"1.moving",1,"1.Travelling","52232","2014-09-03 09:27:09.46",1.43,0.128,-0.352,0.76,"moving","Travelling","land","land","",2014-09-03 09:27:09.46,"06-09-14"
1,"1.moving",1,"1.Travelling","52233","2014-09-03 09:27:09.50",1.43,0.08,-0.444,0.928,"moving","Travelling","land","land","",2014-09-03 09:27:09.50,"06-09-14"
1,"1.moving",1,"1.Travelling","52234","2014-09-03 09:27:09.50",1.43,0.4,-0.408,1.04,"moving","Travelling","land","land","",2014-09-03 09:27:09.50,"06-09-14"
1,"1.moving",1,"1.Travelling","52235","2014-09-03 09:27:09.52",1.43,0.524,-0.16,1.216,"moving","Travelling","land","land","",2014-09-03 09:27:09.52,"06-09-14"
1,"1.moving",1,"1.Travelling","52236","2014-09-03 09:27:09.63",1.46,0.532,-0.676,1.112,"moving","Travelling","land","land","",2014-09-03 09:27:09.63,"06-09-14"
1,"1.moving",1,"1.Travelling","52237","2014-09-03 09:27:09.67",1.43,0.584,-0.808,0.916,"moving","Travelling","land","land","",2014-09-03 09:27:09.67,"06-09-14"
1,"1.moving",1,"1.Travelling","52238","2014-09-03 09:27:09.71",1.43,0.456,-0.672,0.492,"moving","Travelling","land","land","",2014-09-03 09:27:09.71,"06-09-14"
1,"1.moving",1,"1.Travelling","52239","2014-09-03 09:27:09.75",1.43,0.224,-0.468,0.192,"moving","Travelling","land","land","",2014-09-03 09:27:09.75,"06-09-14"
1,"1.moving",1,"1.Travelling","52240","2014-09-03 09:27:09.75",1.43,0.12,0.036,0.424,"moving","Travelling","land","land","",2014-09-03 09:27:09.75,"06-09-14"
1,"1.moving",1,"1.Travelling","52241","2014-09-03 09:27:09.77",1.43,0.496,0.872,0.688,"moving","Travelling","land","land","",2014-09-03 09:27:09.77,"06-09-14"
