"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.still",1,"1.Resting","00:00:00.04","2014-12-15 15:25:55.00",1,1.004,0.1,0.208,"still","Resting","water","surface","still",2014-12-15 15:25:55.00,"31-10-14"
1,"1.still",1,"1.Resting","00:00.0","2014-12-15 15:25:55.00",1.03,0.972,0.104,0.188,"still","Resting","water","surface","",2014-12-15 15:25:55.00,"31-10-14"
1,"1.still",1,"1.Resting","8758","2014-12-15 15:25:55.02",1.06,0.976,0.128,0.364,"still","Resting","water","surface","",2014-12-15 15:25:55.02,"31-10-14"
1,"1.still",1,"1.Resting","8759","2014-12-15 15:25:55.13",1.09,0.932,0.056,0.444,"still","Resting","water","surface","",2014-12-15 15:25:55.13,"31-10-14"
1,"1.still",1,"1.Resting","8760","2014-12-15 15:25:55.17",1.12,0.992,-0.012,0.54,"still","Resting","water","surface","",2014-12-15 15:25:55.17,"31-10-14"
1,"1.still",1,"1.Resting","8761","2014-12-15 15:25:55.21",1.09,1.06,-0.324,0.6,"still","Resting","water","surface","",2014-12-15 15:25:55.21,"31-10-14"
1,"1.still",1,"1.Resting","8762","2014-12-15 15:25:55.25",1.12,0.784,-0.18,0.768,"still","Resting","water","surface","",2014-12-15 15:25:55.25,"31-10-14"
1,"1.fast",2,"2.Travelling","8763","2014-12-15 15:25:55.25",1.12,0.668,0.5,0.604,"fast","Travelling","water","surface","fast",2014-12-15 15:25:55.25,"31-10-14"
1,"1.fast",2,"2.Travelling","8764","2014-12-15 15:25:55.28",1.03,0.848,1.3,0.224,"fast","Travelling","water","surface","",2014-12-15 15:25:55.28,"31-10-14"
1,"1.fast",2,"2.Travelling","8765","2014-12-15 15:25:55.38",1,1.456,1.592,0.064,"fast","Travelling","water","surface","",2014-12-15 15:25:55.38,"31-10-14"
1,"1.fast",2,"2.Travelling","8766","2014-12-15 15:25:55.42",0.93,1.384,1.084,-0.108,"fast","Travelling","water","surface","",2014-12-15 15:25:55.42,"31-10-14"
1,"1.fast",2,"2.Travelling","8767","2014-12-15 15:25:55.46",0.81,1.524,1.052,-0.78,"fast","Travelling","water","surface","",2014-12-15 15:25:55.46,"31-10-14"
1,"1.fast",2,"2.Travelling","8768","2014-12-15 15:25:55.50",0.75,1.4,0.116,-0.988,"fast","Travelling","water","surface","",2014-12-15 15:25:55.50,"31-10-14"
1,"1.fast",2,"2.Travelling","8769","2014-12-15 15:25:55.50",0.71,1.14,-0.656,-0.692,"fast","Travelling","water","surface","",2014-12-15 15:25:55.50,"31-10-14"
1,"1.fast",2,"2.Travelling","8770","2014-12-15 15:25:55.53",0.84,0.772,-0.328,-0.092,"fast","Travelling","water","surface","",2014-12-15 15:25:55.53,"31-10-14"
1,"1.fast",2,"2.Travelling","8771","2014-12-15 15:25:55.63",0.81,-0.048,0.452,0.98,"fast","Travelling","water","surface","",2014-12-15 15:25:55.63,"31-10-14"
1,"1.fast",2,"2.Travelling","8772","2014-12-15 15:25:55.67",0.81,0.412,0.656,1.308,"fast","Travelling","water","surface","",2014-12-15 15:25:55.67,"31-10-14"
1,"1.fast",2,"2.Travelling","8773","2014-12-15 15:25:55.71",0.78,0.932,0.376,1.492,"fast","Travelling","water","surface","",2014-12-15 15:25:55.71,"31-10-14"
1,"1.fast",2,"2.Travelling","8774","2014-12-15 15:25:55.75",0.75,0.724,1.188,1.056,"fast","Travelling","water","surface","",2014-12-15 15:25:55.75,"31-10-14"
1,"1.fast",2,"2.Travelling","8775","2014-12-15 15:25:55.75",0.75,1.192,0.664,0.552,"fast","Travelling","water","surface","",2014-12-15 15:25:55.75,"31-10-14"
1,"1.fast",2,"2.Travelling","8776","2014-12-15 15:25:55.78",0.75,0.788,0.648,0.164,"fast","Travelling","water","surface","",2014-12-15 15:25:55.78,"31-10-14"
1,"1.fast",2,"2.Travelling","8777","2014-12-15 15:25:55.88",0.78,0.864,0.684,0.3,"fast","Travelling","water","surface","",2014-12-15 15:25:55.88,"31-10-14"
1,"1.fast",2,"2.Travelling","8778","2014-12-15 15:25:55.92",0.75,1.228,0.212,0.052,"fast","Travelling","water","surface","",2014-12-15 15:25:55.92,"31-10-14"
1,"1.fast",2,"2.Travelling","8779","2014-12-15 15:25:55.97",0.75,0.8,-0.012,-0.26,"fast","Travelling","water","surface","",2014-12-15 15:25:55.97,"31-10-14"
1,"1.fast",2,"2.Travelling","8780","2014-12-15 15:25:56.00",0.78,-0.128,0.072,0.032,"fast","Travelling","water","surface","",2014-12-15 15:25:56.00,"31-10-14"
1,"1.fast",2,"2.Travelling","8781","2014-12-15 15:25:56.00",0.78,0.484,0.068,-0.136,"fast","Travelling","water","surface","",2014-12-15 15:25:56.00,"31-10-14"
1,"1.fast",2,"2.Travelling","8782","2014-12-15 15:25:56.03",0.81,-0.016,0.276,-0.08,"fast","Travelling","water","surface","",2014-12-15 15:25:56.03,"31-10-14"
1,"1.fast",2,"2.Travelling","8783","2014-12-15 15:25:56.13",0.81,-0.368,0.16,0.096,"fast","Travelling","water","surface","",2014-12-15 15:25:56.13,"31-10-14"
1,"1.fast",2,"2.Travelling","8784","2014-12-15 15:25:56.18",0.84,-0.848,-0.076,0.504,"fast","Travelling","water","surface","",2014-12-15 15:25:56.18,"31-10-14"
1,"1.fast",2,"2.Travelling","8785","2014-12-15 15:25:56.22",0.87,-0.916,-0.364,0.936,"fast","Travelling","water","surface","",2014-12-15 15:25:56.22,"31-10-14"
1,"1.fast",2,"2.Travelling","8786","2014-12-15 15:25:56.25",0.93,-0.532,-0.596,1.184,"fast","Travelling","water","surface","",2014-12-15 15:25:56.25,"31-10-14"
1,"1.fast",2,"2.Travelling","8787","2014-12-15 15:25:56.25",0.81,-0.356,-0.392,1.208,"fast","Travelling","water","surface","",2014-12-15 15:25:56.25,"31-10-14"
1,"1.fast",2,"2.Travelling","8788","2014-12-15 15:25:56.28",0.78,-0.068,-0.364,1.26,"fast","Travelling","water","surface","",2014-12-15 15:25:56.28,"31-10-14"
1,"1.fast",2,"2.Travelling","8789","2014-12-15 15:25:56.39",0.62,-0.04,-0.316,1.188,"fast","Travelling","water","surface","",2014-12-15 15:25:56.39,"31-10-14"
1,"1.fast",2,"2.Travelling","8790","2014-12-15 15:25:56.43",0.53,-0.208,-0.208,0.96,"fast","Travelling","water","surface","",2014-12-15 15:25:56.43,"31-10-14"
1,"1.fast",2,"2.Travelling","8791","2014-12-15 15:25:56.47",0.59,-0.528,-0.304,1.176,"fast","Travelling","water","surface","",2014-12-15 15:25:56.47,"31-10-14"
1,"1.fast",2,"2.Travelling","8792","2014-12-15 15:25:56.50",0.62,-0.632,-0.028,1.056,"fast","Travelling","water","surface","",2014-12-15 15:25:56.50,"31-10-14"
