"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.in",1,"1.Other","00:00:00.04","2014-10-20 07:44:25.00",1.31,0.144,-0.012,0.36,"in","Other","water","surface","in",2014-10-20 07:44:25.00,"28-10-14"
1,"1.in",1,"1.Other","00:00.0","2014-10-20 07:44:25.00",1.31,-1.468,0.492,1.12,"in","Other","water","surface","",2014-10-20 07:44:25.00,"28-10-14"
1,"1.in",1,"1.Other","43505","2014-10-20 07:44:25.02",1.31,-0.9,0.108,1.46,"in","Other","water","surface","",2014-10-20 07:44:25.02,"28-10-14"
1,"1.in",1,"1.Other","43506","2014-10-20 07:44:25.13",1.31,-0.448,0.264,0.94,"in","Other","water","surface","",2014-10-20 07:44:25.13,"28-10-14"
1,"1.in",1,"1.Other","43507","2014-10-20 07:44:25.17",1.34,-0.856,0.528,0.912,"in","Other","water","surface","",2014-10-20 07:44:25.17,"28-10-14"
1,"1.in",1,"1.Other","43508","2014-10-20 07:44:25.21",1.31,-0.572,0.24,1.072,"in","Other","water","surface","",2014-10-20 07:44:25.21,"28-10-14"
1,"1.in",1,"1.Other","43509","2014-10-20 07:44:25.25",1.31,-0.308,0.26,0.948,"in","Other","water","surface","",2014-10-20 07:44:25.25,"28-10-14"
1,"1.in",1,"1.Other","43510","2014-10-20 07:44:25.25",1.31,-0.148,0.192,1.184,"in","Other","water","surface","",2014-10-20 07:44:25.25,"28-10-14"
1,"1.in",1,"1.Other","43511","2014-10-20 07:44:25.28",1.31,-0.16,0.124,1.1,"in","Other","water","surface","",2014-10-20 07:44:25.28,"28-10-14"
1,"1.in",1,"1.Other","43512","2014-10-20 07:44:25.38",1.31,-0.176,0.192,1.116,"in","Other","water","surface","",2014-10-20 07:44:25.38,"28-10-14"
1,"1.in",1,"1.Other","43513","2014-10-20 07:44:25.42",1.31,0.408,-0.016,1.444,"in","Other","water","surface","",2014-10-20 07:44:25.42,"28-10-14"
