"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.moving",1,"1.Travelling","00:00.0","2014-09-17 13:00:15.00",0.62,0.124,1.008,1.324,"moving","Travelling","land","land","moving",2014-09-17 13:00:15.00,"17-09-14"
1,"1.moving",1,"1.Travelling","00:00.0","2014-09-17 13:00:15.02",0.53,0.016,1.292,0.992,"moving","Travelling","land","land","",2014-09-17 13:00:15.02,"17-09-14"
1,"1.moving",1,"1.Travelling","25014","2014-09-17 13:00:15.06",0.46,0.04,0.668,0.372,"moving","Travelling","land","land","",2014-09-17 13:00:15.06,"17-09-14"
1,"1.moving",1,"1.Travelling","25015","2014-09-17 13:00:15.10",0.5,0.328,0.576,0.228,"moving","Travelling","land","land","",2014-09-17 13:00:15.10,"17-09-14"
1,"1.moving",1,"1.Travelling","25016","2014-09-17 13:00:15.16",0.53,0.532,0.544,0.488,"moving","Travelling","land","land","",2014-09-17 13:00:15.16,"17-09-14"
1,"1.moving",1,"1.Travelling","25017","2014-09-17 13:00:15.20",0.56,0.456,0.496,0.776,"moving","Travelling","land","land","",2014-09-17 13:00:15.20,"17-09-14"
1,"1.moving",1,"1.Travelling","25018","2014-09-17 13:00:15.24",0.53,0.252,0.724,0.712,"moving","Travelling","land","land","",2014-09-17 13:00:15.24,"17-09-14"
1,"1.moving",1,"1.Travelling","25019","2014-09-17 13:00:15.26",0.56,0.172,0.804,0.608,"moving","Travelling","land","land","",2014-09-17 13:00:15.26,"17-09-14"
1,"1.moving",1,"1.Travelling","25020","2014-09-17 13:00:15.30",0.56,0.108,0.9,0.46,"moving","Travelling","land","land","",2014-09-17 13:00:15.30,"17-09-14"
1,"1.moving",1,"1.Travelling","25021","2014-09-17 13:00:15.34",0.56,0.076,0.888,0.376,"moving","Travelling","land","land","",2014-09-17 13:00:15.34,"17-09-14"
1,"1.moving",1,"1.Travelling","25022","2014-09-17 13:00:15.40",0.56,-0.048,0.984,0.26,"moving","Travelling","land","land","",2014-09-17 13:00:15.40,"17-09-14"
1,"1.moving",1,"1.Travelling","25023","2014-09-17 13:00:15.44",0.56,-0.052,1.052,0.288,"moving","Travelling","land","land","",2014-09-17 13:00:15.44,"17-09-14"
1,"1.moving",1,"1.Travelling","25024","2014-09-17 13:00:15.48",0.59,0.048,1.136,0.368,"moving","Travelling","land","land","",2014-09-17 13:00:15.48,"17-09-14"
1,"1.moving",1,"1.Travelling","25025","2014-09-17 13:00:15.50",0.59,0.124,1.132,0.468,"moving","Travelling","land","land","",2014-09-17 13:00:15.50,"17-09-14"
1,"1.moving",1,"1.Travelling","25026","2014-09-17 13:00:15.54",0.56,0.128,1.172,0.264,"moving","Travelling","land","land","",2014-09-17 13:00:15.54,"17-09-14"
1,"1.moving",1,"1.Travelling","25027","2014-09-17 13:00:15.58",0.56,0.192,1.1,0.264,"moving","Travelling","land","land","",2014-09-17 13:00:15.58,"17-09-14"
1,"1.moving",1,"1.Travelling","25028","2014-09-17 13:00:15.64",0.56,0.236,1.004,0.22,"moving","Travelling","land","land","",2014-09-17 13:00:15.64,"17-09-14"
1,"1.moving",1,"1.Travelling","25029","2014-09-17 13:00:15.68",0.56,0.336,0.832,0.304,"moving","Travelling","land","land","",2014-09-17 13:00:15.68,"17-09-14"
1,"1.moving",1,"1.Travelling","25030","2014-09-17 13:00:15.72",0.53,0.396,0.728,0.176,"moving","Travelling","land","land","",2014-09-17 13:00:15.72,"17-09-14"
1,"1.moving",1,"1.Travelling","25031","2014-09-17 13:00:15.75",0.53,0.472,0.784,0.088,"moving","Travelling","land","land","",2014-09-17 13:00:15.75,"17-09-14"
1,"1.moving",1,"1.Travelling","25032","2014-09-17 13:00:15.78",0.56,0.536,0.844,0.264,"moving","Travelling","land","land","",2014-09-17 13:00:15.78,"17-09-14"
1,"1.moving",1,"1.Travelling","25033","2014-09-17 13:00:15.82",0.56,0.308,1.036,0.252,"moving","Travelling","land","land","",2014-09-17 13:00:15.82,"17-09-14"
1,"1.moving",1,"1.Travelling","25034","2014-09-17 13:00:15.88",0.53,0.276,1.052,0.164,"moving","Travelling","land","land","",2014-09-17 13:00:15.88,"17-09-14"
1,"1.moving",1,"1.Travelling","25035","2014-09-17 13:00:15.92",0.53,0.276,1.036,0.18,"moving","Travelling","land","land","",2014-09-17 13:00:15.92,"17-09-14"
1,"1.moving",1,"1.Travelling","25036","2014-09-17 13:00:15.96",0.53,0.348,0.952,0.308,"moving","Travelling","land","land","",2014-09-17 13:00:15.96,"17-09-14"
1,"1.moving",1,"1.Travelling","25037","2014-09-17 13:00:16.00",0.5,0.216,0.932,0.304,"moving","Travelling","land","land","",2014-09-17 13:00:16.00,"17-09-14"
1,"1.moving",1,"1.Travelling","25038","2014-09-17 13:00:16.02",0.5,0.136,0.968,0.324,"moving","Travelling","land","land","",2014-09-17 13:00:16.02,"17-09-14"
1,"1.moving",1,"1.Travelling","25039","2014-09-17 13:00:16.06",0.5,0.096,0.82,0.34,"moving","Travelling","land","land","",2014-09-17 13:00:16.06,"17-09-14"
1,"1.moving",1,"1.Travelling","25040","2014-09-17 13:00:16.10",0.5,-0.004,0.82,0.276,"moving","Travelling","land","land","",2014-09-17 13:00:16.10,"17-09-14"
1,"1.moving",1,"1.Travelling","25041","2014-09-17 13:00:16.16",0.5,0.008,0.892,0.24,"moving","Travelling","land","land","",2014-09-17 13:00:16.16,"17-09-14"
1,"1.moving",1,"1.Travelling","25042","2014-09-17 13:00:16.20",0.5,0.068,0.948,0.196,"moving","Travelling","land","land","",2014-09-17 13:00:16.20,"17-09-14"
1,"1.moving",1,"1.Travelling","25043","2014-09-17 13:00:16.24",0.5,0.036,0.964,0.14,"moving","Travelling","land","land","",2014-09-17 13:00:16.24,"17-09-14"
