number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date,doe
1,1.sitting,1,1.Resting,00:00:00.04,10:21:29.00,0.84,0.88,-0.26,0.428,sitting,Resting,land,land,sitting,21:28.7,10:21:29.00
1,1.sitting,1,1.Resting,00:00.0,10:21:29.04,0.84,0.892,-0.264,0.46,sitting,Resting,land,land,,21:28.7,10:21:29.04
1,1.sitting,1,1.Resting,7888,10:21:29.08,0.84,0.884,-0.236,0.46,sitting,Resting,land,land,,21:28.7,10:21:29.08
1,1.sitting,1,1.Resting,7889,10:21:29.13,0.84,0.852,-0.284,0.472,sitting,Resting,land,land,,21:28.8,10:21:29.13
1,1.sitting,1,1.Resting,7890,10:21:29.17,0.84,0.796,-0.292,0.468,sitting,Resting,land,land,,21:28.8,10:21:29.17
1,1.sitting,1,1.Resting,7891,10:21:29.21,0.84,0.744,-0.304,0.472,sitting,Resting,land,land,,21:28.9,10:21:29.21
1,1.sitting,1,1.Resting,7892,10:21:29.25,0.84,0.724,-0.316,0.444,sitting,Resting,land,land,,21:28.9,10:21:29.25
1,1.sitting,1,1.Resting,7893,10:21:29.29,0.84,0.764,-0.316,0.452,sitting,Resting,land,land,,21:29.0,10:21:29.29
1,1.sitting,1,1.Resting,7894,10:21:29.34,0.84,0.772,-0.32,0.444,sitting,Resting,land,land,,21:29.0,10:21:29.34
1,1.sitting,1,1.Resting,7895,10:21:29.38,0.84,0.76,-0.316,0.46,sitting,Resting,land,land,,21:29.0,10:21:29.38
1,1.sitting,1,1.Resting,7896,10:21:29.42,0.84,0.776,-0.308,0.512,sitting,Resting,land,land,,21:29.1,10:21:29.42
1,1.sitting,1,1.Resting,7897,10:21:29.46,0.84,0.78,-0.276,0.536,sitting,Resting,land,land,,21:29.2,10:21:29.46
1,1.sitting,1,1.Resting,7898,10:21:29.50,0.84,0.8,-0.228,0.524,sitting,Resting,land,land,,21:29.2,10:21:29.50
1,1.sitting,1,1.Resting,7899,10:21:29.55,0.84,0.82,-0.192,0.488,sitting,Resting,land,land,,21:29.2,10:21:29.55
1,1.sitting,1,1.Resting,7900,10:21:29.59,0.84,0.832,-0.14,0.476,sitting,Resting,land,land,,21:29.3,10:21:29.59
