number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date,doe
1,1.sitting,1,1.Resting,00:00:00.04,08:38:27.00,0.62,0.9,0.144,0.368,sitting,Resting,land,land,sitting,08:38:27.00,1/09/2015
1,1.sitting,1,1.Resting,00:00.0,08:38:27.04,0.62,0.9,0.136,0.36,sitting,Resting,land,land,,08:38:27.04,1/09/2015
1,1.sitting,1,1.Resting,33417,08:38:27.08,0.62,0.904,0.14,0.364,sitting,Resting,land,land,,08:38:27.08,1/09/2015
1,1.sitting,1,1.Resting,33418,08:38:27.13,0.62,0.896,0.148,0.364,sitting,Resting,land,land,,08:38:27.13,1/09/2015
1,1.sitting,1,1.Resting,33419,08:38:27.17,0.62,0.884,0.144,0.364,sitting,Resting,land,land,,08:38:27.17,1/09/2015
1,1.sitting,1,1.Resting,33420,08:38:27.21,0.62,0.884,0.148,0.372,sitting,Resting,land,land,,08:38:27.21,1/09/2015
1,1.sitting,1,1.Resting,33421,08:38:27.25,0.62,0.892,0.156,0.376,sitting,Resting,land,land,,08:38:27.25,1/09/2015
1,1.sitting,1,1.Resting,33422,08:38:27.29,0.65,0.888,0.152,0.356,sitting,Resting,land,land,,08:38:27.29,1/09/2015
1,1.sitting,1,1.Resting,33423,08:38:27.34,0.62,0.904,0.152,0.356,sitting,Resting,land,land,,08:38:27.34,1/09/2015
1,1.sitting,1,1.Resting,33424,08:38:27.38,0.65,0.916,0.14,0.368,sitting,Resting,land,land,,08:38:27.38,1/09/2015
1,1.sitting,1,1.Resting,33425,08:38:27.42,0.65,0.908,0.144,0.368,sitting,Resting,land,land,,08:38:27.42,1/09/2015
1,1.sitting,1,1.Resting,33426,08:38:27.46,0.62,0.9,0.148,0.368,sitting,Resting,land,land,,08:38:27.46,1/09/2015
1,1.sitting,1,1.Resting,33427,08:38:27.50,0.62,0.912,0.156,0.376,sitting,Resting,land,land,,08:38:27.50,1/09/2015
1,1.sitting,1,1.Resting,33428,08:38:27.55,0.62,0.916,0.144,0.38,sitting,Resting,land,land,,08:38:27.55,1/09/2015
1,1.sitting,1,1.Resting,33429,08:38:27.59,0.62,0.916,0.148,0.368,sitting,Resting,land,land,,08:38:27.59,1/09/2015
1,1.sitting,1,1.Resting,33430,08:38:27.63,0.62,0.916,0.16,0.372,sitting,Resting,land,land,,08:38:27.63,1/09/2015
