"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.in",1,"1.Other","00:00:00.04","2015-09-01 16:28:02.00",0.87,-0.248,0.024,-0.012,"in","Other","water","surface","in",2015-09-01 16:28:02.00,"28-08-15"
1,"1.in",1,"1.Other","00:00.0","2015-09-01 16:28:02.01",0.87,-1.288,0.98,0.392,"in","Other","water","surface","",2015-09-01 16:28:02.01,"28-08-15"
1,"1.in",1,"1.Other","8521","2015-09-01 16:28:02.05",0.87,-0.464,1.428,2.78,"in","Other","water","surface","",2015-09-01 16:28:02.05,"28-08-15"
1,"1.in",1,"1.Other","8522","2015-09-01 16:28:02.13",0.87,-0.348,0.92,1.56,"in","Other","water","surface","",2015-09-01 16:28:02.13,"28-08-15"
1,"1.in",1,"1.Other","8523","2015-09-01 16:28:02.17",0.87,-1.028,0.868,1.748,"in","Other","water","surface","",2015-09-01 16:28:02.17,"28-08-15"
1,"1.in",1,"1.Other","8524","2015-09-01 16:28:02.21",0.87,-1.124,1.372,2.02,"in","Other","water","surface","",2015-09-01 16:28:02.21,"28-08-15"
1,"1.in",1,"1.Other","8525","2015-09-01 16:28:02.25",1,-0.66,1.632,1.92,"in","Other","water","surface","",2015-09-01 16:28:02.25,"28-08-15"
1,"1.slow",2,"2.Travelling","8526","2015-09-01 16:28:02.26",1.09,-0.864,0.948,1.748,"slow","Travelling","water","surface","slow",2015-09-01 16:28:02.26,"28-08-15"
1,"1.slow",2,"2.Travelling","8527","2015-09-01 16:28:02.31",1.18,-0.396,0.628,2.156,"slow","Travelling","water","surface","",2015-09-01 16:28:02.31,"28-08-15"
1,"1.slow",2,"2.Travelling","8528","2015-09-01 16:28:02.38",1.34,0.132,0.904,2.128,"slow","Travelling","water","surface","",2015-09-01 16:28:02.38,"28-08-15"
1,"1.slow",2,"2.Travelling","8529","2015-09-01 16:28:02.42",1.37,0.468,0.804,1.664,"slow","Travelling","water","surface","",2015-09-01 16:28:02.42,"28-08-15"
1,"1.slow",2,"2.Travelling","8530","2015-09-01 16:28:02.46",1.43,0.16,0.944,1.54,"slow","Travelling","water","surface","",2015-09-01 16:28:02.46,"28-08-15"
1,"1.slow",2,"2.Travelling","8531","2015-09-01 16:28:02.50",1.43,0.3,0.848,1.228,"slow","Travelling","water","surface","",2015-09-01 16:28:02.50,"28-08-15"
1,"1.slow",2,"2.Travelling","8532","2015-09-01 16:28:02.52",1.46,0.604,0.976,1.056,"slow","Travelling","water","surface","",2015-09-01 16:28:02.52,"28-08-15"
1,"1.slow",2,"2.Travelling","8533","2015-09-01 16:28:02.56",1.4,0.768,1.02,0.912,"slow","Travelling","water","surface","",2015-09-01 16:28:02.56,"28-08-15"
1,"1.slow",2,"2.Travelling","8534","2015-09-01 16:28:02.63",1.43,0.684,0.94,0.752,"slow","Travelling","water","surface","",2015-09-01 16:28:02.63,"28-08-15"
1,"1.slow",2,"2.Travelling","8535","2015-09-01 16:28:02.67",1.37,0.628,0.908,0.6,"slow","Travelling","water","surface","",2015-09-01 16:28:02.67,"28-08-15"
1,"1.slow",2,"2.Travelling","8536","2015-09-01 16:28:02.71",1.37,0.828,0.904,0.656,"slow","Travelling","water","surface","",2015-09-01 16:28:02.71,"28-08-15"
1,"1.slow",2,"2.Travelling","8537","2015-09-01 16:28:02.75",1.34,0.864,0.912,0.652,"slow","Travelling","water","surface","",2015-09-01 16:28:02.75,"28-08-15"
1,"1.slow",2,"2.Travelling","8538","2015-09-01 16:28:02.77",1.31,0.84,0.808,0.5,"slow","Travelling","water","surface","",2015-09-01 16:28:02.77,"28-08-15"
1,"1.slow",2,"2.Travelling","8539","2015-09-01 16:28:02.81",1.28,0.84,0.724,0.448,"slow","Travelling","water","surface","",2015-09-01 16:28:02.81,"28-08-15"
1,"1.slow",2,"2.Travelling","8540","2015-09-01 16:28:02.88",1.25,0.736,0.52,0.44,"slow","Travelling","water","surface","",2015-09-01 16:28:02.88,"28-08-15"
1,"1.slow",2,"2.Travelling","8541","2015-09-01 16:28:02.92",1.18,0.684,0.256,0.508,"slow","Travelling","water","surface","",2015-09-01 16:28:02.92,"28-08-15"
1,"1.slow",2,"2.Travelling","8542","2015-09-01 16:28:02.97",1.15,0.644,0.124,0.568,"slow","Travelling","water","surface","",2015-09-01 16:28:02.97,"28-08-15"
1,"1.feeding",3,"3.Foraging","8543","2015-09-01 16:28:03.00",1.12,0.548,0.064,0.608,"feeding","Foraging","water","surface","feeding",2015-09-01 16:28:03.00,"28-08-15"
1,"1.feeding",3,"3.Foraging","8544","2015-09-01 16:28:03.02",1.06,0.436,-0.024,0.624,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.02,"28-08-15"
1,"1.feeding",3,"3.Foraging","8545","2015-09-01 16:28:03.06",1.06,0.34,-0.116,0.576,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.06,"28-08-15"
1,"1.feeding",3,"3.Foraging","8546","2015-09-01 16:28:03.13",1,0.192,-0.196,0.488,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.13,"28-08-15"
1,"1.feeding",3,"3.Foraging","8547","2015-09-01 16:28:03.18",1,0.064,-0.184,0.476,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.18,"28-08-15"
1,"1.feeding",3,"3.Foraging","8548","2015-09-01 16:28:03.22",1,0.056,-0.116,0.584,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.22,"28-08-15"
1,"1.feeding",3,"3.Foraging","8549","2015-09-01 16:28:03.25",0.96,0.036,-0.056,0.668,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.25,"28-08-15"
1,"1.feeding",3,"3.Foraging","8550","2015-09-01 16:28:03.27",0.93,0.036,0.008,0.696,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.27,"28-08-15"
1,"1.feeding",3,"3.Foraging","8551","2015-09-01 16:28:03.31",0.93,0.004,0.116,0.672,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.31,"28-08-15"
1,"1.feeding",3,"3.Foraging","8552","2015-09-01 16:28:03.39",0.93,-0.02,0.276,0.664,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.39,"28-08-15"
1,"1.feeding",3,"3.Foraging","8553","2015-09-01 16:28:03.43",0.93,-0.036,0.356,0.732,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.43,"28-08-15"
1,"1.feeding",3,"3.Foraging","8554","2015-09-01 16:28:03.47",0.93,0.012,0.3,0.844,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.47,"28-08-15"
1,"1.feeding",3,"3.Foraging","8555","2015-09-01 16:28:03.50",0.93,-0.016,0.184,0.828,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.50,"28-08-15"
1,"1.feeding",3,"3.Foraging","8556","2015-09-01 16:28:03.52",0.93,-0.2,0.296,0.688,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.52,"28-08-15"
1,"1.feeding",3,"3.Foraging","8557","2015-09-01 16:28:03.57",0.9,-0.292,0.444,0.656,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.57,"28-08-15"
1,"1.feeding",3,"3.Foraging","8558","2015-09-01 16:28:03.64",0.93,-0.216,0.58,0.644,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.64,"28-08-15"
1,"1.feeding",3,"3.Foraging","8559","2015-09-01 16:28:03.68",0.93,-0.108,0.692,0.704,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.68,"28-08-15"
1,"1.feeding",3,"3.Foraging","8560","2015-09-01 16:28:03.72",0.93,-0.032,0.856,0.792,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.72,"28-08-15"
1,"1.feeding",3,"3.Foraging","8561","2015-09-01 16:28:03.75",0.93,-0.016,0.892,0.8,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.75,"28-08-15"
1,"1.feeding",3,"3.Foraging","8562","2015-09-01 16:28:03.78",0.93,-0.052,0.8,0.776,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.78,"28-08-15"
1,"1.feeding",3,"3.Foraging","8563","2015-09-01 16:28:03.82",0.9,-0.028,0.7,0.792,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.82,"28-08-15"
1,"1.feeding",3,"3.Foraging","8564","2015-09-01 16:28:03.89",0.9,-0.008,0.62,0.768,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.89,"28-08-15"
1,"1.feeding",3,"3.Foraging","8565","2015-09-01 16:28:03.93",0.9,-0.004,0.556,0.792,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.93,"28-08-15"
1,"1.feeding",3,"3.Foraging","8566","2015-09-01 16:28:03.97",0.9,-0.04,0.496,0.856,"feeding","Foraging","water","surface","",2015-09-01 16:28:03.97,"28-08-15"
1,"1.feeding",3,"3.Foraging","8567","2015-09-01 16:28:04.00",0.9,-0.136,0.508,0.792,"feeding","Foraging","water","surface","",2015-09-01 16:28:04.00,"28-08-15"
