"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.slow",1,"1.Travelling","00:00.0","2015-08-29 10:23:00.00",3.56,0.62,0.996,0.444,"slow","Travelling","water","underwater","slow",2015-08-29 10:23:00.00,"29-08-15"
1,"1.slow",1,"1.Travelling","00:00.0","2015-08-29 10:23:00.00",3.53,0.448,0.92,0.416,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.00,"29-08-15"
1,"1.slow",1,"1.Travelling","35159","2015-08-29 10:23:00.04",3.56,0.328,0.984,0.368,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.04,"29-08-15"
1,"1.slow",1,"1.Travelling","35160","2015-08-29 10:23:00.08",3.53,0.076,1.036,0.24,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.08,"29-08-15"
1,"1.slow",1,"1.Travelling","35161","2015-08-29 10:23:00.16",3.46,0.004,1,0.132,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.16,"29-08-15"
1,"1.slow",1,"1.Travelling","35162","2015-08-29 10:23:00.20",3.5,0.136,1.08,0.144,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.20,"29-08-15"
1,"1.slow",1,"1.Travelling","35163","2015-08-29 10:23:00.24",3.46,0.18,1.052,0.376,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.24,"29-08-15"
1,"1.slow",1,"1.Travelling","35164","2015-08-29 10:23:00.25",3.5,0.244,0.988,0.424,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.25,"29-08-15"
1,"1.slow",1,"1.Travelling","35165","2015-08-29 10:23:00.28",3.5,0.224,0.836,0.488,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.28,"29-08-15"
1,"1.slow",1,"1.Travelling","35166","2015-08-29 10:23:00.32",3.53,0.268,0.768,0.572,"slow","Travelling","water","underwater","",2015-08-29 10:23:00.32,"29-08-15"
