number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date,doe
1,1.slow,1,1.Travelling,00:00:00.04,11:04:25.00,0.68,-0.076,0.032,0.912,slow,Travelling,water,surface,slow,11:04:25.00,11/09/2014
1,1.slow,1,1.Travelling,00:00.0,11:04:25.04,0.68,-0.08,0.06,0.948,slow,Travelling,water,surface,,11:04:25.04,11/09/2014
1,1.slow,1,1.Travelling,26924,11:04:25.08,0.68,-0.076,0.048,0.928,slow,Travelling,water,surface,,11:04:25.08,11/09/2014
1,1.slow,1,1.Travelling,26926,11:04:25.13,0.68,-0.084,0.024,0.956,slow,Travelling,water,surface,,11:04:25.13,11/09/2014
1,1.slow,1,1.Travelling,26928,11:04:25.17,0.68,-0.084,0.016,0.928,slow,Travelling,water,surface,,11:04:25.17,11/09/2014
1,1.slow,1,1.Travelling,26930,11:04:25.21,0.68,-0.044,0.02,0.944,slow,Travelling,water,surface,,11:04:25.21,11/09/2014
1,1.slow,1,1.Travelling,26932,11:04:25.25,0.68,-0.048,0.008,0.932,slow,Travelling,water,surface,,11:04:25.25,11/09/2014
1,1.slow,1,1.Travelling,26934,11:04:25.29,0.68,-0.068,0.036,0.944,slow,Travelling,water,surface,,11:04:25.29,11/09/2014
1,1.slow,1,1.Travelling,26936,11:04:25.34,0.68,-0.052,0.02,0.964,slow,Travelling,water,surface,,11:04:25.34,11/09/2014
1,1.slow,1,1.Travelling,26938,11:04:25.38,0.68,-0.056,-0.008,0.948,slow,Travelling,water,surface,,11:04:25.38,11/09/2014
1,1.slow,1,1.Travelling,26940,11:04:25.42,0.68,-0.052,-0.068,0.948,slow,Travelling,water,surface,,11:04:25.42,11/09/2014
1,1.slow,1,1.Travelling,26942,11:04:25.46,0.68,-0.032,-0.068,0.972,slow,Travelling,water,surface,,11:04:25.46,11/09/2014
1,1.slow,1,1.Travelling,26944,11:04:25.50,0.68,-0.016,-0.056,0.984,slow,Travelling,water,surface,,11:04:25.50,11/09/2014
1,1.slow,1,1.Travelling,26946,11:04:25.55,0.68,-0.008,-0.036,0.96,slow,Travelling,water,surface,,11:04:25.55,11/09/2014
1,1.slow,1,1.Travelling,26948,11:04:25.59,0.68,-0.008,-0.036,0.952,slow,Travelling,water,surface,,11:04:25.59,11/09/2014
1,1.slow,1,1.Travelling,26950,11:04:25.63,0.68,-0.004,0,0.944,slow,Travelling,water,surface,,11:04:25.63,11/09/2014
1,1.slow,1,1.Travelling,26952,11:04:25.67,0.68,0.004,0.004,0.964,slow,Travelling,water,surface,,11:04:25.67,11/09/2014
1,1.slow,1,1.Travelling,26954,11:04:25.71,0.68,0.032,-0.012,0.968,slow,Travelling,water,surface,,11:04:25.71,11/09/2014
1,1.slow,1,1.Travelling,26956,11:04:25.76,0.68,0.076,0.02,0.94,slow,Travelling,water,surface,,11:04:25.76,11/09/2014
1,1.slow,1,1.Travelling,26958,11:04:25.80,0.68,0.06,0.056,0.924,slow,Travelling,water,surface,,11:04:25.80,11/09/2014
1,1.slow,1,1.Travelling,26960,11:04:25.84,0.68,0.036,0.028,0.956,slow,Travelling,water,surface,,11:04:25.84,11/09/2014
1,1.slow,1,1.Travelling,26962,11:04:25.88,0.68,0.02,-0.048,1.032,slow,Travelling,water,surface,,11:04:25.88,11/09/2014
1,1.slow,1,1.Travelling,26964,11:04:25.92,0.71,0.068,-0.044,1.008,slow,Travelling,water,surface,,11:04:25.92,11/09/2014
1,1.slow,1,1.Travelling,26966,11:04:25.97,0.68,0.06,-0.084,0.98,slow,Travelling,water,surface,,11:04:25.97,11/09/2014
1,1.slow,1,1.Travelling,26968,11:04:26.01,0.68,0.068,-0.028,0.96,slow,Travelling,water,surface,,11:04:26.01,11/09/2014
1,1.slow,1,1.Travelling,26970,11:04:26.05,0.68,0.052,0,0.94,slow,Travelling,water,surface,,11:04:26.05,11/09/2014
1,1.slow,1,1.Travelling,26972,11:04:26.09,0.68,0.036,0.004,0.94,slow,Travelling,water,surface,,11:04:26.09,11/09/2014
1,1.slow,1,1.Travelling,26974,11:04:26.13,0.68,0.008,0,0.912,slow,Travelling,water,surface,,11:04:26.13,11/09/2014
1,1.slow,1,1.Travelling,26976,11:04:26.18,0.68,0.044,-0.028,0.932,slow,Travelling,water,surface,,11:04:26.18,11/09/2014
1,1.slow,1,1.Travelling,26978,11:04:26.22,0.68,0.012,-0.072,0.916,slow,Travelling,water,surface,,11:04:26.22,11/09/2014
1,1.slow,1,1.Travelling,26980,11:04:26.26,0.68,0.016,-0.064,0.924,slow,Travelling,water,surface,,11:04:26.26,11/09/2014
1,1.slow,1,1.Travelling,26982,11:04:26.30,0.68,0.004,-0.048,0.872,slow,Travelling,water,surface,,11:04:26.30,11/09/2014
1,1.slow,1,1.Travelling,26984,11:04:26.34,0.68,-0.004,-0.096,0.856,slow,Travelling,water,surface,,11:04:26.34,11/09/2014
