"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.swimming",1,"1.Travelling","00:00.0","2014-09-09 10:25:00.00",1.15,0.064,-0.452,0.932,"swimming","Travelling","water","surface","swimming",2014-09-09 10:25:00.00,"09-09-14"
1,"1.swimming",1,"1.Travelling","00:00.0","2014-09-09 10:25:00.00",1.18,0.076,-0.376,0.94,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.00,"09-09-14"
1,"1.swimming",1,"1.Travelling","18729","2014-09-09 10:25:00.01",1.18,0.084,-0.336,0.952,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.01,"09-09-14"
1,"1.swimming",1,"1.Travelling","18730","2014-09-09 10:25:00.05",1.18,0.12,-0.296,0.98,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.05,"09-09-14"
1,"1.swimming",1,"1.Travelling","18731","2014-09-09 10:25:00.16",1.18,0.164,-0.28,0.996,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.16,"09-09-14"
1,"1.swimming",1,"1.Travelling","18732","2014-09-09 10:25:00.20",1.15,0.208,-0.264,0.988,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.20,"09-09-14"
1,"1.swimming",1,"1.Travelling","18733","2014-09-09 10:25:00.24",1.18,0.252,-0.232,0.976,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.24,"09-09-14"
1,"1.swimming",1,"1.Travelling","18734","2014-09-09 10:25:00.25",1.15,0.304,-0.216,0.972,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.25,"09-09-14"
1,"1.swimming",1,"1.Travelling","18735","2014-09-09 10:25:00.25",1.15,0.356,-0.184,0.964,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.25,"09-09-14"
1,"1.swimming",1,"1.Travelling","18736","2014-09-09 10:25:00.29",1.15,0.4,-0.172,0.948,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.29,"09-09-14"
1,"1.swimming",1,"1.Travelling","18737","2014-09-09 10:25:00.40",1.12,0.424,-0.156,0.932,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.40,"09-09-14"
1,"1.swimming",1,"1.Travelling","18738","2014-09-09 10:25:00.44",1.12,0.456,-0.176,0.916,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.44,"09-09-14"
1,"1.swimming",1,"1.Travelling","18739","2014-09-09 10:25:00.48",1.12,0.48,-0.176,0.9,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.48,"09-09-14"
1,"1.swimming",1,"1.Travelling","18740","2014-09-09 10:25:00.50",1.09,0.488,-0.18,0.9,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.50,"09-09-14"
1,"1.swimming",1,"1.Travelling","18741","2014-09-09 10:25:00.50",1.09,0.5,-0.172,0.896,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.50,"09-09-14"
1,"1.swimming",1,"1.Travelling","18742","2014-09-09 10:25:00.53",1.06,0.52,-0.16,0.868,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.53,"09-09-14"
1,"1.swimming",1,"1.Travelling","18743","2014-09-09 10:25:00.64",1.06,0.532,-0.156,0.848,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.64,"09-09-14"
1,"1.swimming",1,"1.Travelling","18744","2014-09-09 10:25:00.68",0.87,0.564,-0.152,0.832,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.68,"09-09-14"
1,"1.swimming",1,"1.Travelling","18745","2014-09-09 10:25:00.72",0.84,0.564,-0.152,0.812,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.72,"09-09-14"
1,"1.swimming",1,"1.Travelling","18746","2014-09-09 10:25:00.75",0.84,0.588,-0.168,0.788,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.75,"09-09-14"
1,"1.swimming",1,"1.Travelling","18747","2014-09-09 10:25:00.75",0.84,0.628,-0.148,0.78,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.75,"09-09-14"
1,"1.swimming",1,"1.Travelling","18748","2014-09-09 10:25:00.77",0.81,0.648,-0.144,0.764,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.77,"09-09-14"
1,"1.swimming",1,"1.Travelling","18749","2014-09-09 10:25:00.88",0.78,0.672,-0.148,0.728,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.88,"09-09-14"
1,"1.swimming",1,"1.Travelling","18750","2014-09-09 10:25:00.92",0.78,0.7,-0.144,0.696,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.92,"09-09-14"
1,"1.swimming",1,"1.Travelling","18751","2014-09-09 10:25:00.96",0.75,0.708,-0.144,0.692,"swimming","Travelling","water","surface","",2014-09-09 10:25:00.96,"09-09-14"
1,"1.swimming",1,"1.Travelling","18752","2014-09-09 10:25:01.00",0.71,0.724,-0.128,0.688,"swimming","Travelling","water","surface","",2014-09-09 10:25:01.00,"09-09-14"
1,"1.swimming",1,"1.Travelling","18753","2014-09-09 10:25:01.00",0.71,0.74,-0.084,0.648,"swimming","Travelling","water","surface","",2014-09-09 10:25:01.00,"09-09-14"
1,"1.swimming",1,"1.Travelling","18754","2014-09-09 10:25:01.01",0.65,0.768,-0.056,0.62,"swimming","Travelling","water","surface","",2014-09-09 10:25:01.01,"09-09-14"
1,"1.swimming",1,"1.Travelling","18755","2014-09-09 10:25:01.05",0.65,0.768,-0.088,0.604,"swimming","Travelling","water","surface","",2014-09-09 10:25:01.05,"09-09-14"
1,"1.swimming",1,"1.Travelling","18756","2014-09-09 10:25:01.16",0.65,0.788,-0.1,0.624,"swimming","Travelling","water","surface","",2014-09-09 10:25:01.16,"09-09-14"
1,"1.swimming",1,"1.Travelling","18757","2014-09-09 10:25:01.20",0.62,0.808,-0.108,0.652,"swimming","Travelling","water","surface","",2014-09-09 10:25:01.20,"09-09-14"
