"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","doe","date"
1,"1.moving",1,"1.Travelling","00:00:00.04","2014-12-15 14:55:53.44",0.87,0.748,0.584,0.424,"moving","Travelling","land","land","moving","20-10-14",2014-12-15 14:55:53.44
1,"1.moving",1,"1.Travelling","00:00:00.00","2014-12-15 14:55:53.48",0.87,0.908,0.488,0.356,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.48
1,"1.moving",1,"1.Travelling","74078","2014-12-15 14:55:53.50",0.87,1.124,0.256,0.488,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.50
1,"1.moving",1,"1.Travelling","74079","2014-12-15 14:55:53.51",0.87,1.016,0.136,0.432,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.51
1,"1.moving",1,"1.Travelling","74080","2014-12-15 14:55:53.55",0.87,0.872,0.016,0.424,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.55
1,"1.moving",1,"1.Travelling","74081","2014-12-15 14:55:53.65",0.87,0.808,-0.188,0.444,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.65
1,"1.moving",1,"1.Travelling","74082","2014-12-15 14:55:53.69",0.87,0.704,-0.196,0.496,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.69
1,"1.moving",1,"1.Travelling","74083","2014-12-15 14:55:53.73",0.87,0.92,-0.34,0.644,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.73
1,"1.moving",1,"1.Travelling","74084","2014-12-15 14:55:53.75",0.87,0.944,-0.18,0.844,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.75
1,"1.moving",1,"1.Travelling","74085","2014-12-15 14:55:53.76",0.87,0.376,0.2,0.912,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.76
1,"1.moving",1,"1.Travelling","74086","2014-12-15 14:55:53.80",0.87,0.28,0.408,1.168,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.80
1,"1.moving",1,"1.Travelling","74087","2014-12-15 14:55:53.90",0.87,0.388,0.46,1.236,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.90
1,"1.moving",1,"1.Travelling","74088","2014-12-15 14:55:53.94",0.87,0.404,0.636,1.068,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.94
1,"1.moving",1,"1.Travelling","74089","2014-12-15 14:55:53.99",0.87,0.316,0.672,0.712,"moving","Travelling","land","land","","20-10-14",2014-12-15 14:55:53.99
