"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.moving",1,"1.Travelling","00:00:00.04","2014-12-15 07:31:05.00",0.4,0.34,-0.052,1.048,"moving","Travelling","land","land","moving",2014-12-15 07:31:05.00,"27-10-14"
1,"1.moving",1,"1.Travelling","00:00.0","2014-12-15 07:31:05.00",0.4,-0.104,0.208,0.896,"moving","Travelling","land","land","",2014-12-15 07:31:05.00,"27-10-14"
1,"1.moving",1,"1.Travelling","8083","2014-12-15 07:31:05.02",0.37,-0.388,0.832,0.404,"moving","Travelling","land","land","",2014-12-15 07:31:05.02,"27-10-14"
1,"1.moving",1,"1.Travelling","8084","2014-12-15 07:31:05.13",0.37,-0.016,0.208,-0.232,"moving","Travelling","land","land","",2014-12-15 07:31:05.13,"27-10-14"
1,"1.moving",1,"1.Travelling","8085","2014-12-15 07:31:05.17",0.37,0.612,-0.004,-0.284,"moving","Travelling","land","land","",2014-12-15 07:31:05.17,"27-10-14"
1,"1.moving",1,"1.Travelling","8086","2014-12-15 07:31:05.21",0.37,1.24,-0.828,-0.108,"moving","Travelling","land","land","",2014-12-15 07:31:05.21,"27-10-14"
1,"1.moving",1,"1.Travelling","8087","2014-12-15 07:31:05.25",0.37,1.176,-2.4,-0.592,"moving","Travelling","land","land","",2014-12-15 07:31:05.25,"27-10-14"
1,"1.moving",1,"1.Travelling","8088","2014-12-15 07:31:05.25",0.37,0.964,-1.748,-0.372,"moving","Travelling","land","land","",2014-12-15 07:31:05.25,"27-10-14"
1,"1.moving",1,"1.Travelling","8089","2014-12-15 07:31:05.28",0.37,0.04,-0.616,-0.072,"moving","Travelling","land","land","",2014-12-15 07:31:05.28,"27-10-14"
1,"1.moving",1,"1.Travelling","8090","2014-12-15 07:31:05.38",0.37,-0.536,-0.112,1.024,"moving","Travelling","land","land","",2014-12-15 07:31:05.38,"27-10-14"
1,"1.moving",1,"1.Travelling","8091","2014-12-15 07:31:05.42",0.4,-0.32,-0.392,1.704,"moving","Travelling","land","land","",2014-12-15 07:31:05.42,"27-10-14"
1,"1.moving",1,"1.Travelling","8092","2014-12-15 07:31:05.46",0.37,0.328,-0.868,1.444,"moving","Travelling","land","land","",2014-12-15 07:31:05.46,"27-10-14"
1,"1.moving",1,"1.Travelling","8093","2014-12-15 07:31:05.50",0.37,0.732,0.304,1.1,"moving","Travelling","land","land","",2014-12-15 07:31:05.50,"27-10-14"
1,"1.moving",1,"1.Travelling","8094","2014-12-15 07:31:05.50",0.37,0.284,0.832,0.888,"moving","Travelling","land","land","",2014-12-15 07:31:05.50,"27-10-14"
1,"1.moving",1,"1.Travelling","8095","2014-12-15 07:31:05.53",0.37,0.232,0.756,0.208,"moving","Travelling","land","land","",2014-12-15 07:31:05.53,"27-10-14"
1,"1.moving",1,"1.Travelling","8096","2014-12-15 07:31:05.63",0.37,0.48,0.332,-0.132,"moving","Travelling","land","land","",2014-12-15 07:31:05.63,"27-10-14"
1,"1.moving",1,"1.Travelling","8097","2014-12-15 07:31:05.67",0.37,1.26,-0.22,-0.228,"moving","Travelling","land","land","",2014-12-15 07:31:05.67,"27-10-14"
1,"1.moving",1,"1.Travelling","8098","2014-12-15 07:31:05.71",0.4,1.552,-0.096,0.084,"moving","Travelling","land","land","",2014-12-15 07:31:05.71,"27-10-14"
1,"1.moving",1,"1.Travelling","8099","2014-12-15 07:31:05.75",0.37,1.14,0.236,0.444,"moving","Travelling","land","land","",2014-12-15 07:31:05.75,"27-10-14"
1,"1.moving",1,"1.Travelling","8100","2014-12-15 07:31:05.75",0.37,1.12,-0.332,-0.048,"moving","Travelling","land","land","",2014-12-15 07:31:05.75,"27-10-14"
1,"1.moving",1,"1.Travelling","8101","2014-12-15 07:31:05.78",0.4,0.856,-1.572,0.428,"moving","Travelling","land","land","",2014-12-15 07:31:05.78,"27-10-14"
1,"1.moving",1,"1.Travelling","8102","2014-12-15 07:31:05.88",0.37,0.096,-1.132,-0.452,"moving","Travelling","land","land","",2014-12-15 07:31:05.88,"27-10-14"
1,"1.moving",1,"1.Travelling","8103","2014-12-15 07:31:05.92",0.37,0.004,-0.88,0.588,"moving","Travelling","land","land","",2014-12-15 07:31:05.92,"27-10-14"
1,"1.moving",1,"1.Travelling","8104","2014-12-15 07:31:05.97",0.4,-0.56,-0.396,1.312,"moving","Travelling","land","land","",2014-12-15 07:31:05.97,"27-10-14"
1,"1.moving",1,"1.Travelling","8105","2014-12-15 07:31:06.00",0.37,0.02,-0.484,1.992,"moving","Travelling","land","land","",2014-12-15 07:31:06.00,"27-10-14"
1,"1.moving",1,"1.Travelling","8106","2014-12-15 07:31:06.00",0.4,1.232,0.104,1.3,"moving","Travelling","land","land","",2014-12-15 07:31:06.00,"27-10-14"
1,"1.moving",1,"1.Travelling","8107","2014-12-15 07:31:06.03",0.4,0.652,0.616,1.156,"moving","Travelling","land","land","",2014-12-15 07:31:06.03,"27-10-14"
1,"1.moving",1,"1.Travelling","8108","2014-12-15 07:31:06.13",0.37,0.144,0.628,0.16,"moving","Travelling","land","land","",2014-12-15 07:31:06.13,"27-10-14"
1,"1.moving",1,"1.Travelling","8109","2014-12-15 07:31:06.18",0.4,0.004,0.24,-0.196,"moving","Travelling","land","land","",2014-12-15 07:31:06.18,"27-10-14"
1,"1.moving",1,"1.Travelling","8110","2014-12-15 07:31:06.22",0.37,0.34,-0.26,-0.456,"moving","Travelling","land","land","",2014-12-15 07:31:06.22,"27-10-14"
1,"1.moving",1,"1.Travelling","8111","2014-12-15 07:31:06.25",0.37,0.868,-0.124,0.176,"moving","Travelling","land","land","",2014-12-15 07:31:06.25,"27-10-14"
1,"1.moving",1,"1.Travelling","8112","2014-12-15 07:31:06.25",0.4,0.848,-0.1,0.996,"moving","Travelling","land","land","",2014-12-15 07:31:06.25,"27-10-14"
1,"1.moving",1,"1.Travelling","8113","2014-12-15 07:31:06.28",0.37,0.864,-1.332,1.248,"moving","Travelling","land","land","",2014-12-15 07:31:06.28,"27-10-14"
1,"1.moving",1,"1.Travelling","8114","2014-12-15 07:31:06.39",0.37,1.076,-1.392,0.564,"moving","Travelling","land","land","",2014-12-15 07:31:06.39,"27-10-14"
1,"1.moving",1,"1.Travelling","8115","2014-12-15 07:31:06.43",0.37,0.728,-0.876,0.052,"moving","Travelling","land","land","",2014-12-15 07:31:06.43,"27-10-14"
1,"1.moving",1,"1.Travelling","8116","2014-12-15 07:31:06.47",0.37,0.4,-0.436,0.336,"moving","Travelling","land","land","",2014-12-15 07:31:06.47,"27-10-14"
1,"1.moving",1,"1.Travelling","8117","2014-12-15 07:31:06.50",0.37,0.552,0.928,1.152,"moving","Travelling","land","land","",2014-12-15 07:31:06.50,"27-10-14"
1,"1.moving",1,"1.Travelling","8118","2014-12-15 07:31:06.50",0.4,0.316,1.012,1.272,"moving","Travelling","land","land","",2014-12-15 07:31:06.50,"27-10-14"
1,"1.moving",1,"1.Travelling","8119","2014-12-15 07:31:06.54",0.37,0.172,0.348,1.06,"moving","Travelling","land","land","",2014-12-15 07:31:06.54,"27-10-14"
1,"1.moving",1,"1.Travelling","8120","2014-12-15 07:31:06.64",0.4,0.296,-0.308,0.92,"moving","Travelling","land","land","",2014-12-15 07:31:06.64,"27-10-14"
1,"1.moving",1,"1.Travelling","8121","2014-12-15 07:31:06.68",0.37,-0.236,-0.552,1.356,"moving","Travelling","land","land","",2014-12-15 07:31:06.68,"27-10-14"
1,"1.moving",1,"1.Travelling","8122","2014-12-15 07:31:06.72",0.37,-0.028,-1.088,1.08,"moving","Travelling","land","land","",2014-12-15 07:31:06.72,"27-10-14"
1,"1.moving",1,"1.Travelling","8123","2014-12-15 07:31:06.75",0.37,0.544,-0.096,0.84,"moving","Travelling","land","land","",2014-12-15 07:31:06.75,"27-10-14"
1,"1.moving",1,"1.Travelling","8124","2014-12-15 07:31:06.75",0.37,0.048,-0.028,0.292,"moving","Travelling","land","land","",2014-12-15 07:31:06.75,"27-10-14"
1,"1.moving",1,"1.Travelling","8125","2014-12-15 07:31:06.79",0.37,0.264,-0.104,0.8,"moving","Travelling","land","land","",2014-12-15 07:31:06.79,"27-10-14"
1,"1.moving",1,"1.Travelling","8126","2014-12-15 07:31:06.89",0.4,0.928,-0.652,0.416,"moving","Travelling","land","land","",2014-12-15 07:31:06.89,"27-10-14"
1,"1.moving",1,"1.Travelling","8127","2014-12-15 07:31:06.93",0.37,0.68,-0.628,-0.236,"moving","Travelling","land","land","",2014-12-15 07:31:06.93,"27-10-14"
