,number,value,depth,x,y,z,behaviour,type,place
0,1.0,1.0,2.18,0.648,-0.004,0.696,10,3,-1
1,1.0,1.0,2.21,0.768,-0.004,0.748,10,3,-1
2,1.0,1.0,2.21,0.752,0.032,0.7240000000000001,10,3,-1
3,1.0,1.0,2.21,0.7959999999999999,0.048,0.688,10,3,-1
4,1.0,1.0,2.21,0.848,0.02,0.68,10,3,-1
5,1.0,1.0,2.18,0.7559999999999999,-0.02,0.664,10,3,-1
6,1.0,1.0,2.21,0.648,-0.06,0.664,10,3,-1
7,1.0,1.0,2.21,0.648,-0.07200000000000001,0.64,10,3,-1
8,1.0,1.0,2.21,0.6759999999999999,-0.076,0.628,10,3,-1
9,1.0,1.0,2.21,0.7,-0.10800000000000001,0.616,10,3,-1
10,1.0,1.0,2.21,0.736,-0.14800000000000002,0.62,10,3,-1
11,1.0,1.0,2.21,0.728,-0.14,0.6,10,3,-1
12,1.0,1.0,2.21,0.7240000000000001,-0.12,0.616,10,3,-1
13,1.0,1.0,2.21,0.7,-0.16399999999999998,0.64,10,3,-1
14,1.0,1.0,2.21,0.68,-0.228,0.632,10,3,-1
15,1.0,1.0,2.25,0.66,-0.276,0.632,10,3,-1
16,1.0,1.0,2.25,0.6920000000000001,-0.284,0.672,10,3,-1
17,1.0,1.0,2.25,0.672,-0.268,0.6759999999999999,10,3,-1
18,1.0,1.0,2.25,0.644,-0.268,0.7120000000000001,10,3,-1
19,1.0,1.0,2.25,0.6559999999999999,-0.32,0.72,10,3,-1
20,1.0,1.0,2.25,0.66,-0.344,0.732,10,3,-1
21,1.0,1.0,2.25,0.652,-0.364,0.7120000000000001,10,3,-1
22,1.0,1.0,2.28,0.6559999999999999,-0.36,0.728,10,3,-1
23,1.0,1.0,2.28,0.644,-0.368,0.74,10,3,-1
24,1.0,1.0,2.25,0.652,-0.34,0.792,10,3,-1
25,1.0,1.0,2.25,0.6679999999999999,-0.272,0.78,10,3,-1
26,1.0,1.0,2.25,0.6759999999999999,-0.16,0.752,10,3,-1
27,1.0,1.0,2.25,0.696,-0.1,0.7240000000000001,10,3,-1
28,1.0,1.0,2.25,0.68,-0.096,0.68,10,3,-1
29,1.0,1.0,2.25,0.652,-0.06,0.7120000000000001,10,3,-1
30,1.0,1.0,2.21,0.644,-0.04,0.7040000000000001,10,3,-1
31,1.0,1.0,2.25,0.688,-0.055999999999999994,0.7440000000000001,10,3,-1
32,1.0,1.0,2.21,0.748,-0.027999999999999997,0.74,10,3,-1
33,1.0,1.0,2.21,0.74,-0.04,0.672,10,3,-1
34,1.0,1.0,2.21,0.68,-0.052000000000000005,0.632,10,3,-1
35,1.0,1.0,2.18,0.628,-0.032,0.696,10,3,-1
36,1.0,1.0,2.18,0.588,-0.027999999999999997,0.7120000000000001,10,3,-1
37,1.0,1.0,2.18,0.588,-0.036000000000000004,0.6559999999999999,10,3,-1
38,1.0,1.0,2.18,0.568,-0.024,0.632,10,3,-1
39,1.0,1.0,2.18,0.5479999999999999,-0.064,0.66,10,3,-1
40,1.0,1.0,2.21,0.54,-0.128,0.68,10,3,-1
41,1.0,1.0,2.21,0.54,-0.172,0.736,10,3,-1
42,1.0,1.0,2.21,0.56,-0.172,0.764,10,3,-1
43,1.0,1.0,2.21,0.58,-0.132,0.7559999999999999,10,3,-1
44,1.0,1.0,2.21,0.6,-0.132,0.768,10,3,-1
45,1.0,1.0,2.21,0.624,-0.12,0.8,10,3,-1
46,1.0,1.0,2.25,0.6559999999999999,-0.136,0.804,10,3,-1
47,1.0,1.0,2.25,0.672,-0.08,0.828,10,3,-1
48,1.0,1.0,2.21,0.596,-0.07200000000000001,0.84,10,3,-1
49,1.0,1.0,2.25,0.5720000000000001,-0.132,0.816,10,3,-1
50,1.0,1.0,2.21,0.564,-0.152,0.804,10,3,-1
51,1.0,1.0,2.21,0.568,-0.212,0.804,10,3,-1
52,1.0,1.0,2.25,0.556,-0.252,0.856,10,3,-1
53,1.0,1.0,2.21,0.56,-0.28800000000000003,0.836,10,3,-1
54,1.0,1.0,2.21,0.5720000000000001,-0.272,0.752,10,3,-1
55,1.0,1.0,2.21,0.596,-0.292,0.696,10,3,-1
56,1.0,1.0,2.21,0.588,-0.28800000000000003,0.64,10,3,-1
57,1.0,1.0,2.21,0.648,-0.228,0.64,10,3,-1
58,1.0,1.0,2.21,0.64,-0.188,0.672,10,3,-1
59,1.0,1.0,2.21,0.7759999999999999,-0.156,0.632,10,3,-1
60,1.0,1.0,2.18,0.836,-0.10400000000000001,0.504,10,3,-1
61,1.0,1.0,2.18,0.828,-0.212,0.48,10,3,-1
62,1.0,1.0,2.18,0.736,-0.272,0.556,10,3,-1
63,1.0,1.0,2.18,0.716,-0.28,0.604,10,3,-1
64,1.0,1.0,2.21,0.6920000000000001,-0.228,0.7120000000000001,10,3,-1
65,1.0,1.0,2.21,0.696,-0.2,0.632,10,3,-1
66,1.0,1.0,2.21,0.68,-0.152,0.6559999999999999,10,3,-1
67,1.0,1.0,2.21,0.664,-0.136,0.68,10,3,-1
68,1.0,1.0,2.21,0.7,-0.228,0.604,10,3,-1
69,1.0,1.0,2.25,0.636,-0.32,0.644,10,3,-1
70,1.0,1.0,2.25,0.628,-0.408,0.748,10,3,-1
71,1.0,1.0,2.21,0.612,-0.408,0.74,10,3,-1
72,1.0,1.0,2.25,0.612,-0.41200000000000003,0.708,10,3,-1
73,1.0,1.0,2.25,0.6679999999999999,-0.408,0.716,10,3,-1
74,1.0,1.0,2.25,0.72,-0.528,0.7040000000000001,10,3,-1
75,1.0,1.0,2.25,0.6920000000000001,-0.5920000000000001,0.696,10,3,-1
76,1.0,1.0,2.25,0.6559999999999999,-0.556,0.708,10,3,-1
77,1.0,1.0,2.21,0.58,-0.48,0.736,10,3,-1
78,1.0,1.0,2.21,0.532,-0.40399999999999997,0.7559999999999999,10,3,-1
79,1.0,1.0,2.18,0.5760000000000001,-0.4,0.6679999999999999,10,3,-1
80,1.0,1.0,2.18,0.5760000000000001,-0.41600000000000004,0.644,10,3,-1
81,1.0,1.0,2.18,0.524,-0.392,0.6920000000000001,10,3,-1
82,1.0,1.0,2.15,0.452,-0.34,0.6759999999999999,10,3,-1
83,1.0,1.0,2.15,0.408,-0.268,0.644,10,3,-1
84,1.0,1.0,2.15,0.428,-0.268,0.616,10,3,-1
85,1.0,1.0,2.15,0.46399999999999997,-0.28,0.752,10,3,-1
86,1.0,1.0,2.15,0.5,-0.284,0.7759999999999999,10,3,-1
