,depth,x,y,z,behaviour,type,place
0,0.84,0.40399999999999997,-0.37200000000000005,0.912,1,1,1
1,0.84,0.38799999999999996,-0.22,0.8320000000000001,1,1,1
2,0.84,0.29600000000000004,-0.28800000000000003,0.7120000000000001,1,1,1
3,0.87,0.228,-0.47600000000000003,0.7559999999999999,1,1,1
4,0.87,0.252,-0.5760000000000001,0.7,1,1,1
5,0.84,0.44799999999999995,-0.536,0.784,1,1,1
6,0.84,0.68,-0.324,0.6759999999999999,1,1,1
7,0.84,0.848,0.016,0.852,1,1,1
8,0.84,0.852,0.244,0.816,1,1,1
9,0.87,0.708,0.284,0.812,1,1,1
10,0.87,0.7,0.32,0.708,1,1,1
11,0.87,0.688,0.308,0.6559999999999999,1,1,1
12,0.84,0.6920000000000001,0.284,0.616,1,1,1
13,0.87,0.7240000000000001,0.24,0.6,1,1,1
14,0.84,0.768,0.188,0.5760000000000001,1,1,1
15,0.84,0.804,0.156,0.5720000000000001,1,1,1
16,0.84,0.828,0.16,0.552,1,1,1
17,0.87,0.84,0.168,0.516,1,1,1
18,0.84,0.84,0.156,0.524,1,1,1
19,0.84,0.852,0.14,0.524,1,1,1
20,0.84,0.868,0.128,0.524,1,1,1
21,0.84,0.88,0.10400000000000001,0.52,1,1,1
22,0.84,0.872,0.084,0.504,1,1,1
23,0.84,0.8759999999999999,0.07200000000000001,0.512,1,1,1
24,0.84,0.8759999999999999,0.044000000000000004,0.508,1,1,1
25,0.84,0.86,0.032,0.5,1,1,1
26,0.84,0.856,0.02,0.516,1,1,1
27,0.87,0.852,0.02,0.524,12,3,1
28,0.84,0.848,0.016,0.528,12,3,1
29,0.87,0.84,0.016,0.532,12,3,1
30,0.84,0.8320000000000001,0.016,0.54,12,3,1
31,0.84,0.828,0.016,0.552,12,3,1
32,0.84,0.8240000000000001,0.016,0.552,12,3,1
33,0.84,0.812,0.012,0.56,12,3,1
34,0.84,0.8,0.016,0.56,12,3,1
35,0.87,0.8,0.027999999999999997,0.564,12,3,1
36,0.84,0.8079999999999999,0.032,0.564,12,3,1
37,0.84,0.812,0.024,0.56,12,3,1
38,0.84,0.804,0.04,0.5720000000000001,12,3,1
39,0.84,0.816,0.036000000000000004,0.568,12,3,1
40,0.84,0.8240000000000001,0.02,0.564,12,3,1
41,0.84,0.82,0.027999999999999997,0.5479999999999999,12,3,1
42,0.84,0.82,0.02,0.54,12,3,1
43,0.84,0.82,0.02,0.5479999999999999,12,3,1
44,0.84,0.82,0.032,0.552,12,3,1
45,0.84,0.8240000000000001,0.036000000000000004,0.532,12,3,1
46,0.84,0.836,0.032,0.54,12,3,1
47,0.84,0.84,0.032,0.524,12,3,1
48,0.84,0.8440000000000001,0.024,0.524,12,3,1
49,0.84,0.836,0.02,0.52,12,3,1
50,0.84,0.84,0.016,0.512,12,3,1
51,0.84,0.856,0.012,0.512,12,3,1
52,0.84,0.856,0.02,0.528,12,3,1
53,0.84,0.848,0.024,0.532,12,3,1
54,0.84,0.8320000000000001,0.027999999999999997,0.528,12,3,1
55,0.84,0.8320000000000001,0.024,0.512,12,3,1
56,0.84,0.8320000000000001,0.016,0.52,12,3,1
57,0.84,0.836,0.016,0.536,12,3,1
58,0.84,0.836,0.027999999999999997,0.552,12,3,1
59,0.84,0.816,0.04,0.588,12,3,1
60,0.84,0.7959999999999999,0.048,0.5720000000000001,12,3,1
61,0.84,0.772,0.055999999999999994,0.6,12,3,1
62,0.84,0.828,0.036000000000000004,0.628,12,3,1
63,0.84,0.924,0.08,0.544,12,3,1
64,0.84,1.036,0.084,0.5,12,3,1
65,0.84,1.212,0.212,0.5720000000000001,12,3,1
66,0.84,1.236,0.168,0.11599999999999999,12,3,1
67,0.84,0.948,-0.10400000000000001,0.35200000000000004,1,1,1
68,0.84,0.9440000000000001,-0.244,0.244,1,1,1
69,0.84,0.9279999999999999,-0.344,0.28800000000000003,1,1,1
70,0.84,0.852,-0.536,0.332,1,1,1
71,0.84,0.7959999999999999,-0.62,0.884,1,1,1
72,0.84,0.64,-0.336,0.652,1,1,1
73,0.87,0.35600000000000004,-0.444,0.5479999999999999,1,1,1
74,0.87,0.32,-0.732,0.584,1,1,1
75,0.87,0.21600000000000003,-0.6,0.8640000000000001,1,1,1
76,0.87,0.18,-0.452,0.948,1,1,1
77,0.87,0.228,-0.38,0.92,1,1,1
78,0.87,0.304,-0.22399999999999998,0.8759999999999999,1,1,1
79,0.87,0.4,-0.156,0.92,1,1,1
80,0.87,0.4,-0.08,1.02,1,1,1
81,0.87,0.316,0.07200000000000001,0.972,1,1,1
82,0.87,0.368,0.16399999999999998,0.932,1,1,1
83,0.87,0.54,-0.376,0.564,1,1,1
84,0.84,0.284,-0.136,0.648,1,1,1
85,0.87,0.184,-0.38799999999999996,0.8320000000000001,1,1,1
86,0.87,0.152,-0.46799999999999997,0.892,1,1,1
87,0.87,0.196,-0.376,0.912,1,1,1
88,0.87,0.16,-0.2,0.9520000000000001,1,1,1
89,0.84,0.212,-0.128,0.9279999999999999,1,1,1
90,0.84,0.35600000000000004,-0.192,0.9,1,1,1
91,0.84,0.46399999999999997,-0.37200000000000005,0.904,1,1,1
92,0.84,0.584,-0.46,0.7040000000000001,1,1,1
93,0.87,0.648,-0.52,0.696,1,1,1
94,0.87,0.624,-0.47600000000000003,0.6,1,1,1
95,0.87,0.596,-0.41600000000000004,0.516,1,1,1
96,0.87,0.564,-0.4,0.544,1,1,1
97,0.87,0.6679999999999999,-0.264,0.48,1,1,1
98,0.87,0.828,-0.084,0.47600000000000003,1,1,1
99,0.84,0.9279999999999999,0.06,0.44,1,1,1
100,0.84,0.892,0.172,0.5720000000000001,1,1,1
101,0.84,0.904,0.32799999999999996,0.512,1,1,1
102,0.84,0.82,0.324,0.568,1,1,1
103,0.84,0.772,0.37200000000000005,0.5920000000000001,1,1,1
104,0.84,0.76,0.384,0.552,1,1,1
105,0.84,0.7759999999999999,0.436,0.488,1,1,1
106,0.84,0.72,0.512,0.428,1,1,1
107,0.84,0.7040000000000001,0.496,0.536,1,1,1
108,0.84,0.7,0.54,0.496,1,1,1
109,0.84,0.752,0.46399999999999997,0.612,1,1,1
110,0.84,0.6679999999999999,0.35200000000000004,0.68,1,1,1
111,0.84,0.644,0.284,0.732,1,1,1
112,0.84,0.696,0.248,0.5720000000000001,1,1,1
113,0.84,0.708,0.23199999999999998,0.6759999999999999,1,1,1
114,0.84,0.684,0.2,0.62,1,1,1
115,0.84,0.764,0.172,0.604,1,1,1
116,0.84,0.76,0.06,0.564,1,1,1
117,0.84,0.732,0.016,0.7959999999999999,1,1,1
118,0.84,0.768,-0.052000000000000005,0.7,1,1,1
119,0.84,0.772,-0.304,0.732,1,1,1
120,0.84,0.7440000000000001,-0.332,0.7,1,1,1
121,0.84,0.7,-0.408,0.6759999999999999,1,1,1
122,0.84,0.648,-0.38799999999999996,0.688,1,1,1
123,0.84,0.604,-0.38799999999999996,0.64,1,1,1
124,0.84,0.504,-0.42,0.632,1,1,1
125,0.84,0.49200000000000005,-0.46,0.604,1,1,1
126,0.84,0.6,-0.376,0.716,1,1,1
127,0.84,0.456,-0.348,0.5920000000000001,1,1,1
128,0.84,0.488,-0.312,0.6679999999999999,1,1,1
129,0.84,0.636,-0.272,0.8,1,1,1
130,0.84,0.752,-0.11199999999999999,0.7120000000000001,1,1,1
131,0.84,0.8240000000000001,-0.008,0.7,1,1,1
132,0.84,0.8759999999999999,0.14800000000000002,0.748,1,1,1
133,0.84,0.88,0.16399999999999998,0.648,1,1,1
134,0.84,0.82,0.268,0.42,1,1,1
135,0.84,0.8079999999999999,0.316,0.6,1,1,1
136,0.84,0.7040000000000001,0.212,0.52,1,1,1
137,0.84,0.664,0.14400000000000002,0.816,1,1,1
138,0.84,0.9079999999999999,0.184,0.644,1,1,1
139,0.84,1.452,0.452,0.512,1,1,1
140,0.84,0.10400000000000001,0.488,1.464,1,1,1
141,0.84,0.04,0.228,1.06,1,1,1
142,0.84,0.132,-0.024,0.804,1,1,1
143,0.84,0.10800000000000001,-0.28800000000000003,0.82,1,1,1
144,0.84,0.128,-0.268,0.836,1,1,1
145,0.84,0.268,-0.172,0.8640000000000001,1,1,1
146,0.84,0.392,-0.084,0.868,1,1,1
147,0.84,0.38799999999999996,-0.048,0.8759999999999999,1,1,1
148,0.84,0.35200000000000004,-0.02,0.86,1,1,1
149,0.84,0.396,0.036000000000000004,0.8440000000000001,1,1,1
150,0.84,0.47600000000000003,0.048,0.828,1,1,1
151,0.84,0.552,-0.02,0.764,1,1,1
152,0.84,0.556,-0.032,0.76,1,1,1
153,0.84,0.5760000000000001,-0.036000000000000004,0.768,1,1,1
154,0.84,0.588,-0.084,0.7879999999999999,1,1,1
155,0.84,0.608,-0.096,0.804,1,1,1
156,0.84,0.608,-0.068,0.784,1,1,1
157,0.84,0.644,-0.032,0.72,1,1,1
158,0.84,0.644,-0.004,0.6759999999999999,1,1,1
159,0.84,0.7040000000000001,0.012,0.736,1,1,1
160,0.84,0.784,0.004,0.644,1,1,1
161,0.84,0.84,0.04,0.5720000000000001,1,1,1
162,0.84,0.82,0.14400000000000002,0.556,1,1,1
163,0.84,0.8079999999999999,0.184,0.556,1,1,1
164,0.84,0.804,0.188,0.56,1,1,1
165,0.84,0.82,0.16,0.532,1,1,1
166,0.84,0.84,0.124,0.512,1,1,1
167,0.84,0.872,0.08800000000000001,0.5,1,1,1
168,0.84,0.888,0.055999999999999994,0.47600000000000003,1,1,1
169,0.84,0.9,0.08,0.46799999999999997,1,1,1
170,0.84,0.912,0.084,0.452,1,1,1
171,0.84,0.912,0.084,0.424,1,1,1
172,0.84,0.924,0.07200000000000001,0.4,1,1,1
173,0.84,0.9359999999999999,0.055999999999999994,0.396,1,1,1
174,0.84,0.9440000000000001,0.04,0.396,1,1,1
175,0.84,0.9520000000000001,0.048,0.368,1,1,1
176,0.84,0.96,0.036000000000000004,0.34,1,1,1
177,0.84,0.968,0.052000000000000005,0.344,1,1,1
178,0.84,0.96,0.06,0.34,1,1,1
179,0.84,0.972,0.044000000000000004,0.332,1,1,1
180,0.84,0.968,0.036000000000000004,0.32,1,1,1
181,0.84,0.972,0.032,0.308,1,1,1
182,0.84,0.98,0.016,0.292,1,1,1
183,0.84,0.988,0.008,0.292,1,1,1
184,0.84,0.988,0.02,0.28,1,1,1
185,0.84,0.976,0.02,0.272,1,1,1
186,0.84,0.9520000000000001,0.004,0.264,1,1,1
187,0.84,0.956,0.004,0.292,1,1,1
188,0.84,0.988,0.027999999999999997,0.292,1,1,1
189,0.84,0.996,0.012,0.244,1,1,1
190,0.84,1.02,0.016,0.21600000000000003,1,1,1
191,0.84,1.052,0.024,0.20800000000000002,1,1,1
192,0.84,1.168,0.048,0.252,1,1,1
193,0.84,1.244,-0.036000000000000004,0.316,1,1,1
194,0.84,1.3840000000000001,0.1,0.308,1,1,1
195,0.84,1.212,0.132,0.4,1,1,1
196,0.84,1.0759999999999998,0.22399999999999998,0.43200000000000005,1,1,1
197,0.84,0.856,0.132,0.44,1,1,1
198,0.84,0.74,0.32,0.444,1,1,1
199,0.84,0.504,0.488,0.44,1,1,1
200,0.84,0.29600000000000004,0.456,0.728,1,1,1
201,0.84,0.32799999999999996,0.23600000000000002,0.78,1,1,1
202,0.84,0.28,-0.26,0.9640000000000001,1,1,1
203,0.84,0.228,-0.43200000000000005,1.08,1,1,1
204,0.84,0.11599999999999999,-0.28800000000000003,0.924,1,1,1
205,0.84,0.08,-0.32799999999999996,0.972,1,1,1
206,0.84,0.188,-0.20800000000000002,1.024,1,1,1
207,0.84,0.316,-0.10800000000000001,1.012,1,1,1
208,0.84,0.35200000000000004,-0.016,0.932,1,1,1
209,0.84,0.368,0.027999999999999997,0.8959999999999999,1,1,1
210,0.84,0.47600000000000003,0.044000000000000004,0.904,1,1,1
211,0.84,0.588,0.055999999999999994,0.9079999999999999,1,1,1
212,0.84,0.636,0.132,0.7559999999999999,1,1,1
213,0.84,0.7559999999999999,0.336,0.7,1,1,1
214,0.84,0.9279999999999999,0.35600000000000004,0.7040000000000001,1,1,1
215,0.84,0.884,0.28800000000000003,0.5920000000000001,1,1,1
216,0.84,0.748,0.304,0.4,1,1,1
217,0.84,0.48,0.47200000000000003,0.5,1,1,1
218,0.84,0.34,0.9440000000000001,0.772,1,1,1
219,0.84,0.252,0.46799999999999997,1.1079999999999999,1,1,1
220,0.84,0.044000000000000004,0.68,0.956,1,1,1
221,0.84,-0.156,0.21600000000000003,0.7879999999999999,1,1,1
222,0.84,0.18,0.0,0.528,1,1,1
223,0.84,0.08,-0.184,1.5759999999999998,1,1,1
224,0.84,0.244,-0.44,1.5119999999999998,1,1,1
225,0.84,0.284,-0.7240000000000001,1.1159999999999999,1,1,1
