,number,value,depth,x,y,z,behaviour,type,place
0,1,1,0.4,0.084,-0.008,0.94,17,3,1
1,1,1,0.4,-0.52,0.172,1.4880000000000002,17,3,1
2,1,1,0.4,-1.016,-0.048,1.324,17,3,1
3,1,1,0.37,-0.308,-0.268,1.024,17,3,1
4,1,1,0.4,-0.132,-0.096,0.884,17,3,1
5,1,1,0.4,0.0,-0.1,0.88,17,3,1
6,1,1,0.4,-0.04,-0.128,0.968,17,3,1
7,1,1,0.4,-0.152,-0.11199999999999999,0.98,17,3,1
8,1,1,0.4,-0.2,-0.08,0.96,17,3,1
9,1,1,0.37,-0.172,-0.036000000000000004,0.9440000000000001,17,3,1
10,1,1,0.4,-0.14400000000000002,-0.02,0.948,17,3,1
11,1,1,0.4,-0.14,0.004,0.96,17,3,1
12,1,1,0.4,-0.156,0.008,0.9520000000000001,17,3,1
13,1,1,0.4,-0.17600000000000002,-0.012,0.96,17,3,1
14,1,1,0.4,-0.2,-0.016,0.968,17,3,1
15,1,1,0.4,-0.192,-0.016,0.948,17,3,1
16,1,1,0.4,-0.18,-0.008,0.94,17,3,1
17,1,1,0.4,-0.184,-0.008,0.9359999999999999,17,3,1
18,1,1,0.4,-0.204,0.0,0.932,17,3,1
19,1,1,0.4,-0.2,0.0,0.9440000000000001,17,3,1
20,1,1,0.4,-0.21600000000000003,-0.004,0.948,17,3,1
21,1,1,0.4,-0.228,-0.044000000000000004,0.98,17,3,1
22,1,1,0.4,-0.23199999999999998,-0.055999999999999994,0.9520000000000001,17,3,1
23,1,1,0.4,-0.212,-0.024,0.9359999999999999,17,3,1
24,1,1,0.4,-0.17600000000000002,-0.02,0.94,17,3,1
25,1,1,0.4,-0.136,-0.004,0.968,17,3,1
26,1,1,0.4,-0.096,0.0,0.96,17,3,1
27,1,2,0.4,-0.14400000000000002,0.04,0.996,0,0,1
28,1,2,0.4,-0.212,0.02,1.02,0,0,1
29,1,2,0.4,-0.23199999999999998,-0.06,0.956,0,0,1
30,1,2,0.4,-0.204,-0.036000000000000004,0.904,0,0,1
31,1,2,0.4,-0.16,-0.032,1.028,0,0,1
32,1,2,0.4,-0.07200000000000001,0.008,1.064,0,0,1
33,1,2,0.4,-0.004,-0.048,1.016,0,0,1
34,1,2,0.4,0.064,-0.10800000000000001,1.0,0,0,1
35,1,2,0.4,0.20800000000000002,-0.1,0.9359999999999999,0,0,1
36,1,2,0.4,0.324,-0.06,0.852,0,0,1
37,1,2,0.4,0.38799999999999996,-0.152,0.8079999999999999,0,0,1
38,1,2,0.4,0.524,-0.124,0.852,0,0,1
39,1,2,0.4,0.512,-0.08,0.76,0,0,1
40,1,2,0.4,0.612,-0.092,0.7759999999999999,0,0,1
41,1,2,0.4,0.628,-0.14,0.74,0,0,1
42,1,2,0.4,0.672,-0.244,0.688,0,0,1
43,1,2,0.4,0.688,-0.32799999999999996,0.7120000000000001,0,0,1
44,1,2,0.4,0.716,-0.4,0.584,0,0,1
45,1,2,0.4,0.8440000000000001,0.1,0.64,0,0,1
46,1,2,0.4,0.748,0.136,0.7120000000000001,0,0,1
47,1,2,0.4,0.664,0.196,0.568,0,0,1
48,1,2,0.4,0.6559999999999999,0.14400000000000002,0.524,0,0,1
49,1,2,0.4,0.7040000000000001,0.06,0.6759999999999999,0,0,1
50,1,2,0.4,0.76,-0.092,0.6920000000000001,0,0,1
51,1,2,0.4,0.696,0.055999999999999994,0.7120000000000001,0,0,1
52,1,2,0.4,0.7,0.024,0.732,0,0,1
53,1,2,0.4,0.628,0.06,0.736,0,0,1
54,1,2,0.4,0.632,0.076,0.72,0,0,1
55,1,2,0.4,0.632,0.11599999999999999,0.728,0,0,1
56,1,2,0.4,0.636,0.1,0.728,0,0,1
57,1,2,0.4,0.6679999999999999,0.11599999999999999,0.7040000000000001,0,0,1
58,1,2,0.37,0.716,0.124,0.68,0,0,1
59,1,2,0.4,0.716,0.168,0.664,0,0,1
60,1,2,0.4,0.708,0.14800000000000002,0.6759999999999999,0,0,1
61,1,2,0.4,0.736,0.16399999999999998,0.652,0,0,1
62,1,2,0.4,0.784,0.22,0.66,0,0,1
63,1,2,0.4,0.8,0.192,0.6559999999999999,0,0,1
64,1,2,0.4,0.9159999999999999,-0.096,0.54,0,0,1
65,1,2,0.4,1.064,-0.536,0.652,0,0,1
66,1,2,0.4,0.748,-0.248,0.35600000000000004,0,0,1
67,1,2,0.4,0.6559999999999999,-0.10800000000000001,0.536,0,0,1
68,1,2,0.4,1.12,0.23199999999999998,0.672,0,0,1
69,1,2,0.4,0.44,0.34,0.648,0,0,1
70,1,2,0.4,0.304,0.424,0.512,0,0,1
71,1,2,0.4,0.35600000000000004,0.54,0.732,0,0,1
72,1,2,0.4,0.516,0.344,0.708,0,0,1
73,1,2,0.4,0.54,0.35600000000000004,0.696,0,0,1
74,1,2,0.4,0.68,0.212,0.7,0,0,1
75,1,2,0.4,0.636,0.332,0.728,0,0,1
76,1,2,0.4,0.648,0.272,0.6679999999999999,0,0,1
77,1,2,0.4,0.688,0.308,0.7040000000000001,0,0,1
78,1,2,0.4,0.684,0.316,0.6920000000000001,0,0,1
79,1,2,0.4,0.6759999999999999,0.36,0.7120000000000001,0,0,1
80,1,2,0.4,0.604,0.32,0.708,0,0,1
81,1,2,0.4,0.88,0.29600000000000004,0.488,0,0,1
82,1,2,0.4,0.256,0.568,0.852,0,0,1
83,1,2,0.4,0.5760000000000001,0.28,0.6,0,0,1
84,1,2,0.4,0.54,0.22,0.608,0,0,1
85,1,2,0.4,0.364,0.22,0.732,0,0,1
86,1,2,0.4,0.524,0.204,0.66,0,0,1
87,1,2,0.4,0.7240000000000001,0.06,0.672,0,0,1
88,1,2,0.4,0.764,-0.02,0.7040000000000001,0,0,1
89,1,2,0.4,0.76,0.068,0.7440000000000001,0,0,1
