,depth,x,y,z,behaviour,type,place
0,0.71,-0.12,0.1,0.932,17,3,1
1,0.71,-0.124,0.092,0.9440000000000001,17,3,1
2,0.71,-0.16399999999999998,0.11199999999999999,0.9440000000000001,17,3,1
3,0.71,-0.16,0.11199999999999999,0.9640000000000001,17,3,1
4,0.71,-0.188,0.064,0.9440000000000001,17,3,1
5,0.71,-0.18,0.10800000000000001,0.9279999999999999,17,3,1
6,0.71,-0.156,0.124,0.924,17,3,1
7,0.71,-0.14,0.1,0.948,17,3,1
8,0.71,-0.10800000000000001,0.07200000000000001,0.9440000000000001,17,3,1
9,0.71,-0.092,0.055999999999999994,0.9440000000000001,17,3,1
10,0.71,-0.092,0.052000000000000005,0.9279999999999999,17,3,1
11,0.71,-0.055999999999999994,0.07200000000000001,0.912,17,3,1
12,0.71,-0.036000000000000004,0.092,0.924,17,3,1
13,0.71,-0.04,0.132,0.9440000000000001,17,3,1
14,0.71,-0.052000000000000005,0.152,0.96,17,3,1
15,0.71,-0.012,0.172,0.976,17,3,1
16,0.71,0.012,0.156,0.976,17,3,1
17,0.71,0.055999999999999994,0.196,1.024,17,3,1
18,0.71,0.096,0.228,1.0,17,3,1
19,0.71,0.10400000000000001,0.248,0.9840000000000001,17,3,1
20,0.71,0.14800000000000002,0.23199999999999998,0.9440000000000001,17,3,1
21,0.71,0.20800000000000002,0.22399999999999998,0.904,17,3,1
22,0.71,0.29600000000000004,0.248,0.9,12,3,1
23,0.71,0.392,0.24,0.848,12,3,1
24,0.71,0.456,0.21600000000000003,0.856,12,3,1
25,0.71,0.556,0.16,0.8320000000000001,12,3,1
26,0.71,0.5720000000000001,0.132,0.8320000000000001,12,3,1
27,0.71,0.644,0.068,0.76,12,3,1
28,0.71,0.636,0.012,0.684,12,3,1
29,0.71,0.6559999999999999,-0.06,0.66,12,3,1
30,0.71,0.672,-0.08,0.62,12,3,1
31,0.71,0.6759999999999999,-0.076,0.648,12,3,1
32,0.71,0.7040000000000001,-0.06,0.62,12,3,1
33,0.71,0.684,-0.055999999999999994,0.64,12,3,1
34,0.71,0.66,-0.052000000000000005,0.648,12,3,1
35,0.71,0.68,-0.055999999999999994,0.6559999999999999,12,3,1
36,0.71,0.66,-0.044000000000000004,0.684,12,3,1
37,0.71,0.644,-0.027999999999999997,0.684,12,3,1
38,0.71,0.648,-0.024,0.696,12,3,1
39,0.71,0.6559999999999999,-0.044000000000000004,0.7040000000000001,12,3,1
40,0.71,0.66,-0.044000000000000004,0.6920000000000001,12,3,1
41,0.71,0.648,-0.06,0.7,12,3,1
42,0.71,0.6559999999999999,-0.068,0.7,12,3,1
43,0.71,0.652,-0.064,0.6920000000000001,12,3,1
44,0.71,0.66,-0.06,0.7,12,3,1
45,0.71,0.6679999999999999,-0.055999999999999994,0.708,12,3,1
46,0.71,0.6559999999999999,-0.064,0.7040000000000001,12,3,1
47,0.71,0.672,-0.068,0.7,12,3,1
48,0.71,0.664,-0.064,0.708,12,3,1
49,0.71,0.66,-0.068,0.696,12,3,1
50,0.71,0.6759999999999999,-0.07200000000000001,0.696,12,3,1
51,0.71,0.672,-0.064,0.696,12,3,1
52,0.71,0.672,-0.064,0.688,12,3,1
53,0.71,0.672,-0.064,0.7,12,3,1
54,0.71,0.672,-0.068,0.6920000000000001,12,3,1
55,0.71,0.688,-0.08,0.672,12,3,1
56,0.71,0.6679999999999999,-0.084,0.684,12,3,1
57,0.71,0.684,-0.06,0.66,12,3,1
58,0.71,0.716,-0.052000000000000005,0.708,0,0,1
59,0.71,0.7240000000000001,-0.02,0.72,0,0,1
60,0.71,0.7120000000000001,-0.008,0.7240000000000001,0,0,1
61,0.71,0.94,0.0,0.632,0,0,1
62,0.71,0.5720000000000001,-0.07200000000000001,0.852,0,0,1
63,0.71,0.624,0.152,0.78,0,0,1
64,0.71,0.52,0.212,0.7,0,0,1
65,0.71,0.52,0.188,0.716,0,0,1
66,0.71,0.648,0.055999999999999994,0.616,0,0,1
67,0.71,0.828,0.156,0.684,0,0,1
68,0.71,0.8759999999999999,0.092,0.836,0,0,1
69,0.71,0.632,0.10800000000000001,0.672,0,0,1
70,0.71,0.812,0.012,0.64,0,0,1
71,0.71,0.8240000000000001,-0.10800000000000001,0.49200000000000005,0,0,1
72,0.71,0.988,0.076,0.46799999999999997,0,0,1
73,0.71,0.8640000000000001,0.10400000000000001,0.62,0,0,1
74,0.71,0.628,0.055999999999999994,0.7,0,0,1
