,number,value,depth,x,y,z,behaviour,type,place
0,1.0,1.0,0.75,0.968,-0.032,0.228,12,3,1
1,1.0,1.0,0.75,0.968,-0.032,0.244,12,3,1
2,1.0,1.0,0.78,0.972,-0.04,0.248,12,3,1
3,1.0,1.0,0.78,0.9640000000000001,-0.044000000000000004,0.248,12,3,1
4,1.0,1.0,0.78,0.948,-0.016,0.252,12,3,1
5,1.0,1.0,0.75,0.94,-0.012,0.248,12,3,1
6,1.0,1.0,0.78,0.94,-0.016,0.264,12,3,1
7,1.0,1.0,0.75,0.948,-0.027999999999999997,0.28,12,3,1
8,1.0,1.0,0.75,0.956,-0.04,0.276,12,3,1
9,1.0,1.0,0.78,0.9520000000000001,-0.055999999999999994,0.272,12,3,1
10,1.0,1.0,0.78,0.956,-0.048,0.26,12,3,1
11,1.0,1.0,0.78,0.9520000000000001,-0.06,0.252,12,3,1
12,1.0,1.0,0.78,0.9440000000000001,-0.055999999999999994,0.248,12,3,1
13,1.0,1.0,0.78,0.9440000000000001,-0.036000000000000004,0.26,12,3,1
14,1.0,1.0,0.78,0.956,-0.032,0.248,12,3,1
15,1.0,1.0,0.78,0.9640000000000001,-0.036000000000000004,0.24,12,3,1
16,1.0,1.0,0.75,0.948,-0.036000000000000004,0.24,12,3,1
17,1.0,1.0,0.75,0.9520000000000001,-0.036000000000000004,0.22399999999999998,12,3,1
18,1.0,1.0,0.75,0.9640000000000001,-0.04,0.21600000000000003,12,3,1
19,1.0,1.0,0.75,0.976,-0.055999999999999994,0.22399999999999998,12,3,1
20,1.0,1.0,0.75,0.992,-0.048,0.244,12,3,1
21,1.0,1.0,0.78,1.004,-0.036000000000000004,0.228,12,3,1
22,1.0,1.0,0.75,1.012,-0.055999999999999994,0.20800000000000002,12,3,1
23,1.0,1.0,0.78,0.988,-0.10400000000000001,0.188,12,3,1
24,1.0,1.0,0.75,0.96,-0.156,0.168,12,3,1
25,1.0,1.0,0.78,0.932,-0.184,0.172,12,3,1
26,1.0,1.0,0.78,0.94,-0.22,0.17600000000000002,12,3,1
27,1.0,1.0,0.75,0.96,-0.22,0.172,12,3,1
28,1.0,1.0,0.78,0.9640000000000001,-0.212,0.188,12,3,1
29,1.0,1.0,0.75,0.968,-0.184,0.196,12,3,1
30,1.0,1.0,0.75,0.976,-0.14800000000000002,0.184,12,3,1
31,1.0,1.0,0.78,0.992,-0.11599999999999999,0.18,12,3,1
32,1.0,1.0,0.75,1.004,-0.10800000000000001,0.16399999999999998,12,3,1
33,1.0,1.0,0.75,1.008,-0.084,0.184,12,3,1
34,1.0,1.0,0.75,0.988,-0.052000000000000005,0.228,12,3,1
35,1.0,1.0,0.75,0.98,-0.04,0.248,12,3,1
36,1.0,1.0,0.75,0.968,-0.024,0.23199999999999998,12,3,1
37,1.0,1.0,0.75,0.9279999999999999,0.0,0.256,12,3,1
38,1.0,1.0,0.75,0.9079999999999999,0.008,0.272,12,3,1
39,1.0,1.0,0.78,0.924,0.008,0.28800000000000003,12,3,1
40,1.0,1.0,0.78,0.948,0.016,0.3,12,3,1
41,1.0,1.0,0.75,0.9440000000000001,0.036000000000000004,0.312,12,3,1
42,1.0,1.0,0.78,0.9279999999999999,0.06,0.32,12,3,1
43,1.0,1.0,0.75,0.9279999999999999,0.084,0.32799999999999996,12,3,1
44,1.0,1.0,0.78,0.94,0.1,0.336,12,3,1
45,1.0,1.0,0.75,0.9440000000000001,0.11199999999999999,0.34,12,3,1
46,1.0,1.0,0.78,0.9359999999999999,0.11599999999999999,0.32,12,3,1
47,1.0,1.0,0.75,0.92,0.124,0.304,12,3,1
48,1.0,1.0,0.78,0.912,0.124,0.312,12,3,1
49,1.0,1.0,0.75,0.9159999999999999,0.152,0.324,12,3,1
50,1.0,1.0,0.75,0.932,0.152,0.332,12,3,1
51,1.0,1.0,0.75,0.9359999999999999,0.16,0.32799999999999996,12,3,1
52,1.0,1.0,0.78,0.9359999999999999,0.16,0.32799999999999996,12,3,1
53,1.0,1.0,0.75,0.9159999999999999,0.152,0.32799999999999996,12,3,1
54,1.0,1.0,0.75,0.912,0.14800000000000002,0.34,12,3,1
55,1.0,1.0,0.78,0.9159999999999999,0.156,0.344,12,3,1
56,1.0,1.0,0.75,0.924,0.172,0.35200000000000004,12,3,1
57,1.0,1.0,0.78,0.92,0.17600000000000002,0.364,12,3,1
58,1.0,1.0,0.75,0.9,0.18,0.364,12,3,1
59,1.0,1.0,0.78,0.9,0.17600000000000002,0.364,12,3,1
60,1.0,1.0,0.75,0.892,0.16399999999999998,0.364,12,3,1
61,1.0,1.0,0.78,0.88,0.168,0.376,12,3,1
62,1.0,1.0,0.78,0.8759999999999999,0.16,0.364,12,3,1
63,1.0,1.0,0.78,0.8759999999999999,0.14800000000000002,0.368,12,3,1
64,1.0,1.0,0.78,0.884,0.128,0.38799999999999996,12,3,1
65,1.0,1.0,0.78,0.892,0.124,0.4,12,3,1
66,1.0,1.0,0.78,0.9,0.14,0.41200000000000003,12,3,1
67,1.0,1.0,0.78,0.904,0.16399999999999998,0.4,12,3,1
68,1.0,1.0,0.75,0.9159999999999999,0.14800000000000002,0.38,12,3,1
69,1.0,1.0,0.78,0.9279999999999999,0.156,0.376,12,3,1
70,1.0,1.0,0.78,0.932,0.16,0.35600000000000004,12,3,1
71,1.0,1.0,0.78,0.9359999999999999,0.184,0.344,12,3,1
72,1.0,1.0,0.75,0.9279999999999999,0.17600000000000002,0.336,12,3,1
73,1.0,1.0,0.75,0.904,0.18,0.32,12,3,1
74,1.0,1.0,0.78,0.9,0.20800000000000002,0.336,12,3,1
75,1.0,1.0,0.78,0.9159999999999999,0.212,0.344,12,3,1
76,1.0,1.0,0.78,0.92,0.196,0.348,12,3,1
77,1.0,1.0,0.78,0.9,0.192,0.36,12,3,1
78,1.0,1.0,0.78,0.9159999999999999,0.184,0.368,12,3,1
79,1.0,1.0,0.78,0.9079999999999999,0.196,0.37200000000000005,12,3,1
80,1.0,1.0,0.78,0.9,0.21600000000000003,0.364,12,3,1
81,1.0,1.0,0.75,0.9,0.22399999999999998,0.364,12,3,1
82,1.0,1.0,0.78,0.892,0.248,0.38,12,3,1
83,1.0,1.0,0.78,0.892,0.264,0.36,12,3,1
84,1.0,1.0,0.78,0.88,0.264,0.364,12,3,1
85,1.0,1.0,0.78,0.86,0.29600000000000004,0.36,12,3,1
86,1.0,1.0,0.75,0.856,0.292,0.35200000000000004,12,3,1
87,1.0,1.0,0.75,0.86,0.32799999999999996,0.36,12,3,1
88,1.0,1.0,0.78,0.88,0.32799999999999996,0.35200000000000004,12,3,1
89,1.0,1.0,0.78,0.88,0.32,0.336,12,3,1
90,1.0,1.0,0.75,0.884,0.32799999999999996,0.344,12,3,1
91,1.0,1.0,0.78,0.872,0.324,0.35200000000000004,12,3,1
92,1.0,1.0,0.78,0.8640000000000001,0.348,0.336,12,3,1
93,1.0,1.0,0.78,0.856,0.35200000000000004,0.35600000000000004,12,3,1
94,1.0,1.0,0.78,0.8240000000000001,0.36,0.348,12,3,1
95,1.0,1.0,0.75,0.8079999999999999,0.35200000000000004,0.348,12,3,1
96,1.0,1.0,0.78,0.8,0.34,0.344,12,3,1
97,1.0,1.0,0.75,0.8240000000000001,0.332,0.35200000000000004,12,3,1
98,1.0,1.0,0.78,0.892,0.344,0.34,12,3,1
99,1.0,1.0,0.75,0.948,0.284,0.308,12,3,1
100,1.0,1.0,0.78,0.968,0.212,0.34,12,3,1
101,1.0,1.0,0.75,0.9440000000000001,0.14800000000000002,0.34,12,3,1
102,1.0,1.0,0.75,0.92,0.11599999999999999,0.32,12,3,1
103,1.0,1.0,0.78,0.904,0.08800000000000001,0.308,12,3,1
104,1.0,1.0,0.75,0.8959999999999999,0.084,0.308,12,3,1
105,1.0,1.0,0.78,0.924,0.08800000000000001,0.29600000000000004,12,3,1
106,1.0,1.0,0.78,0.9279999999999999,0.055999999999999994,0.28,12,3,1
107,1.0,1.0,0.78,0.94,-0.012,0.248,12,3,1
108,1.0,1.0,0.78,0.956,-0.076,0.21600000000000003,12,3,1
109,1.0,1.0,0.78,0.968,-0.10800000000000001,0.196,12,3,1
110,1.0,1.0,0.78,0.956,-0.14400000000000002,0.188,12,3,1
111,1.0,1.0,0.78,0.96,-0.16,0.16399999999999998,12,3,1
112,1.0,1.0,0.78,0.968,-0.16399999999999998,0.152,12,3,1
113,1.0,1.0,0.75,0.972,-0.152,0.14,12,3,1
114,1.0,1.0,0.78,0.992,-0.16399999999999998,0.11599999999999999,12,3,1
115,1.0,1.0,0.78,1.0,-0.2,0.092,12,3,1
116,1.0,1.0,0.78,1.0,-0.248,0.068,12,3,1
117,1.0,1.0,0.75,0.972,-0.272,0.08,12,3,1
118,1.0,1.0,0.75,0.968,-0.29600000000000004,0.092,12,3,1
119,1.0,1.0,0.78,0.976,-0.304,0.08800000000000001,12,3,1
120,1.0,1.0,0.75,0.988,-0.3,0.052000000000000005,12,3,1
121,1.0,1.0,0.75,0.992,-0.264,0.068,12,3,1
122,1.0,1.0,0.78,0.996,-0.252,0.064,12,3,1
123,1.0,1.0,0.78,1.008,-0.22399999999999998,0.052000000000000005,12,3,1
124,1.0,1.0,0.78,1.008,-0.20800000000000002,0.06,12,3,1
125,1.0,1.0,0.75,1.008,-0.192,0.076,12,3,1
126,1.0,1.0,0.75,1.004,-0.184,0.064,12,3,1
127,1.0,1.0,0.75,0.992,-0.21600000000000003,0.052000000000000005,12,3,1
128,1.0,1.0,0.78,0.988,-0.22,0.1,12,3,1
129,1.0,1.0,0.78,0.996,-0.17600000000000002,0.14800000000000002,12,3,1
130,1.0,1.0,0.75,0.988,-0.08800000000000001,0.168,12,3,1
131,1.0,1.0,0.78,0.9640000000000001,-0.064,0.188,12,3,1
132,1.0,1.0,0.75,0.9359999999999999,-0.036000000000000004,0.248,12,3,1
133,1.0,1.0,0.75,0.924,-0.008,0.264,12,3,1
134,1.0,1.0,0.75,0.9440000000000001,0.024,0.264,12,3,1
135,1.0,1.0,0.78,0.9520000000000001,0.02,0.272,12,3,1
136,1.0,1.0,0.75,0.972,0.02,0.272,12,3,1
137,1.0,1.0,0.75,0.9520000000000001,0.024,0.28800000000000003,12,3,1
138,1.0,1.0,0.78,0.9359999999999999,0.04,0.29600000000000004,12,3,1
139,1.0,1.0,0.75,0.9159999999999999,0.048,0.292,12,3,1
140,1.0,1.0,0.75,0.9159999999999999,0.044000000000000004,0.276,12,3,1
141,1.0,1.0,0.78,0.9359999999999999,0.04,0.276,12,3,1
142,1.0,1.0,0.75,0.9440000000000001,0.02,0.268,12,3,1
143,1.0,1.0,0.78,0.976,0.016,0.264,12,3,1
144,1.0,1.0,0.78,0.992,0.012,0.248,12,3,1
145,1.0,1.0,0.78,0.9840000000000001,0.02,0.264,12,3,1
146,1.0,1.0,0.75,0.96,0.044000000000000004,0.248,12,3,1
147,1.0,1.0,0.78,0.9279999999999999,0.048,0.24,12,3,1
148,1.0,1.0,0.78,0.92,0.027999999999999997,0.248,12,3,1
149,1.0,1.0,0.75,0.9279999999999999,0.0,0.26,12,3,1
150,1.0,1.0,0.78,0.9520000000000001,-0.027999999999999997,0.268,12,3,1
151,1.0,1.0,0.78,0.9520000000000001,-0.012,0.264,12,3,1
152,1.0,1.0,0.78,0.968,-0.016,0.244,12,3,1
153,1.0,1.0,0.75,0.96,-0.012,0.24,12,3,1
154,1.0,1.0,0.78,0.968,-0.012,0.228,12,3,1
155,1.0,1.0,0.75,0.972,0.0,0.23600000000000002,12,3,1
156,1.0,1.0,0.78,0.988,-0.004,0.20800000000000002,12,3,1
157,1.0,1.0,0.78,0.992,-0.004,0.212,12,3,1
158,1.0,1.0,0.78,0.992,0.004,0.22399999999999998,12,3,1
159,1.0,1.0,0.78,1.0,0.004,0.24,12,3,1
160,1.0,1.0,0.78,0.988,0.004,0.22399999999999998,12,3,1
161,1.0,1.0,0.78,0.968,-0.008,0.18,12,3,1
162,1.0,1.0,0.78,0.988,-0.016,0.20800000000000002,12,3,1
163,1.0,1.0,0.75,0.976,-0.016,0.22,12,3,1
164,1.0,1.0,0.78,0.968,-0.004,0.256,12,3,1
165,1.0,1.0,0.78,0.956,0.012,0.252,12,3,1
166,1.0,1.0,0.78,0.948,0.064,0.23600000000000002,12,3,1
167,1.0,1.0,0.78,0.9520000000000001,0.096,0.256,12,3,1
168,1.0,1.0,0.75,0.9440000000000001,0.132,0.23600000000000002,12,3,1
169,1.0,1.0,0.78,0.9520000000000001,0.184,0.268,12,3,1
170,1.0,1.0,0.78,0.988,0.228,0.284,12,3,1
171,1.0,1.0,0.75,0.9840000000000001,0.23199999999999998,0.264,12,3,1
172,1.0,1.0,0.78,0.9440000000000001,0.28800000000000003,0.268,12,3,1
173,1.0,1.0,0.78,0.924,0.41600000000000004,0.268,12,3,1
174,1.0,1.0,0.75,0.9279999999999999,0.516,0.212,12,3,1
175,1.0,1.0,0.78,0.948,0.6,0.276,12,3,1
176,1.0,1.0,0.75,0.976,0.636,0.3,12,3,1
177,1.0,1.0,0.78,0.996,0.688,0.36,12,3,1
178,1.0,1.0,0.78,0.9279999999999999,0.728,0.204,12,3,1
179,1.0,1.0,0.78,0.772,0.7440000000000001,0.08,12,3,1
180,1.0,1.0,0.75,0.628,0.7040000000000001,0.032,12,3,1
181,1.0,1.0,0.78,0.54,0.368,0.11199999999999999,12,3,1
182,1.0,1.0,0.78,0.544,0.07200000000000001,0.312,12,3,1
183,1.0,1.0,0.75,0.672,-0.004,0.304,12,3,1
184,1.0,1.0,0.75,0.636,-0.18,0.35200000000000004,12,3,1
185,1.0,1.0,0.78,0.632,0.036000000000000004,0.456,12,3,1
186,1.0,1.0,0.78,0.716,0.14,0.504,12,3,1
187,1.0,1.0,0.75,0.708,0.128,0.768,12,3,1
188,1.0,1.0,0.78,0.852,0.128,0.64,12,3,1
189,1.0,1.0,0.78,0.82,0.2,0.552,12,3,1
190,1.0,1.0,0.78,0.38799999999999996,0.58,0.568,12,3,1
191,1.0,1.0,0.75,0.08,0.968,0.368,12,3,1
192,1.0,1.0,0.75,-0.052000000000000005,1.28,-0.008,12,3,1
193,1.0,1.0,0.78,-0.124,1.436,0.268,12,3,1
194,1.0,1.0,0.78,0.17600000000000002,0.736,0.3,12,3,1
195,1.0,1.0,0.78,-0.17600000000000002,0.18,0.46,12,3,1
196,1.0,1.0,0.78,-0.392,0.212,0.52,12,3,1
197,1.0,1.0,0.78,-0.584,0.08800000000000001,0.41200000000000003,12,3,1
198,1.0,2.0,0.75,-0.52,0.016,0.11199999999999999,2,0,0
199,1.0,2.0,0.75,-0.396,0.092,-0.172,2,0,0
200,1.0,2.0,0.75,-0.46399999999999997,0.052000000000000005,-0.308,2,0,0
201,1.0,2.0,0.75,-0.47600000000000003,0.23199999999999998,-0.044000000000000004,2,0,0
202,1.0,2.0,0.75,-0.408,0.43200000000000005,-0.11199999999999999,2,0,0
