,number,value,depth,x,y,z,behaviour,type,place
0,1.0,1.0,0.87,-0.248,0.024,-0.012,2,0,0
1,1.0,1.0,0.87,-1.288,0.98,0.392,2,0,0
2,1.0,1.0,0.87,-0.46399999999999997,1.4280000000000002,2.78,2,0,0
3,1.0,1.0,0.87,-0.348,0.92,1.56,2,0,0
4,1.0,1.0,0.87,-1.028,0.868,1.7480000000000002,2,0,0
5,1.0,1.0,0.87,-1.124,1.3719999999999999,2.02,2,0,0
6,1.0,1.0,1.0,-0.66,1.632,1.92,2,0,0
7,1.0,2.0,1.09,-0.8640000000000001,0.948,1.7480000000000002,7,1,0
8,1.0,2.0,1.18,-0.396,0.628,2.156,7,1,0
9,1.0,2.0,1.34,0.132,0.904,2.128,7,1,0
10,1.0,2.0,1.37,0.46799999999999997,0.804,1.6640000000000001,7,1,0
11,1.0,2.0,1.43,0.16,0.9440000000000001,1.54,7,1,0
12,1.0,2.0,1.43,0.3,0.848,1.228,7,1,0
13,1.0,2.0,1.46,0.604,0.976,1.056,7,1,0
14,1.0,2.0,1.4,0.768,1.02,0.912,7,1,0
15,1.0,2.0,1.43,0.684,0.94,0.752,7,1,0
16,1.0,2.0,1.37,0.628,0.9079999999999999,0.6,7,1,0
17,1.0,2.0,1.37,0.828,0.904,0.6559999999999999,7,1,0
18,1.0,2.0,1.34,0.8640000000000001,0.912,0.652,7,1,0
19,1.0,2.0,1.31,0.84,0.8079999999999999,0.5,7,1,0
20,1.0,2.0,1.28,0.84,0.7240000000000001,0.44799999999999995,7,1,0
21,1.0,2.0,1.25,0.736,0.52,0.44,7,1,0
22,1.0,2.0,1.18,0.684,0.256,0.508,7,1,0
23,1.0,2.0,1.15,0.644,0.124,0.568,7,1,0
24,1.0,3.0,1.12,0.5479999999999999,0.064,0.608,15,2,0
25,1.0,3.0,1.06,0.436,-0.024,0.624,15,2,0
26,1.0,3.0,1.06,0.34,-0.11599999999999999,0.5760000000000001,15,2,0
27,1.0,3.0,1.0,0.192,-0.196,0.488,15,2,0
28,1.0,3.0,1.0,0.064,-0.184,0.47600000000000003,15,2,0
29,1.0,3.0,1.0,0.055999999999999994,-0.11599999999999999,0.584,15,2,0
30,1.0,3.0,0.96,0.036000000000000004,-0.055999999999999994,0.6679999999999999,15,2,0
31,1.0,3.0,0.93,0.036000000000000004,0.008,0.696,15,2,0
32,1.0,3.0,0.93,0.004,0.11599999999999999,0.672,15,2,0
33,1.0,3.0,0.93,-0.02,0.276,0.664,15,2,0
34,1.0,3.0,0.93,-0.036000000000000004,0.35600000000000004,0.732,15,2,0
35,1.0,3.0,0.93,0.012,0.3,0.8440000000000001,15,2,0
36,1.0,3.0,0.93,-0.016,0.184,0.828,15,2,0
37,1.0,3.0,0.93,-0.2,0.29600000000000004,0.688,15,2,0
38,1.0,3.0,0.9,-0.292,0.444,0.6559999999999999,15,2,0
39,1.0,3.0,0.93,-0.21600000000000003,0.58,0.644,15,2,0
40,1.0,3.0,0.93,-0.10800000000000001,0.6920000000000001,0.7040000000000001,15,2,0
41,1.0,3.0,0.93,-0.032,0.856,0.792,15,2,0
42,1.0,3.0,0.93,-0.016,0.892,0.8,15,2,0
43,1.0,3.0,0.93,-0.052000000000000005,0.8,0.7759999999999999,15,2,0
44,1.0,3.0,0.9,-0.027999999999999997,0.7,0.792,15,2,0
45,1.0,3.0,0.9,-0.008,0.62,0.768,15,2,0
46,1.0,3.0,0.9,-0.004,0.556,0.792,15,2,0
47,1.0,3.0,0.9,-0.04,0.496,0.856,15,2,0
48,1.0,3.0,0.9,-0.136,0.508,0.792,15,2,0
49,1.0,3.0,0.87,-0.196,0.47600000000000003,0.752,15,2,0
50,1.0,3.0,0.9,-0.188,0.568,0.912,15,2,0
51,1.0,3.0,0.9,-0.044000000000000004,0.376,0.784,15,2,0
52,1.0,3.0,0.9,-0.016,0.196,0.7,15,2,0
53,1.0,3.0,0.87,-0.02,0.172,0.684,15,2,0
54,1.0,3.0,0.9,-0.012,0.16,0.868,15,2,0
55,1.0,3.0,0.9,-0.016,0.3,0.904,15,2,0
56,1.0,3.0,0.9,0.008,0.264,0.8079999999999999,15,2,0
57,1.0,3.0,0.9,0.11199999999999999,0.4,0.76,15,2,0
58,1.0,3.0,0.93,0.027999999999999997,0.528,0.8240000000000001,15,2,0
59,1.0,3.0,0.93,0.08800000000000001,0.58,0.86,15,2,0
60,1.0,3.0,0.96,0.124,0.604,0.88,15,2,0
61,1.0,3.0,0.96,0.096,0.5760000000000001,0.86,15,2,0
62,1.0,3.0,0.96,0.20800000000000002,0.312,0.7440000000000001,15,2,0
63,1.0,3.0,0.96,0.084,0.48,0.648,15,2,0
64,1.0,3.0,1.0,0.06,0.664,0.74,15,2,0
65,1.0,3.0,0.96,0.076,0.868,0.696,15,2,0
66,1.0,3.0,1.0,-0.008,0.884,0.848,15,2,0
67,1.0,3.0,0.96,0.032,0.6559999999999999,0.556,15,2,0
68,1.0,3.0,1.0,0.192,0.49200000000000005,0.748,15,2,0
69,1.0,3.0,1.0,0.40399999999999997,0.748,0.9279999999999999,15,2,0
70,1.0,3.0,1.0,0.308,0.7959999999999999,0.8640000000000001,15,2,0
71,1.0,3.0,1.0,0.348,0.536,1.016,15,2,0
72,1.0,3.0,0.96,0.272,0.456,0.812,15,2,0
73,1.0,3.0,0.93,0.26,0.184,0.772,15,2,0
74,1.0,3.0,0.96,0.508,-0.23600000000000002,0.8959999999999999,15,2,0
75,1.0,3.0,0.93,0.444,-0.6,0.536,15,2,0
76,1.0,3.0,0.93,-0.048,-0.428,0.752,15,2,0
77,1.0,3.0,0.93,0.504,-0.636,0.616,15,2,0
78,1.0,3.0,0.93,0.324,0.188,0.816,15,2,0
79,1.0,3.0,0.93,0.292,0.552,1.088,15,2,0
80,1.0,3.0,0.9,0.34,0.348,1.004,15,2,0
81,1.0,3.0,0.9,0.48,0.376,0.968,15,2,0
82,1.0,3.0,0.9,0.696,0.11599999999999999,0.716,15,2,0
83,1.0,3.0,0.9,0.816,0.136,0.86,15,2,0
84,1.0,3.0,0.87,0.41600000000000004,0.24,0.524,15,2,0
85,1.0,3.0,0.87,0.192,0.7559999999999999,0.2,15,2,0
86,1.0,3.0,0.87,0.28800000000000003,0.948,0.49200000000000005,15,2,0
87,1.0,3.0,0.87,0.5,1.136,0.6,15,2,0
88,1.0,3.0,0.87,0.204,1.088,0.5760000000000001,15,2,0
89,1.0,3.0,0.87,0.055999999999999994,0.628,0.08800000000000001,15,2,0
90,1.0,3.0,0.87,0.124,0.304,0.348,15,2,0
91,1.0,3.0,0.87,0.196,0.168,0.256,15,2,0
92,1.0,3.0,0.87,-0.192,0.49200000000000005,0.184,15,2,0
93,1.0,3.0,0.87,-0.324,0.988,0.196,15,2,0
94,1.0,3.0,0.87,-0.43200000000000005,1.216,0.528,15,2,0
95,1.0,3.0,0.87,-0.304,0.748,0.47200000000000003,15,2,0
96,1.0,3.0,0.87,-0.052000000000000005,0.47200000000000003,0.3,15,2,0
97,1.0,3.0,0.9,-0.076,0.47600000000000003,0.16399999999999998,15,2,0
98,1.0,3.0,0.9,-0.408,0.544,0.256,15,2,0
99,1.0,3.0,0.96,-0.6,0.504,0.408,15,2,0
100,1.0,3.0,1.0,-0.6,0.43200000000000005,0.64,15,2,0
101,1.0,3.0,1.03,-0.628,0.456,0.8079999999999999,15,2,0
102,1.0,3.0,1.03,-0.584,0.5479999999999999,0.7559999999999999,15,2,0
103,1.0,3.0,1.06,-0.29600000000000004,0.584,0.72,15,2,0
104,1.0,3.0,1.09,-0.192,0.764,0.696,15,2,0
105,1.0,3.0,1.09,-0.324,0.784,0.68,15,2,0
106,1.0,3.0,1.12,-0.424,0.752,0.6559999999999999,15,2,0
107,1.0,3.0,1.12,-0.396,0.7120000000000001,0.716,15,2,0
108,1.0,3.0,1.15,-0.384,0.6920000000000001,0.736,15,2,0
109,1.0,3.0,1.15,-0.35200000000000004,0.708,0.732,15,2,0
110,1.0,3.0,1.18,-0.28,0.7559999999999999,0.804,15,2,0
111,1.0,3.0,1.18,-0.256,0.716,0.82,15,2,0
112,1.0,3.0,1.18,-0.20800000000000002,0.616,0.836,15,2,0
113,1.0,3.0,1.21,-0.128,0.54,0.86,15,2,0
114,1.0,3.0,1.21,-0.076,0.544,0.852,15,2,0
115,1.0,3.0,1.21,-0.04,0.584,0.836,15,2,0
116,1.0,3.0,1.21,-0.02,0.648,0.8320000000000001,15,2,0
117,1.0,3.0,1.21,0.048,0.66,0.816,15,2,0
118,1.0,3.0,1.21,0.10400000000000001,0.6559999999999999,0.836,15,2,0
119,1.0,3.0,1.21,0.132,0.632,0.828,15,2,0
120,1.0,3.0,1.21,0.14400000000000002,0.648,0.8079999999999999,15,2,0
121,1.0,3.0,1.21,0.128,0.62,0.812,15,2,0
122,1.0,3.0,1.21,0.184,0.5760000000000001,0.812,15,2,0
123,1.0,3.0,1.18,0.22399999999999998,0.596,0.764,15,2,0
124,1.0,3.0,1.18,0.26,0.6,0.7959999999999999,15,2,0
125,1.0,3.0,1.18,0.264,0.56,0.7879999999999999,15,2,0
126,1.0,3.0,1.18,0.324,0.524,0.78,15,2,0
127,1.0,3.0,1.18,0.332,0.444,0.768,15,2,0
128,1.0,3.0,1.18,0.32,0.484,0.768,15,2,0
129,1.0,3.0,1.15,0.308,0.488,0.772,15,2,0
130,1.0,3.0,1.15,0.43200000000000005,0.42,0.764,15,2,0
131,1.0,3.0,1.15,0.484,0.35200000000000004,0.828,15,2,0
132,1.0,3.0,1.15,0.332,0.46,0.9279999999999999,15,2,0
133,1.0,3.0,1.12,0.46799999999999997,0.49200000000000005,0.8440000000000001,15,2,0
134,1.0,3.0,1.09,0.62,0.35200000000000004,0.768,15,2,0
135,1.0,3.0,1.09,0.5920000000000001,0.23600000000000002,0.82,15,2,0
136,1.0,3.0,1.06,0.512,0.14,0.7759999999999999,15,2,0
137,1.0,3.0,1.06,0.528,0.02,0.7240000000000001,15,2,0
138,1.0,3.0,1.03,0.568,-0.048,0.732,15,2,0
139,1.0,3.0,1.0,0.604,-0.1,0.64,15,2,0
140,1.0,3.0,1.0,0.564,-0.21600000000000003,0.48,15,2,0
141,1.0,3.0,1.0,0.604,-0.044000000000000004,0.644,15,2,0
142,1.0,3.0,1.0,0.504,0.092,0.76,15,2,0
143,1.0,3.0,0.96,0.44799999999999995,0.004,0.784,15,2,0
144,1.0,3.0,0.96,0.508,-0.068,0.716,15,2,0
145,1.0,3.0,1.0,0.5920000000000001,-0.032,0.688,15,2,0
146,1.0,3.0,0.96,0.624,0.027999999999999997,0.716,15,2,0
147,1.0,3.0,0.96,0.6679999999999999,0.10400000000000001,0.7440000000000001,15,2,0
148,1.0,3.0,0.96,0.7,0.076,0.7120000000000001,15,2,0
149,1.0,3.0,0.96,0.716,0.08800000000000001,0.72,15,2,0
150,1.0,3.0,0.93,0.64,0.052000000000000005,0.66,15,2,0
151,1.0,3.0,0.93,0.652,0.055999999999999994,0.5760000000000001,15,2,0
152,1.0,3.0,0.93,0.672,0.14,0.62,15,2,0
153,1.0,3.0,0.93,0.64,0.152,0.64,15,2,0
154,1.0,3.0,0.93,0.648,0.16,0.624,15,2,0
155,1.0,3.0,0.93,0.616,0.17600000000000002,0.652,15,2,0
156,1.0,3.0,0.96,0.6,0.152,0.66,15,2,0
157,1.0,3.0,0.93,0.604,0.12,0.68,15,2,0
158,1.0,3.0,0.93,0.556,0.08,0.764,15,2,0
159,1.0,3.0,0.96,0.596,0.0,0.7240000000000001,15,2,0
160,1.0,3.0,0.96,0.684,0.064,0.684,15,2,0
161,1.0,3.0,0.93,0.7759999999999999,0.268,0.716,15,2,0
162,1.0,3.0,0.96,0.528,0.284,0.696,15,2,0
163,1.0,3.0,0.96,0.536,0.272,0.584,15,2,0
164,1.0,3.0,0.96,0.664,0.07200000000000001,0.56,15,2,0
165,1.0,3.0,0.96,0.728,0.02,0.62,15,2,0
166,1.0,3.0,0.96,0.86,0.048,0.66,15,2,0
167,1.0,3.0,0.96,0.8,0.076,0.62,15,2,0
168,1.0,3.0,0.96,0.7,0.04,0.6559999999999999,15,2,0
169,1.0,3.0,0.96,0.684,-0.016,0.616,15,2,0
170,1.0,3.0,0.96,0.7,-0.076,0.7,15,2,0
171,1.0,3.0,0.96,0.72,-0.07200000000000001,0.7,15,2,0
172,1.0,3.0,1.0,0.708,0.036000000000000004,0.856,15,2,0
173,1.0,3.0,0.96,0.76,0.168,0.852,15,2,0
174,1.0,3.0,0.96,0.8240000000000001,0.08,0.976,15,2,0
175,1.0,3.0,0.96,1.124,0.04,0.98,15,2,0
176,1.0,3.0,0.93,1.1320000000000001,0.07200000000000001,0.852,15,2,0
177,1.0,3.0,0.9,0.84,0.092,0.7040000000000001,15,2,0
178,1.0,3.0,0.9,0.628,0.136,0.556,15,2,0
179,1.0,3.0,0.9,0.4,-0.064,0.46799999999999997,15,2,0
180,1.0,3.0,0.9,0.264,-0.21600000000000003,0.4,15,2,0
181,1.0,3.0,0.9,0.132,-0.384,0.41200000000000003,15,2,0
182,1.0,3.0,0.9,0.02,-0.512,0.392,15,2,0
183,1.0,3.0,0.9,-0.096,-0.58,0.34,15,2,0
184,1.0,3.0,0.9,-0.252,-0.54,0.35200000000000004,15,2,0
185,1.0,3.0,0.87,-0.392,-0.504,0.32,15,2,0
186,1.0,3.0,0.87,-0.496,-0.484,0.316,15,2,0
187,1.0,3.0,0.9,-0.66,-0.43200000000000005,0.312,15,2,0
188,1.0,3.0,0.9,-0.708,-0.43200000000000005,0.32799999999999996,15,2,0
189,1.0,3.0,0.9,-0.7440000000000001,-0.35600000000000004,0.32,15,2,0
190,1.0,3.0,0.93,-0.78,-0.20800000000000002,0.376,15,2,0
191,1.0,3.0,0.93,-0.816,-0.14400000000000002,0.40399999999999997,15,2,0
192,1.0,3.0,1.0,-0.8079999999999999,-0.14,0.40399999999999997,15,2,0
193,1.0,3.0,1.0,-0.812,-0.10800000000000001,0.46399999999999997,15,2,0
194,1.0,3.0,1.03,-0.872,-0.16399999999999998,0.44799999999999995,15,2,0
195,1.0,3.0,1.06,-0.8759999999999999,-0.128,0.452,15,2,0
196,1.0,3.0,1.12,-0.888,-0.032,0.536,15,2,0
197,1.0,3.0,1.15,-0.96,-0.068,0.68,15,2,0
198,1.0,3.0,1.18,-0.8,0.136,0.84,15,2,0
199,1.0,3.0,1.21,-0.7240000000000001,0.152,0.9359999999999999,15,2,0
200,1.0,3.0,1.25,-0.43200000000000005,0.344,0.9520000000000001,15,2,0
201,1.0,3.0,1.21,-0.212,0.516,0.9440000000000001,15,2,0
202,1.0,3.0,1.21,-0.16,0.7040000000000001,0.86,15,2,0
203,1.0,3.0,1.21,-0.228,0.8440000000000001,0.8079999999999999,15,2,0
204,1.0,3.0,1.18,-0.23600000000000002,0.648,0.7040000000000001,15,2,0
205,1.0,3.0,1.21,-0.316,0.41600000000000004,0.6759999999999999,15,2,0
206,1.0,3.0,1.25,-0.368,0.28,0.728,15,2,0
207,1.0,3.0,1.28,-0.37200000000000005,0.196,0.752,15,2,0
208,1.0,3.0,1.28,-0.324,0.20800000000000002,0.7559999999999999,15,2,0
209,1.0,3.0,1.31,-0.28800000000000003,0.364,0.7959999999999999,15,2,0
210,1.0,3.0,1.31,-0.34,0.408,0.84,15,2,0
211,1.0,3.0,1.34,-0.32,0.44,0.848,15,2,0
212,1.0,3.0,1.34,-0.292,0.44,0.888,15,2,0
213,1.0,3.0,1.34,-0.20800000000000002,0.46,0.8959999999999999,15,2,0
214,1.0,3.0,1.34,-0.172,0.552,0.924,15,2,0
215,1.0,3.0,1.37,-0.14800000000000002,0.5760000000000001,0.912,15,2,0
216,1.0,3.0,1.37,-0.132,0.596,0.8959999999999999,15,2,0
217,1.0,3.0,1.37,-0.092,0.652,0.892,15,2,0
218,1.0,3.0,1.37,-0.008,0.6920000000000001,0.8759999999999999,15,2,0
219,1.0,3.0,1.37,-0.008,0.56,0.884,15,2,0
220,1.0,3.0,1.37,0.02,0.5,0.848,15,2,0
221,1.0,3.0,1.4,0.08,0.48,0.8640000000000001,15,2,0
222,1.0,3.0,1.4,0.11599999999999999,0.46799999999999997,0.9,15,2,0
223,1.0,3.0,1.37,0.068,0.512,0.9440000000000001,15,2,0
224,1.0,3.0,1.37,0.06,0.52,0.8959999999999999,15,2,0
225,1.0,3.0,1.4,0.132,0.48,0.86,15,2,0
226,1.0,3.0,1.4,0.06,0.504,0.8440000000000001,15,2,0
227,1.0,3.0,1.37,-0.136,0.47600000000000003,0.7,15,2,0
228,1.0,3.0,1.37,-0.16399999999999998,0.32,0.856,15,2,0
229,1.0,3.0,1.4,0.172,0.29600000000000004,1.016,15,2,0
230,1.0,3.0,1.37,0.41200000000000003,0.10400000000000001,0.812,15,2,0
231,1.0,3.0,1.4,-0.24,-0.1,0.7959999999999999,15,2,0
232,1.0,3.0,1.4,-0.11199999999999999,-0.496,0.848,15,2,0
233,1.0,3.0,1.4,0.4,-0.512,0.84,15,2,0
234,1.0,3.0,1.4,0.08,-0.055999999999999994,1.0,15,2,0
235,1.0,3.0,1.37,-0.16399999999999998,0.044000000000000004,1.016,15,2,0
236,1.0,3.0,1.34,0.136,0.04,1.084,15,2,0
237,1.0,3.0,1.34,0.584,-0.048,1.004,15,2,0
238,1.0,3.0,1.34,0.5479999999999999,0.332,0.9079999999999999,15,2,0
239,1.0,3.0,1.34,0.28,0.436,1.12,15,2,0
240,1.0,3.0,1.31,0.588,0.588,1.008,15,2,0
241,1.0,3.0,1.28,0.7040000000000001,0.324,0.992,15,2,0
242,1.0,3.0,1.25,0.5920000000000001,0.016,0.924,15,2,0
243,1.0,3.0,1.15,0.5,-0.11599999999999999,0.868,15,2,0
244,1.0,3.0,1.12,0.392,-0.252,0.836,15,2,0
245,1.0,3.0,1.12,0.292,-0.38,0.836,15,2,0
246,1.0,3.0,1.06,0.24,-0.42,0.848,15,2,0
247,1.0,3.0,1.03,0.23600000000000002,-0.38,0.772,15,2,0
248,1.0,3.0,1.03,0.23199999999999998,-0.304,0.7559999999999999,15,2,0
249,1.0,3.0,1.0,0.184,-0.192,0.772,15,2,0
250,1.0,3.0,0.96,0.16,-0.10800000000000001,0.764,15,2,0
251,1.0,3.0,0.96,0.204,-0.064,0.74,15,2,0
252,1.0,3.0,0.93,0.204,-0.016,0.7240000000000001,15,2,0
253,1.0,3.0,0.93,0.152,0.052000000000000005,0.736,15,2,0
254,1.0,3.0,0.93,0.08800000000000001,0.084,0.732,15,2,0
255,1.0,3.0,0.93,0.08,0.14800000000000002,0.732,15,2,0
256,1.0,3.0,0.93,0.04,0.128,0.7240000000000001,15,2,0
257,1.0,3.0,0.93,0.027999999999999997,0.188,0.7440000000000001,15,2,0
258,1.0,3.0,0.9,-0.016,0.18,0.6759999999999999,15,2,0
259,1.0,3.0,0.9,-0.032,0.212,0.5720000000000001,15,2,0
260,1.0,3.0,0.9,-0.16399999999999998,0.304,0.636,15,2,0
261,1.0,3.0,0.93,-0.292,0.41200000000000003,0.5720000000000001,15,2,0
262,1.0,3.0,0.93,-0.32,0.5,0.628,15,2,0
263,1.0,3.0,0.93,-0.312,0.68,0.644,15,2,0
264,1.0,3.0,0.96,-0.268,0.7,0.6759999999999999,15,2,0
265,1.0,3.0,0.96,-0.24,0.716,0.708,15,2,0
266,1.0,3.0,0.96,-0.184,0.7240000000000001,0.752,15,2,0
267,1.0,3.0,0.96,-0.21600000000000003,0.648,0.644,15,2,0
268,1.0,3.0,0.96,-0.29600000000000004,0.604,0.636,15,2,0
269,1.0,3.0,0.96,-0.376,0.584,0.624,15,2,0
270,1.0,3.0,1.0,-0.29600000000000004,0.47600000000000003,0.604,15,2,0
271,1.0,3.0,1.0,-0.256,0.516,0.664,15,2,0
272,1.0,3.0,1.03,-0.17600000000000002,0.616,0.86,15,2,0
273,1.0,3.0,1.03,-0.292,0.5760000000000001,0.7879999999999999,15,2,0
274,1.0,3.0,1.06,-0.316,0.42,0.76,15,2,0
275,1.0,3.0,1.09,-0.252,0.36,0.912,15,2,0
276,1.0,3.0,1.09,-0.11599999999999999,0.516,0.9840000000000001,15,2,0
277,1.0,3.0,1.12,0.08,0.688,1.016,15,2,0
278,1.0,3.0,1.09,0.2,0.7240000000000001,0.9279999999999999,15,2,0
279,1.0,3.0,1.09,0.22,0.8320000000000001,0.9079999999999999,15,2,0
280,1.0,3.0,1.09,0.256,0.828,0.932,15,2,0
281,1.0,3.0,1.09,0.38799999999999996,0.7440000000000001,0.9279999999999999,15,2,0
282,1.0,3.0,1.06,0.508,0.664,0.884,15,2,0
283,1.0,3.0,1.06,0.5720000000000001,0.6,0.828,15,2,0
284,1.0,3.0,1.03,0.648,0.596,0.752,15,2,0
285,1.0,3.0,1.03,0.7120000000000001,0.652,0.632,15,2,0
286,1.0,3.0,1.0,0.72,0.608,0.496,15,2,0
287,1.0,3.0,0.96,0.716,0.596,0.46399999999999997,15,2,0
288,1.0,3.0,0.93,0.616,0.552,0.56,15,2,0
289,1.0,3.0,0.9,0.54,0.46399999999999997,0.608,15,2,0
290,1.0,3.0,0.9,0.48,0.4,0.6679999999999999,15,2,0
291,1.0,3.0,0.9,0.48,0.284,0.632,15,2,0
292,1.0,3.0,0.9,0.508,0.21600000000000003,0.588,15,2,0
293,1.0,3.0,0.9,0.47200000000000003,0.124,0.664,15,2,0
294,1.0,3.0,0.9,0.40399999999999997,0.064,0.72,15,2,0
295,1.0,3.0,0.9,0.42,-0.012,0.74,15,2,0
296,1.0,3.0,0.9,0.41600000000000004,-0.055999999999999994,0.88,15,2,0
297,1.0,3.0,0.9,0.41600000000000004,-0.06,0.7959999999999999,15,2,0
298,1.0,3.0,0.9,0.35600000000000004,-0.06,0.924,15,2,0
299,1.0,3.0,0.9,0.49200000000000005,0.0,0.968,15,2,0
300,1.0,3.0,0.9,0.732,0.124,1.072,15,2,0
301,1.0,3.0,0.9,0.972,-0.04,0.996,15,2,0
302,1.0,3.0,0.9,1.072,-0.02,0.816,15,2,0
303,1.0,3.0,0.9,0.8320000000000001,-0.04,0.584,15,2,0
304,1.0,3.0,0.9,0.58,-0.08800000000000001,0.312,15,2,0
305,1.0,3.0,0.9,0.23199999999999998,-0.172,0.244,15,2,0
306,1.0,3.0,0.9,0.044000000000000004,-0.316,0.268,15,2,0
307,1.0,3.0,0.9,-0.068,-0.49200000000000005,0.204,15,2,0
308,1.0,3.0,0.9,-0.16,-0.5,0.276,15,2,0
309,1.0,3.0,0.9,-0.228,-0.38,0.24,15,2,0
310,1.0,3.0,0.87,-0.32799999999999996,-0.38,0.24,15,2,0
311,1.0,3.0,0.87,-0.424,-0.37200000000000005,0.276,15,2,0
312,1.0,3.0,0.9,-0.54,-0.172,0.292,15,2,0
313,1.0,3.0,0.9,-0.5920000000000001,-0.036000000000000004,-0.196,15,2,0
314,1.0,3.0,1.0,-0.768,0.184,0.10800000000000001,15,2,0
315,1.0,3.0,1.06,-0.888,0.276,0.276,15,2,0
316,1.0,3.0,1.12,-0.9440000000000001,0.244,0.564,15,2,0
317,1.0,3.0,1.12,-1.028,0.264,0.44,15,2,0
318,1.0,3.0,1.21,-0.9440000000000001,0.408,0.716,15,2,0
319,1.0,3.0,1.25,-0.74,0.2,0.768,15,2,0
320,1.0,3.0,1.25,-0.54,0.204,0.8,15,2,0
321,1.0,3.0,1.28,-0.54,0.172,0.78,15,2,0
322,1.0,3.0,1.28,-0.564,0.17600000000000002,0.7440000000000001,15,2,0
323,1.0,3.0,1.31,-0.612,0.152,0.74,15,2,0
324,1.0,3.0,1.34,-0.632,0.14,0.7240000000000001,15,2,0
325,1.0,3.0,1.37,-0.62,0.14400000000000002,0.728,15,2,0
326,1.0,3.0,1.4,-0.66,0.168,0.652,15,2,0
327,1.0,3.0,1.46,-0.7040000000000001,0.17600000000000002,0.66,15,2,0
328,1.0,3.0,1.5,-0.7120000000000001,0.23199999999999998,0.628,15,2,0
329,1.0,3.0,1.53,-0.684,0.24,0.632,15,2,0
330,1.0,3.0,1.56,-0.6920000000000001,0.292,0.628,15,2,0
331,1.0,3.0,1.59,-0.72,0.32,0.652,15,2,0
332,1.0,3.0,1.59,-0.768,0.35200000000000004,0.632,15,2,0
333,1.0,3.0,1.62,-0.816,0.38,0.588,15,2,0
334,1.0,3.0,1.65,-0.728,0.332,0.568,15,2,0
335,1.0,3.0,1.68,-0.772,0.344,0.552,15,2,0
336,1.0,3.0,1.75,-0.72,0.22399999999999998,0.6759999999999999,15,2,-1
337,1.0,3.0,1.81,-0.752,0.136,0.628,15,2,-1
338,1.0,3.0,1.84,-0.7440000000000001,0.23600000000000002,0.716,15,2,-1
